study_name,Processes,Gender,$n$,$r_{intercepts}$,$r_{slopes}$,$r_{residuals}$
map,   fev vs matrices,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs matrices,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs mmms,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs mmms,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs nart,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs nart,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs num_comp,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs num_comp,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs symbol,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs symbol,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs word_de,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs word_de,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs word_im,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs word_im,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs word_rec,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,   fev vs word_rec,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs bnt,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs bnt,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs bstory_de,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs bstory_de,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs bstory_im,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs bstory_im,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs categories,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs categories,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs digit_b,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs digit_b,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs digit_f,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs digit_f,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs digit_o,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs digit_o,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs ideas,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs ideas,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs line,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs line,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs logic_de,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs logic_de,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs logic_im,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs logic_im,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs matrices,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs matrices,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs mmms,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs mmms,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs nart,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs nart,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs num_comp,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs num_comp,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs symbol,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs symbol,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs word_de,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs word_de,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs word_im,female,"1,010","--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs word_im,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
map,  grip vs word_rec,male,351,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
nuage,  grip vs mmms,female,934,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
nuage,  grip vs mmms,male,847,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  gait vs block,female,272," -0.43(0.12),*p*<.01"," -0.49(0.61),*p*=.42"," -0.15(0.05),*p*<.01"
octo,  gait vs block,male,137," -0.40(0.13),*p*<.01"," -0.73(2.42),*p*=.76"," -0.10(0.09),*p*=.27"
octo,  gait vs digit_b,female,275," -0.30(0.10),*p*<.01","  0.23(0.45),*p*=.60","  0.03(0.06),*p*=.58"
octo,  gait vs digit_b,male,139," -0.22(0.20),*p*=.29"," -0.59(0.86),*p*=.50"," -0.04(0.11),*p*=.69"
octo,  gait vs digit_f,female,275," -0.11(0.08),*p*=.18"," -0.12(0.18),*p*=.50"," -0.04(0.04),*p*=.27"
octo,  gait vs digit_f,male,139," -0.17(0.17),*p*=.31"," -0.56(0.64),*p*=.39"," -0.06(0.07),*p*=.40"
octo,  gait vs prose_im,female,268," -0.14(0.12),*p*=.24"," -0.23(0.08),*p*<.01"," -0.06(0.04),*p*=.11"
octo,  gait vs symbol,female,265," -0.37(0.14),*p*=.01"," -0.41(0.46),*p*=.37"," -0.12(0.08),*p*=.15"
octo,  gait vs symbol,male,134," -0.46(0.14),*p*<.01","  0.00(0.98),*p*=.99"," -0.23(0.09),*p*=.01"
octo,  grip vs block,female,274,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  grip vs block,male,139,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  grip vs digit_b,female,275,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  grip vs digit_b,male,139,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  grip vs digit_f,female,275,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  grip vs digit_f,male,139,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  grip vs fig_logic,female,273,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  grip vs fig_logic,male,138,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  grip vs mir,female,272,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  grip vs mir,male,139,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  grip vs prose_im,female,272,"  0.14(0.07),*p*=.07","  0.37(0.35),*p*=.29","  0.06(0.07),*p*=.38"
octo,  grip vs prose_im,male,139,"  0.35(0.10),*p*<.01"," -0.38(2.68),*p*=.89","  0.14(0.09),*p*=.14"
octo,  grip vs symbol,female,271,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,  grip vs symbol,male,138,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
octo,   pef vs block,female,271,"  0.23(0.09),*p*=.01","  0.02(0.34),*p*=.96","  0.15(0.06),*p*=.01"
octo,   pef vs block,male,136,"  0.30(0.11),*p*<.01","  0.75(0.17),*p*<.01","  0.11(0.06),*p*=.07"
octo,   pef vs digit_b,female,275,"  0.19(0.12),*p*=.13","  0.16(0.50),*p*=.75","  0.02(0.05),*p*=.74"
octo,   pef vs digit_b,male,138,"  0.30(0.13),*p*=.02","  0.36(0.41),*p*=.37"," -0.09(0.08),*p*=.27"
octo,   pef vs digit_f,female,275," -0.00(0.10),*p*=.96"," -0.30(0.27),*p*=.27","  0.01(0.05),*p*=.81"
octo,   pef vs digit_f,male,138," -0.09(0.13),*p*=.50","  0.63(0.17),*p*<.01","  0.01(0.06),*p*=.85"
octo,   pef vs prose_im,female,267,"  0.16(0.09),*p*=.08"," -0.05(0.35),*p*=.88","  0.08(0.06),*p*=.21"
octo,   pef vs prose_im,male,136,"  0.22(0.13),*p*=.09"," -0.26(0.53),*p*=.62","  0.10(0.12),*p*=.41"
octo,   pef vs symbol,female,263,"  0.38(0.08),*p*<.01","  0.66(0.18),*p*<.01","  0.03(0.06),*p*=.54"
octo,   pef vs symbol,male,133,"  0.31(0.10),*p*<.01","  0.73(0.15),*p*<.01"," -0.04(0.08),*p*=.60"
satsa,   fev vs analogies,female,408,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs analogies,male,300,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs block,female,408,"  0.23(0.09),*p*=.01","  0.12(0.24),*p*=.62","  0.08(0.04),*p*=.04"
satsa,   fev vs block,male,299,"  0.23(0.08),*p*<.01","  0.32(0.25),*p*=.20"," -0.01(0.05),*p*=.88"
satsa,   fev vs digit_b,female,409,"  0.33(0.10),*p*<.01","  0.35(0.27),*p*=.19"," -0.03(0.05),*p*=.59"
satsa,   fev vs digit_b,female,410,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs digit_b,male,299,"  0.22(0.10),*p*=.02"," -0.44(0.86),*p*=.60"," -0.03(0.04),*p*=.40"
satsa,   fev vs digit_b,male,300,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
satsa,   fev vs digit_f,female,409,"  0.08(0.10),*p*=.42","  0.07(0.64),*p*=.91","  0.07(0.04),*p*=.07"
satsa,   fev vs digit_f,female,410,"--,*p*=  ----","--,*p*=  ----","--,*p*=  ----"
