study_name,process_a,process_b,subgroup,model_type,subject_count,stem,ci95_lower,ci95_upper,est,pval,se,wald
eas,gait,mmms,female,full,72,s,0.196535340686503,0.585657003217377,0.394,0.934,4.773,0.083
eas,gait,mmms,male,a,383,i,0.335716882194364,0.500779149071574,0.422,0.029,0.193,2.183
eas,gait,mmms,male,a,383,r,-0.091361370118479,0.10903600337711,0.009,0.909,0.078,0.115
eas,gait,mmms,male,a,383,s,-0.121253271677329,0.0790698527008643,-0.027,0.984,1.336,-0.02
eas,gait,mmms,male,ae,383,i,0.335127762302448,0.500281648987441,0.421,0.036,0.201,2.092
eas,gait,mmms,male,ae,383,r,-0.0919274919087185,0.10847183909708,0.008,0.915,0.078,0.106
eas,gait,mmms,male,ae,383,s,-0.124872577456202,0.0754168181969931,-0.023,0.987,1.418,-0.017
eas,gait,mmms,male,aeh,72,i,0.0645280187640971,0.490350493890048,0.292,0.566,0.508,0.574
eas,gait,mmms,male,aeh,72,r,-0.203163537912176,0.259781221766641,0.03,0.842,0.151,0.199
eas,gait,mmms,male,aeh,72,s,-0.12685227897295,0.331368283364186,0.113,0.946,1.666,0.068
eas,gait,mmms,male,aehplus,72,i,0.0356208302209719,0.468026099911687,0.265,0.674,0.629,0.421
eas,gait,mmms,male,aehplus,72,r,-0.201515974194852,0.261382468341934,0.032,0.849,0.165,0.191
eas,gait,mmms,male,aehplus,72,s,-0.0944230310893794,0.360272242177889,0.138,0.964,3.05,0.045
eas,gait,mmms,male,full,72,i,-0.00792928829973047,0.433317927208542,0.224,0.773,0.778,0.289
eas,gait,mmms,male,full,72,r,-0.198821419733151,0.263995792764242,0.034,0.864,0.201,0.171
eas,gait,mmms,male,full,72,s,0.196535340686503,0.585657003217377,0.394,0.934,4.773,0.083
eas,gait,symbol,female,a,592,i,0.247334134089719,0.391939123587998,0.322,0,0.078,4.114
eas,gait,symbol,female,a,592,r,-0.071747921881945,0.0894070231779977,0.009,0.861,0.051,0.175
eas,gait,symbol,female,a,592,s,0.46813605714385,0.584452348591798,0.529,0.01,0.204,2.59
eas,gait,symbol,female,ae,592,i,0.218173773513011,0.365531447096039,0.294,0,0.079,3.722
eas,gait,symbol,female,ae,592,r,-0.0690895517293306,0.0920566478599319,0.012,0.822,0.051,0.226
eas,gait,symbol,female,ae,592,s,0.552236943502066,0.654489227567918,0.606,0.005,0.215,2.825
eas,gait,symbol,female,aeh,150,i,0.120738608549647,0.417483717606476,0.276,0.027,0.124,2.215
eas,gait,symbol,female,aeh,150,r,-0.24009933754743,0.0782702612328013,-0.083,0.367,0.092,-0.901
eas,gait,symbol,female,aeh,150,s,0.722255109971801,0.844211418784292,0.79,0.169,0.574,1.376
eas,gait,symbol,female,aehplus,150,i,0.0167151010772339,0.327501381035727,0.177,0.244,0.152,1.164
eas,gait,symbol,female,aehplus,150,r,-0.233816615867922,0.084882444735946,-0.076,0.437,0.098,-0.777
eas,gait,symbol,female,aehplus,150,s,0.726259547922627,0.846614127774976,0.794,0.193,0.61,1.301
eas,gait,symbol,female,full,150,i,0.0274057628956599,0.337016437462547,0.187,0.285,0.175,1.069
eas,gait,symbol,female,full,150,r,-0.224898144105042,0.0942206375844698,-0.067,0.49,0.097,-0.69
eas,gait,symbol,female,full,150,s,0.711537780357206,0.83775669509602,0.783,0.201,0.613,1.278
eas,gait,symbol,male,a,377,i,0.386324057464326,0.544244380499101,0.469,0,0.095,4.944
eas,gait,symbol,male,a,377,r,-0.0608158366295753,0.140860776528286,0.04,0.483,0.058,0.702
eas,gait,symbol,male,a,377,s,0.231201321860318,0.412112222536404,0.325,0.508,0.491,0.662
eas,gait,symbol,male,ae,377,i,0.409561558514808,0.563385368558294,0.49,0,0.11,4.445
eas,gait,symbol,male,ae,377,r,-0.0583665365415855,0.143269196216148,0.043,0.482,0.061,0.703
eas,gait,symbol,male,ae,377,s,0.132896488865081,0.32424350391221,0.231,0.686,0.571,0.404
eas,gait,symbol,male,aeh,72,i,-0.155192217039416,0.305384673540013,0.079,0.769,0.27,0.294
eas,gait,symbol,male,aeh,72,r,-0.283787272606813,0.178185043333733,-0.056,0.739,0.168,-0.333
eas,gait,symbol,male,aeh,72,s,0.759548326443779,0.899013314412549,0.843,0.332,0.868,0.971
