"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","p_GAMMA_01_est","p_GAMMA_01_se","p_GAMMA_01_wald","p_GAMMA_01_pval","p_GAMMA_11_est","p_GAMMA_11_se","p_GAMMA_11_wald","p_GAMMA_11_pval","c_GAMMA_01_est","c_GAMMA_01_se","c_GAMMA_01_wald","c_GAMMA_01_pval","c_GAMMA_11_est","c_GAMMA_11_se","c_GAMMA_11_wald","c_GAMMA_11_pval","p_GAMMA_02_est","p_GAMMA_02_se","p_GAMMA_02_wald","p_GAMMA_02_pval","p_GAMMA_12_est","p_GAMMA_12_se","p_GAMMA_12_wald","p_GAMMA_12_pval","c_GAMMA_02_est","c_GAMMA_02_se","c_GAMMA_02_wald","c_GAMMA_02_pval","c_GAMMA_12_est","c_GAMMA_12_se","c_GAMMA_12_wald","c_GAMMA_12_pval","p_GAMMA_03_est","p_GAMMA_03_se","p_GAMMA_03_wald","p_GAMMA_03_pval","p_GAMMA_13_est","p_GAMMA_13_se","p_GAMMA_13_wald","p_GAMMA_13_pval","c_GAMMA_03_est","c_GAMMA_03_se","c_GAMMA_03_wald","c_GAMMA_03_pval","c_GAMMA_13_est","c_GAMMA_13_se","c_GAMMA_13_wald","c_GAMMA_13_pval","p_GAMMA_04_est","p_GAMMA_04_se","p_GAMMA_04_wald","p_GAMMA_04_pval","p_GAMMA_14_est","p_GAMMA_14_se","p_GAMMA_14_wald","p_GAMMA_14_pval","c_GAMMA_04_est","c_GAMMA_04_se","c_GAMMA_04_wald","c_GAMMA_04_pval","c_GAMMA_14_est","c_GAMMA_14_se","c_GAMMA_14_wald","c_GAMMA_14_pval","p_GAMMA_05_est","p_GAMMA_05_se","p_GAMMA_05_wald","p_GAMMA_05_pval","p_GAMMA_15_est","p_GAMMA_15_se","p_GAMMA_15_wald","p_GAMMA_15_pval","c_GAMMA_05_est","c_GAMMA_05_se","c_GAMMA_05_wald","c_GAMMA_05_pval","c_GAMMA_15_est","c_GAMMA_15_se","c_GAMMA_15_wald","c_GAMMA_15_pval","p_GAMMA_06_est","p_GAMMA_06_se","p_GAMMA_06_wald","p_GAMMA_06_pval","p_GAMMA_16_est","p_GAMMA_16_se","p_GAMMA_16_wald","p_GAMMA_16_pval","c_GAMMA_06_est","c_GAMMA_06_se","c_GAMMA_06_wald","c_GAMMA_06_pval","c_GAMMA_16_est","c_GAMMA_16_se","c_GAMMA_16_wald","c_GAMMA_16_pval","trust_all","mistrust","has_converged","covar_covered"
"Mplus VERSION 7.11","0.1","10/07/2015"," 4:55 PM","hrs","b1","male","aehplus",NA,NA,"grip","pef",TRUE,238,3,NA,41,-5975.323,12032.646,12175.009,12045.052,12050.2174285714,"b1_male_aehplus_grip_pef.out"," ""C:\Users\wuche\Dropbox\Research\IALSA\Physical_Project\Physical_new.dat""",52.965,36.567,1.448,0.147,-0.465,1.256,-0.37,0.711,11.452,6.424,1.783,0.075,5.963,6.605,0.903,0.367,25.931,15.258,1.699,0.089,27.346,3.913,6.989,0,0.051,0.161,0.318,0.751,0.459,0.51,0.899,0.369,15.096,2.148,7.03,0,7702.627,912.755,8.439,0,61.587,39.447,1.561,0.118,-23.817,144.566,-0.165,0.869,3000.99,405.037,7.409,0,35.027,1.116,31.39,0,-0.69,0.192,-3.589,0,351.673,17.714,19.853,0,-8.99,3.555,-2.529,0.011,0.115,0.077,1.5,0.134,-0.262,0.913,-0.287,0.774,0.122,0.068,1.781,0.075,-0.015,0.011,-1.318,0.188,NA,NA,NA,NA,-0.013,0.152,-0.083,0.934,NA,NA,NA,NA,-0.024,0.021,-1.177,0.239,NA,NA,NA,NA,0.136,0.391,0.349,0.727,NA,NA,NA,NA,0.322,0.901,0.357,0.721,NA,NA,NA,NA,14.451,13.486,1.072,0.284,NA,NA,NA,NA,-0.101,0.146,-0.691,0.49,NA,NA,NA,NA,2.679,2.391,1.121,0.262,NA,NA,NA,NA,-0.272,0.132,-2.066,0.039,NA,NA,NA,NA,-2.426,2.182,-1.112,0.266,NA,NA,NA,NA,0.022,0.182,0.12,0.905,NA,NA,NA,NA,0.201,2.481,0.081,0.935,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.11","0.1","10/07/2015"," 4:55 PM","hrs","b1","male","aehplus",NA,NA,"pef","gait",TRUE,238,3,NA,41,-3814.25,7710.5,7852.864,7722.906,7728.07142857143,"b1_male_aehplus_pef_gait.out"," ""C:\Users\wuche\Dropbox\Research\IALSA\Physical_Project\Physical_new.dat""",3.968,1.367,2.903,0.004,0.172,0.076,2.272,0.023,-0.607,0.373,-1.626,0.104,-0.047,0.229,-0.206,0.837,0.292,0.669,0.436,0.663,7643.882,904.127,8.454,0,61.31,39.667,1.546,0.122,-19.496,143.062,-0.136,0.892,3014.92,408.95,7.372,0,0.022,0.004,5.442,0,0.001,0,2.292,0.022,-0.001,0.001,-1.406,0.16,0.026,0.003,7.857,0,352.085,17.647,19.951,0,-9.102,3.568,-2.551,0.011,0.83,0.041,20.011,0,-0.028,0.009,-2.988,0.003,0.303,0.099,3.065,0.002,0.816,0.311,2.62,0.009,0.033,0.076,0.438,0.662,-0.004,0.154,-0.026,0.979,NA,NA,NA,NA,-0.001,0.001,-1.978,0.048,NA,NA,NA,NA,0.126,0.39,0.322,0.748,NA,NA,NA,NA,0.002,0.001,1.531,0.126,NA,NA,NA,NA,16.024,13.508,1.186,0.236,NA,NA,NA,NA,-0.035,0.051,-0.689,0.491,NA,NA,NA,NA,2.77,2.403,1.153,0.249,NA,NA,NA,NA,-0.003,0.007,-0.456,0.648,NA,NA,NA,NA,-2.624,2.195,-1.196,0.232,NA,NA,NA,NA,0.001,0.007,0.2,0.841,NA,NA,NA,NA,0.371,2.479,0.15,0.881,NA,NA,NA,NA,-0.011,0.008,-1.368,0.171,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","09/28/2015"," 2:24 PM","lasa","b1","female","aehplus",NA,NA,"gait","grip",TRUE,869,6,NA,42,-15903.62,31891.24,32091.469,31958.087,31895.6128813559,"b1_female_aehplus_gait_grip.out"," LASAPhysicalCognitiveDescriptives.dat",-4.299,8.061,-0.533,0.594,-0.015,0.059,-0.254,0.799,0.038,0.34,0.111,0.911,-0.109,1.457,-0.075,0.94,0.089,0.648,0.137,0.891,15.192,4.91,3.094,0.002,0.005,0.041,0.134,0.894,-0.098,0.436,-0.225,0.822,14.145,0.793,17.833,0,15.415,9.976,1.545,0.122,0.146,0.141,1.035,0.301,-0.327,1.159,-0.282,0.778,16.659,3.992,4.173,0,17.664,0.539,32.756,0,-0.41,0.096,-4.289,0,9.176,0.694,13.222,0,0.735,0.114,6.456,0,-0.281,0.525,-0.535,0.592,-0.532,3.202,-0.166,0.868,0.006,0.042,0.137,0.891,-0.012,0.005,-2.347,0.019,NA,NA,NA,NA,0.032,0.007,4.795,0,NA,NA,NA,NA,-0.004,0.005,-0.745,0.457,NA,NA,NA,NA,-0.003,0.009,-0.33,0.741,NA,NA,NA,NA,-0.003,0.003,-0.902,0.367,NA,NA,NA,NA,0.008,0.005,1.58,0.114,NA,NA,NA,NA,-0.047,0.048,-0.979,0.328,NA,NA,NA,NA,0.074,0.07,1.054,0.292,NA,NA,NA,NA,-0.021,0.07,-0.307,0.759,NA,NA,NA,NA,0,0.084,-0.001,0.999,NA,NA,NA,NA,-0.023,0.086,-0.266,0.79,NA,NA,NA,NA,0.085,0.176,0.485,0.628,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","09/28/2015"," 2:25 PM","lasa","b1","female","aehplus",NA,NA,"pek","gait",TRUE,1058,6,NA,41,-27557.646,55197.292,55400.821,55270.599,55200.6817637795,"b1_female_aehplus_pek_gait.out"," LASAPhysicalCognitiveDescriptives.dat",-49.273,17.188,-2.867,0.004,-0.178,0.119,-1.496,0.135,-0.461,0.822,-0.561,0.575,-4.264,2.264,-1.884,0.06,-3.855,5.068,-0.761,0.447,6.479,2.465,2.628,0.009,0.242,0.16,1.511,0.131,0.488,0.522,0.935,0.35,15.002,2.675,5.608,0,4471.717,283.107,15.795,0,1.321,0.736,1.795,0.073,15.403,13.978,1.102,0.27,2128.523,135.023,15.764,0,9.528,0.308,30.974,0,0.777,0.106,7.307,0,303.42,5.318,57.059,0,-5.271,0.548,-9.62,0,-0.289,0.083,-3.47,0.001,-0.316,0.197,-1.604,0.109,-0.022,0.028,-0.777,0.437,0.035,0.006,5.658,0,NA,NA,NA,NA,-0.144,0.03,-4.833,0,NA,NA,NA,NA,-0.006,0.008,-0.758,0.449,NA,NA,NA,NA,-0.086,0.064,-1.345,0.179,NA,NA,NA,NA,0.009,0.004,2.215,0.027,NA,NA,NA,NA,-0.032,0.03,-1.05,0.294,NA,NA,NA,NA,0.057,0.055,1.052,0.293,NA,NA,NA,NA,-0.705,0.471,-1.499,0.134,NA,NA,NA,NA,-0.067,0.079,-0.839,0.402,NA,NA,NA,NA,-0.018,0.513,-0.035,0.972,NA,NA,NA,NA,0.099,0.148,0.67,0.503,NA,NA,NA,NA,-0.316,1.107,-0.285,0.775,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","09/28/2015"," 2:29 PM","lasa","b1","female","aehplus",NA,NA,"pek","grip",TRUE,813,6,NA,41,-17202.254,34486.508,34679.238,34549.038,34490.97492607,"b1_female_aehplus_pek_grip.out"," LASAPhysicalCognitiveDescriptives.dat",82.214,32.782,2.508,0.012,0.011,0.218,0.053,0.958,-0.237,1.935,-0.123,0.902,0.147,3.901,0.038,0.97,5.862,7.309,0.802,0.423,14.67,3.007,4.878,0,0.002,0.023,0.073,0.941,-0.046,0.23,-0.202,0.84,14.323,0.792,18.092,0,5277.6,587.804,8.979,0,8.509,4.02,2.117,0.034,-82.652,43.051,-1.92,0.055,2132.339,187.686,11.361,0,17.824,0.424,42.03,0,-0.432,0.05,-8.643,0,309.628,8.341,37.121,0,-5.404,0.863,-6.263,0,0.295,0.102,2.884,0.004,0.096,1.283,0.075,0.94,0.034,0.042,0.804,0.422,-0.012,0.003,-4.136,0,NA,NA,NA,NA,-0.085,0.049,-1.708,0.088,NA,NA,NA,NA,-0.005,0.005,-0.987,0.324,NA,NA,NA,NA,0.015,0.111,0.131,0.896,NA,NA,NA,NA,-0.002,0.003,-0.671,0.502,NA,NA,NA,NA,0.029,0.05,0.587,0.557,NA,NA,NA,NA,-0.092,0.052,-1.78,0.075,NA,NA,NA,NA,0.082,0.723,0.113,0.91,NA,NA,NA,NA,-0.017,0.045,-0.382,0.702,NA,NA,NA,NA,0.127,0.862,0.147,0.883,NA,NA,NA,NA,-0.033,0.088,-0.379,0.705,NA,NA,NA,NA,-2.737,1.752,-1.562,0.118,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","09/28/2015"," 2:37 PM","lasa","b1","male","aehplus",NA,NA,"gait","grip",TRUE,883,6,NA,42,-14944.695,29973.391,30174.29,30040.907,29977.691,"b1_male_aehplus_gait_grip.out"," LASAPhysicalCognitiveDescriptives.dat",-3.028,3.888,-0.779,0.436,-0.051,0.096,-0.536,0.592,-0.801,0.659,-1.216,0.224,-0.077,0.322,-0.24,0.81,-0.607,0.446,-1.362,0.173,43.252,5.687,7.606,0,0.113,0.056,1.995,0.046,-0.749,0.529,-1.416,0.157,21.684,1.268,17.101,0,1.032,8.119,0.127,0.899,0.228,0.517,0.44,0.66,0.424,0.865,0.491,0.624,11.435,3.095,3.695,0,32.319,0.716,45.151,0,-1.037,0.093,-11.102,0,7.422,1.12,6.625,0,0.782,0.252,3.101,0.002,-0.453,1.356,-0.334,0.738,-0.321,0.319,-1.006,0.314,-0.039,0.029,-1.341,0.18,-0.037,0.005,-8.046,0,NA,NA,NA,NA,0.032,0.01,3.347,0.001,NA,NA,NA,NA,0.013,0.009,1.523,0.128,NA,NA,NA,NA,-0.01,0.007,-1.3,0.194,NA,NA,NA,NA,-0.003,0.004,-0.719,0.472,NA,NA,NA,NA,0.001,0.004,0.291,0.771,NA,NA,NA,NA,-0.077,0.061,-1.259,0.208,NA,NA,NA,NA,0.079,0.055,1.424,0.155,NA,NA,NA,NA,-0.035,0.067,-0.52,0.603,NA,NA,NA,NA,-0.018,0.053,-0.349,0.727,NA,NA,NA,NA,-0.294,0.129,-2.282,0.022,NA,NA,NA,NA,0.218,0.185,1.175,0.24,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","09/28/2015"," 2:40 PM","lasa","b1","male","aehplus",NA,NA,"pek","gait",TRUE,1146,6,NA,41,-27744.192,55570.384,55777.19,55646.961,55573.5035652174,"b1_male_aehplus_pek_gait.out"," LASAPhysicalCognitiveDescriptives.dat",-89.941,32.365,-2.779,0.005,-0.594,0.347,-1.711,0.087,-2.499,2.328,-1.073,0.283,-1.955,2.064,-0.947,0.343,-2.796,6.064,-0.461,0.645,9.907,8.148,1.216,0.224,0.086,0.078,1.106,0.269,0.781,0.459,1.7,0.089,11.807,3.172,3.723,0,9715.358,519.825,18.69,0,15.537,3.483,4.461,0,22.367,34.007,0.658,0.511,2646.854,154.115,17.175,0,8.701,0.22,39.62,0,0.583,0.065,9.04,0,389.664,7.073,55.091,0,-6.788,0.816,-8.314,0,-0.29,0.04,-7.304,0,-0.513,0.099,-5.157,0,-0.016,0.035,-0.452,0.651,0.021,0.003,7.327,0,NA,NA,NA,NA,-0.154,0.042,-3.642,0,NA,NA,NA,NA,-0.011,0.005,-2.411,0.016,NA,NA,NA,NA,-0.065,0.088,-0.739,0.46,NA,NA,NA,NA,0.001,0.003,0.457,0.648,NA,NA,NA,NA,-0.016,0.036,-0.457,0.648,NA,NA,NA,NA,0.042,0.042,0.999,0.318,NA,NA,NA,NA,-1.795,0.615,-2.92,0.003,NA,NA,NA,NA,-0.019,0.041,-0.455,0.649,NA,NA,NA,NA,-1.445,0.687,-2.103,0.035,NA,NA,NA,NA,-0.007,0.091,-0.082,0.935,NA,NA,NA,NA,-1.709,1.476,-1.158,0.247,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","09/28/2015"," 2:45 PM","lasa","b1","male","aehplus",NA,NA,"pek","grip",TRUE,823,6,NA,41,-17333.852,34749.704,34942.935,34812.735,34754.113731114,"b1_male_aehplus_pek_grip.out"," LASAPhysicalCognitiveDescriptives.dat",156.237,35.369,4.417,0,0.306,0.102,2.993,0.003,-1.378,3.011,-0.458,0.647,1.355,1.539,0.881,0.378,-12.073,7.969,-1.515,0.13,40.77,3.446,11.831,0,0.01,0.002,4.816,0,-0.178,0.115,-1.549,0.121,22.01,1.249,17.616,0,11614.501,955.292,12.158,0,29.048,8.412,3.453,0.001,-192.751,74.452,-2.589,0.01,2466.882,173.061,14.254,0,31.867,0.657,48.496,0,-0.93,0.074,-12.492,0,394.296,10.422,37.831,0,-5.706,1.121,-5.089,0,0.227,0.048,4.704,0,0.565,0.097,5.833,0,-0.052,0.034,-1.537,0.124,-0.033,0.004,-7.804,0,NA,NA,NA,NA,-0.036,0.063,-0.579,0.563,NA,NA,NA,NA,0.002,0.008,0.203,0.839,NA,NA,NA,NA,-0.053,0.133,-0.4,0.689,NA,NA,NA,NA,-0.001,0.004,-0.259,0.796,NA,NA,NA,NA,-0.029,0.056,-0.517,0.605,NA,NA,NA,NA,-0.159,0.062,-2.579,0.01,NA,NA,NA,NA,-0.665,0.946,-0.703,0.482,NA,NA,NA,NA,-0.054,0.062,-0.874,0.382,NA,NA,NA,NA,-1.894,1.04,-1.821,0.069,NA,NA,NA,NA,-0.292,0.128,-2.29,0.022,NA,NA,NA,NA,-1.091,2.82,-0.387,0.699,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","09/01/2015","12:28 PM","nuage","b1","female","aehplus",NA,NA,"grip","gait",TRUE,934,4,NA,45,-15587.387,31264.774,31482.55,31339.634,31269.4361621622,"b1_female_aehplus_grip_gait.out"," f:\IALSA\IALSA_retour.dat",-1.754,0.396,-4.432,0,-0.037,0.041,-0.901,0.367,-0.409,0.168,-2.44,0.015,-0.079,0.115,-0.687,0.492,-0.134,0.093,-1.433,0.152,176.11,10.891,16.171,0,2.674,0.883,3.03,0.002,-2.234,2.037,-1.097,0.273,37.887,2.671,14.185,0,0.516,0.087,5.938,0,0.048,0.015,3.22,0.001,0.041,0.025,1.639,0.101,0.275,0.023,11.844,0,60.561,1.122,53.98,0,-2.198,0.284,-7.731,0,3.948,0.06,66.241,0,0.018,0.025,0.718,0.473,-0.184,0.042,-4.427,0,-0.104,0.116,-0.898,0.369,-0.041,0.029,-1.443,0.149,0.016,0.029,0.575,0.565,NA,NA,NA,NA,0.014,0.003,4.549,0,NA,NA,NA,NA,-0.016,0.034,-0.465,0.642,NA,NA,NA,NA,0.002,0.003,0.555,0.579,NA,NA,NA,NA,-0.987,2.011,-0.49,0.624,NA,NA,NA,NA,0.093,0.217,0.426,0.67,NA,NA,NA,NA,0.479,0.247,1.942,0.052,NA,NA,NA,NA,0.012,0.027,0.453,0.65,NA,NA,NA,NA,-0.534,0.309,-1.728,0.084,NA,NA,NA,NA,0.065,0.034,1.907,0.057,NA,NA,NA,NA,-0.473,0.491,-0.962,0.336,NA,NA,NA,NA,0.004,0.033,0.115,0.909,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","09/01/2015","12:23 PM","nuage","b1","female","aehplus",NA,NA,"grip","tug",TRUE,934,4,NA,45,-18531.496,37152.993,37370.769,37227.853,37157.6551621622,"b1_female_aehplus_grip_tug.out"," f:\IALSA\IALSA_retour.dat",-7.368,1.161,-6.345,0,-0.173,0.118,-1.469,0.142,-0.387,0.384,-1.006,0.315,-0.42,0.327,-1.286,0.198,-0.101,0.238,-0.424,0.672,176.038,10.891,16.163,0,2.696,0.885,3.045,0.002,-2.188,2.035,-1.075,0.282,37.912,2.674,14.177,0,4.18,0.663,6.305,0,0.164,0.063,2.631,0.009,0.286,0.185,1.549,0.121,1.779,0.204,8.734,0,60.567,1.122,53.98,0,-2.2,0.285,-7.73,0,9.75,0.168,57.934,0,0.113,0.056,2.008,0.045,-0.272,0.042,-6.523,0,-0.26,0.17,-1.525,0.127,-0.012,0.029,-0.425,0.671,0.014,0.029,0.494,0.621,NA,NA,NA,NA,0.039,0.007,5.608,0,NA,NA,NA,NA,-0.015,0.034,-0.432,0.666,NA,NA,NA,NA,0.008,0.007,1.102,0.27,NA,NA,NA,NA,-0.994,2.009,-0.495,0.621,NA,NA,NA,NA,0.357,0.485,0.737,0.461,NA,NA,NA,NA,0.485,0.246,1.969,0.049,NA,NA,NA,NA,-0.03,0.056,-0.549,0.583,NA,NA,NA,NA,-0.511,0.309,-1.656,0.098,NA,NA,NA,NA,0.117,0.081,1.445,0.148,NA,NA,NA,NA,-0.481,0.49,-0.981,0.326,NA,NA,NA,NA,0.098,0.1,0.985,0.325,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","09/01/2015","12:27 PM","nuage","b1","male","aehplus",NA,NA,"grip","gait",TRUE,847,4,NA,45,-14808.451,29706.903,29920.279,29777.373,29712.0715393258,"b1_male_aehplus_grip_gait.out"," f:\IALSA\IALSA_retour.dat",-1.868,0.727,-2.571,0.01,-0.069,0.043,-1.601,0.109,-0.687,0.452,-1.519,0.129,-0.166,0.145,-1.146,0.252,-0.23,0.099,-2.328,0.02,201.08,13.545,14.845,0,1.842,0.882,2.088,0.037,-2.497,2.298,-1.087,0.277,36.179,2.491,14.525,0,0.433,0.223,1.941,0.052,0.043,0.071,0.599,0.549,0.131,0.078,1.677,0.094,0.524,0.208,2.516,0.012,80.722,1.368,58.986,0,-2.336,0.291,-8.03,0,3.824,0.083,46.037,0,-0.037,0.027,-1.355,0.175,-0.2,0.056,-3.567,0,-0.245,0.283,-0.867,0.386,-0.053,0.025,-2.092,0.036,-0.028,0.028,-0.998,0.318,NA,NA,NA,NA,0.018,0.005,3.365,0.001,NA,NA,NA,NA,-0.001,0.024,-0.043,0.965,NA,NA,NA,NA,0,0.003,0.129,0.898,NA,NA,NA,NA,-0.541,1.655,-0.327,0.744,NA,NA,NA,NA,-0.016,0.17,-0.095,0.924,NA,NA,NA,NA,-0.132,0.249,-0.532,0.595,NA,NA,NA,NA,0.061,0.026,2.338,0.019,NA,NA,NA,NA,0.025,0.252,0.099,0.921,NA,NA,NA,NA,-0.002,0.03,-0.056,0.956,NA,NA,NA,NA,-0.354,0.389,-0.909,0.363,NA,NA,NA,NA,-0.028,0.038,-0.744,0.457,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 5.1","0.1","09/01/2015","12:24 PM","nuage","b1","male","aehplus",NA,NA,"grip","tug",TRUE,847,4,NA,45,-16992.737,34075.474,34288.851,34145.945,34080.6425393258,"b1_male_aehplus_grip_tug.out"," f:\IALSA\IALSA_retour.dat",-5.71,1.35,-4.23,0,-0.203,0.105,-1.925,0.054,-1.208,0.434,-2.785,0.005,-0.158,0.255,-0.619,0.536,-0.359,0.196,-1.833,0.067,201.231,13.568,14.831,0,1.811,0.883,2.052,0.04,-2.52,2.289,-1.101,0.271,36.201,2.492,14.524,0,2.567,0.648,3.959,0,0.4,0.274,1.461,0.144,0.632,0.349,1.808,0.071,2.011,0.649,3.099,0.002,80.732,1.369,58.959,0,-2.35,0.29,-8.09,0,9.687,0.189,51.3,0,0.098,0.057,1.703,0.089,-0.251,0.049,-5.127,0,-0.238,0.119,-1.997,0.046,-0.042,0.022,-1.944,0.052,-0.028,0.028,-0.995,0.32,NA,NA,NA,NA,0.048,0.012,3.887,0,NA,NA,NA,NA,-0.001,0.024,-0.036,0.972,NA,NA,NA,NA,-0.001,0.008,-0.189,0.85,NA,NA,NA,NA,-0.567,1.653,-0.343,0.731,NA,NA,NA,NA,0.499,0.479,1.041,0.298,NA,NA,NA,NA,-0.123,0.249,-0.495,0.621,NA,NA,NA,NA,0.086,0.065,1.326,0.185,NA,NA,NA,NA,0.034,0.252,0.137,0.891,NA,NA,NA,NA,-0.157,0.077,-2.049,0.04,NA,NA,NA,NA,-0.344,0.388,-0.885,0.376,NA,NA,NA,NA,0.178,0.174,1.022,0.307,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","10/16/2015"," 2:13 PM","octo","b1","female","aehplus",NA,NA,"gait","grip",TRUE,270,5,NA,41,-4127.848,8337.696,8485.231,8355.233,8352.80126315789,"b1_female_aehplus_gait_grip.out"," octomult_151015.dat",-2.079,0.549,-3.79,0,-0.006,0.028,-0.202,0.84,-0.341,0.316,-1.079,0.28,0.128,0.058,2.204,0.028,-0.171,0.183,-0.935,0.35,3.195,0.434,7.359,0,0.018,0.009,2.05,0.04,-0.037,0.042,-0.882,0.378,1.264,0.123,10.255,0,12.367,4.3,2.876,0.004,0.964,1.766,0.546,0.585,3.178,3.706,0.858,0.391,11.25,2.682,4.194,0,9.179,0.246,37.241,0,-0.332,0.039,-8.421,0,10.286,0.473,21.753,0,0.534,0.291,1.834,0.067,-0.331,0.067,-4.919,0,-0.043,0.24,-0.181,0.856,-0.045,0.047,-0.967,0.334,-0.004,0.007,-0.473,0.636,NA,NA,NA,NA,-0.005,0.042,-0.118,0.906,NA,NA,NA,NA,-0.009,0.01,-0.856,0.392,NA,NA,NA,NA,-0.031,0.044,-0.705,0.481,NA,NA,NA,NA,-0.002,0.003,-0.738,0.46,NA,NA,NA,NA,0.009,0.02,0.434,0.664,NA,NA,NA,NA,0.011,0.046,0.236,0.814,NA,NA,NA,NA,0.07,0.172,0.409,0.683,NA,NA,NA,NA,0,0.037,0.003,0.998,NA,NA,NA,NA,-0.18,0.205,-0.877,0.38,NA,NA,NA,NA,-0.05,0.106,-0.475,0.635,NA,NA,NA,NA,1.086,0.843,1.287,0.198,NA,NA,NA,NA,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","10/16/2015"," 2:15 PM","octo","b1","female","aehplus",NA,NA,"pek","gait",TRUE,263,5,NA,41,-6297.043,12676.086,12822.545,12692.555,12691.6697104072,"b1_female_aehplus_pek_gait.out"," octomult_151015.dat",-79.933,19.184,-4.167,0,-3.79,12.861,-0.295,0.768,-6.594,29.942,-0.22,0.826,-12.074,9.066,-1.332,0.183,-3.431,10.651,-0.322,0.747,12.113,3.724,3.253,0.001,1.067,2.127,0.502,0.616,3.301,3.87,0.853,0.394,11.121,2.691,4.132,0,4215.378,488.818,8.624,0,39.57,68.786,0.575,0.565,-126.123,106.814,-1.181,0.238,2105.132,197.623,10.652,0,10.305,0.471,21.874,0,0.54,0.319,1.692,0.091,327.168,8.629,37.914,0,-7.538,2.187,-3.446,0.001,-0.354,0.084,-4.209,0,-0.583,0.909,-0.642,0.521,-0.022,0.07,-0.318,0.75,-0.007,0.043,-0.172,0.864,NA,NA,NA,NA,0.82,0.456,1.799,0.072,NA,NA,NA,NA,-0.03,0.052,-0.582,0.561,NA,NA,NA,NA,-0.159,0.572,-0.277,0.782,NA,NA,NA,NA,0.011,0.024,0.45,0.652,NA,NA,NA,NA,-0.252,0.231,-1.09,0.276,NA,NA,NA,NA,0.078,0.186,0.421,0.674,NA,NA,NA,NA,-3.868,2.364,-1.636,0.102,NA,NA,NA,NA,-0.191,0.226,-0.847,0.397,NA,NA,NA,NA,-2.27,2.077,-1.093,0.274,NA,NA,NA,NA,1.013,0.892,1.135,0.256,NA,NA,NA,NA,1.14,6.35,0.18,0.858,NA,NA,NA,NA,TRUE,NA,TRUE,0
