"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval"
"Mplus VERSION 7.2","0.1","06/11/2015"," 1:07 AM","elsa","b1","female","aeh","pulmonary","memory","fvc","delayedrecall",TRUE,2795,6,NA,49,-16333.873,32765.746,33056.59,32900.901,32767.5310637523,"b1_female_aeh_pulmonary_memory_fvc_delayedrecall.out"," ELSA_Portland_New.dat",0.02,0.04,0.621,0,0.001,0.99,0.004,0.005,0.444,0.006,0.006,0.35,0.004,0.016,0.788,0.178,0.048,0,0,0.001,0.929,0,0.007,0.945,0.222,0.025,0,1.408,0.174,0,0.003,0.004,0.435,-0.002,0.023,0.917,1.874,0.076,0,-3.72,0.347,0,0.057,0.053,0.282,1.632,1.013,0.107,-0.239,0.156,0.127
"Mplus VERSION 7.2","0.1","06/11/2015"," 8:31 AM","elsa","b1","female","aeh","pulmonary","memory","fvc","immediaterecall",TRUE,2795,6,NA,49,-15624.531,31347.062,31637.906,31482.216,31348.8470637523,"b1_female_aeh_pulmonary_memory_fvc_immediaterecall.out"," ELSA_Portland_New.dat",0.009,0.035,0.786,0,0.001,0.97,0.009,0.005,0.061,0.004,0.005,0.439,-0.009,0.015,0.563,0.177,0.048,0,0,0.001,0.933,0,0.007,0.957,0.221,0.025,0,0.817,0.167,0,0.003,0.004,0.454,-0.006,0.023,0.806,1.658,0.076,0,-3.725,0.346,0,0.062,0.053,0.239,4.75,0.885,0,-0.232,0.139,0.096
"Mplus VERSION 7.2","0.1","06/11/2015","11:54 AM","elsa","b1","female","aehplus","muscle","memory","grip","delayedrecall",TRUE,2782,6,NA,61,-27658.355,55438.71,55800.496,55606.679,55441.4908823529,"b1_female_aehplus_muscle_memory_grip_delayedrecall.out"," ELSA_Portland_New.dat",0.708,0.274,0.01,0,0.005,0.946,-0.023,0.039,0.547,0.041,0.035,0.235,0.199,0.109,0.067,18.599,1.312,0,0.029,0.022,0.181,-0.193,0.143,0.175,8.379,0.517,0,1.287,0.174,0,0.001,0.004,0.821,0.011,0.023,0.625,1.905,0.079,0,-17.907,2.912,0,0.17,0.352,0.629,1.527,1.011,0.131,-0.225,0.156,0.151
"Mplus VERSION 7.2","0.1","06/11/2015"," 1:25 PM","elsa","b1","female","aehplus","muscle","memory","grip","immediaterecall",TRUE,2782,6,NA,61,-26968.325,54058.651,54420.437,54226.62,54061.4318823529,"b1_female_aehplus_muscle_memory_grip_immediaterecall.out"," ELSA_Portland_New.dat",0.342,0.253,0.177,-0.001,0.005,0.806,0.051,0.036,0.151,0.024,0.031,0.442,0.125,0.109,0.25,18.603,1.31,0,0.029,0.022,0.182,-0.19,0.142,0.181,8.371,0.516,0,0.701,0.167,0,0,0.004,0.893,0.008,0.023,0.711,1.696,0.079,0,-17.993,2.911,0,0.217,0.352,0.538,4.99,0.882,0,-0.262,0.14,0.06
"Mplus VERSION 7.2","0.1","06/10/2015","11:35 PM","elsa","b1","female","aehplus","pulmonary","memory","fev","delayedrecall",TRUE,2782,6,NA,61,-14679.694,29481.389,29843.175,29649.358,29484.1698823529,"b1_female_aehplus_pulmonary_memory_fev_delayedrecall.out"," ELSA_Portland_New.dat",0.004,0.029,0.894,0,0.001,0.976,0.004,0.004,0.362,0.004,0.004,0.334,-0.001,0.012,0.935,0.149,0.021,0,0,0,0.814,-0.001,0.003,0.636,0.1,0.012,0,1.375,0.173,0,0.003,0.004,0.403,-0.002,0.023,0.917,1.871,0.076,0,-3.01,0.3,0,0.084,0.041,0.044,1.509,1.011,0.135,-0.218,0.156,0.163
"Mplus VERSION 7.2","0.1","06/10/2015","11:53 PM","elsa","b1","female","aehplus","pulmonary","memory","fev","immediaterecall",TRUE,2782,6,NA,61,-13981.093,28084.187,28445.973,28252.156,28086.9678823529,"b1_female_aehplus_pulmonary_memory_fev_immediaterecall.out"," ELSA_Portland_New.dat",-0.001,0.026,0.955,0,0.001,0.829,0.007,0.004,0.06,0.003,0.003,0.356,0.001,0.011,0.912,0.149,0.021,0,0,0,0.811,-0.001,0.003,0.639,0.1,0.012,0,0.795,0.167,0,0.003,0.004,0.416,-0.006,0.023,0.797,1.659,0.076,0,-3.013,0.299,0,0.087,0.041,0.034,4.943,0.882,0,-0.246,0.14,0.079
"Mplus VERSION 7.2","0.1","06/11/2015"," 1:12 AM","elsa","b1","female","aehplus","pulmonary","memory","fvc","delayedrecall",TRUE,2782,6,NA,61,-16224.654,32571.308,32933.094,32739.277,32574.0888823529,"b1_female_aehplus_pulmonary_memory_fvc_delayedrecall.out"," ELSA_Portland_New.dat",0.009,0.039,0.817,0,0.001,0.993,0.004,0.005,0.426,0.006,0.006,0.325,0.004,0.016,0.801,0.172,0.047,0,0,0.001,0.928,0,0.007,0.967,0.221,0.025,0,1.368,0.173,0,0.003,0.004,0.433,-0.001,0.023,0.957,1.873,0.076,0,-3.695,0.348,0,0.053,0.054,0.324,1.506,1.011,0.136,-0.217,0.156,0.164
"Mplus VERSION 7.2","0.1","06/11/2015"," 8:36 AM","elsa","b1","female","aehplus","pulmonary","memory","fvc","immediaterecall",TRUE,2782,6,NA,61,-15523.186,31168.372,31530.159,31336.341,31171.1528823529,"b1_female_aehplus_pulmonary_memory_fvc_immediaterecall.out"," ELSA_Portland_New.dat",0.003,0.034,0.922,0,0.001,0.951,0.009,0.005,0.051,0.004,0.005,0.442,-0.009,0.015,0.548,0.171,0.047,0,0,0.001,0.933,0,0.007,0.981,0.221,0.025,0,0.787,0.167,0,0.003,0.004,0.454,-0.004,0.023,0.849,1.66,0.076,0,-3.7,0.347,0,0.058,0.053,0.276,4.934,0.881,0,-0.244,0.139,0.081
"Mplus VERSION 7.2","0.1","06/11/2015","11:57 AM","elsa","b1","female","age","muscle","memory","grip","delayedrecall",TRUE,6117,6,NA,21,-34728.912,69499.823,69640.918,69574.186,69499.9745996719,"b1_female_age_muscle_memory_grip_delayedrecall.out"," ELSA_Portland_New.dat",1.446,0.295,0,0.001,0.005,0.916,-0.024,0.042,0.572,0.007,0.035,0.845,0.152,0.1,0.13,22.464,1.351,0,0.038,0.021,0.065,-0.326,0.143,0.023,8.241,0.459,0,1.775,0.181,0,0.004,0.004,0.327,-0.006,0.024,0.81,1.93,0.073,0,16.683,0.198,0,-0.463,0.031,0,3.179,0.08,0,-0.108,0.013,0
"Mplus VERSION 7.2","0.1","06/11/2015"," 1:50 PM","elsa","b1","female","age","muscle","memory","grip","immediaterecall",TRUE,6117,6,NA,21,-33781.478,67604.956,67746.052,67679.319,67605.1075996719,"b1_female_age_muscle_memory_grip_immediaterecall.out"," ELSA_Portland_New.dat",0.909,0.267,0.001,0,0.005,0.923,0.059,0.037,0.117,0.004,0.031,0.903,0.106,0.102,0.299,22.371,1.348,0,0.036,0.021,0.084,-0.309,0.143,0.031,8.271,0.461,0,0.89,0.146,0,0,0.003,0.888,0.017,0.019,0.361,1.712,0.068,0,16.679,0.198,0,-0.462,0.031,0,4.836,0.073,0,-0.098,0.013,0
"Mplus VERSION 7.2","0.1","06/10/2015","11:26 PM","elsa","b1","female","age","pulmonary","memory","fev","delayedrecall",TRUE,6117,6,NA,21,-18999.371,38040.742,38181.837,38115.105,38040.8935996719,"b1_female_age_pulmonary_memory_fev_delayedrecall.out"," ELSA_Portland_New.dat",0.065,0.032,0.045,0,0.001,0.946,0.005,0.004,0.286,0.003,0.004,0.464,0.006,0.012,0.636,0.206,0.023,0,0,0,0.774,-0.002,0.003,0.42,0.099,0.011,0,1.754,0.181,0,0.003,0.004,0.429,-0.001,0.024,0.95,1.937,0.073,0,1.427,0.021,0,-0.025,0.003,0,3.175,0.08,0,-0.107,0.013,0
"Mplus VERSION 7.2","0.1","06/10/2015","11:58 PM","elsa","b1","female","age","pulmonary","memory","fev","immediaterecall",TRUE,6117,6,NA,21,-18049.887,36141.773,36282.869,36216.136,36141.9245996719,"b1_female_age_pulmonary_memory_fev_immediaterecall.out"," ELSA_Portland_New.dat",0.035,0.028,0.208,0,0,0.749,0.01,0.004,0.017,0.003,0.003,0.42,0.006,0.011,0.607,0.206,0.023,0,0,0,0.761,-0.002,0.003,0.414,0.099,0.011,0,1.009,0.166,0,0.003,0.004,0.338,-0.001,0.022,0.975,1.668,0.071,0,1.427,0.021,0,-0.026,0.003,0,4.828,0.073,0,-0.095,0.013,0
"Mplus VERSION 7.2","0.1","06/11/2015"," 1:16 AM","elsa","b1","female","age","pulmonary","memory","fvc","delayedrecall",TRUE,6117,6,NA,21,-20740.038,41522.076,41663.171,41596.439,41522.2275996719,"b1_female_age_pulmonary_memory_fvc_delayedrecall.out"," ELSA_Portland_New.dat",0.089,0.042,0.034,0,0.001,0.971,0.005,0.006,0.324,0.005,0.006,0.394,0.013,0.015,0.398,0.247,0.047,0,0,0.001,0.895,-0.002,0.006,0.75,0.216,0.023,0,1.748,0.181,0,0.003,0.004,0.458,0,0.024,0.99,1.938,0.073,0,2.026,0.029,0,-0.035,0.005,0,3.179,0.08,0,-0.108,0.013,0
"Mplus VERSION 7.2","0.1","06/11/2015"," 8:43 AM","elsa","b1","female","age","pulmonary","memory","fvc","immediaterecall",TRUE,6117,6,NA,21,-19788.361,39618.723,39759.818,39693.086,39618.8745996719,"b1_female_age_pulmonary_memory_fvc_immediaterecall.out"," ELSA_Portland_New.dat",0.047,0.036,0.183,0,0.001,0.967,0.012,0.005,0.015,0.005,0.005,0.342,-0.001,0.014,0.957,0.247,0.047,0,0,0.001,0.888,-0.002,0.006,0.753,0.215,0.023,0,1.003,0.165,0,0.003,0.004,0.372,0.001,0.022,0.965,1.667,0.071,0,2.028,0.029,0,-0.036,0.005,0,4.834,0.073,0,-0.098,0.013,0
"Mplus VERSION 7.2","0.1","06/11/2015","12:02 PM","elsa","b1","female","empty","muscle","memory","grip","delayedrecall",TRUE,3811,6,NA,17,-35728.446,71490.893,71597.069,71543.051,71491.054349855,"b1_female_empty_muscle_memory_grip_delayedrecall.out"," ELSA_Portland_New.dat",4.18,0.347,0,0.001,0.005,0.828,0.058,0.048,0.224,0.029,0.039,0.452,0.225,0.105,0.032,NA,NA,NA,NA,NA,NA,-0.248,0.156,0.112,8.401,0.473,0,NA,NA,NA,NA,NA,NA,0.018,0.025,0.47,1.962,0.075,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.2","0.1","06/11/2015"," 1:57 PM","elsa","b1","female","empty","muscle","memory","grip","immediaterecall",TRUE,3810,6,NA,17,-34715.093,69464.187,69570.358,69516.34,69464.3483924051,"b1_female_empty_muscle_memory_grip_immediaterecall.out"," ELSA_Portland_New.dat",2.968,0.312,0,0,0.005,0.947,0.133,0.043,0.002,0.02,0.033,0.538,0.168,0.104,0.108,NA,NA,NA,NA,NA,NA,-0.236,0.155,0.128,8.421,0.474,0,NA,NA,NA,NA,NA,NA,0.028,0.023,0.226,1.718,0.074,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.2","0.1","06/10/2015","11:19 PM","elsa","b1","female","empty","pulmonary","memory","fev","delayedrecall",TRUE,3811,6,NA,17,-19982.491,39998.982,40105.158,40051.14,39999.143349855,"b1_female_empty_pulmonary_memory_fev_delayedrecall.out"," ELSA_Portland_New.dat",0.35,0.039,0,0,0.001,0.823,0.016,0.005,0.002,-0.001,0.005,0.877,0.008,0.013,0.503,NA,NA,NA,NA,NA,NA,-0.003,0.003,0.237,0.099,0.011,0,NA,NA,NA,NA,NA,NA,0.021,0.025,0.398,1.968,0.076,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.2","0.1","06/11/2015","12:05 AM","elsa","b1","female","empty","pulmonary","memory","fev","immediaterecall",TRUE,3809,6,NA,17,-18962.893,37959.786,38065.953,38011.935,37959.9474349776,"b1_female_empty_pulmonary_memory_fev_immediaterecall.out"," ELSA_Portland_New.dat",0.247,0.034,0,0,0.001,0.615,0.02,0.005,0,0,0.004,0.947,0.008,0.012,0.471,NA,NA,NA,NA,NA,NA,-0.003,0.003,0.233,0.099,0.011,0,NA,NA,NA,NA,NA,NA,0.013,0.023,0.581,1.689,0.073,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.2","0.1","06/11/2015"," 1:30 AM","elsa","b1","female","empty","pulmonary","memory","fvc","delayedrecall",TRUE,3811,6,NA,17,-21731.122,43496.243,43602.419,43548.401,43496.404349855,"b1_female_empty_pulmonary_memory_fvc_delayedrecall.out"," ELSA_Portland_New.dat",0.424,0.051,0,0,0.001,0.93,0.017,0.006,0.008,0.003,0.007,0.679,0.022,0.016,0.167,NA,NA,NA,NA,NA,NA,-0.003,0.007,0.679,0.219,0.024,0,NA,NA,NA,NA,NA,NA,0.022,0.024,0.364,1.963,0.076,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.2","0.1","06/11/2015"," 8:51 AM","elsa","b1","female","empty","pulmonary","memory","fvc","immediaterecall",TRUE,3809,6,NA,17,-20712.285,41458.57,41564.737,41510.719,41458.7314349776,"b1_female_empty_pulmonary_memory_fvc_immediaterecall.out"," ELSA_Portland_New.dat",0.294,0.042,0,0,0.001,0.903,0.023,0.005,0,0.004,0.006,0.527,0.007,0.014,0.622,NA,NA,NA,NA,NA,NA,-0.003,0.007,0.695,0.219,0.024,0,NA,NA,NA,NA,NA,NA,0.015,0.023,0.513,1.681,0.072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.2","0.1","06/11/2015","12:07 PM","elsa","b1","male","ae","muscle","memory","grip","delayedrecall",TRUE,5123,6,NA,45,-29899.079,59888.158,60182.526,60039.531,59888.9734421903,"b1_male_ae_muscle_memory_grip_delayedrecall.out"," ELSA_Portland_New.dat",0.888,0.475,0.061,-0.002,0.009,0.811,0.1,0.065,0.126,0.02,0.06,0.739,0.052,0.157,0.739,42.862,4.117,0,0.037,0.07,0.599,-0.337,0.491,0.493,19.755,1.518,0,1.331,0.179,0,0.004,0.004,0.332,-0.007,0.024,0.761,1.801,0.077,0,30.222,0.692,0,-0.849,0.082,0,3.443,0.17,0,-0.103,0.024,0
"Mplus VERSION 7.2","0.1","06/11/2015"," 2:36 PM","elsa","b1","male","ae","muscle","memory","grip","immediaterecall",TRUE,5123,6,NA,45,-29148.151,58386.302,58680.669,58537.674,58387.1174421903,"b1_male_ae_muscle_memory_grip_immediaterecall.out"," ELSA_Portland_New.dat",0.744,0.443,0.093,0,0.008,0.982,0.103,0.062,0.095,0.014,0.053,0.792,0.082,0.149,0.579,42.963,4.118,0,0.04,0.07,0.567,-0.349,0.492,0.479,19.697,1.51,0,0.961,0.161,0,0.005,0.003,0.148,-0.019,0.022,0.382,1.471,0.069,0,30.231,0.692,0,-0.853,0.082,0,5.25,0.142,0,-0.122,0.022,0
"Mplus VERSION 7.2","0.1","06/10/2015","11:12 PM","elsa","b1","male","ae","pulmonary","memory","fev","delayedrecall",TRUE,5123,6,NA,45,-16721.176,33532.353,33826.72,33683.725,33533.1684421903,"b1_male_ae_pulmonary_memory_fev_delayedrecall.out"," ELSA_Portland_New.dat",0.001,0.051,0.989,0,0.001,0.924,0.015,0.007,0.018,0.002,0.007,0.795,0.002,0.018,0.919,0.388,0.047,0,0.001,0.001,0.431,-0.006,0.006,0.317,0.212,0.023,0,1.356,0.18,0,0.004,0.004,0.258,-0.012,0.024,0.627,1.795,0.077,0,2.357,0.067,0,-0.063,0.009,0,3.441,0.17,0,-0.103,0.024,0
"Mplus VERSION 7.2","0.1","06/11/2015","12:10 AM","elsa","b1","male","ae","pulmonary","memory","fev","immediaterecall",TRUE,5123,6,NA,45,-15976.711,32043.423,32337.79,32194.795,32044.2384421903,"b1_male_ae_pulmonary_memory_fev_immediaterecall.out"," ELSA_Portland_New.dat",0.014,0.043,0.75,-0.001,0.001,0.353,0.015,0.006,0.01,0.002,0.006,0.755,0.01,0.017,0.539,0.379,0.047,0,0.001,0.001,0.588,-0.005,0.006,0.437,0.215,0.024,0,0.919,0.161,0,0.004,0.003,0.267,-0.012,0.021,0.562,1.489,0.07,0,2.357,0.067,0,-0.063,0.009,0,5.247,0.142,0,-0.121,0.022,0
"Mplus VERSION 7.2","0.1","06/11/2015"," 1:34 AM","elsa","b1","male","ae","pulmonary","memory","fvc","delayedrecall",TRUE,5123,6,NA,45,-17872.721,35835.441,36129.808,35986.813,35836.2564421903,"b1_male_ae_pulmonary_memory_fvc_delayedrecall.out"," ELSA_Portland_New.dat",0.022,0.061,0.719,0,0.001,0.936,0.017,0.008,0.035,0.002,0.009,0.815,0.007,0.021,0.73,0.46,0.079,0,0,0.002,0.801,0,0.011,0.963,0.374,0.038,0,1.331,0.179,0,0.004,0.004,0.337,-0.007,0.024,0.767,1.801,0.077,0,3.225,0.085,0,-0.054,0.011,0,3.439,0.17,0,-0.102,0.024,0
"Mplus VERSION 7.2","0.1","06/11/2015"," 8:56 AM","elsa","b1","male","ae","pulmonary","memory","fvc","immediaterecall",TRUE,5123,6,NA,45,-17126.491,34342.983,34637.35,34494.355,34343.7984421903,"b1_male_ae_pulmonary_memory_fvc_immediaterecall.out"," ELSA_Portland_New.dat",0.083,0.057,0.144,0,0.001,0.892,0.012,0.008,0.132,-0.003,0.009,0.761,0.002,0.022,0.911,0.464,0.079,0,0.001,0.002,0.769,-0.001,0.011,0.924,0.374,0.038,0,0.956,0.161,0,0.005,0.003,0.164,-0.018,0.022,0.403,1.474,0.069,0,3.226,0.085,0,-0.054,0.012,0,5.244,0.142,0,-0.12,0.022,0
"Mplus VERSION 7.2","0.1","06/11/2015","12:14 PM","elsa","b1","male","aeh","muscle","memory","grip","delayedrecall",TRUE,2269,6,NA,49,-23977.7,48053.401,48334.028,48178.347,48055.6092018927,"b1_male_aeh_muscle_memory_grip_delayedrecall.out"," ELSA_Portland_New.dat",0.359,0.456,0.431,-0.003,0.009,0.701,0.089,0.065,0.168,0.064,0.058,0.275,0.062,0.166,0.709,37.126,3.628,0,0.038,0.065,0.557,-0.356,0.446,0.424,18.924,1.399,0,1.277,0.184,0,0.004,0.004,0.321,-0.003,0.025,0.894,1.801,0.082,0,-19.119,4.659,0,-1.485,0.586,0.011,1.411,1.204,0.241,-0.258,0.173,0.136
