domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
Attention & Working Memory,satsa,b1,male,aehplus,grip,Digit Span Forward,299," .92( .62), $p$=.14  "," .19( .12), $p$=.12  ","(-.05, .43)"," .19( .08, .30)"," .00( .00), $p$=.61  "," .40( .77), $p$=.60  ","(-1.11,1.92)",---," .17( .25), $p$=.49  "," .04( .05), $p$=.49  ","(-.06, .13)"," .04(-.07, .15)"
Attention & Working Memory,eas,b1,female,aehplus,grip,Digit Span Total,363,"-.45(2.25), $p$=.84  ","-.03( .15), $p$=.84  ","(-.32, .26)","-.03(-.13, .07)"," .46( .17), $p$=.01 **"," .83( .27), $p$<.01 **","( .31,1.35)"," .83( .79, .86)","-.12( .30), $p$=.69  ","-.03( .08), $p$=.69  ","(-.19, .13)","-.03(-.13, .07)"
Attention & Working Memory,eas,b1,male,aehplus,grip,Digit Span Total,222," .85(4.79), $p$=.86  "," .04( .25), $p$=.86  ","(-.45, .53)"," .04(-.09, .18)"," .10( .33), $p$=.75  "," .28( .90), $p$=.75  ","(-1.48,2.05)"," .28( .15, .40)"," .14( .77), $p$=.86  "," .02( .11), $p$=.86  ","(-.20, .24)"," .02(-.11, .15)"
Attention & Working Memory,hrs,b1,female,aehplus,grip,Serial 7s,4604," .13( .13), $p$=.32  "," .03( .03), $p$=.32  ","(-.03, .08)"," .03(-.00, .06)"," .01( .00), $p$<.01 ***"," .45( .13), $p$<.01 ***","( .20, .70)"," .47( .44, .49)","-.08( .06), $p$=.18  ","-.03( .02), $p$=.18  ","(-.07, .01)","-.03(-.06, .00)"
Attention & Working Memory,hrs,b1,male,aehplus,grip,Serial 7s,3288," .82( .21), $p$<.01 ***"," .15( .04), $p$<.01 ***","( .08, .23)"," .16( .12, .19)"," .02( .01), $p$<.01 **"," .30( .11), $p$=.01 **","( .08, .52)"," .31( .28, .34)","-.17( .12), $p$=.17  ","-.04( .03), $p$=.17  ","(-.09, .01)","-.04(-.07,-.00)"
Attention & Working Memory,eas,b1,female,aehplus,grip,Trials B,362,"-25.61(42.55), $p$=.55  ","-.10( .18), $p$=.55  ","(-.45, .24)","-.10(-.21,-.00)","8.76(4.43), $p$=.05 *"," .82( .34), $p$=.02 *","( .15,1.48)"," .82( .78, .85)","13.85(8.16), $p$=.09 ."," .15( .08), $p$=.08 .","(-.02, .31)"," .15( .04, .25)"
Attention & Working Memory,eas,b1,male,aehplus,grip,Trials B,221,"65.59(99.53), $p$=.51  "," .23( .33), $p$=.49  ","(-.43, .88)"," .23( .10, .35)","-2.80(5.96), $p$=.64  ","-.37( .81), $p$=.65  ","(-1.95,1.21)","-.37(-.48,-.25)","-4.35(23.71), $p$=.85  ","-.03( .16), $p$=.85  ","(-.33, .28)","-.03(-.16, .10)"
Learning & Memory,map,b1,female,aehplus,grip,Boston Story Delayed,935," .32( .64), $p$=.61  "," .03( .06), $p$=.61  ","(-.08, .14)"," .03(-.04, .09)"," .06( .06), $p$=.31  "," .26( .26), $p$=.32  ","(-.25, .77)"," .26( .20, .32)","-.08( .20), $p$=.68  ","-.01( .03), $p$=.68  ","(-.07, .04)","-.01(-.08, .05)"
Learning & Memory,map,b1,male,aehplus,grip,Boston Story Delayed,321,"1.82(1.79), $p$=.31  "," .10( .09), $p$=.30  ","(-.09, .28)"," .09(-.01, .20)","-.08( .13), $p$=.50  ","-.55( .51), $p$=.28  ","(-1.54, .44)","-.56(-.63,-.48)"," .41( .43), $p$=.34  "," .04( .05), $p$=.34  ","(-.05, .13)"," .04(-.07, .15)"
Learning & Memory,map,b1,female,aehplus,grip,Boston Story Immediate,935,"-.14( .54), $p$=.80  ","-.01( .06), $p$=.80  ","(-.13, .10)","-.01(-.08, .05)"," .02( .05), $p$=.69  "," .11( .28), $p$=.69  ","(-.44, .66)"," .11( .05, .17)","-.08( .18), $p$=.66  ","-.01( .03), $p$=.66  ","(-.07, .04)","-.01(-.08, .05)"
Learning & Memory,map,b1,male,aehplus,grip,Boston Story Immediate,321,"2.15(1.55), $p$=.17  "," .14( .10), $p$=.16  ","(-.06, .34)"," .14( .03, .25)","-.00( .10), $p$=.96  ","-.03( .64), $p$=.96  ","(-1.28,1.22)","-.03(-.14, .08)"," .07( .37), $p$=.85  "," .01( .04), $p$=.85  ","(-.08, .09)"," .01(-.10, .12)"
Learning & Memory,satsa,b1,female,aehplus,grip,Figure Memory,409," .30(1.20), $p$=.80  "," .02( .10), $p$=.80  ","(-.17, .21)"," .02(-.07, .12)"," .00( .01), $p$=.77  "," .12( .41), $p$=.76  ","(-.67, .92)"," .12( .02, .21)","1.60( .53), $p$<.01 **"," .13( .04), $p$<.01 **","( .05, .22)"," .13( .03, .22)"
Learning & Memory,satsa,b1,male,aehplus,grip,Figure Memory,299,"4.79(2.55), $p$=.06 ."," .24( .12), $p$=.04 *","( .01, .46)"," .24( .13, .34)"," .01( .01), $p$=.39  "," .50( .50), $p$=.32  ","(-.49,1.49)"," .50( .41, .58)","1.91( .81), $p$=.02 *"," .12( .05), $p$=.02 *","( .02, .21)"," .12( .00, .23)"
Learning & Memory,map,b1,female,aehplus,grip,Logical Memory Delayed,935," .14(1.40), $p$=.92  "," .00( .04), $p$=.92  ","(-.08, .09)"," .00(-.06, .07)"," .11( .10), $p$=.30  "," .21( .20), $p$=.28  ","(-.17, .60)"," .21( .15, .27)"," .50( .31), $p$=.10  "," .05( .03), $p$=.10  ","(-.01, .10)"," .05(-.02, .11)"
Learning & Memory,map,b1,male,aehplus,grip,Logical Memory Delayed,321,"-2.80(4.09), $p$=.49  ","-.06( .08), $p$=.49  ","(-.22, .11)","-.06(-.17, .05)","-.05( .18), $p$=.77  ","-.07( .23), $p$=.77  ","(-.51, .38)","-.07(-.17, .04)"," .60( .60), $p$=.32  "," .04( .04), $p$=.32  ","(-.04, .13)"," .04(-.06, .15)"
Learning & Memory,map,b1,female,aehplus,grip,Logical Memory Immediate,935,"-.09(1.40), $p$=.95  ","-.00( .04), $p$=.95  ","(-.09, .09)","-.00(-.07, .06)"," .16( .09), $p$=.08 ."," .37( .21), $p$=.08 .","(-.05, .79)"," .37( .31, .42)"," .02( .31), $p$=.94  "," .00( .03), $p$=.94  ","(-.05, .06)"," .00(-.06, .07)"
Learning & Memory,map,b1,male,aehplus,grip,Logical Memory Immediate,321,"-5.23(3.88), $p$=.18  ","-.12( .09), $p$=.17  ","(-.29, .05)","-.12(-.23,-.01)","-.22( .17), $p$=.19  ","-.48( .38), $p$=.22  ","(-1.23, .28)","-.48(-.56,-.39)"," .57( .67), $p$=.40  "," .04( .05), $p$=.40  ","(-.05, .13)"," .04(-.07, .15)"
Learning & Memory,eas,b1,female,aehplus,grip,Logical Memory Total,360,"-2.26(3.85), $p$=.56  ","-.09( .15), $p$=.56  ","(-.38, .21)","-.09(-.19, .02)"," .06( .29), $p$=.84  "," .13( .66), $p$=.84  ","(-1.16,1.42)"," .13( .03, .23)"," .73( .84), $p$=.39  "," .08( .09), $p$=.39  ","(-.10, .27)"," .08(-.02, .18)"
Learning & Memory,eas,b1,male,aehplus,grip,Logical Memory Total,217,"-3.83(8.66), $p$=.66  ","-.12( .26), $p$=.66  ","(-.63, .40)","-.12(-.25, .02)"," .03( .58), $p$=.95  "," .03( .49), $p$=.95  ","(-.93, .98)"," .03(-.11, .16)","1.94(1.67), $p$=.24  "," .13( .11), $p$=.24  ","(-.09, .35)"," .13(-.00, .26)"
Learning & Memory,octo,b1,female,aehplus,grip,Objects Recalled,273," .45( .22), $p$=.04 *"," .16( .08), $p$=.04 *","( .01, .32)"," .16( .05, .28)"," .03( .01), $p$<.01 ***"," .63( .16), $p$<.01 ***","( .32, .94)"," .64( .57, .71)"," .07( .07), $p$=.34  "," .04( .05), $p$=.34  ","(-.05, .13)"," .04(-.08, .16)"
Learning & Memory,octo,b1,male,aehplus,grip,Objects Recalled,139,"1.07( .48), $p$=.03 *"," .36( .15), $p$=.01 *","( .07, .66)"," .36( .21, .50)"," .03( .02), $p$=.05 *"," .56( .28), $p$=.05 *","( .01,1.11)"," .56( .44, .67)"," .01( .16), $p$=.93  "," .01( .09), $p$=.93  ","(-.17, .19)"," .01(-.16, .17)"
Learning & Memory,octo,b1,female,aehplus,grip,Objects Recognized,273,"-.09( .12), $p$=.44  ","-.08( .10), $p$=.42  ","(-.28, .12)","-.08(-.20, .04)","-.00( .00), $p$=.67  ","-.15( .33), $p$=.65  ","(-.81, .50)","-.16(-.27,-.04)"," .10( .05), $p$=.04 *"," .17( .06), $p$=.01 **","( .05, .29)"," .17( .05, .28)"
Learning & Memory,octo,b1,male,aehplus,grip,Objects Recognized,139," .15( .27), $p$=.57  "," .09( .16), $p$=.60  ","(-.23, .40)"," .09(-.08, .25)","-.01( .01), $p$=.47  ","-.34( .40), $p$=.39  ","(-1.12, .43)","-.35(-.49,-.20)"," .04( .07), $p$=.58  "," .03( .05), $p$=.57  ","(-.07, .13)"," .03(-.14, .19)"
Learning & Memory,octo,b1,female,aehplus,grip,Prose Immediate,273," .71( .41), $p$=.08 ."," .14( .08), $p$=.08 .","(-.01, .30)"," .14( .02, .26)"," .01( .01), $p$=.32  "," .37( .35), $p$=.29  ","(-.31,1.06)"," .36( .25, .46)"," .14( .16), $p$=.38  "," .06( .06), $p$=.36  ","(-.07, .19)"," .06(-.06, .18)"
Learning & Memory,octo,b1,male,aehplus,grip,Prose Immediate,139,"2.38( .91), $p$=.01 **"," .35( .11), $p$<.01 ***","( .14, .56)"," .35( .20, .49)","-.01( .05), $p$=.79  ","-.38(2.59), $p$=.88  ","(-5.46,4.70)","-.37(-.51,-.22)"," .35( .26), $p$=.19  "," .14( .10), $p$=.16  ","(-.05, .33)"," .14(-.03, .30)"
Learning & Memory,elsa,b1,female,aehplus,grip,Word List Delayed,3393," .65( .17), $p$<.01 ***"," .13( .03), $p$<.01 ***","( .06, .19)"," .13( .09, .16)"," .00( .00), $p$=.99  ","-.01( .66), $p$=.99  ","(-1.31,1.29)"," .00(-.03, .03)"," .09( .09), $p$=.31  "," .02( .02), $p$=.31  ","(-.02, .07)"," .02(-.01, .06)"
Learning & Memory,elsa,b1,male,aehplus,grip,Word List Delayed,3045," .29( .26), $p$=.27  "," .04( .04), $p$=.27  ","(-.03, .11)"," .04( .00, .08)","-.01( .00), $p$=.12  ","-.51( .40), $p$=.21  ","(-1.30, .28)","-.50(-.53,-.47)"," .15( .12), $p$=.22  "," .03( .02), $p$=.22  ","(-.02, .07)"," .03(-.01, .06)"
Learning & Memory,hrs,b1,female,aehplus,grip,Word List Delayed,4612," .49( .15), $p$<.01 ***"," .09( .03), $p$<.01 ***","( .04, .15)"," .09( .06, .12)"," .00( .00), $p$=.92  "," .04( .41), $p$=.92  ","(-.75, .84)"," .00(-.03, .03)"," .17( .07), $p$=.01 *"," .05( .02), $p$=.01 *","( .01, .08)"," .05( .02, .08)"
Learning & Memory,hrs,b1,male,aehplus,grip,Word List Delayed,3290,"1.04( .23), $p$<.01 ***"," .15( .03), $p$<.01 ***","( .09, .21)"," .15( .12, .18)"," .00( .01), $p$=.39  "," .28( .35), $p$=.42  ","(-.40, .96)"," .29( .26, .32)"," .14( .12), $p$=.22  "," .03( .02), $p$=.22  ","(-.02, .07)"," .03(-.01, .06)"
Learning & Memory,map,b1,female,aehplus,grip,Word List Delayed,935,"2.66( .69), $p$<.01 ***"," .17( .04), $p$<.01 ***","( .09, .25)"," .17( .10, .23)"," .08( .04), $p$=.05 ."," .46( .26), $p$=.07 .","(-.04, .97)"," .46( .41, .51)"," .02( .16), $p$=.88  "," .00( .03), $p$=.88  ","(-.05, .06)"," .00(-.06, .07)"
Learning & Memory,map,b1,male,aehplus,grip,Word List Delayed,321,"-.57(1.68), $p$=.73  ","-.02( .07), $p$=.73  ","(-.17, .12)","-.02(-.13, .09)","-.03( .10), $p$=.77  ","-.12( .42), $p$=.78  ","(-.94, .71)","-.12(-.23,-.01)","-.12( .31), $p$=.70  ","-.02( .04), $p$=.71  ","(-.10, .07)","-.02(-.13, .09)"
Learning & Memory,eas,b1,female,aehplus,grip,Word List Immediate,363,"2.33(4.21), $p$=.58  "," .10( .19), $p$=.57  ","(-.26, .47)"," .10( .00, .21)","-.05( .32), $p$=.88  ","-.09( .60), $p$=.88  ","(-1.27,1.08)","-.09(-.19, .01)"," .97( .73), $p$=.18  "," .12( .09), $p$=.18  ","(-.05, .29)"," .12( .02, .22)"
Learning & Memory,eas,b1,male,aehplus,grip,Word List Immediate,222,"-5.96(7.58), $p$=.43  ","-.26( .31), $p$=.41  ","(-.87, .35)","-.26(-.38,-.13)"," .32( .50), $p$=.52  "," .39( .61), $p$=.53  ","(-.82,1.59)"," .39( .27, .49)","1.04(1.72), $p$=.54  "," .07( .12), $p$=.54  ","(-.17, .31)"," .07(-.06, .20)"
Learning & Memory,elsa,b1,female,aehplus,grip,Word List Immediate,3391," .48( .16), $p$<.01 **"," .12( .04), $p$<.01 **","( .04, .19)"," .12( .08, .15)"," .00( .00), $p$=.92  ","-.03( .29), $p$=.92  ","(-.60, .54)"," .00(-.03, .03)"," .05( .08), $p$=.52  "," .01( .02), $p$=.52  ","(-.03, .06)"," .01(-.02, .05)"
Learning & Memory,elsa,b1,male,aehplus,grip,Word List Immediate,3043," .13( .23), $p$=.58  "," .02( .04), $p$=.58  ","(-.05, .10)"," .02(-.01, .06)","-.00( .00), $p$=.12  ","-.44( .34), $p$=.20  ","(-1.11, .23)","-.39(-.42,-.36)"," .30( .12), $p$=.01 *"," .06( .02), $p$=.01 *","( .01, .11)"," .06( .02, .09)"
Learning & Memory,hrs,b1,female,aehplus,grip,Word List Immediate,4612," .58( .12), $p$<.01 ***"," .14( .03), $p$<.01 ***","( .09, .20)"," .14( .12, .17)"," .00( .00), $p$=.46  "," .32( .51), $p$=.53  ","(-.68,1.32)"," .28( .25, .30)"," .09( .06), $p$=.14  "," .03( .02), $p$=.14  ","(-.01, .07)"," .03(-.00, .06)"
Learning & Memory,hrs,b1,male,aehplus,grip,Word List Immediate,3290," .81( .20), $p$<.01 ***"," .14( .03), $p$<.01 ***","( .07, .21)"," .14( .11, .17)"," .00( .00), $p$=.85  "," .08( .40), $p$=.84  ","(-.70, .85)"," .08( .05, .12)"," .25( .10), $p$=.01 *"," .06( .02), $p$=.01 *","( .01, .10)"," .06( .02, .09)"
Learning & Memory,lasa,b1,female,aehplus,grip,Word List Immediate,782,"1.75(1.09), $p$=.11  "," .11( .07), $p$=.10  ","(-.02, .25)"," .11( .04, .18)"," .00( .01), $p$=.90  "," .23(2.09), $p$=.91  ","(-3.86,4.32)"," .15( .09, .22)","1.68( .38), $p$<.01 ***"," .12( .03), $p$<.01 ***","( .07, .17)"," .12( .05, .19)"
Learning & Memory,lasa,b1,male,aehplus,grip,Word List Immediate,800,"1.76(1.54), $p$=.25  "," .07( .06), $p$=.25  ","(-.05, .20)"," .07( .00, .14)"," .00( .01), $p$=.84  "," .16( .80), $p$=.84  ","(-1.39,1.72)"," .17( .11, .24)","2.25( .53), $p$<.01 ***"," .14( .03), $p$<.01 ***","( .08, .20)"," .14( .07, .20)"
Learning & Memory,map,b1,female,aehplus,grip,Word List Immediate,935,"5.17(1.34), $p$<.01 ***"," .17( .04), $p$<.01 ***","( .09, .25)"," .17( .11, .23)"," .26( .10), $p$=.01 **"," .53( .20), $p$=.01 **","( .13, .94)"," .53( .49, .58)"," .21( .32), $p$=.51  "," .02( .03), $p$=.51  ","(-.04, .08)"," .02(-.05, .08)"
Learning & Memory,map,b1,male,aehplus,grip,Word List Immediate,321,"-.25(3.08), $p$=.93  ","-.01( .08), $p$=.93  ","(-.17, .16)","-.01(-.12, .10)","-.13( .16), $p$=.41  ","-.34( .38), $p$=.38  ","(-1.10, .41)","-.34(-.43,-.24)"," .95( .68), $p$=.16  "," .07( .05), $p$=.16  ","(-.03, .16)"," .07(-.04, .18)"
Learning & Memory,map,b1,female,aehplus,grip,Word Recognition,935,"1.02( .28), $p$<.01 ***"," .15( .04), $p$<.01 ***","( .07, .23)"," .15( .09, .21)"," .01( .02), $p$=.49  "," .45(1.50), $p$=.76  ","(-2.49,3.39)"," .51( .46, .55)","-.04( .06), $p$=.50  ","-.02( .02), $p$=.50  ","(-.07, .03)","-.02(-.08, .05)"
Learning & Memory,map,b1,male,aehplus,grip,Word Recognition,321," .85(1.00), $p$=.40  "," .06( .07), $p$=.38  ","(-.07, .19)"," .06(-.05, .17)"," .03( .06), $p$=.60  "," .11( .21), $p$=.60  ","(-.31, .53)"," .11( .00, .22)","-.07( .22), $p$=.76  ","-.02( .06), $p$=.76  ","(-.13, .09)","-.02(-.13, .09)"
Mental Status,eas,b1,female,aehplus,grip,Calculated MMSE,363,"1.25(1.15), $p$=.28  "," .22( .20), $p$=.27  ","(-.17, .62)"," .23( .12, .32)","-.04( .10), $p$=.68  ","-.39(1.06), $p$=.71  ","(-2.46,1.68)","-.41(-.50,-.32)","-.01( .21), $p$=.98  ","-.00( .10), $p$=.98  ","(-.20, .20)","-.00(-.11, .10)"
Mental Status,eas,b1,male,aehplus,grip,Calculated MMSE,222,"-.10(3.04), $p$=.97  ","-.02( .50), $p$=.97  ","(-1.00, .97)","-.02(-.15, .12)","-.03( .18), $p$=.86  ","-.33(2.08), $p$=.88  ","(-4.41,3.76)","-.33(-.44,-.20)"," .34( .49), $p$=.50  "," .09( .13), $p$=.50  ","(-.16, .33)"," .09(-.05, .22)"
Mental Status,map,b1,female,aehplus,grip,Ideas,935," .19( .21), $p$=.37  "," .05( .06), $p$=.37  ","(-.06, .17)"," .05(-.01, .12)"," .01( .02), $p$=.56  "," .15( .26), $p$=.56  ","(-.36, .67)"," .15( .09, .22)"," .03( .06), $p$=.63  "," .01( .03), $p$=.63  ","(-.04, .07)"," .01(-.05, .08)"
Mental Status,map,b1,male,aehplus,grip,Ideas,321,"1.04( .56), $p$=.06 ."," .16( .05), $p$<.01 ***","( .07, .25)"," .16( .05, .26)"," .02( .04), $p$=.54  "," .10( .15), $p$=.51  ","(-.20, .40)"," .10(-.01, .21)","-.11( .08), $p$=.14  ","-.05( .03), $p$=.13  ","(-.10, .01)","-.05(-.15, .06)"
Mental Status,map,b1,female,aehplus,grip,MMSE,935," .31( .55), $p$=.57  "," .03( .06), $p$=.57  ","(-.08, .15)"," .03(-.03, .10)"," .12( .07), $p$=.07 ."," .55( .23), $p$=.01 *","( .11,1.00)"," .55( .51, .60)"," .12( .15), $p$=.43  "," .02( .03), $p$=.43  ","(-.03, .07)"," .02(-.04, .09)"
Mental Status,map,b1,male,aehplus,grip,MMSE,321,"4.00(2.30), $p$=.08 ."," .17( .07), $p$=.01 *","( .03, .31)"," .17( .06, .28)"," .30( .17), $p$=.08 ."," .69( .23), $p$<.01 **","( .23,1.15)"," .69( .63, .75)"," .01( .41), $p$=.98  "," .00( .05), $p$=.98  ","(-.10, .10)"," .00(-.11, .11)"
Mental Status,nuage,b1,female,aehplus,grip,MMSE,934,"1.64(1.87), $p$=.38  "," .04( .05), $p$=.38  ","(-.05, .14)"," .04(-.02, .11)"," .40( .28), $p$=.15  "," .28( .16), $p$=.09 .","(-.04, .59)"," .28( .22, .34)"," .39( .41), $p$=.34  "," .02( .02), $p$=.34  ","(-.02, .07)"," .02(-.04, .09)"
Mental Status,nuage,b1,female,aehplus,grip,MMSE,934," .86( .65), $p$=.18  "," .08( .06), $p$=.20  ","(-.04, .20)"," .08( .02, .14)"," .05( .10), $p$=.60  "," .16( .33), $p$=.62  ","(-.48, .80)"," .16( .10, .22)","-.02( .19), $p$=.92  ","-.00( .02), $p$=.92  ","(-.05, .05)","-.00(-.07, .06)"
Mental Status,nuage,b1,male,aehplus,grip,MMSE,847,"5.49(2.04), $p$=.01 **"," .13( .05), $p$=.01 **","( .04, .22)"," .13( .06, .20)"," .33( .23), $p$=.16  "," .28( .21), $p$=.19  ","(-.14, .70)"," .28( .22, .34)","-.71( .47), $p$=.13  ","-.04( .02), $p$=.13  ","(-.08, .01)","-.04(-.10, .03)"
Mental Status,nuage,b1,male,aehplus,grip,MMSE,847,"2.28( .74), $p$<.01 **"," .18( .06), $p$<.01 **","( .07, .30)"," .18( .12, .25)"," .13( .11), $p$=.23  "," .30( .25), $p$=.23  ","(-.19, .79)"," .30( .24, .36)"," .02( .22), $p$=.92  "," .00( .03), $p$=.92  ","(-.05, .06)"," .00(-.06, .07)"
Mental Status,octo,b1,female,aehplus,grip,MMSE,276," .47( .28), $p$=.10 ."," .19( .10), $p$=.06 .","(-.00, .39)"," .19( .08, .30)"," .03( .01), $p$=.01 *"," .67( .18), $p$<.01 ***","( .32,1.02)"," .67( .60, .73)"," .11( .13), $p$=.38  "," .06( .07), $p$=.36  ","(-.08, .21)"," .07(-.05, .18)"
Mental Status,octo,b1,male,aehplus,grip,MMSE,139," .68( .47), $p$=.15  "," .26( .17), $p$=.14  ","(-.08, .60)"," .26( .10, .41)"," .01( .02), $p$=.48  "," .30( .42), $p$=.48  ","(-.53,1.13)"," .31( .15, .45)"," .29( .22), $p$=.19  "," .14( .10), $p$=.14  ","(-.05, .33)"," .14(-.03, .30)"
Mental Status,octo,b1,female,aehplus,grip,MMSE,276," .11( .29), $p$=.69  "," .04( .11), $p$=.69  ","(-.17, .26)"," .04(-.07, .16)"," .07( .02), $p$<.01 **"," .76( .14), $p$<.01 ***","( .48,1.05)"," .77( .71, .81)"," .38( .19), $p$=.05 *"," .16( .07), $p$=.03 *","( .02, .31)"," .16( .04, .27)"
Mental Status,octo,b1,male,aehplus,grip,MMSE,140,"1.14( .63), $p$=.07 ."," .32( .18), $p$=.07 .","(-.03, .67)"," .32( .16, .46)","-.01( .02), $p$=.74  ","-.11( .34), $p$=.75  ","(-.78, .56)","-.12(-.28, .05)"," .50( .26), $p$=.06 ."," .15( .08), $p$=.06 .","(-.00, .31)"," .15(-.01, .31)"
Mental Status,satsa,b1,female,aehplus,grip,MMSE,411," .18( .63), $p$=.77  "," .06( .19), $p$=.77  ","(-.32, .43)"," .06(-.04, .15)"," .01( .01), $p$=.34  "," .29( .28), $p$=.29  ","(-.25, .84)"," .28( .19, .37)","1.08( .30), $p$<.01 ***"," .13( .04), $p$<.01 ***","( .06, .20)"," .13( .04, .23)"
