domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
episodic memory,hrs,b1,female,aehplus,grip,word_de,4612," .49( .15), $p$<.01 ***"," .09( .03), $p$<.01 ***","( .04, .15)"," .09( .06, .12)"," .00( .00), $p$=.92  "," .04( .41), $p$=.92  ","(-.75, .84)"," .00(-.03, .03)"," .17( .07), $p$=.01 *"," .05( .02), $p$=.01 *","( .01, .08)"," .05( .02, .08)"
episodic memory,map,b1,female,aehplus,grip,word_de,935,"2.66( .69), $p$<.01 ***"," .17( .04), $p$<.01 ***","( .09, .25)"," .17( .10, .23)"," .08( .04), $p$=.05 ."," .46( .26), $p$=.07 .","(-.04, .97)"," .46( .41, .51)"," .02( .16), $p$=.88  "," .00( .03), $p$=.88  ","(-.05, .06)"," .00(-.06, .07)"
episodic memory,map,b1,female,aehplus,grip,word_rec,935,"1.02( .28), $p$<.01 ***"," .15( .04), $p$<.01 ***","( .07, .23)"," .15( .09, .21)"," .01( .02), $p$=.49  "," .45(1.50), $p$=.76  ","(-2.49,3.39)"," .51( .46, .55)","-.04( .06), $p$=.50  ","-.02( .02), $p$=.50  ","(-.07, .03)","-.02(-.08, .05)"
executive function,eas,b1,female,aehplus,grip,trailsb,362,"-25.61(42.55), $p$=.55  ","-.10( .18), $p$=.55  ","(-.45, .24)","-.10(-.21,-.00)","8.76(4.43), $p$=.05 *"," .82( .34), $p$=.02 *","( .15,1.48)"," .82( .78, .85)","13.85(8.16), $p$=.09 ."," .15( .08), $p$=.08 .","(-.02, .31)"," .15( .04, .25)"
fluency,eas,b1,female,aehplus,grip,categories,363,"2.88(4.99), $p$=.56  "," .08( .14), $p$=.56  ","(-.20, .36)"," .08(-.02, .18)"," .24( .43), $p$=.58  "," .21( .38), $p$=.58  ","(-.54, .96)"," .21( .11, .31)","-.59( .70), $p$=.40  ","-.06( .07), $p$=.40  ","(-.21, .08)","-.06(-.16, .04)"
fluency,map,b1,female,aehplus,grip,categories,935,"6.22(2.87), $p$=.03 *"," .09( .04), $p$=.03 *","( .01, .18)"," .09( .03, .16)"," .22( .18), $p$=.22  "," .23( .19), $p$=.23  ","(-.15, .60)"," .23( .17, .29)","1.29( .59), $p$=.03 *"," .06( .03), $p$=.03 *","( .01, .12)"," .06(-.00, .12)"
fluency,eas,b1,female,aehplus,grip,fas,360,"12.14(8.12), $p$=.14  "," .22( .14), $p$=.12  ","(-.06, .49)"," .22( .12, .31)"," .22( .53), $p$=.68  "," .14( .35), $p$=.69  ","(-.54, .83)"," .14( .04, .24)"," .19(1.06), $p$=.86  "," .02( .09), $p$=.86  ","(-.16, .19)"," .02(-.09, .12)"
fluency,ilse,b1,female,aehplus,grip,fluency,225,"13.64(14.92), $p$=.36  "," .10( .11), $p$=.35  ","(-.11, .32)"," .10(-.03, .23)"," .24( .27), $p$=.38  "," .58( .72), $p$=.43  ","(-.84,2.00)"," .57( .48, .66)","9.98(5.52), $p$=.07 ."," .15( .08), $p$=.06 .","(-.01, .31)"," .15( .02, .28)"
fluid reasoning,satsa,b1,female,aehplus,grip,analogies,409," .08( .96), $p$=.93  "," .01( .10), $p$=.93  ","(-.19, .21)"," .01(-.09, .11)"," .01( .00), $p$=.18  "," .41( .31), $p$=.18  ","(-.19,1.02)"," .45( .36, .52)","1.24( .43), $p$<.01 **"," .12( .04), $p$<.01 **","( .04, .19)"," .12( .02, .21)"
fluid reasoning,eas,b1,female,aehplus,grip,block,351,"6.94(5.97), $p$=.24  "," .18( .15), $p$=.23  ","(-.12, .48)"," .18( .08, .28)"," .78( .44), $p$=.07 ."," .55( .28), $p$=.05 *","( .00,1.10)"," .55( .48, .62)"," .25( .99), $p$=.80  "," .02( .10), $p$=.80  ","(-.17, .22)"," .02(-.08, .13)"
fluid reasoning,octo,b1,female,aehplus,grip,block,275,"3.01( .83), $p$<.01 ***"," .30( .08), $p$<.01 ***","( .15, .46)"," .30( .19, .41)"," .05( .01), $p$<.01 **"," .76( .27), $p$<.01 **","( .22,1.29)"," .76( .71, .81)"," .18( .20), $p$=.37  "," .05( .05), $p$=.37  ","(-.06, .15)"," .05(-.07, .17)"
fluid reasoning,satsa,b1,female,aehplus,grip,block,409,"4.99(2.09), $p$=.02 *"," .22( .09), $p$=.01 *","( .05, .40)"," .22( .13, .31)"," .00( .01), $p$=.68  "," .15( .36), $p$=.68  ","(-.55, .85)"," .16( .07, .26)","2.10( .61), $p$<.01 ***"," .14( .04), $p$<.01 ***","( .06, .21)"," .13( .04, .23)"
fluid reasoning,octo,b1,female,aehplus,grip,fig_logic,274,"1.44( .46), $p$<.01 **"," .29( .09), $p$<.01 ***","( .12, .47)"," .29( .18, .40)"," .02( .01), $p$=.08 ."," .60( .29), $p$=.04 *","( .04,1.16)"," .60( .52, .67)"," .19( .16), $p$=.24  "," .06( .05), $p$=.24  ","(-.04, .16)"," .06(-.06, .18)"
fluid reasoning,lasa,b1,female,aehplus,grip,raven_color_ab,782," .29( .66), $p$=.66  "," .03( .07), $p$=.66  ","(-.10, .16)"," .03(-.04, .10)"," .00( .01), $p$=.77  "," .32(1.66), $p$=.85  ","(-2.93,3.57)"," .33( .27, .39)"," .09( .24), $p$=.70  "," .01( .03), $p$=.70  ","(-.05, .07)"," .01(-.06, .08)"
fluid reasoning,map,b1,female,aehplus,grip,raven_standard,920,"1.72( .92), $p$=.06 ."," .10( .05), $p$=.06 .","(-.00, .21)"," .10( .04, .17)"," .07( .06), $p$=.27  "," .30( .27), $p$=.26  ","(-.23, .84)"," .30( .24, .36)","-.10( .25), $p$=.69  ","-.01( .03), $p$=.69  ","(-.07, .05)","-.01(-.08, .05)"
fluid reasoning,satsa,b1,female,aehplus,grip,rotate,409,"7.00(5.21), $p$=.18  "," .14( .10), $p$=.17  ","(-.06, .34)"," .14( .04, .23)"," .01( .03), $p$=.65  "," .31( .69), $p$=.65  ","(-1.03,1.66)"," .33( .24, .41)","4.87(2.00), $p$=.01 *"," .10( .04), $p$=.01 *","( .02, .18)"," .10( .00, .19)"
fluid reasoning,ilse,b1,female,aehplus,grip,spatial_ab,225," .80(11.07), $p$=.94  "," .01( .10), $p$=.94  ","(-.19, .20)"," .01(-.12, .14)"," .08( .16), $p$=.59  "," .37( .79), $p$=.64  ","(-1.17,1.91)"," .37( .26, .48)","-.37(3.83), $p$=.92  ","-.01( .09), $p$=.92  ","(-.18, .16)","-.01(-.14, .12)"
mental status,octo,b1,female,aehplus,grip,clock,276," .47( .28), $p$=.10 ."," .19( .10), $p$=.06 .","(-.00, .39)"," .19( .08, .30)"," .03( .01), $p$=.01 *"," .67( .18), $p$<.01 ***","( .32,1.02)"," .67( .60, .73)"," .11( .13), $p$=.38  "," .06( .07), $p$=.36  ","(-.08, .21)"," .07(-.05, .18)"
mental status,nuage,b1,female,aehplus,grip,mmms,934,"1.64(1.87), $p$=.38  "," .04( .05), $p$=.38  ","(-.05, .14)"," .04(-.02, .11)"," .40( .28), $p$=.15  "," .28( .16), $p$=.09 .","(-.04, .59)"," .28( .22, .34)"," .39( .41), $p$=.34  "," .02( .02), $p$=.34  ","(-.02, .07)"," .02(-.04, .09)"
mental status,eas,b1,female,aehplus,grip,mmse,363,"1.25(1.15), $p$=.28  "," .22( .20), $p$=.27  ","(-.17, .62)"," .23( .12, .32)","-.04( .10), $p$=.68  ","-.39(1.06), $p$=.71  ","(-2.46,1.68)","-.41(-.50,-.32)","-.01( .21), $p$=.98  ","-.00( .10), $p$=.98  ","(-.20, .20)","-.00(-.11, .10)"
mental status,map,b1,female,aehplus,grip,mmse,935," .31( .55), $p$=.57  "," .03( .06), $p$=.57  ","(-.08, .15)"," .03(-.03, .10)"," .12( .07), $p$=.07 ."," .55( .23), $p$=.01 *","( .11,1.00)"," .55( .51, .60)"," .12( .15), $p$=.43  "," .02( .03), $p$=.43  ","(-.03, .07)"," .02(-.04, .09)"
mental status,nuage,b1,female,aehplus,grip,mmse,934," .86( .65), $p$=.18  "," .08( .06), $p$=.20  ","(-.04, .20)"," .08( .02, .14)"," .05( .10), $p$=.60  "," .16( .33), $p$=.62  ","(-.48, .80)"," .16( .10, .22)","-.02( .19), $p$=.92  ","-.00( .02), $p$=.92  ","(-.05, .05)","-.00(-.07, .06)"
mental status,octo,b1,female,aehplus,grip,mmse,276," .11( .29), $p$=.69  "," .04( .11), $p$=.69  ","(-.17, .26)"," .04(-.07, .16)"," .07( .02), $p$<.01 **"," .76( .14), $p$<.01 ***","( .48,1.05)"," .77( .71, .81)"," .38( .19), $p$=.05 *"," .16( .07), $p$=.03 *","( .02, .31)"," .16( .04, .27)"
mental status,satsa,b1,female,aehplus,grip,mmse,411," .18( .63), $p$=.77  "," .06( .19), $p$=.77  ","(-.32, .43)"," .06(-.04, .15)"," .01( .01), $p$=.34  "," .29( .28), $p$=.29  ","(-.25, .84)"," .28( .19, .37)","1.08( .30), $p$<.01 ***"," .13( .04), $p$<.01 ***","( .06, .20)"," .13( .04, .23)"
perceptual speed,lasa,b1,female,aehplus,grip,letter,782," .70(1.29), $p$=.59  "," .03( .06), $p$=.59  ","(-.08, .15)"," .03(-.04, .10)"," .01( .01), $p$=.40  "," .40( .93), $p$=.67  ","(-1.43,2.22)"," .41( .35, .47)"," .65( .23), $p$<.01 **"," .08( .03), $p$<.01 **","( .02, .13)"," .08( .01, .15)"
perceptual speed,map,b1,female,aehplus,grip,num_comp,934,"1.98(2.50), $p$=.43  "," .04( .04), $p$=.43  ","(-.05, .12)"," .04(-.03, .10)","-.02( .13), $p$=.88  ","-.04( .24), $p$=.88  ","(-.51, .43)","-.04(-.10, .03)"," .57( .46), $p$=.22  "," .03( .03), $p$=.22  ","(-.02, .08)"," .03(-.03, .10)"
perceptual speed,octo,b1,female,aehplus,grip,psif,271,"1.13( .63), $p$=.07 ."," .23( .14), $p$=.09 .","(-.03, .50)"," .23( .12, .34)"," .02( .03), $p$=.57  "," .49(1.81), $p$=.79  ","(-3.06,4.04)"," .48( .39, .57)"," .22( .20), $p$=.28  "," .08( .07), $p$=.30  ","(-.07, .23)"," .08(-.04, .20)"
perceptual speed,eas,b1,female,aehplus,grip,symbol,363,"18.82(8.86), $p$=.03 *"," .28( .12), $p$=.02 *","( .04, .53)"," .28( .18, .37)","2.04( .58), $p$<.01 ***"," .84( .20), $p$<.01 ***","( .44,1.24)"," .84( .81, .87)","-.50( .99), $p$=.61  ","-.04( .08), $p$=.61  ","(-.20, .12)","-.04(-.14, .06)"
perceptual speed,ilse,b1,female,aehplus,grip,symbol,225,"-48.56(20.52), $p$=.02 *","-.25( .09), $p$=.01 **","(-.43,-.06)","-.25(-.37,-.12)"," .12( .17), $p$=.48  "," .21( .30), $p$=.48  ","(-.38, .80)"," .21( .08, .33)","-.64(3.70), $p$=.86  ","-.01( .07), $p$=.86  ","(-.16, .13)","-.01(-.14, .12)"
perceptual speed,map,b1,female,aehplus,grip,symbol,934,"6.67(3.50), $p$=.06 ."," .09( .04), $p$=.06 .","(-.00, .17)"," .09( .02, .15)"," .07( .22), $p$=.77  "," .06( .22), $p$=.77  ","(-.37, .50)"," .06( .00, .13)","-.19( .57), $p$=.74  ","-.01( .03), $p$=.74  ","(-.06, .04)","-.01(-.07, .06)"
perceptual speed,octo,b1,female,aehplus,grip,symbol,272,"2.57(1.26), $p$=.04 *"," .18( .08), $p$=.04 *","( .01, .34)"," .18( .06, .29)"," .01( .02), $p$=.58  "," .17( .30), $p$=.58  ","(-.43, .76)"," .16( .04, .27)"," .72( .32), $p$=.02 *"," .12( .05), $p$=.02 *","( .02, .22)"," .12( .00, .24)"
perceptual speed,satsa,b1,female,aehplus,grip,symbol,409,"8.61(3.14), $p$=.01 **"," .26( .09), $p$<.01 **","( .09, .44)"," .26( .17, .35)"," .02( .01), $p$=.11  "," .46( .24), $p$=.05 *","( .00, .93)"," .47( .39, .54)","2.51(1.00), $p$=.01 *"," .10( .04), $p$=.01 *","( .02, .18)"," .11( .02, .21)"
semantic memory,eas,b1,female,aehplus,grip,bnt,363,"1.75(1.60), $p$=.28  "," .16( .15), $p$=.26  ","(-.12, .45)"," .17( .06, .26)","-.08( .13), $p$=.55  ","-.43( .82), $p$=.59  ","(-2.03,1.17)","-.44(-.52,-.35)"," .20( .22), $p$=.37  "," .06( .07), $p$=.38  ","(-.08, .21)"," .06(-.04, .17)"
semantic memory,map,b1,female,aehplus,grip,bnt,934," .84( .42), $p$=.05 *"," .09( .04), $p$=.05 *","( .00, .17)"," .09( .02, .15)"," .00( .03), $p$=.91  "," .02( .20), $p$=.91  ","(-.37, .41)"," .02(-.04, .08)","-.03( .08), $p$=.70  ","-.01( .03), $p$=.70  ","(-.07, .04)","-.01(-.07, .05)"
semantic memory,octo,b1,female,aehplus,grip,information,275,"2.99(1.15), $p$=.01 **"," .19( .07), $p$=.01 **","( .06, .33)"," .19( .07, .30)"," .06( .02), $p$=.01 **"," .78( .30), $p$=.01 **","( .20,1.37)"," .78( .73, .82)","-.09( .21), $p$=.66  ","-.02( .05), $p$=.66  ","(-.11, .07)","-.02(-.14, .10)"
semantic memory,satsa,b1,female,aehplus,grip,information,410,"2.57(2.39), $p$=.28  "," .10( .10), $p$=.28  ","(-.08, .29)"," .10( .01, .20)"," .03( .01), $p$=.03 *"," .65( .25), $p$=.01 **","( .16,1.14)"," .64( .58, .69)"," .85( .57), $p$=.14  "," .05( .04), $p$=.13  ","(-.02, .12)"," .05(-.04, .15)"
semantic memory,map,b1,female,aehplus,grip,nart,932,"-.17( .73), $p$=.82  ","-.01( .04), $p$=.82  ","(-.09, .07)","-.01(-.07, .05)"," .03( .03), $p$=.30  "," .26( .27), $p$=.33  ","(-.27, .80)"," .27( .21, .33)","-.08( .11), $p$=.49  ","-.02( .03), $p$=.49  ","(-.08, .04)","-.02(-.08, .04)"
semantic memory,octo,b1,female,aehplus,grip,synonyms,273," .94( .68), $p$=.16  "," .13( .09), $p$=.16  ","(-.05, .30)"," .13( .01, .24)"," .04( .02), $p$=.04 *"," .69( .29), $p$=.02 *","( .12,1.26)"," .69( .62, .75)","-.04( .16), $p$=.80  ","-.01( .06), $p$=.80  ","(-.12, .10)","-.01(-.13, .10)"
semantic memory,satsa,b1,female,aehplus,grip,synonyms,409,"1.86(1.41), $p$=.19  "," .12( .09), $p$=.18  ","(-.05, .29)"," .12( .02, .21)"," .00( .01), $p$=.52  "," .26( .42), $p$=.53  ","(-.56,1.08)"," .29( .20, .38)"," .63( .38), $p$=.10 ."," .06( .04), $p$=.10 .","(-.01, .14)"," .06(-.03, .16)"
semantic memory,ilse,b1,female,aehplus,grip,waisgeneral,225,"2.20(7.03), $p$=.75  "," .03( .09), $p$=.75  ","(-.15, .21)"," .03(-.10, .16)"," .11( .10), $p$=.27  "," .42( .42), $p$=.32  ","(-.40,1.23)"," .43( .31, .53)","-1.78(1.78), $p$=.32  ","-.08( .08), $p$=.31  ","(-.23, .07)","-.08(-.21, .05)"
semantic memory,eas,b1,female,aehplus,grip,waisvocab,363,"6.49(7.71), $p$=.40  "," .12( .15), $p$=.40  ","(-.16, .41)"," .12( .02, .22)"," .19( .46), $p$=.68  "," .25( .64), $p$=.69  ","(-1.00,1.51)"," .25( .15, .35)","-.37(1.51), $p$=.80  ","-.03( .10), $p$=.80  ","(-.23, .18)","-.03(-.13, .08)"
short-term memory,map,b1,female,aehplus,grip,bstory_im,935,"-.14( .54), $p$=.80  ","-.01( .06), $p$=.80  ","(-.13, .10)","-.01(-.08, .05)"," .02( .05), $p$=.69  "," .11( .28), $p$=.69  ","(-.44, .66)"," .11( .05, .17)","-.08( .18), $p$=.66  ","-.01( .03), $p$=.66  ","(-.07, .04)","-.01(-.08, .05)"
short-term memory,eas,b1,female,aehplus,grip,digit_tot,363,"-.45(2.25), $p$=.84  ","-.03( .15), $p$=.84  ","(-.32, .26)","-.03(-.13, .07)"," .46( .17), $p$=.01 **"," .83( .27), $p$<.01 **","( .31,1.35)"," .83( .79, .86)","-.12( .30), $p$=.69  ","-.03( .08), $p$=.69  ","(-.19, .13)","-.03(-.13, .07)"
short-term memory,satsa,b1,female,aehplus,grip,fig_mem,409," .30(1.20), $p$=.80  "," .02( .10), $p$=.80  ","(-.17, .21)"," .02(-.07, .12)"," .00( .01), $p$=.77  "," .12( .41), $p$=.76  ","(-.67, .92)"," .12( .02, .21)","1.60( .53), $p$<.01 **"," .13( .04), $p$<.01 **","( .05, .22)"," .13( .03, .22)"
short-term memory,map,b1,female,aehplus,grip,logic_im,935,"-.09(1.40), $p$=.95  ","-.00( .04), $p$=.95  ","(-.09, .09)","-.00(-.07, .06)"," .16( .09), $p$=.08 ."," .37( .21), $p$=.08 .","(-.05, .79)"," .37( .31, .42)"," .02( .31), $p$=.94  "," .00( .03), $p$=.94  ","(-.05, .06)"," .00(-.06, .07)"
short-term memory,octo,b1,female,aehplus,grip,prose_im,273," .71( .41), $p$=.08 ."," .14( .08), $p$=.08 .","(-.01, .30)"," .14( .02, .26)"," .01( .01), $p$=.32  "," .37( .35), $p$=.29  ","(-.31,1.06)"," .36( .25, .46)"," .14( .16), $p$=.38  "," .06( .06), $p$=.36  ","(-.07, .19)"," .06(-.06, .18)"
short-term memory,eas,b1,female,aehplus,grip,word_im,363,"2.33(4.21), $p$=.58  "," .10( .19), $p$=.57  ","(-.26, .47)"," .10( .00, .21)","-.05( .32), $p$=.88  ","-.09( .60), $p$=.88  ","(-1.27,1.08)","-.09(-.19, .01)"," .97( .73), $p$=.18  "," .12( .09), $p$=.18  ","(-.05, .29)"," .12( .02, .22)"
short-term memory,elsa,b1,female,aehplus,grip,word_im,3391," .48( .16), $p$<.01 **"," .12( .04), $p$<.01 **","( .04, .19)"," .12( .08, .15)"," .00( .00), $p$=.92  ","-.03( .29), $p$=.92  ","(-.60, .54)"," .00(-.03, .03)"," .05( .08), $p$=.52  "," .01( .02), $p$=.52  ","(-.03, .06)"," .01(-.02, .05)"
short-term memory,hrs,b1,female,aehplus,grip,word_im,4612," .58( .12), $p$<.01 ***"," .14( .03), $p$<.01 ***","( .09, .20)"," .14( .12, .17)"," .00( .00), $p$=.46  "," .32( .51), $p$=.53  ","(-.68,1.32)"," .28( .25, .30)"," .09( .06), $p$=.14  "," .03( .02), $p$=.14  ","(-.01, .07)"," .03(-.00, .06)"
short-term memory,lasa,b1,female,aehplus,grip,word_im,782,"1.75(1.09), $p$=.11  "," .11( .07), $p$=.10  ","(-.02, .25)"," .11( .04, .18)"," .00( .01), $p$=.90  "," .23(2.09), $p$=.91  ","(-3.86,4.32)"," .15( .09, .22)","1.68( .38), $p$<.01 ***"," .12( .03), $p$<.01 ***","( .07, .17)"," .12( .05, .19)"
short-term memory,map,b1,female,aehplus,grip,word_im,935,"5.17(1.34), $p$<.01 ***"," .17( .04), $p$<.01 ***","( .09, .25)"," .17( .11, .23)"," .26( .10), $p$=.01 **"," .53( .20), $p$=.01 **","( .13, .94)"," .53( .49, .58)"," .21( .32), $p$=.51  "," .02( .03), $p$=.51  ","(-.04, .08)"," .02(-.05, .08)"
verbal comprehension,map,b1,female,aehplus,grip,ideas,935," .19( .21), $p$=.37  "," .05( .06), $p$=.37  ","(-.06, .17)"," .05(-.01, .12)"," .01( .02), $p$=.56  "," .15( .26), $p$=.56  ","(-.36, .67)"," .15( .09, .22)"," .03( .06), $p$=.63  "," .01( .03), $p$=.63  ","(-.04, .07)"," .01(-.05, .08)"
visual discrimination,map,b1,female,aehplus,grip,line,934,"2.17(1.05), $p$=.04 *"," .11( .05), $p$=.04 *","( .01, .21)"," .11( .04, .17)"," .08( .07), $p$=.30  "," .74(1.13), $p$=.51  ","(-1.47,2.95)"," .73( .70, .76)"," .24( .23), $p$=.29  "," .03( .03), $p$=.29  ","(-.02, .08)"," .03(-.04, .09)"
visual discrimination,ilse,b1,female,aehplus,grip,piccomp,225,"2.07(6.71), $p$=.76  "," .04( .12), $p$=.76  ","(-.20, .27)"," .04(-.09, .17)"," .07( .12), $p$=.57  "," .26( .48), $p$=.59  ","(-.67,1.19)"," .26( .13, .38)"," .36(2.76), $p$=.90  "," .01( .08), $p$=.90  ","(-.15, .17)"," .01(-.12, .14)"
working memory,map,b1,female,aehplus,grip,digit_b,935,"1.18( .67), $p$=.08 ."," .08( .04), $p$=.07 .","(-.01, .17)"," .08( .02, .14)"," .05( .04), $p$=.26  "," .31( .28), $p$=.27  ","(-.24, .85)"," .31( .25, .36)"," .38( .16), $p$=.02 *"," .07( .03), $p$=.02 *","( .01, .12)"," .07( .00, .13)"
working memory,octo,b1,female,aehplus,grip,digit_b,276,"-.00( .14), $p$=.99  ","-.00( .10), $p$=.99  ","(-.20, .20)","-.00(-.12, .12)","-.00( .00), $p$=.39  ","-.44( .64), $p$=.49  ","(-1.69, .81)","-.49(-.57,-.39)"," .06( .06), $p$=.34  "," .05( .05), $p$=.33  ","(-.05, .14)"," .05(-.07, .16)"
working memory,satsa,b1,female,aehplus,grip,digit_b,409," .45( .40), $p$=.26  "," .13( .12), $p$=.26  ","(-.10, .36)"," .13( .03, .22)"," .00( .00), $p$=.29  "," .31( .28), $p$=.26  ","(-.23, .85)"," .29( .20, .38)"," .25( .18), $p$=.16  "," .05( .04), $p$=.16  ","(-.02, .12)"," .06(-.04, .16)"
working memory,map,b1,female,aehplus,grip,digit_o,935," .59( .54), $p$=.27  "," .06( .05), $p$=.27  ","(-.05, .17)"," .06(-.00, .12)"," .09( .04), $p$=.03 *"," .60( .31), $p$=.05 .","(-.00,1.20)"," .60( .55, .64)","-.01( .14), $p$=.94  ","-.00( .03), $p$=.94  ","(-.06, .05)","-.00(-.07, .06)"
