domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
Attention & Working Memory,map,b1,female,aehplus,fev,Digit Span Forward,935," .07( .02), $p$<.01 **"," .13( .04), $p$<.01 **","( .04, .22)"," .13( .06, .19)"," .00( .00), $p$=.98  "," .01( .60), $p$=.98  ","(-1.17,1.19)",---," .00( .01), $p$=.46  "," .02( .03), $p$=.46  ","(-.04, .08)"," .02(-.04, .08)"
Attention & Working Memory,map,b1,male,aehplus,fev,Digit Span Forward,321," .06( .06), $p$=.27  "," .08( .07), $p$=.27  ","(-.06, .22)"," .08(-.03, .19)"," .00( .00), $p$=.78  "," .26(1.03), $p$=.80  ","(-1.75,2.27)"," .29( .19, .39)","-.01( .01), $p$=.56  ","-.02( .04), $p$=.56  ","(-.11, .06)","-.03(-.14, .08)"
Attention & Working Memory,octo,b1,female,aehplus,pef,Digit Span Forward,276,"-.03(5.00), $p$=.99  ","-.00( .10), $p$=.99  ","(-.20, .20)","-.00(-.12, .12)","-.12( .11), $p$=.28  ","-.30( .25), $p$=.24  ","(-.79, .20)","-.29(-.39,-.18)"," .46(1.85), $p$=.80  "," .01( .05), $p$=.80  ","(-.09, .11)"," .01(-.11, .13)"
Attention & Working Memory,octo,b1,male,aehplus,pef,Digit Span Forward,138,"-7.21(11.26), $p$=.52  ","-.09( .14), $p$=.52  ","(-.35, .18)","-.09(-.25, .08)"," .36( .19), $p$=.06 ."," .63( .17), $p$<.01 ***","( .29, .96)"," .62( .51, .71)"," .45(2.57), $p$=.86  "," .01( .06), $p$=.86  ","(-.11, .13)"," .01(-.16, .18)"
Attention & Working Memory,satsa,b1,female,aehplus,fev,Digit Span Forward,409," .02( .02), $p$=.37  "," .09( .10), $p$=.37  ","(-.10, .27)"," .09(-.01, .18)"," .00( .00), $p$=.92  "," .06( .61), $p$=.92  ","(-1.14,1.26)",---," .02( .01), $p$=.01 **"," .11( .04), $p$=.01 **","( .03, .19)"," .11( .01, .21)"
Attention & Working Memory,satsa,b1,male,aehplus,fev,Digit Span Forward,299," .07( .04), $p$=.12  "," .15( .09), $p$=.11  ","(-.03, .33)"," .15( .04, .26)"," .00( .00), $p$=.75  "," .20( .61), $p$=.75  ","(-1.00,1.40)",---," .01( .01), $p$=.36  "," .05( .05), $p$=.36  ","(-.06, .15)"," .14( .02, .24)"
Attention & Working Memory,eas,b1,female,aehplus,pef,Digit Span Total,545,"23.08(16.20), $p$=.15  "," .13( .09), $p$=.15  ","(-.05, .32)"," .13( .05, .22)","1.63(1.21), $p$=.18  "," .44( .31), $p$=.15  ","(-.16,1.04)"," .44( .37, .50)","-1.79(3.12), $p$=.57  ","-.03( .05), $p$=.57  ","(-.12, .07)","-.03(-.11, .06)"
Attention & Working Memory,eas,b1,male,aehplus,pef,Digit Span Total,324,"3.86(36.29), $p$=.92  "," .01( .12), $p$=.92  ","(-.21, .24)"," .01(-.10, .12)","1.11(2.25), $p$=.62  "," .26( .55), $p$=.63  ","(-.81,1.34)"," .26( .16, .36)","7.35(6.85), $p$=.28  "," .07( .06), $p$=.28  ","(-.06, .20)"," .07(-.04, .18)"
Attention & Working Memory,hrs,b1,female,aehplus,pef,Serial 7s,4608,"9.13(1.94), $p$<.01 ***"," .13( .03), $p$<.01 ***","( .08, .19)"," .13( .10, .16)"," .16( .05), $p$<.01 **"," .38( .13), $p$<.01 **","( .12, .63)"," .38( .35, .40)","-1.11( .92), $p$=.22  ","-.02( .02), $p$=.22  ","(-.06, .02)","-.02(-.05, .00)"
Attention & Working Memory,hrs,b1,male,aehplus,pef,Serial 7s,3287,"13.68(3.34), $p$<.01 ***"," .16( .04), $p$<.01 ***","( .08, .24)"," .16( .13, .19)"," .15( .09), $p$=.10 ."," .21( .13), $p$=.10 .","(-.04, .47)"," .21( .18, .25)","2.17(1.87), $p$=.25  "," .03( .03), $p$=.24  ","(-.02, .09)"," .03(-.00, .07)"
Attention & Working Memory,eas,b1,female,aehplus,pef,Trials B,545,"-402.35(273.61), $p$=.14  ","-.13( .09), $p$=.12  ","(-.30, .04)","-.13(-.21,-.05)","9.47(19.46), $p$=.63  "," .28( .66), $p$=.66  ","(-1.00,1.57)"," .29( .21, .36)","-24.99(71.97), $p$=.73  ","-.02( .05), $p$=.73  ","(-.11, .08)","-.02(-.10, .07)"
Attention & Working Memory,eas,b1,male,aehplus,pef,Trials B,324,"-2188.20(674.13), $p$<.01 ***","-.42( .11), $p$<.01 ***","(-.64,-.20)","-.42(-.51,-.33)","-81.33(52.55), $p$=.12  ","-.96( .55), $p$=.08 .","(-2.04, .12)","-.96(-.97,-.95)","3.96(160.21), $p$=.98  "," .00( .07), $p$=.98  ","(-.14, .15)"," .00(-.11, .11)"
Learning & Memory,map,b1,female,aehplus,fev,Boston Story Delayed,935," .01( .02), $p$=.74  "," .02( .06), $p$=.74  ","(-.09, .13)"," .02(-.04, .08)"," .00( .00), $p$=.97  ","-.02( .47), $p$=.97  ","(-.94, .90)",---,"-.01( .01), $p$=.17  ","-.04( .03), $p$=.17  ","(-.09, .02)","-.04(-.10, .03)"
Learning & Memory,map,b1,male,aehplus,fev,Boston Story Delayed,321," .08( .07), $p$=.22  "," .13( .10), $p$=.21  ","(-.07, .32)"," .13( .02, .23)"," .00( .00), $p$=.59  "," .64(2.09), $p$=.76  ","(-3.44,4.73)"," .58( .50, .65)","-.01( .02), $p$=.66  ","-.02( .05), $p$=.66  ","(-.11, .07)","-.02(-.13, .09)"
Learning & Memory,map,b1,female,aehplus,fev,Boston Story Immediate,935," .03( .02), $p$=.12  "," .09( .06), $p$=.12  ","(-.02, .20)"," .09( .03, .15)"," .00( .00), $p$=.84  "," .11( .60), $p$=.85  ","(-1.06,1.29)",---,"-.01( .01), $p$=.22  ","-.03( .03), $p$=.22  ","(-.09, .02)","-.03(-.10, .03)"
Learning & Memory,map,b1,male,aehplus,fev,Boston Story Immediate,321," .09( .06), $p$=.15  "," .16( .11), $p$=.14  ","(-.05, .37)"," .16( .05, .26)"," .00( .00), $p$=.28  "," .80(1.12), $p$=.47  ","(-1.39,3.00)","1.07( NaN, NaN)","-.02( .01), $p$=.29  ","-.05( .05), $p$=.29  ","(-.14, .04)","-.05(-.16, .06)"
Learning & Memory,satsa,b1,female,aehplus,fev,Figure Memory,409," .10( .08), $p$=.25  "," .10( .08), $p$=.25  ","(-.07, .26)"," .10( .00, .19)"," .00( .00), $p$=.29  "," .25( .24), $p$=.29  ","(-.21, .71)",---," .03( .03), $p$=.21  "," .06( .04), $p$=.21  ","(-.03, .14)"," .05(-.04, .15)"
Learning & Memory,satsa,b1,male,aehplus,fev,Figure Memory,298," .40( .17), $p$=.02 *"," .23( .09), $p$=.01 **","( .06, .40)"," .23( .12, .33)"," .00( .00), $p$=.89  "," .05( .38), $p$=.89  ","(-.68, .79)",---," .01( .04), $p$=.82  "," .01( .04), $p$=.82  ","(-.08, .10)"," .01(-.10, .12)"
Learning & Memory,map,b1,female,aehplus,fev,Logical Memory Delayed,935," .05( .05), $p$=.31  "," .05( .04), $p$=.31  ","(-.04, .13)"," .05(-.02, .11)","-.00( .00), $p$=.14  ","-.60( .79), $p$=.44  ","(-2.15, .94)",---," .00( .01), $p$=.78  "," .01( .03), $p$=.78  ","(-.05, .07)"," .01(-.06, .07)"
Learning & Memory,map,b1,male,aehplus,fev,Logical Memory Delayed,321," .23( .12), $p$=.05 *"," .14( .07), $p$=.04 *","( .00, .27)"," .14( .03, .24)"," .00( .01), $p$=.90  "," .05( .44), $p$=.90  ","(-.80, .91)"," .06(-.05, .17)","-.01( .02), $p$=.76  ","-.01( .04), $p$=.76  ","(-.10, .07)","-.01(-.12, .10)"
Learning & Memory,map,b1,female,aehplus,fev,Logical Memory Immediate,935," .05( .05), $p$=.33  "," .04( .05), $p$=.33  ","(-.05, .14)"," .04(-.02, .11)","-.00( .00), $p$=.80  ","-.11( .47), $p$=.81  ","(-1.03, .81)",---," .00( .01), $p$=.91  "," .00( .03), $p$=.91  ","(-.05, .06)"," .00(-.06, .07)"
Learning & Memory,map,b1,male,aehplus,fev,Logical Memory Immediate,321," .16( .11), $p$=.14  "," .11( .07), $p$=.14  ","(-.03, .25)"," .11(-.00, .22)"," .00( .01), $p$=.90  "," .12(1.05), $p$=.91  ","(-1.93,2.17)"," .16( .05, .26)","-.01( .02), $p$=.78  ","-.01( .04), $p$=.78  ","(-.10, .07)","-.01(-.12, .10)"
Learning & Memory,eas,b1,female,aehplus,pef,Logical Memory Total,324,"35.38(61.57), $p$=.57  "," .07( .12), $p$=.57  ","(-.16, .29)"," .07(-.04, .17)","2.85(4.29), $p$=.51  "," .30( .46), $p$=.51  ","(-.59,1.19)"," .30( .19, .39)","-7.57(15.76), $p$=.63  ","-.03( .07), $p$=.63  ","(-.17, .10)","-.03(-.14, .08)"
Learning & Memory,eas,b1,male,aehplus,pef,Logical Memory Total,324,"35.38(61.57), $p$=.57  "," .07( .12), $p$=.57  ","(-.16, .29)"," .07(-.04, .17)","2.85(4.29), $p$=.51  "," .30( .46), $p$=.51  ","(-.59,1.19)"," .30( .19, .39)","-7.57(15.76), $p$=.63  ","-.03( .07), $p$=.63  ","(-.17, .10)","-.03(-.14, .08)"
Learning & Memory,octo,b1,female,aehplus,pef,Objects Recalled,271,"13.19(10.49), $p$=.21  "," .13( .10), $p$=.20  ","(-.07, .33)"," .13( .01, .24)"," .27( .42), $p$=.53  "," .18( .28), $p$=.53  ","(-.37, .72)"," .18( .06, .29)","3.53(3.78), $p$=.35  "," .06( .06), $p$=.35  ","(-.06, .17)"," .06(-.06, .17)"
Learning & Memory,octo,b1,male,aehplus,pef,Objects Recalled,137,"76.75(20.62), $p$<.01 ***"," .58( .12), $p$<.01 ***","( .35, .81)"," .58( .45, .68)"," .84( .44), $p$=.06 ."," .43( .17), $p$=.01 **","( .10, .76)"," .43( .28, .56)","-1.34(6.98), $p$=.85  ","-.02( .09), $p$=.85  ","(-.19, .16)","-.02(-.18, .15)"
Learning & Memory,octo,b1,female,aehplus,pef,Objects Recognized,271,"2.85(2.73), $p$=.30  "," .07( .07), $p$=.30  ","(-.06, .20)"," .07(-.05, .19)"," .26( .28), $p$=.36  "," .52( .32), $p$=.10  ","(-.11,1.15)"," .54( .45, .62)","3.84(1.89), $p$=.04 *"," .15( .06), $p$=.02 *","( .03, .27)"," .15( .03, .26)"
