process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
fluid reasoning,satsa,b1,male,aehplus,fev,analogies,299,0.109,0.102,0.289,-0.09091999999999999,0.30892,-0.043,0.625,0.946,-1.268,1.1820000000000002,0.06,0.053,0.251,-0.04388,0.16388
fluid reasoning,eas,b1,male,aehplus,pef,block,324,0.308,0.111,0.005,0.09043999999999999,0.52556,0.58,0.723,0.422,-0.8370799999999999,1.99708,-0.113,0.07,0.108,-0.25020000000000003,0.024200000000000013
fluid reasoning,octo,b1,male,aehplus,pef,block,136,0.305,0.116,0.008,0.07763999999999999,0.5323599999999999,0.747,0.18,0.0,0.3942,1.0998000000000001,0.114,0.066,0.083,-0.015359999999999999,0.24336000000000002
fluid reasoning,satsa,b1,male,aehplus,fev,block,299,0.198,0.076,0.009,0.04904000000000003,0.34696,0.145,0.21,0.49,-0.26659999999999995,0.5566,0.007,0.054,0.892,-0.09884,0.11284000000000001
fluid reasoning,nas,b1,male,aehplus,fev,fig_copy,1131,0.19,0.056,0.001,0.08024,0.29976,0.518,0.432,0.231,-0.32872,1.3647200000000002,-0.094,0.03,0.002,-0.1528,-0.0352
fluid reasoning,octo,b1,male,aehplus,pef,fig_logic,133,0.288,0.132,0.029,0.029279999999999973,0.54672,0.787,0.139,0.0,0.51456,1.05944,0.014,0.085,0.869,-0.15259999999999999,0.1806
fluid reasoning,map,b1,male,aehplus,fev,matrices,308,0.081,0.076,0.284,-0.06795999999999998,0.22996,0.433,0.677,0.523,-0.89392,1.7599200000000002,-0.016,0.042,0.697,-0.09832,0.06632
fluid reasoning,lasa,b1,male,aehplus,pef,raven,800,0.184,0.046,0.0,0.09384,0.27415999999999996,0.544,0.19,0.004,0.17160000000000003,0.9164000000000001,0.033,0.028,0.247,-0.021879999999999997,0.08788
fluid reasoning,satsa,b1,male,aehplus,fev,rotate,298,0.19,0.084,0.024,0.025359999999999994,0.35464,0.135,0.376,0.72,-0.6019599999999999,0.87196,0.019,0.048,0.695,-0.07508,0.11308
mental status,octo,b1,male,aehplus,pef,clock,138,0.27,0.142,0.057,-0.008319999999999939,0.5483199999999999,-0.173,0.532,0.745,-1.2157200000000001,0.86972,0.04,0.11,0.719,-0.17559999999999998,0.2556
mental status,eas,b1,male,aehplus,pef,mmse,324,0.307,0.156,0.049,0.0012400000000000189,0.61276,0.755,1.102,0.493,-1.4049200000000002,2.91492,-0.047,0.058,0.417,-0.16068,0.06668
mental status,map,b1,male,aehplus,fev,mmse,321,0.037,0.085,0.662,-0.1296,0.2036,-0.579,0.787,0.462,-2.1215200000000003,0.9635200000000002,0.018,0.048,0.717,-0.07608,0.11208
mental status,nas,b1,male,aehplus,fev,mmse,1131,0.199,0.074,0.007,0.05396000000000001,0.34404,-0.117,0.226,0.606,-0.55996,0.32596,-0.021,0.028,0.439,-0.07588,0.033879999999999993
mental status,octo,b1,male,aehplus,pef,mmse,140,0.66,0.135,0.0,0.39540000000000003,0.9246000000000001,0.147,0.369,0.69,-0.57624,0.87024,0.145,0.164,0.376,-0.17644,0.46643999999999997
mental status,satsa,b1,male,aehplus,fev,mmse,299,0.163,0.122,0.181,-0.07612,0.40212000000000003,0.351,0.299,0.24,-0.23504000000000003,0.93704,0.051,0.047,0.282,-0.04112,0.14312
perceptual speed,lasa,b1,male,aehplus,pef,letter,800,0.161,0.041,0.0,0.08064,0.24136000000000002,0.184,0.12,0.126,-0.051199999999999996,0.4192,0.124,0.029,0.0,0.06716,0.18084
perceptual speed,map,b1,male,aehplus,fev,num_comp,321,0.02,0.07,0.771,-0.11720000000000001,0.1572,-0.747,0.494,0.131,-1.71524,0.22124,0.021,0.043,0.636,-0.06327999999999999,0.10528
perceptual speed,nas,b1,male,aehplus,fev,pat_comp,1131,-0.011,0.06,0.857,-0.1286,0.1066,-0.254,0.282,0.368,-0.80672,0.29872,0.026,0.033,0.445,-0.038680000000000006,0.09068
perceptual speed,octo,b1,male,aehplus,pef,psif,127,0.356,0.122,0.004,0.11687999999999998,0.59512,0.512,0.291,0.079,-0.05835999999999997,1.08236,-0.087,0.101,0.388,-0.28496,0.11096
perceptual speed,eas,b1,male,aehplus,pef,symbol,324,0.397,0.097,0.0,0.20688,0.5871200000000001,0.673,0.325,0.038,0.03600000000000003,1.31,-0.134,0.067,0.044,-0.26532,-0.0026800000000000157
perceptual speed,map,b1,male,aehplus,fev,symbol,321,0.165,0.074,0.025,0.019960000000000006,0.31004,-0.365,0.808,0.651,-1.94868,1.21868,0.063,0.046,0.17,-0.02715999999999999,0.15316
perceptual speed,octo,b1,male,aehplus,pef,symbol,133,0.311,0.108,0.004,0.09931999999999999,0.52268,0.728,0.143,0.0,0.44772,1.00828,-0.041,0.071,0.571,-0.18016,0.09815999999999997
perceptual speed,satsa,b1,male,aehplus,fev,symbol,299,0.201,0.082,0.014,0.04028000000000001,0.36172000000000004,0.066,0.267,0.805,-0.45732,0.5893200000000001,0.013,0.056,0.822,-0.09676,0.12276
semantic memory,eas,b1,male,aehplus,pef,bnt,324,0.037,0.136,0.787,-0.22956000000000001,0.30356,0.165,1.402,0.906,-2.5829199999999997,2.9129199999999997,0.053,0.063,0.396,-0.07047999999999999,0.17648
semantic memory,map,b1,male,aehplus,fev,bnt,321,0.075,0.081,0.355,-0.083760000000000015,0.23376000000000002,0.163,1.336,0.903,-2.45556,2.78156,-0.036,0.058,0.533,-0.14968,0.07768
semantic memory,octo,b1,male,aehplus,pef,information,138,0.062,0.117,0.593,-0.16732,0.29132,-0.067,0.386,0.862,-0.8235600000000001,0.68956,0.047,0.076,0.532,-0.10195999999999998,0.19595999999999997
semantic memory,satsa,b1,male,aehplus,fev,information,299,0.106,0.08,0.185,-0.0508,0.2628,-0.028,0.304,0.926,-0.62384,0.5678399999999999,0.108,0.049,0.029,0.011959999999999998,0.20404
