domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
perceptual speed,ilse,b1,male,aehplus,tug,symbol,252,"-2.28(1.38), $p$=.10 .",-2.282,1.382,0.099,---,NA,NA,NA,---,NA,NA,"-.47(-.56,-.37)",-0.47292071437927363,-0.5635590799055834,-0.3710309757163042,"-.01( .02), $p$=.68  ",---,NA,NA,NA,---,NA,NA,"-.42(-.52,-.31)",-0.4193139346887673,-0.5161424404671184,-0.3119025732967524,"-.49( .46), $p$=.28  ",-0.49,0.455,0.281,---,NA,NA,NA,---,NA,NA,"-.09(-.21, .03)",-0.09140057182943137,-0.2125724924965888,0.03253980125383556
perceptual speed,map,b1,male,aehplus,gait,symbol,321," .53( .09), $p$<.01 ***",0.528,0.094,0.0," .46( .07), $p$<.01 ***",0.459,0.07,0.0,"( .32, .60)",0.3218,0.5962000000000001," .45( .36, .54)",0.45427225581232755,0.3628472905822814,0.537035092422752,"-.01( .01), $p$=.35  ","-.33( .40), $p$=.41  ",-0.334,0.402,0.406,"(-1.12, .45)",-1.12192,0.45392000000000005,---,-Inf,NaN,NaN," .06( .03), $p$=.06 .",0.057,0.03,0.06," .09( .05), $p$=.06 .",0.089,0.047,0.058,"(-.00, .18)",-0.0031199999999999978,0.18112," .09(-.02, .20)",0.08790238013282871,-0.021776041751553156,0.1954901418428707
perceptual speed,octo,b1,male,aehplus,gait,symbol,134,"-7.59(2.82), $p$=.01 **",-7.591,2.819,0.007,"-.46( .14), $p$<.01 **",-0.457,0.145,0.002,"(-.74,-.17)",-0.7412,-0.17280000000000006,"-.46(-.58,-.31)",-0.4573572598959227,-0.5818183823968516,-0.3119656914083697," .00( .11), $p$=.99  "," .00(1.01), $p$=.99  ",0.005,1.007,0.996,"(-1.97,1.98)",-1.9687199999999998,1.9787199999999996," .01(-.16, .18)",0.008838144311777256,-0.16099156091674705,0.17815951404226293,"-2.51(1.15), $p$=.03 *",-2.512,1.15,0.029,"-.23( .09), $p$=.01 *",-0.235,0.093,0.012,"(-.42,-.05)",-0.41728,-0.05271999999999999,"-.24(-.39,-.07)",-0.2350715168798189,-0.389146440639152,-0.0682020141315975
semantic memory,eas,b1,male,aehplus,gait,bnt,222,"6.14(6.14), $p$=.32  ",6.143,6.141,0.317," .19( .18), $p$=.29  ",0.188,0.178,0.289,"(-.16, .54)",-0.16087999999999997,0.53688," .19( .06, .31)",0.18835595317392623,0.058124418179269985,0.3122839721625955,"-.00( .42), $p$=.99  ","-.04(3.45), $p$=.99  ",-0.038,3.452,0.991,"(-6.80,6.73)",-6.80392,6.727919999999999,"-.04(-.17, .09)",-0.0394656224586992,-0.17025398990328341,0.09268914501507965," .29( .95), $p$=.76  ",0.289,0.947,0.76," .02( .08), $p$=.76  ",0.025,0.081,0.759,"(-.13, .18)",-0.13376000000000002,0.18376," .02(-.11, .16)",0.02472466372106074,-0.1072977546533161,0.1558902542709939
semantic memory,map,b1,male,aehplus,gait,bnt,321," .04( .02), $p$=.01 **",0.044,0.017,0.008," .31( .07), $p$<.01 ***",0.31,0.073,0.0,"( .17, .45)",0.16692,0.45308," .31( .20, .40)",0.30673380900453645,0.20411878997471947,0.4026815268539256,"-.00( .00), $p$=.31  ","-.63( .77), $p$=.41  ",-0.63,0.767,0.412,"(-2.13, .87)",-2.13332,0.87332,"-.41(-.50,-.31)",-0.4082482904638631,-0.4955699119100188,-0.3127566562817299,"-.00( .00), $p$=.48  ",-0.003,0.004,0.48,"-.03( .04), $p$=.48  ",-0.031,0.044,0.478,"(-.12, .06)",-0.11724,0.05524,"-.03(-.14, .08)",-0.03389668218563844,-0.14283555232333436,0.07585366311888107
semantic memory,octo,b1,male,aehplus,gait,information,140,"-2.86(1.95), $p$=.14  ",-2.856,1.947,0.142,"-.21( .14), $p$=.13  ",-0.207,0.135,0.126,"(-.47, .06)",-0.4716,0.05760000000000001,"-.21(-.36,-.04)",-0.20683529296159026,-0.36037251560370326,-0.04238648997881924,"-.02( .10), $p$=.83  ","-.14( .60), $p$=.82  ",-0.136,0.6,0.821,"(-1.31,1.04)",-1.3119999999999998,1.04,"-.13(-.29, .03)",-0.13421887304828983,-0.2935847979026798,0.032406003525360466,"-.90( .81), $p$=.27  ",-0.897,0.807,0.267,"-.11( .09), $p$=.25  ",-0.107,0.093,0.253,"(-.29, .08)",-0.28928,0.07528,"-.11(-.27, .06)",-0.10658439329881488,-0.26775307653955754,0.06038668711140142
semantic memory,map,b1,male,aehplus,gait,nart,321," .05( .02), $p$=.03 *",0.049,0.022,0.027," .19( .08), $p$=.02 *",0.194,0.085,0.022,"( .03, .36)",0.027400000000000008,0.36060000000000003," .19( .09, .30)",0.19362296022844183,0.08597640914155023,0.29680094019451086," .00( .00), $p$=.56  "," .26( .48), $p$=.58  ",0.265,0.476,0.578,"(-.67,1.20)",-0.6679599999999999,1.19796," .22( .12, .33)",0.223606797749979,0.11700188801368508,0.32511745753611904," .00( .00), $p$=.70  ",0.002,0.005,0.696," .02( .04), $p$=.70  ",0.016,0.041,0.696,"(-.06, .10)",-0.06436,0.09636," .02(-.09, .13)",0.01602206154548698,-0.09361100468651382,0.12527122648119923
semantic memory,octo,b1,male,aehplus,gait,synonyms,134,"-.87(1.52), $p$=.57  ",-0.869,1.517,0.567,"-.09( .16), $p$=.56  ",-0.092,0.16,0.563,"(-.41, .22)",-0.40559999999999996,0.2216,"-.09(-.26, .08)",-0.09237089036791629,-0.25791898480614056,0.07844637818864918,"-.02( .06), $p$=.65  ","-.63(1.90), $p$=.74  ",-0.631,1.903,0.74,"(-4.36,3.10)",-4.36088,3.0988800000000003,"-.63(-.72,-.51)",-0.6263716900023575,-0.7195279656240537,-0.5110721133117246,"-.38( .49), $p$=.44  ",-0.382,0.494,0.44,"-.06( .08), $p$=.44  ",-0.065,0.084,0.441,"(-.23, .10)",-0.22964,0.09964,"-.06(-.23, .11)",-0.06460549223212171,-0.23165579558785757,0.10614588192790211
semantic memory,ilse,b1,male,aehplus,tug,waisgeneral,252,"-.41( .47), $p$=.38  ",-0.412,0.467,0.378,---,NA,NA,NA,---,NA,NA,"-.24(-.35,-.12)",-0.24105779455148985,-0.3540831437759548,-0.12109206076040853,"-.00( .01), $p$=.80  ",---,NA,NA,NA,---,NA,NA,"-.27(-.38,-.15)",-0.2672612419124244,-0.378338978803237,-0.1485959585386588,"-.20( .19), $p$=.29  ",-0.203,0.194,0.295,---,NA,NA,NA,---,NA,NA,"-.09(-.21, .04)",-0.08845441860037284,-0.20973474752959542,0.03550653598002327
semantic memory,eas,b1,male,aehplus,gait,waisvocab,222,"6.94(29.02), $p$=.81  ",6.943,29.021,0.811," .04( .17), $p$=.81  ",0.042,0.173,0.81,"(-.30, .38)",-0.29708,0.38108," .04(-.09, .17)",0.041602370802619575,-0.09056684922158834,0.172331456715308,"-.34(1.69), $p$=.84  ","-.34(1.82), $p$=.85  ",-0.341,1.816,0.851,"(-3.90,3.22)",-3.90036,3.2183599999999997,"-.34(-.45,-.22)",-0.34102726299693875,-0.4523863554731362,-0.2191970086155953,"-3.81(6.28), $p$=.54  ",-3.812,6.283,0.544,"-.06( .10), $p$=.54  ",-0.063,0.102,0.54,"(-.26, .14)",-0.26292,0.13692,"-.06(-.19, .07)",-0.06267754988770746,-0.19275981593549676,0.06956970793839458
