domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
perceptual speed,map,b1,female,aehplus,fev,symbol,934," .49( .11), $p$<.01 ***"," .19( .04), $p$<.01 ***","( .11, .27)"," .19( .12, .25)"," .00( .01), $p$=.77  "," .12( .39), $p$=.76  ","(-.65, .88)",---," .03( .02), $p$=.12  "," .05( .03), $p$=.12  ","(-.01, .10)"," .05(-.02, .11)"
perceptual speed,octo,b1,female,aehplus,pef,symbol,264,"202.50(47.95), $p$<.01 ***"," .38( .08), $p$<.01 ***","( .22, .53)"," .38( .27, .48)","2.24(1.02), $p$=.03 *"," .66( .17), $p$<.01 ***","( .32,1.00)"," .66( .58, .72)","8.33(13.91), $p$=.55  "," .03( .06), $p$=.55  ","(-.08, .15)"," .03(-.09, .15)"
perceptual speed,satsa,b1,female,aehplus,fev,symbol,408," .25( .20), $p$=.22  "," .10( .08), $p$=.22  ","(-.06, .26)"," .10( .00, .20)","-.00( .00), $p$=.39  ","-.16( .20), $p$=.42  ","(-.54, .23)",---," .05( .06), $p$=.38  "," .04( .05), $p$=.38  ","(-.05, .13)"," .04(-.05, .14)"
semantic memory,eas,b1,female,aehplus,pef,bnt,545,"18.42(10.03), $p$=.07 ."," .17( .09), $p$=.06 .","(-.01, .35)"," .17( .09, .25)"," .17( .80), $p$=.83  "," .16( .81), $p$=.84  ","(-1.43,1.75)"," .16( .08, .24)","-3.29(2.78), $p$=.24  ","-.06( .05), $p$=.24  ","(-.16, .04)","-.06(-.14, .02)"
semantic memory,map,b1,female,aehplus,fev,bnt,934," .03( .02), $p$=.10  "," .08( .05), $p$=.10  ","(-.02, .18)"," .08( .02, .14)"," .00( .00), $p$=.92  ","-.04( .43), $p$=.92  ","(-.88, .80)",---,"-.00( .00), $p$=.35  ","-.03( .03), $p$=.35  ","(-.09, .03)","-.03(-.09, .03)"
semantic memory,octo,b1,female,aehplus,pef,information,275,"61.57(51.70), $p$=.23  "," .11( .09), $p$=.23  ","(-.07, .28)"," .11(-.01, .22)"," .56( .85), $p$=.51  "," .20( .30), $p$=.51  ","(-.39, .78)"," .19( .08, .31)","10.61(10.96), $p$=.33  "," .06( .06), $p$=.33  ","(-.06, .17)"," .06(-.06, .17)"
semantic memory,satsa,b1,female,aehplus,fev,information,410," .06( .15), $p$=.66  "," .03( .07), $p$=.66  ","(-.11, .18)"," .03(-.07, .13)"," .00( .00), $p$=.05 ."," .31( .16), $p$=.06 .","(-.01, .62)",---," .09( .03), $p$=.01 **"," .11( .04), $p$=.01 **","( .03, .18)"," .11( .01, .20)"
semantic memory,map,b1,female,aehplus,fev,nart,932," .09( .03), $p$<.01 ***"," .15( .04), $p$<.01 ***","( .07, .24)"," .15( .09, .22)"," .00( .00), $p$=.56  "," .32( .63), $p$=.61  ","(-.91,1.55)",---," .00( .00), $p$=.72  "," .01( .03), $p$=.72  ","(-.05, .08)"," .01(-.06, .07)"
semantic memory,octo,b1,female,aehplus,pef,synonyms,265,"44.38(26.85), $p$=.10 ."," .16( .10), $p$=.09 .","(-.03, .36)"," .16( .04, .28)"," .62( .67), $p$=.36  "," .27( .32), $p$=.40  ","(-.37, .91)"," .27( .15, .38)","-7.00(6.72), $p$=.30  ","-.06( .06), $p$=.30  ","(-.17, .05)","-.06(-.18, .06)"
semantic memory,satsa,b1,female,aehplus,fev,synonyms,409," .23( .10), $p$=.01 *"," .18( .07), $p$=.01 *","( .04, .33)"," .18( .09, .27)"," .00( .00), $p$=.21  "," .33( .25), $p$=.18  ","(-.16, .81)",---," .04( .02), $p$=.09 ."," .08( .04), $p$=.08 .","(-.01, .17)"," .08(-.02, .18)"
semantic memory,eas,b1,female,aehplus,pef,waisvocab,545,"14.27(50.35), $p$=.78  "," .03( .09), $p$=.78  ","(-.15, .21)"," .03(-.06, .11)","-7.35(3.77), $p$=.05 .","-.70( .40), $p$=.08 .","(-1.48, .09)","-.70(-.74,-.65)","-8.95(10.78), $p$=.41  ","-.04( .05), $p$=.41  ","(-.13, .05)","-.04(-.12, .05)"
short-term memory,map,b1,female,aehplus,fev,bstory_im,935," .03( .02), $p$=.12  "," .09( .06), $p$=.12  ","(-.02, .20)"," .09( .03, .15)"," .00( .00), $p$=.84  "," .11( .60), $p$=.85  ","(-1.06,1.29)",---,"-.01( .01), $p$=.22  ","-.03( .03), $p$=.22  ","(-.09, .02)","-.03(-.10, .03)"
short-term memory,eas,b1,female,aehplus,pef,digit_tot,545,"23.08(16.20), $p$=.15  "," .13( .09), $p$=.15  ","(-.05, .32)"," .13( .05, .22)","1.63(1.21), $p$=.18  "," .44( .31), $p$=.15  ","(-.16,1.04)"," .44( .37, .50)","-1.79(3.12), $p$=.57  ","-.03( .05), $p$=.57  ","(-.12, .07)","-.03(-.11, .06)"
short-term memory,satsa,b1,female,aehplus,fev,fig_mem,409," .10( .08), $p$=.25  "," .10( .08), $p$=.25  ","(-.07, .26)"," .10( .00, .19)"," .00( .00), $p$=.29  "," .25( .24), $p$=.29  ","(-.21, .71)",---," .03( .03), $p$=.21  "," .06( .04), $p$=.21  ","(-.03, .14)"," .05(-.04, .15)"
short-term memory,map,b1,female,aehplus,fev,logic_im,935," .05( .05), $p$=.33  "," .04( .05), $p$=.33  ","(-.05, .14)"," .04(-.02, .11)","-.00( .00), $p$=.80  ","-.11( .47), $p$=.81  ","(-1.03, .81)",---," .00( .01), $p$=.91  "," .00( .03), $p$=.91  ","(-.05, .06)"," .00(-.06, .07)"
short-term memory,octo,b1,female,aehplus,pef,prose_im,268,"27.30(17.51), $p$=.12  "," .15( .09), $p$=.11  ","(-.04, .33)"," .15( .03, .26)","-.09( .56), $p$=.87  ","-.06( .37), $p$=.87  ","(-.78, .66)","-.06(-.18, .06)","7.16(5.99), $p$=.23  "," .07( .06), $p$=.24  ","(-.05, .20)"," .07(-.05, .19)"
short-term memory,eas,b1,female,aehplus,pef,word_im,545,"78.74(26.90), $p$<.01 **"," .29( .10), $p$<.01 **","( .10, .48)"," .29( .21, .36)","3.12(2.14), $p$=.14  "," .64( .53), $p$=.23  ","(-.39,1.67)"," .64( .58, .68)","-5.33(6.52), $p$=.41  ","-.04( .05), $p$=.41  ","(-.14, .06)","-.04(-.12, .04)"
short-term memory,elsa,b1,female,aehplus,fev,word_im,3511," .03( .02), $p$=.09 ."," .07( .04), $p$=.09 .","(-.01, .15)"," .07( .04, .10)"," .00( .00), $p$=.68  ","-.16( .43), $p$=.71  ","(-1.00, .68)",---," .01( .01), $p$=.29  "," .02( .02), $p$=.28  ","(-.02, .07)"," .02(-.01, .06)"
short-term memory,hrs,b1,female,aehplus,pef,word_im,4612,"18.90(1.80), $p$<.01 ***"," .31( .03), $p$<.01 ***","( .26, .37)"," .31( .29, .34)"," .04( .04), $p$=.30  "," .44( .55), $p$=.43  ","(-.65,1.53)"," .44( .42, .47)","1.71( .85), $p$=.04 *"," .04( .02), $p$=.04 *","( .00, .07)"," .04( .01, .07)"
short-term memory,lasa,b1,female,aehplus,pef,word_im,782,"37.66(13.01), $p$<.01 **"," .16( .05), $p$<.01 **","( .06, .27)"," .16( .09, .23)"," .01( .06), $p$=.86  "," .10( .57), $p$=.86  ","(-1.02,1.22)"," .10( .03, .17)","25.45(4.52), $p$<.01 ***"," .14( .02), $p$<.01 ***","( .09, .18)"," .14( .07, .20)"
short-term memory,map,b1,female,aehplus,fev,word_im,935," .11( .05), $p$=.02 *"," .11( .04), $p$=.02 *","( .02, .20)"," .11( .04, .17)","-.01( .00), $p$=.09 .","-.55( .43), $p$=.19  ","(-1.39, .28)",---," .01( .01), $p$=.34  "," .03( .03), $p$=.33  ","(-.03, .09)"," .03(-.03, .09)"
verbal comprehension,map,b1,female,aehplus,fev,ideas,935," .02( .01), $p$<.01 **"," .19( .06), $p$<.01 ***","( .08, .30)"," .19( .13, .25)"," .00( .00), $p$=.61  ","-.24( .56), $p$=.66  ","(-1.35, .86)",---," .00( .00), $p$=.46  "," .02( .03), $p$=.46  ","(-.04, .08)"," .02(-.05, .08)"
visual discrimination,map,b1,female,aehplus,fev,line,934," .10( .03), $p$<.01 **"," .14( .05), $p$<.01 **","( .05, .24)"," .14( .08, .20)","-.00( .00), $p$=.70  ","-.32( .87), $p$=.72  ","(-2.02,1.39)",---,"-.01( .01), $p$=.10  ","-.04( .03), $p$=.11  ","(-.09, .01)","-.04(-.11, .02)"
working memory,map,b1,female,aehplus,fev,digit_b,935," .06( .02), $p$=.01 **"," .12( .04), $p$=.01 **","( .03, .21)"," .12( .06, .18)"," .00( .00), $p$=.10  "," .68( .53), $p$=.20  ","(-.36,1.73)",---,"-.01( .01), $p$=.18  ","-.04( .03), $p$=.18  ","(-.10, .02)","-.04(-.11, .02)"
working memory,octo,b1,female,aehplus,pef,digit_b,276,"8.67(5.94), $p$=.14  "," .18( .13), $p$=.16  ","(-.07, .44)"," .19( .07, .30)"," .04( .12), $p$=.77  "," .16( .50), $p$=.76  ","(-.82,1.14)"," .14( .03, .26)"," .81(2.51), $p$=.74  "," .02( .05), $p$=.75  ","(-.08, .11)"," .02(-.10, .13)"
working memory,satsa,b1,female,aehplus,fev,digit_b,409," .08( .03), $p$<.01 ***"," .31( .10), $p$<.01 ***","( .12, .50)"," .31( .22, .39)"," .00( .00), $p$=.17  "," .34( .24), $p$=.17  ","(-.14, .82)",---,"-.01( .01), $p$=.51  ","-.03( .05), $p$=.51  ","(-.13, .07)","-.04(-.13, .06)"
working memory,map,b1,female,aehplus,fev,digit_o,935," .06( .02), $p$<.01 ***"," .18( .05), $p$<.01 ***","( .08, .27)"," .18( .11, .24)"," .00( .00), $p$=.69  ","-.20( .57), $p$=.72  ","(-1.33, .92)",---," .00( .00), $p$=.28  "," .03( .03), $p$=.28  ","(-.02, .09)"," .03(-.03, .09)"
