domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
episodic memory,hrs,b1,male,aehplus,pef,word_de,3288,"30.33(3.72), $p$<.01 ***"," .27( .03), $p$<.01 ***","( .21, .34)"," .27( .24, .30)"," .15( .08), $p$=.07 ."," .70( .54), $p$=.19  ","(-.35,1.76)"," .74( .72, .75)","1.95(1.80), $p$=.28  "," .03( .02), $p$=.28  ","(-.02, .07)"," .03(-.01, .06)"
episodic memory,map,b1,male,aehplus,fev,word_de,321," .08( .07), $p$=.25  "," .10( .08), $p$=.25  ","(-.07, .26)"," .09(-.02, .20)"," .00( .00), $p$=.43  "," .69(1.04), $p$=.50  ","(-1.34,2.72)"," .57( .49, .64)"," .00( .01), $p$=.92  "," .00( .05), $p$=.92  ","(-.09, .10)"," .00(-.11, .11)"
episodic memory,nas,b1,male,aehplus,fev,word_de,1131," .57( .32), $p$=.07 ."," .08( .05), $p$=.07 .","(-.01, .17)"," .08( .03, .14)","-.00( .00), $p$=.77  ","-.03( .12), $p$=.77  ","(-.26, .19)","-.06(-.12,-.01)"," .04( .05), $p$=.50  "," .02( .03), $p$=.50  ","(-.04, .08)"," .02(-.04, .08)"
episodic memory,map,b1,male,aehplus,fev,word_rec,321," .00( .04), $p$=.93  "," .01( .08), $p$=.93  ","(-.14, .16)"," .01(-.10, .12)","-.00( .00), $p$=.22  ","-.58( .43), $p$=.18  ","(-1.43, .27)","-.55(-.62,-.47)"," .01( .01), $p$=.19  "," .06( .05), $p$=.17  ","(-.03, .16)"," .06(-.05, .17)"
executive function,eas,b1,male,aehplus,pef,trailsb,324,"-2188.20(674.13), $p$<.01 ***","-.42( .11), $p$<.01 ***","(-.64,-.20)","-.42(-.51,-.33)","-81.33(52.55), $p$=.12  ","-.96( .55), $p$=.08 .","(-2.04, .12)","-.96(-.97,-.95)","3.96(160.21), $p$=.98  "," .00( .07), $p$=.98  ","(-.14, .15)"," .00(-.11, .11)"
fluency,nas,b1,male,aehplus,fev,animals,1131,"-.92( .82), $p$=.26  ","-.05( .05), $p$=.26  ","(-.15, .04)","-.05(-.11, .00)","-.00( .00), $p$=.87  ","-.03( .17), $p$=.87  ","(-.37, .31)","-.04(-.09, .02)"," .15( .14), $p$=.29  "," .03( .03), $p$=.30  ","(-.03, .09)"," .03(-.03, .09)"
fluency,eas,b1,male,aehplus,pef,categories,324,"54.30(88.35), $p$=.54  "," .07( .11), $p$=.54  ","(-.15, .28)"," .07(-.04, .18)","5.08(4.99), $p$=.31  "," .30( .28), $p$=.29  ","(-.25, .85)"," .30( .20, .39)","6.40(16.74), $p$=.70  "," .02( .06), $p$=.70  ","(-.10, .15)"," .02(-.08, .13)"
fluency,map,b1,male,aehplus,fev,categories,321," .62( .29), $p$=.03 *"," .16( .07), $p$=.02 *","( .02, .30)"," .16( .05, .27)"," .00( .01), $p$=.75  "," .17( .50), $p$=.73  ","(-.82,1.16)"," .14( .03, .24)","-.01( .05), $p$=.76  ","-.01( .05), $p$=.76  ","(-.11, .08)","-.01(-.12, .10)"
fluency,eas,b1,male,aehplus,pef,fas,324,"145.88(108.60), $p$=.18  "," .14( .11), $p$=.17  ","(-.06, .35)"," .15( .04, .25)","-2.03(6.53), $p$=.76  ","-.42(1.79), $p$=.81  ","(-3.93,3.08)","-.42(-.51,-.33)","5.89(22.57), $p$=.79  "," .02( .07), $p$=.79  ","(-.12, .16)"," .02(-.09, .13)"
fluid reasoning,satsa,b1,male,aehplus,fev,analogies,299," .15( .14), $p$=.29  "," .11( .10), $p$=.29  ","(-.09, .31)"," .11(-.00, .22)"," .00( .00), $p$=.94  ","-.04( .62), $p$=.95  ","(-1.27,1.18)",---," .04( .04), $p$=.26  "," .06( .05), $p$=.25  ","(-.04, .16)"," .06(-.05, .17)"
