domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
episodic memory,nas,b1,male,aehplus,fev,word_de,1131," .57( .32), $p$=.07 .",0.569,0.318,0.073," .08( .05), $p$=.07 .",0.084,0.046,0.071,"(-.01, .17)",-0.006159999999999985,0.17415999999999998," .08( .03, .14)",0.0837047474393759,0.025538432682183844,0.14130620496195526,"-.00( .00), $p$=.77  ","-.03( .12), $p$=.77  ",-0.033,0.115,0.772,"(-.26, .19)",-0.2584,0.19240000000000002,"-.06(-.12,-.01)",-0.06482037235521644,-0.12264787736087072,-0.006554214490633806," .04( .05), $p$=.50  ",0.036,0.054,0.505," .02( .03), $p$=.50  ",0.021,0.031,0.504,"(-.04, .08)",-0.039760000000000004,0.08176," .02(-.04, .08)",0.02051956704170308,-0.03781658811550335,0.07871633664396162
episodic memory,map,b1,male,aehplus,fev,word_rec,321," .00( .04), $p$=.93  ",0.003,0.037,0.93," .01( .08), $p$=.93  ",0.007,0.076,0.931,"(-.14, .16)",-0.14195999999999998,0.15596," .01(-.10, .12)",0.006087585131562896,-0.10345023450804954,0.11547950974265353,"-.00( .00), $p$=.22  ","-.58( .43), $p$=.18  ",-0.579,0.435,0.183,"(-1.43, .27)",-1.4316,0.27360000000000007,"-.55(-.62,-.47)",-0.5477225575051662,-0.6200161527478146,-0.46620677089289525," .01( .01), $p$=.19  ",0.009,0.007,0.19," .06( .05), $p$=.17  ",0.065,0.048,0.174,"(-.03, .16)",-0.029079999999999995,0.15908," .06(-.05, .17)",0.06262394507808823,-0.04716829144712449,0.17092109746295808
executive function,eas,b1,male,aehplus,pef,trailsb,324,"-2188.20(674.13), $p$<.01 ***",-2188.197,674.134,0.001,"-.42( .11), $p$<.01 ***",-0.421,0.114,0.0,"(-.64,-.20)",-0.64444,-0.19755999999999999,"-.42(-.51,-.33)",-0.42081689189251076,-0.5065506013084081,-0.3268431838460627,"-81.33(52.55), $p$=.12  ","-.96( .55), $p$=.08 .",-0.963,0.552,0.081,"(-2.04, .12)",-2.04492,0.11892000000000003,"-.96(-.97,-.95)",-0.9634170446586794,-0.970499880955022,-0.9546727712373242,"3.96(160.21), $p$=.98  ",3.961,160.213,0.98," .00( .07), $p$=.98  ",0.002,0.075,0.98,"(-.14, .15)",-0.145,0.149," .00(-.11, .11)",0.0018430123522986126,-0.10713872286594428,0.11078098601730502
fluency,nas,b1,male,aehplus,fev,animals,1131,"-.92( .82), $p$=.26  ",-0.917,0.821,0.264,"-.05( .05), $p$=.26  ",-0.054,0.048,0.264,"(-.15, .04)",-0.14808,0.04008,"-.05(-.11, .00)",-0.053929121207199185,-0.11186837677974495,0.004375556262436209,"-.00( .00), $p$=.87  ","-.03( .17), $p$=.87  ",-0.028,0.175,0.873,"(-.37, .31)",-0.371,0.31499999999999995,"-.04(-.09, .02)",-0.035533452725935076,-0.09363044064454631,0.022804704717576552," .15( .14), $p$=.29  ",0.152,0.145,0.295," .03( .03), $p$=.30  ",0.031,0.03,0.296,"(-.03, .09)",-0.0278,0.08979999999999999," .03(-.03, .09)",0.03123867566228434,-0.027101597048235677,0.08936686730943229
fluency,eas,b1,male,aehplus,pef,categories,324,"54.30(88.35), $p$=.54  ",54.305,88.353,0.539," .07( .11), $p$=.54  ",0.068,0.109,0.536,"(-.15, .28)",-0.14564,0.28164," .07(-.04, .18)",0.06766599007494671,-0.04160094976871983,0.17533349370534207,"5.08(4.99), $p$=.31  "," .30( .28), $p$=.29  ",0.299,0.28,0.286,"(-.25, .85)",-0.24980000000000008,0.8478000000000001," .30( .20, .39)",0.2986673371181583,0.196088393881251,0.3947802784111741,"6.40(16.74), $p$=.70  ",6.401,16.738,0.702," .02( .06), $p$=.70  ",0.024,0.064,0.702,"(-.10, .15)",-0.10144,0.14944," .02(-.08, .13)",0.02446416777351206,-0.08472188883376056,0.13306967459251046
fluency,map,b1,male,aehplus,fev,categories,321," .62( .29), $p$=.03 *",0.617,0.286,0.031," .16( .07), $p$=.02 *",0.162,0.072,0.024,"( .02, .30)",0.02088000000000001,0.30312," .16( .05, .27)",0.16172354061605246,0.053196433762899314,0.26647483178040077," .00( .01), $p$=.75  "," .17( .50), $p$=.73  ",0.172,0.505,0.734,"(-.82,1.16)",-0.8178000000000001,1.1618," .14( .03, .24)",0.1390096093713832,0.02999720331556821,0.24475401246569334,"-.01( .05), $p$=.76  ",-0.014,0.048,0.763,"-.01( .05), $p$=.76  ",-0.015,0.049,0.764,"(-.11, .08)",-0.11104,0.08104,"-.01(-.12, .10)",-0.014308504769940458,-0.12358381128447887,0.09530966247177529
fluency,eas,b1,male,aehplus,pef,fas,324,"145.88(108.60), $p$=.18  ",145.877,108.598,0.179," .14( .11), $p$=.17  ",0.145,0.106,0.171,"(-.06, .35)",-0.06276000000000001,0.35275999999999996," .15( .04, .25)",0.14531988657162356,0.036944651235087764,0.2503165723809395,"-2.03(6.53), $p$=.76  ","-.42(1.79), $p$=.81  ",-0.423,1.789,0.813,"(-3.93,3.08)",-3.92944,3.08344,"-.42(-.51,-.33)",-0.42389082937052647,-0.5093266579089726,-0.3301807459435107,"5.89(22.57), $p$=.79  ",5.891,22.567,0.794," .02( .07), $p$=.79  ",0.019,0.073,0.794,"(-.12, .16)",-0.12407999999999998,0.16207999999999997," .02(-.09, .13)",0.01915704909079794,-0.08999101437098853,0.12785039990705283
fluid reasoning,satsa,b1,male,aehplus,fev,analogies,299," .15( .14), $p$=.29  ",0.148,0.141,0.292," .11( .10), $p$=.29  ",0.109,0.102,0.289,"(-.09, .31)",-0.09091999999999999,0.30892," .11(-.00, .22)",0.10877646154702071,-0.0047119984718012025,0.21949848948990314," .00( .00), $p$=.94  ","-.04( .62), $p$=.95  ",-0.043,0.625,0.946,"(-1.27,1.18)",-1.268,1.1820000000000002,---,NaN,NaN,NaN," .04( .04), $p$=.26  ",0.043,0.038,0.255," .06( .05), $p$=.25  ",0.06,0.053,0.251,"(-.04, .16)",-0.04388,0.16388," .06(-.05, .17)",0.060585618720286484,-0.05321037688342378,0.1728282214331188
fluid reasoning,eas,b1,male,aehplus,pef,block,324,"233.41(84.93), $p$=.01 **",233.41,84.928,0.006," .31( .11), $p$<.01 **",0.308,0.111,0.005,"( .09, .53)",0.09043999999999999,0.52556," .31( .21, .40)",0.30844419698066805,0.20642141832489996,0.40383235958325275,"5.16(5.36), $p$=.34  "," .58( .72), $p$=.42  ",0.58,0.723,0.422,"(-.84,2.00)",-0.8370799999999999,1.99708," .58( .50, .65)",0.5799162137835182,0.5027218825593676,0.6479348568727699,"-32.02(19.98), $p$=.11  ",-32.02,19.982,0.109,"-.11( .07), $p$=.11  ",-0.113,0.07,0.108,"(-.25, .02)",-0.25020000000000003,0.024200000000000013,"-.11(-.22,-.00)",-0.11340983800642669,-0.21965573687186465,-0.0045052904533146925
fluid reasoning,octo,b1,male,aehplus,pef,block,136,"158.68(61.01), $p$=.01 **",158.683,61.005,0.009," .30( .12), $p$=.01 **",0.305,0.116,0.008,"( .08, .53)",0.07763999999999999,0.5323599999999999," .30( .14, .45)",0.304852557362512,0.14390437440089224,0.4500883844136586,"1.05( .82), $p$=.20  "," .75( .18), $p$<.01 ***",0.747,0.18,0.0,"( .39,1.10)",0.3942,1.0998000000000001," .75( .66, .81)",0.7490968742242431,0.6645639329975268,0.814698234939423,"19.93(11.46), $p$=.08 .",19.93,11.46,0.082," .11( .07), $p$=.08 .",0.114,0.066,0.083,"(-.02, .24)",-0.015359999999999999,0.24336000000000002," .11(-.06, .28)",0.1139250286674243,-0.055471651353167166,0.2769468106750372
