domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
episodic memory,hrs,b1,male,aehplus,grip,word_de,3290,"1.04( .23), $p$<.01 ***"," .15( .03), $p$<.01 ***","( .09, .21)"," .15( .12, .18)"," .00( .01), $p$=.39  "," .28( .35), $p$=.42  ","(-.40, .96)"," .29( .26, .32)"," .14( .12), $p$=.22  "," .03( .02), $p$=.22  ","(-.02, .07)"," .03(-.01, .06)"
episodic memory,map,b1,male,aehplus,grip,word_de,321,"-.57(1.68), $p$=.73  ","-.02( .07), $p$=.73  ","(-.17, .12)","-.02(-.13, .09)","-.03( .10), $p$=.77  ","-.12( .42), $p$=.78  ","(-.94, .71)","-.12(-.23,-.01)","-.12( .31), $p$=.70  ","-.02( .04), $p$=.71  ","(-.10, .07)","-.02(-.13, .09)"
episodic memory,map,b1,male,aehplus,grip,word_rec,321," .85(1.00), $p$=.40  "," .06( .07), $p$=.38  ","(-.07, .19)"," .06(-.05, .17)"," .03( .06), $p$=.60  "," .11( .21), $p$=.60  ","(-.31, .53)"," .11( .00, .22)","-.07( .22), $p$=.76  ","-.02( .06), $p$=.76  ","(-.13, .09)","-.02(-.13, .09)"
executive function,eas,b1,male,aehplus,grip,trailsb,221,"65.59(99.53), $p$=.51  "," .23( .33), $p$=.49  ","(-.43, .88)"," .23( .10, .35)","-2.80(5.96), $p$=.64  ","-.37( .81), $p$=.65  ","(-1.95,1.21)","-.37(-.48,-.25)","-4.35(23.71), $p$=.85  ","-.03( .16), $p$=.85  ","(-.33, .28)","-.03(-.16, .10)"
fluency,eas,b1,male,aehplus,grip,categories,222,"3.04(11.79), $p$=.80  "," .07( .26), $p$=.80  ","(-.45, .58)"," .07(-.06, .20)","1.33( .79), $p$=.09 ."," .87( .55), $p$=.11  ","(-.21,1.95)"," .87( .84, .90)","-2.01(2.28), $p$=.38  ","-.12( .13), $p$=.37  ","(-.37, .13)","-.12(-.24, .02)"
fluency,map,b1,male,aehplus,grip,categories,321,"1.41(7.82), $p$=.86  "," .01( .07), $p$=.86  ","(-.13, .15)"," .01(-.10, .12)"," .35( .38), $p$=.35  "," .25( .28), $p$=.36  ","(-.29, .80)"," .25( .15, .35)","-.90(1.22), $p$=.46  ","-.04( .05), $p$=.46  ","(-.13, .06)","-.04(-.14, .07)"
fluency,eas,b1,male,aehplus,grip,fas,222,"-2.14(11.20), $p$=.85  ","-.04( .19), $p$=.85  ","(-.41, .33)","-.04(-.17, .10)"," .59( .97), $p$=.54  "," .66(1.21), $p$=.58  ","(-1.70,3.03)"," .66( .58, .73)","-1.73(2.65), $p$=.51  ","-.08( .12), $p$=.51  ","(-.31, .15)","-.08(-.21, .05)"
fluency,ilse,b1,male,aehplus,grip,fluency,252,"9.48(13.28), $p$=.47  "," .07( .10), $p$=.47  ","(-.13, .27)"," .07(-.05, .20)"," .04( .15), $p$=.80  "," .19( .76), $p$=.80  ","(-1.30,1.69)"," .19( .07, .31)","13.29(5.00), $p$=.01 **"," .21( .07), $p$<.01 **","( .06, .35)"," .21( .09, .32)"
fluid reasoning,satsa,b1,male,aehplus,grip,analogies,299,"1.99(1.84), $p$=.28  "," .13( .11), $p$=.27  ","(-.10, .35)"," .13( .01, .24)"," .01( .01), $p$=.15  "," .69( .53), $p$=.19  ","(-.35,1.73)"," .67( .60, .73)","2.35( .69), $p$<.01 ***"," .17( .05), $p$<.01 ***","( .07, .26)"," .17( .06, .28)"
fluid reasoning,eas,b1,male,aehplus,grip,block,210,"3.94(13.52), $p$=.77  "," .08( .29), $p$=.77  ","(-.48, .65)"," .08(-.05, .22)"," .44( .71), $p$=.54  "," .64(1.24), $p$=.60  ","(-1.78,3.06)"," .64( .55, .71)"," .07(2.20), $p$=.98  "," .00( .12), $p$=.98  ","(-.23, .24)"," .00(-.13, .14)"
fluid reasoning,octo,b1,male,aehplus,grip,block,139,"3.62(1.16), $p$<.01 **"," .30( .08), $p$<.01 ***","( .14, .46)"," .30( .14, .45)","-.01( .04), $p$=.75  ","-.25(1.09), $p$=.82  ","(-2.38,1.88)","-.25(-.40,-.08)"," .52( .26), $p$=.04 *"," .14( .06), $p$=.03 *","( .01, .26)"," .14(-.03, .30)"
fluid reasoning,satsa,b1,male,aehplus,grip,block,298,"13.31(3.74), $p$<.01 ***"," .40( .09), $p$<.01 ***","( .23, .58)"," .40( .30, .49)"," .03( .01), $p$=.05 *"," .79( .44), $p$=.07 .","(-.08,1.66)"," .78( .73, .82)","2.52( .90), $p$<.01 **"," .14( .05), $p$<.01 **","( .04, .23)"," .12( .01, .23)"
fluid reasoning,octo,b1,male,aehplus,grip,fig_logic,138,"3.21( .98), $p$<.01 ***"," .57( .15), $p$<.01 ***","( .27, .87)"," .57( .45, .67)"," .04( .05), $p$=.44  "," .74(1.78), $p$=.68  ","(-2.75,4.23)"," .74( .65, .80)","-.18( .22), $p$=.43  ","-.05( .07), $p$=.43  ","(-.18, .08)","-.05(-.22, .12)"
fluid reasoning,lasa,b1,male,aehplus,grip,raven_color_ab,800,"2.65( .89), $p$<.01 **"," .17( .05), $p$<.01 **","( .06, .27)"," .17( .10, .23)"," .02( .01), $p$=.02 *"," .93( .69), $p$=.18  ","(-.43,2.28)"," .92( .91, .93)"," .70( .31), $p$=.03 *"," .07( .03), $p$=.02 *","( .01, .14)"," .08( .01, .14)"
fluid reasoning,map,b1,male,aehplus,grip,raven_standard,308,"1.54(2.09), $p$=.46  "," .06( .08), $p$=.45  ","(-.09, .21)"," .06(-.05, .17)"," .25( .11), $p$=.02 *"," .75( .12), $p$<.01 ***","( .51, .99)"," .76( .70, .80)","-.20( .54), $p$=.71  ","-.02( .05), $p$=.71  ","(-.13, .09)","-.02(-.13, .09)"
fluid reasoning,satsa,b1,male,aehplus,grip,rotate,299,"32.45(9.82), $p$<.01 ***"," .36( .09), $p$<.01 ***","( .18, .54)"," .36( .25, .45)","-.01( .05), $p$=.80  ","-.13( .55), $p$=.81  ","(-1.20, .94)","-.13(-.24,-.02)","6.04(3.15), $p$=.06 ."," .10( .05), $p$=.05 .","(-.00, .20)"," .10(-.02, .21)"
fluid reasoning,ilse,b1,male,aehplus,grip,spatial_ab,252,"18.41(9.77), $p$=.06 ."," .18( .10), $p$=.06 .","(-.01, .38)"," .18( .06, .30)"," .17( .14), $p$=.22  "," .41( .33), $p$=.21  ","(-.23,1.06)"," .41( .30, .51)","-1.59(2.61), $p$=.54  ","-.04( .07), $p$=.54  ","(-.18, .09)","-.04(-.17, .08)"
mental status,octo,b1,male,aehplus,grip,clock,139," .68( .47), $p$=.15  "," .26( .17), $p$=.14  ","(-.08, .60)"," .26( .10, .41)"," .01( .02), $p$=.48  "," .30( .42), $p$=.48  ","(-.53,1.13)"," .31( .15, .45)"," .29( .22), $p$=.19  "," .14( .10), $p$=.14  ","(-.05, .33)"," .14(-.03, .30)"
mental status,nuage,b1,male,aehplus,grip,mmms,847,"5.49(2.04), $p$=.01 **"," .13( .05), $p$=.01 **","( .04, .22)"," .13( .06, .20)"," .33( .23), $p$=.16  "," .28( .21), $p$=.19  ","(-.14, .70)"," .28( .22, .34)","-.71( .47), $p$=.13  ","-.04( .02), $p$=.13  ","(-.08, .01)","-.04(-.10, .03)"
mental status,eas,b1,male,aehplus,grip,mmse,222,"-.10(3.04), $p$=.97  ","-.02( .50), $p$=.97  ","(-1.00, .97)","-.02(-.15, .12)","-.03( .18), $p$=.86  ","-.33(2.08), $p$=.88  ","(-4.41,3.76)","-.33(-.44,-.20)"," .34( .49), $p$=.50  "," .09( .13), $p$=.50  ","(-.16, .33)"," .09(-.05, .22)"
mental status,map,b1,male,aehplus,grip,mmse,321,"4.00(2.30), $p$=.08 ."," .17( .07), $p$=.01 *","( .03, .31)"," .17( .06, .28)"," .30( .17), $p$=.08 ."," .69( .23), $p$<.01 **","( .23,1.15)"," .69( .63, .75)"," .01( .41), $p$=.98  "," .00( .05), $p$=.98  ","(-.10, .10)"," .00(-.11, .11)"
mental status,nuage,b1,male,aehplus,grip,mmse,847,"2.28( .74), $p$<.01 **"," .18( .06), $p$<.01 **","( .07, .30)"," .18( .12, .25)"," .13( .11), $p$=.23  "," .30( .25), $p$=.23  ","(-.19, .79)"," .30( .24, .36)"," .02( .22), $p$=.92  "," .00( .03), $p$=.92  ","(-.05, .06)"," .00(-.06, .07)"
mental status,octo,b1,male,aehplus,grip,mmse,140,"1.14( .63), $p$=.07 ."," .32( .18), $p$=.07 .","(-.03, .67)"," .32( .16, .46)","-.01( .02), $p$=.74  ","-.11( .34), $p$=.75  ","(-.78, .56)","-.12(-.28, .05)"," .50( .26), $p$=.06 ."," .15( .08), $p$=.06 .","(-.00, .31)"," .15(-.01, .31)"
mental status,satsa,b1,male,aehplus,grip,mmse,299,"2.17(1.12), $p$=.05 ."," .27( .13), $p$=.04 *","( .01, .52)"," .27( .16, .37)"," .01( .01), $p$=.31  "," .34( .30), $p$=.27  ","(-.26, .93)"," .33( .23, .43)","1.04( .41), $p$=.01 *"," .13( .05), $p$=.01 **","( .03, .22)"," .13( .02, .24)"
perceptual speed,lasa,b1,male,aehplus,grip,letter,800,"3.28(1.69), $p$=.05 ."," .10( .05), $p$=.05 *","( .00, .20)"," .10( .03, .17)"," .03( .02), $p$=.09 ."," .61( .41), $p$=.13  ","(-.18,1.41)"," .60( .55, .64)"," .96( .39), $p$=.01 *"," .09( .03), $p$=.01 *","( .02, .15)"," .09( .02, .16)"
perceptual speed,map,b1,male,aehplus,grip,num_comp,321,"3.24(5.94), $p$=.58  "," .04( .07), $p$=.58  ","(-.10, .17)"," .04(-.07, .15)","-.18( .31), $p$=.56  ","-.21( .35), $p$=.54  ","(-.89, .47)","-.21(-.31,-.10)"," .67( .92), $p$=.47  "," .03( .04), $p$=.47  ","(-.05, .12)"," .03(-.08, .14)"
perceptual speed,octo,b1,male,aehplus,grip,psif,138," .61( .90), $p$=.50  "," .11( .17), $p$=.49  ","(-.21, .44)"," .11(-.05, .28)","-.00( .03), $p$=.90  ","-.08( .64), $p$=.90  ","(-1.32,1.16)","-.08(-.24, .09)"," .31( .32), $p$=.33  "," .12( .12), $p$=.32  ","(-.12, .36)"," .12(-.05, .28)"
perceptual speed,eas,b1,male,aehplus,grip,symbol,221,"-6.69(18.32), $p$=.71  ","-.11( .29), $p$=.71  ","(-.67, .46)","-.11(-.24, .02)","2.09(1.20), $p$=.08 ."," .92( .50), $p$=.07 .","(-.06,1.91)"," .93( .90, .94)"," .43(2.60), $p$=.87  "," .02( .12), $p$=.87  ","(-.22, .27)"," .02(-.11, .15)"
perceptual speed,ilse,b1,male,aehplus,grip,symbol,252,"-14.22(16.99), $p$=.40  ","-.08( .10), $p$=.41  ","(-.27, .11)","-.08(-.20, .04)","-.04( .20), $p$=.85  ","-.07( .36), $p$=.85  ","(-.77, .63)","-.07(-.19, .06)","3.40(4.14), $p$=.41  "," .06( .08), $p$=.40  ","(-.09, .22)"," .07(-.06, .19)"
perceptual speed,map,b1,male,aehplus,grip,symbol,321,"16.04(9.44), $p$=.09 ."," .13( .07), $p$=.07 .","(-.01, .27)"," .13( .02, .23)"," .60( .42), $p$=.16  "," .49( .32), $p$=.13  ","(-.14,1.12)"," .49( .40, .57)","-.24(1.11), $p$=.83  ","-.01( .04), $p$=.83  ","(-.10, .08)","-.01(-.12, .10)"
perceptual speed,octo,b1,male,aehplus,grip,symbol,138,"4.32(1.92), $p$=.02 *"," .24( .10), $p$=.02 *","( .04, .43)"," .24( .07, .39)","-.01( .06), $p$=.86  ","-.08( .47), $p$=.87  ","(-.99, .84)","-.08(-.24, .09)"," .76( .41), $p$=.06 ."," .15( .08), $p$=.05 .","(-.00, .30)"," .15(-.02, .31)"
perceptual speed,satsa,b1,male,aehplus,grip,symbol,299,"15.98(4.96), $p$<.01 ***"," .32( .09), $p$<.01 ***","( .14, .49)"," .32( .21, .42)"," .00( .02), $p$=.92  "," .04( .44), $p$=.92  ","(-.81, .90)"," .04(-.07, .16)","4.53(1.42), $p$<.01 ***"," .16( .05), $p$<.01 ***","( .06, .26)"," .15( .03, .25)"
semantic memory,eas,b1,male,aehplus,grip,bnt,222,"-1.25(4.34), $p$=.77  ","-.11( .38), $p$=.77  ","(-.87, .64)","-.11(-.24, .02)","-.02( .20), $p$=.91  ","-.18(1.82), $p$=.92  ","(-3.76,3.39)","-.18(-.30,-.05)","-.29( .63), $p$=.65  ","-.06( .12), $p$=.64  ","(-.29, .18)","-.06(-.19, .08)"
semantic memory,map,b1,male,aehplus,grip,bnt,321,"2.95(1.26), $p$=.02 *"," .19( .05), $p$<.01 ***","( .09, .30)"," .19( .09, .30)"," .05( .03), $p$=.05 *"," .73( .18), $p$<.01 ***","( .37,1.08)"," .77( .72, .81)"," .12( .15), $p$=.42  "," .03( .04), $p$=.42  ","(-.05, .12)"," .03(-.08, .14)"
semantic memory,octo,b1,male,aehplus,grip,information,140," .70(1.63), $p$=.67  "," .05( .11), $p$=.66  ","(-.17, .26)"," .05(-.12, .21)","-.06( .05), $p$=.17  ","-.46( .32), $p$=.16  ","(-1.09, .18)","-.45(-.58,-.31)"," .77( .37), $p$=.04 *"," .18( .08), $p$=.03 *","( .02, .35)"," .18( .02, .34)"
semantic memory,satsa,b1,male,aehplus,grip,information,410,"2.57(2.39), $p$=.28  "," .10( .10), $p$=.28  ","(-.08, .29)"," .10( .01, .20)"," .03( .01), $p$=.03 *"," .65( .25), $p$=.01 **","( .16,1.14)"," .64( .58, .69)"," .85( .57), $p$=.14  "," .05( .04), $p$=.13  ","(-.02, .12)"," .05(-.04, .15)"
semantic memory,map,b1,male,aehplus,grip,nart,321,"3.38(1.83), $p$=.06 ."," .12( .06), $p$=.06 .","(-.00, .25)"," .12( .01, .23)"," .08( .07), $p$=.23  "," .38( .33), $p$=.25  ","(-.27,1.02)"," .38( .28, .47)","-.14( .27), $p$=.60  ","-.03( .06), $p$=.59  ","(-.14, .08)","-.03(-.14, .08)"
semantic memory,octo,b1,male,aehplus,grip,synonyms,139," .85(1.05), $p$=.42  "," .08( .10), $p$=.41  ","(-.12, .28)"," .08(-.08, .25)","-.01( .03), $p$=.84  ","-.14( .72), $p$=.85  ","(-1.55,1.28)","-.14(-.30, .02)"," .45( .26), $p$=.08 ."," .15( .08), $p$=.06 .","(-.01, .31)"," .15(-.01, .31)"
semantic memory,satsa,b1,male,aehplus,grip,synonyms,299,"5.13(2.75), $p$=.06 ."," .19( .10), $p$=.05 .","(-.00, .38)"," .19( .08, .30)","-.01( .01), $p$=.37  ","-.42( .51), $p$=.41  ","(-1.42, .58)","-.39(-.48,-.29)"," .15( .55), $p$=.79  "," .01( .05), $p$=.79  ","(-.08, .10)"," .01(-.10, .13)"
semantic memory,ilse,b1,male,aehplus,grip,waisgeneral,252,"7.82(6.86), $p$=.26  "," .12( .11), $p$=.25  ","(-.09, .33)"," .12(-.00, .24)"," .01( .06), $p$=.82  "," .23(1.11), $p$=.83  ","(-1.94,2.41)"," .22( .10, .34)","-.87(1.91), $p$=.65  ","-.04( .08), $p$=.65  ","(-.20, .12)","-.04(-.16, .09)"
semantic memory,eas,b1,male,aehplus,grip,waisvocab,222,"6.82(19.57), $p$=.73  "," .12( .34), $p$=.73  ","(-.55, .79)"," .12(-.01, .25)","-.01(1.25), $p$=.99  ","-.02(1.37), $p$=.99  ","(-2.69,2.66)","-.02(-.15, .12)","-3.58(4.03), $p$=.38  ","-.13( .14), $p$=.37  ","(-.42, .15)","-.13(-.26, .00)"
short-term memory,map,b1,male,aehplus,grip,bstory_im,321,"2.15(1.55), $p$=.17  "," .14( .10), $p$=.16  ","(-.06, .34)"," .14( .03, .25)","-.00( .10), $p$=.96  ","-.03( .64), $p$=.96  ","(-1.28,1.22)","-.03(-.14, .08)"," .07( .37), $p$=.85  "," .01( .04), $p$=.85  ","(-.08, .09)"," .01(-.10, .12)"
short-term memory,eas,b1,male,aehplus,grip,digit_tot,222," .85(4.79), $p$=.86  "," .04( .25), $p$=.86  ","(-.45, .53)"," .04(-.09, .18)"," .10( .33), $p$=.75  "," .28( .90), $p$=.75  ","(-1.48,2.05)"," .28( .15, .40)"," .14( .77), $p$=.86  "," .02( .11), $p$=.86  ","(-.20, .24)"," .02(-.11, .15)"
short-term memory,satsa,b1,male,aehplus,grip,fig_mem,299,"4.79(2.55), $p$=.06 ."," .24( .12), $p$=.04 *","( .01, .46)"," .24( .13, .34)"," .01( .01), $p$=.39  "," .50( .50), $p$=.32  ","(-.49,1.49)"," .50( .41, .58)","1.91( .81), $p$=.02 *"," .12( .05), $p$=.02 *","( .02, .21)"," .12( .00, .23)"
short-term memory,map,b1,male,aehplus,grip,logic_im,321,"-5.23(3.88), $p$=.18  ","-.12( .09), $p$=.17  ","(-.29, .05)","-.12(-.23,-.01)","-.22( .17), $p$=.19  ","-.48( .38), $p$=.22  ","(-1.23, .28)","-.48(-.56,-.39)"," .57( .67), $p$=.40  "," .04( .05), $p$=.40  ","(-.05, .13)"," .04(-.07, .15)"
short-term memory,octo,b1,male,aehplus,grip,prose_im,139,"2.38( .91), $p$=.01 **"," .35( .11), $p$<.01 ***","( .14, .56)"," .35( .20, .49)","-.01( .05), $p$=.79  ","-.38(2.59), $p$=.88  ","(-5.46,4.70)","-.37(-.51,-.22)"," .35( .26), $p$=.19  "," .14( .10), $p$=.16  ","(-.05, .33)"," .14(-.03, .30)"
short-term memory,eas,b1,male,aehplus,grip,word_im,222,"-5.96(7.58), $p$=.43  ","-.26( .31), $p$=.41  ","(-.87, .35)","-.26(-.38,-.13)"," .32( .50), $p$=.52  "," .39( .61), $p$=.53  ","(-.82,1.59)"," .39( .27, .49)","1.04(1.72), $p$=.54  "," .07( .12), $p$=.54  ","(-.17, .31)"," .07(-.06, .20)"
short-term memory,elsa,b1,male,aehplus,grip,word_im,3043," .13( .23), $p$=.58  "," .02( .04), $p$=.58  ","(-.05, .10)"," .02(-.01, .06)","-.00( .00), $p$=.12  ","-.44( .34), $p$=.20  ","(-1.11, .23)","-.39(-.42,-.36)"," .30( .12), $p$=.01 *"," .06( .02), $p$=.01 *","( .01, .11)"," .06( .02, .09)"
short-term memory,hrs,b1,male,aehplus,grip,word_im,3290," .81( .20), $p$<.01 ***"," .14( .03), $p$<.01 ***","( .07, .21)"," .14( .11, .17)"," .00( .00), $p$=.85  "," .08( .40), $p$=.84  ","(-.70, .85)"," .08( .05, .12)"," .25( .10), $p$=.01 *"," .06( .02), $p$=.01 *","( .01, .10)"," .06( .02, .09)"
short-term memory,lasa,b1,male,aehplus,grip,word_im,800,"1.76(1.54), $p$=.25  "," .07( .06), $p$=.25  ","(-.05, .20)"," .07( .00, .14)"," .00( .01), $p$=.84  "," .16( .80), $p$=.84  ","(-1.39,1.72)"," .17( .11, .24)","2.25( .53), $p$<.01 ***"," .14( .03), $p$<.01 ***","( .08, .20)"," .14( .07, .20)"
short-term memory,map,b1,male,aehplus,grip,word_im,321,"-.25(3.08), $p$=.93  ","-.01( .08), $p$=.93  ","(-.17, .16)","-.01(-.12, .10)","-.13( .16), $p$=.41  ","-.34( .38), $p$=.38  ","(-1.10, .41)","-.34(-.43,-.24)"," .95( .68), $p$=.16  "," .07( .05), $p$=.16  ","(-.03, .16)"," .07(-.04, .18)"
verbal comprehension,map,b1,male,aehplus,grip,ideas,321,"1.04( .56), $p$=.06 ."," .16( .05), $p$<.01 ***","( .07, .25)"," .16( .05, .26)"," .02( .04), $p$=.54  "," .10( .15), $p$=.51  ","(-.20, .40)"," .10(-.01, .21)","-.11( .08), $p$=.14  ","-.05( .03), $p$=.13  ","(-.10, .01)","-.05(-.15, .06)"
visual discrimination,map,b1,male,aehplus,grip,line,321,"1.74(2.12), $p$=.41  "," .06( .07), $p$=.41  ","(-.08, .19)"," .06(-.05, .16)","-.06( .14), $p$=.68  ","-.18( .42), $p$=.68  ","(-1.00, .65)","-.18(-.28,-.07)","-.26( .51), $p$=.60  ","-.03( .05), $p$=.60  ","(-.12, .07)","-.03(-.13, .08)"
visual discrimination,ilse,b1,male,aehplus,grip,piccomp,252,"11.62(6.45), $p$=.07 ."," .22( .12), $p$=.06 .","(-.01, .45)"," .22( .10, .34)"," .08( .10), $p$=.43  "," .43( .48), $p$=.37  ","(-.51,1.37)"," .43( .32, .52)","4.11(2.57), $p$=.11  "," .16( .09), $p$=.09 .","(-.02, .34)"," .16( .04, .28)"
working memory,map,b1,male,aehplus,grip,digit_b,321," .58(2.02), $p$=.77  "," .02( .09), $p$=.77  ","(-.14, .19)"," .02(-.08, .13)"," .01( .10), $p$=.95  "," .03( .44), $p$=.95  ","(-.84, .90)"," .03(-.08, .14)"," .91( .34), $p$=.01 **"," .13( .05), $p$<.01 **","( .04, .22)"," .13( .02, .23)"
working memory,octo,b1,male,aehplus,grip,digit_b,139," .12( .23), $p$=.61  "," .06( .11), $p$=.61  ","(-.16, .27)"," .06(-.11, .22)"," .00( .01), $p$=.70  "," .20( .52), $p$=.71  ","(-.82,1.21)"," .19( .03, .35)","-.16( .10), $p$=.10 .","-.13( .07), $p$=.08 .","(-.27, .02)","-.13(-.29, .04)"
working memory,satsa,b1,male,aehplus,grip,digit_b,299,"1.36( .62), $p$=.03 *"," .29( .13), $p$=.02 *","( .04, .54)"," .29( .18, .39)"," .00( .00), $p$=.75  "," .36(1.13), $p$=.75  ","(-1.85,2.57)",---,"-.11( .26), $p$=.67  ","-.02( .05), $p$=.67  ","(-.11, .07)","-.02(-.13, .10)"
working memory,map,b1,male,aehplus,grip,digit_o,321," .80(1.59), $p$=.61  "," .05( .10), $p$=.61  ","(-.14, .24)"," .05(-.06, .16)","-.04( .08), $p$=.64  ","-.35( .78), $p$=.66  ","(-1.88,1.19)","-.35(-.44,-.25)"," .00( .28), $p$=.99  "," .00( .04), $p$=.99  ","(-.09, .09)"," .00(-.11, .11)"
