domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
episodic memory,hrs,b1,female,aehplus,pef,word_de,4611,"22.08(2.27), $p$<.01 ***",22.079,2.266,0.0," .28( .03), $p$<.01 ***",0.279,0.027,0.0,"( .23, .33)",0.22608000000000003,0.33192000000000005," .28( .25, .31)",0.2787012085818189,0.2518623911780817,0.3051116514690156," .10( .05), $p$=.04 *"," .69( .50), $p$=.17  ",0.69,0.503,0.17,"(-.30,1.68)",-0.29588000000000003,1.6758799999999998," .70( .69, .72)",0.7027967568422814,0.6878863898063826,0.7171142022980692,"2.00(1.03), $p$=.05 .",2.003,1.029,0.052," .04( .02), $p$=.05 .",0.037,0.019,0.051,"(-.00, .07)",-2.3999999999999716e-4,0.07424," .04( .01, .07)",0.03744480874852889,0.008589116547772498,0.06623819132186334
episodic memory,map,b1,female,aehplus,fev,word_de,935," .02( .02), $p$=.41  ",0.02,0.025,0.415," .04( .05), $p$=.41  ",0.037,0.046,0.413,"(-.05, .13)",-0.05315999999999999,0.12716," .04(-.03, .10)",0.03698355355713025,-0.02719361954245341,0.10085710363443245,"-.00( .00), $p$=.29  ","-.58( .84), $p$=.49  ",-0.577,0.842,0.493,"(-2.23,1.07)",-2.2273199999999997,1.07332,---,-Inf,NaN,NaN," .00( .01), $p$=.53  ",0.003,0.006,0.534," .02( .03), $p$=.53  ",0.017,0.028,0.532,"(-.04, .07)",-0.03788,0.07188," .01(-.05, .08)",0.014902337151223003,-0.04925741870772399,0.07893960985392257
episodic memory,map,b1,female,aehplus,fev,word_rec,935," .00( .01), $p$=.68  ",0.004,0.01,0.68," .02( .04), $p$=.68  ",0.017,0.043,0.682,"(-.07, .10)",-0.06727999999999999,0.10128," .02(-.05, .08)",0.017086373684264137,-0.047077891848210526,0.08111021511326096," .00( .00), $p$=.95  "," .08(1.14), $p$=.95  ",0.078,1.142,0.946,"(-2.16,2.32)",-2.16032,2.3163199999999997,---,NaN,NaN,NaN," .00( .00), $p$=.89  ",0.0,0.003,0.893," .00( .03), $p$=.89  ",0.004,0.03,0.893,"(-.05, .06)",-0.0548,0.0628," .00(-.06, .06)",0.0,-0.06411269389362989,0.06411269389362989
executive function,eas,b1,female,aehplus,pef,trailsb,545,"-402.35(273.61), $p$=.14  ",-402.353,273.613,0.141,"-.13( .09), $p$=.12  ",-0.133,0.086,0.122,"(-.30, .04)",-0.30156,0.03555999999999998,"-.13(-.21,-.05)",-0.132999942706731,-0.2145921537177418,-0.04956427524709956,"9.47(19.46), $p$=.63  "," .28( .66), $p$=.66  ",0.285,0.657,0.664,"(-1.00,1.57)",-1.00272,1.57272," .29( .21, .36)",0.28504345152759775,0.20598554172038436,0.3604044780779879,"-24.99(71.97), $p$=.73  ",-24.991,71.967,0.728,"-.02( .05), $p$=.73  ",-0.016,0.047,0.728,"(-.11, .08)",-0.10812,0.07612,"-.02(-.10, .07)",-0.01644273727087235,-0.10029355937433812,0.06764000351288038
fluency,eas,b1,female,aehplus,pef,categories,545,"113.06(39.02), $p$<.01 **",113.064,39.023,0.004," .26( .09), $p$<.01 **",0.258,0.088,0.003,"( .09, .43)",0.08552000000000001,0.43048," .26( .18, .34)",0.2583961075227126,0.1782758121709646,0.33511264896524035,"2.35(2.45), $p$=.34  "," .53( .74), $p$=.47  ",0.533,0.74,0.471,"(-.92,1.98)",-0.9173999999999999,1.9834," .53( .47, .59)",0.5329532575845505,0.4700023557134131,0.5905099518640229,"-15.48(9.68), $p$=.11  ",-15.482,9.684,0.11,"-.09( .06), $p$=.10  ",-0.09,0.056,0.105,"(-.20, .02)",-0.19976,0.01976,"-.09(-.17,-.01)",-0.09030918933256672,-0.17298641491522115,-0.0063681629405855835
fluency,map,b1,female,aehplus,fev,categories,935," .52( .10), $p$<.01 ***",0.525,0.099,0.0," .23( .04), $p$<.01 ***",0.23,0.042,0.0,"( .15, .31)",0.14768,0.31232000000000004," .23( .17, .29)",0.2301544685123222,0.16852855210192924,0.2899881486163567,"-.00( .00), $p$=.37  ","-.35( .44), $p$=.42  ",-0.355,0.437,0.416,"(-1.21, .50)",-1.21152,0.50152,---,-Inf,NaN,NaN,"-.03( .02), $p$=.10  ",-0.031,0.019,0.101,"-.04( .03), $p$=.10  ",-0.044,0.027,0.102,"(-.10, .01)",-0.09692,0.008920000000000004,"-.04(-.11, .02)",-0.044057120386099186,-0.10786513618614568,0.020112383361359495
fluency,eas,b1,female,aehplus,pef,fas,545,"130.95(58.97), $p$=.03 *",130.951,58.969,0.026," .19( .08), $p$=.02 *",0.189,0.083,0.022,"( .03, .35)",0.026319999999999982,0.35168," .19( .11, .27)",0.1893597687660246,0.10707335586259985,0.26906975849713344," .96(3.50), $p$=.78  "," .10( .38), $p$=.79  ",0.102,0.377,0.787,"(-.64, .84)",-0.63692,0.84092," .10( .02, .18)",0.10179710321211186,0.01796134139285679,0.18421144816631724,"5.01(10.59), $p$=.64  ",5.007,10.593,0.636," .02( .05), $p$=.64  ",0.025,0.053,0.637,"(-.08, .13)",-0.07888,0.12888," .03(-.06, .11)",0.025224286944922618,-0.05888980424282969,0.10898272826468705
fluid reasoning,satsa,b1,female,aehplus,fev,analogies,407," .20( .07), $p$=.01 **",0.198,0.074,0.007," .27( .10), $p$<.01 **",0.267,0.095,0.005,"( .08, .45)",0.08080000000000001,0.45320000000000005," .27( .17, .35)",0.2660973064528112,0.1733778909512265,0.35414115162248344," .00( .00), $p$=.36  "," .17( .19), $p$=.37  ",0.174,0.193,0.367,"(-.20, .55)",-0.20428000000000002,0.55228,---,NaN,NaN,NaN," .01( .02), $p$=.65  ",0.01,0.023,0.649," .02( .04), $p$=.65  ",0.019,0.042,0.649,"(-.06, .10)",-0.06332,0.10132000000000001," .02(-.08, .12)",0.018435442744581452,-0.07890992166914611,0.11543254584480013
fluid reasoning,eas,b1,female,aehplus,pef,block,545,"111.36(44.87), $p$=.01 *",111.357,44.873,0.013," .25( .10), $p$=.01 **",0.249,0.097,0.01,"( .06, .44)",0.05887999999999999,0.43912," .25( .17, .33)",0.248847892008701,0.1683777536479072,0.3260231520842501,"2.73(3.26), $p$=.40  "," .31( .36), $p$=.40  ",0.308,0.361,0.395,"(-.40,1.02)",-0.39955999999999997,1.01556," .31( .23, .38)",0.30761056532051817,0.22955194145899085,0.38173732681089945,"-2.02(8.64), $p$=.81  ",-2.019,8.638,0.815,"-.01( .05), $p$=.81  ",-0.011,0.048,0.815,"(-.11, .08)",-0.10507999999999999,0.08308,"-.01(-.10, .07)",-0.011339096904916813,-0.09523772496629024,0.07271948741463514
fluid reasoning,octo,b1,female,aehplus,pef,block,272,"86.13(33.62), $p$=.01 **",86.133,33.616,0.01," .24( .09), $p$=.01 **",0.241,0.088,0.006,"( .07, .41)",0.06852,0.41347999999999996," .24( .13, .35)",0.24054827370509835,0.12519455798837906,0.34948509791539417," .05( .63), $p$=.94  "," .02( .32), $p$=.94  ",0.023,0.316,0.941,"(-.60, .64)",-0.59636,0.64236," .02(-.10, .14)",0.02319861847350618,-0.09600176181544687,0.14174302778378467,"22.80(9.33), $p$=.01 *",22.796,9.334,0.015," .15( .06), $p$=.01 *",0.149,0.059,0.012,"( .03, .26)",0.03336,0.26464," .15( .03, .26)",0.14925026183887213,0.0308626107414234,0.2635081854591658
fluid reasoning,satsa,b1,female,aehplus,fev,block,408," .41( .15), $p$=.01 **",0.415,0.153,0.007," .24( .09), $p$<.01 **",0.239,0.086,0.005,"( .07, .41)",0.07044,0.40756," .24( .15, .33)",0.2391025900547501,0.1453929894574269,0.3285602936271359," .00( .00), $p$=.44  "," .19( .24), $p$=.43  ",0.188,0.236,0.426,"(-.27, .65)",-0.27455999999999997,0.65056,---,NaN,NaN,NaN," .06( .03), $p$=.09 .",0.058,0.034,0.091," .07( .04), $p$=.09 .",0.072,0.043,0.092,"(-.01, .16)",-0.01228,0.15627999999999997," .07(-.03, .17)",0.07065042832445555,-0.026616773377829087,0.1665923946117287
fluid reasoning,octo,b1,female,aehplus,pef,fig_logic,268,"36.04(22.44), $p$=.11  ",36.044,22.439,0.108," .20( .12), $p$=.10 .",0.204,0.123,0.097,"(-.04, .45)",-0.03708,0.44508," .20( .09, .32)",0.20422538527881479,0.08652139971295661,0.31630640922286474," .29( .69), $p$=.68  "," .18( .43), $p$=.67  ",0.185,0.431,0.668,"(-.66,1.03)",-0.6597599999999999,1.02976," .18( .07, .30)",0.18486278805299589,0.06651491523355113,0.2980813524399994,"1.95(7.96), $p$=.81  ",1.952,7.961,0.806," .01( .06), $p$=.81  ",0.015,0.062,0.806,"(-.11, .14)",-0.10652,0.13652," .02(-.10, .13)",0.015212673306235241,-0.10479956575852496,0.1347881915846348
fluid reasoning,map,b1,female,aehplus,fev,matrices,920," .10( .03), $p$<.01 ***",0.103,0.029,0.0," .18( .05), $p$<.01 ***",0.178,0.048,0.0,"( .08, .27)",0.08392,0.27208," .18( .12, .24)",0.17879115489640549,0.11549228684253932,0.24064378532471647," .00( .00), $p$=.28  "," .64( .82), $p$=.44  ",0.636,0.818,0.436,"(-.97,2.24)",-0.9672799999999998,2.23928,---,Inf,NaN,NaN,"-.01( .01), $p$=.08 .",-0.013,0.007,0.08,"-.05( .03), $p$=.08 .",-0.049,0.028,0.08,"(-.10, .01)",-0.10388,0.005879999999999996,"-.05(-.11, .02)",-0.049163482941304196,-0.11343651110361834,0.015519316190088072
fluid reasoning,lasa,b1,female,aehplus,pef,raven,782,"43.20(8.05), $p$<.01 ***",43.197,8.05,0.0," .29( .05), $p$<.01 ***",0.288,0.051,0.0,"( .19, .39)",0.18803999999999998,0.38795999999999997," .29( .22, .35)",0.28825829815392007,0.2226500726866395,0.3512672787388981,"-.01( .04), $p$=.76  ","-.14( .45), $p$=.75  ",-0.144,0.447,0.747,"(-1.02, .73)",-1.02012,0.73212,"-.16(-.22,-.09)",-0.15596954122039405,-0.22363199181480178,-0.08681099674242922," .53(2.73), $p$=.85  ",0.527,2.733,0.847," .00( .03), $p$=.85  ",0.005,0.026,0.847,"(-.05, .06)",-0.04596,0.055959999999999996," .00(-.07, .08)",0.0049959372270640704,-0.06513467146332276,0.07507743604590304
fluid reasoning,satsa,b1,female,aehplus,fev,rotate,407,"1.13( .35), $p$<.01 ***",1.129,0.348,0.001," .29( .08), $p$<.01 ***",0.287,0.084,0.001,"( .12, .45)",0.12235999999999997,0.45164," .29( .19, .37)",0.28600471068822425,0.1941996565434235,0.3728433296140294," .00( .00), $p$=.99  "," .03(1.72), $p$=.99  ",0.028,1.722,0.987,"(-3.35,3.40)",-3.34712,3.40312,---,NaN,NaN,NaN," .02( .10), $p$=.81  ",0.023,0.096,0.807," .01( .04), $p$=.81  ",0.009,0.038,0.807,"(-.07, .08)",-0.06548,0.08347999999999998," .01(-.09, .11)",0.009039795279287706,-0.08824170103759348,0.10615047843371267
mental status,octo,b1,female,aehplus,pef,clock,275,"21.65(11.29), $p$=.06 .",21.648,11.287,0.055," .24( .11), $p$=.03 *",0.243,0.111,0.028,"( .03, .46)",0.02543999999999999,0.46055999999999997," .24( .13, .35)",0.24306964172377163,0.12847963611536425,0.35125459148479204," .21( .59), $p$=.72  "," .11( .31), $p$=.72  ",0.111,0.307,0.717,"(-.49, .71)",-0.49072000000000005,0.71272," .11(-.01, .23)",0.11176663957796598,-0.006604629195071348,0.22704896113672451,"6.30(6.30), $p$=.32  ",6.304,6.299,0.317," .09( .09), $p$=.30  ",0.09,0.088,0.304,"(-.08, .26)",-0.08248,0.26248," .09(-.03, .21)",0.09015344387399103,-0.028433719196809887,0.20623813532139548
mental status,eas,b1,female,aehplus,pef,mmse,545,"11.91(7.20), $p$=.10 .",11.91,7.195,0.098," .18( .10), $p$=.09 .",0.176,0.103,0.086,"(-.03, .38)",-0.025879999999999986,0.37788," .18( .09, .26)",0.17594025598093072,0.09333007525253667,0.25614451085570444," .06( .54), $p$=.92  "," .07( .73), $p$=.92  ",0.074,0.732,0.92,"(-1.36,1.51)",-1.36072,1.50872," .07(-.01, .16)",0.0732373089347478,-0.010818566678162687,0.15626542544312663,"-.36(1.57), $p$=.82  ",-0.36,1.575,0.819,"-.01( .05), $p$=.82  ",-0.011,0.047,0.82,"(-.10, .08)",-0.10311999999999999,0.08112,"-.01(-.09, .07)",-0.010622983467425037,-0.09452797293925336,0.07343186266754002
mental status,map,b1,female,aehplus,fev,mmse,935," .01( .02), $p$=.71  ",0.007,0.018,0.71," .02( .06), $p$=.71  ",0.022,0.058,0.71,"(-.09, .14)",-0.09168000000000001,0.13568," .02(-.04, .09)",0.02223612063960984,-0.04193635846455716,0.08622588938810169,"-.00( .00), $p$=.69  ","-.20( .57), $p$=.72  ",-0.204,0.566,0.719,"(-1.31, .91)",-1.3133599999999999,0.9053599999999999,---,-Inf,NaN,NaN," .01( .00), $p$=.07 .",0.009,0.005,0.072," .05( .03), $p$=.07 .",0.047,0.026,0.072,"(-.00, .10)",-0.003959999999999998,0.09795999999999999," .05(-.02, .11)",0.048277676387221594,-0.015884182416657244,0.11204357168578337
mental status,octo,b1,female,aehplus,pef,mmse,276,"9.72(12.23), $p$=.43  ",9.725,12.23,0.427," .10( .13), $p$=.42  ",0.103,0.126,0.417,"(-.14, .35)",-0.14395999999999998,0.34996," .10(-.02, .22)",0.10271218459618849,-0.015545478490249731,0.21813596030029125," .57( .87), $p$=.51  "," .20( .32), $p$=.52  ",0.202,0.316,0.522,"(-.42, .82)",-0.41736,0.8213600000000001," .20( .09, .31)",0.20217442255641718,0.08616201729111549,0.31277739183971415,"19.74(7.54), $p$=.01 **",19.744,7.545,0.009," .20( .07), $p$<.01 **",0.201,0.069,0.004,"( .07, .34)",0.06576000000000001,0.33624," .20( .08, .31)",0.20057954350617813,0.08451183333999714,0.31127694462151667
mental status,satsa,b1,female,aehplus,fev,mmse,411,"-.02( .05), $p$=.72  ",-0.017,0.047,0.716,"-.07( .18), $p$=.72  ",-0.066,0.183,0.718,"(-.42, .29)",-0.42468,0.29268,"-.07(-.16, .03)",-0.0658959278543868,-0.16159519623886587,0.03103115361813492," .00( .00), $p$=.10 ."," .36( .20), $p$=.07 .",0.362,0.201,0.072,"(-.03, .76)",-0.031960000000000044,0.75596,---,Inf,NaN,NaN," .06( .02), $p$<.01 **",0.061,0.02,0.002," .14( .05), $p$<.01 **",0.144,0.046,0.002,"( .05, .23)",0.05384,0.23415999999999998," .14( .05, .24)",0.1442794174660137,0.048223134865911954,0.23769147140529848
perceptual speed,lasa,b1,female,aehplus,pef,letter,782,"74.21(15.62), $p$<.01 ***",74.207,15.615,0.0," .22( .04), $p$<.01 ***",0.221,0.045,0.0,"( .13, .31)",0.1328,0.30920000000000003," .22( .15, .29)",0.22093397385936453,0.15319910954735047,0.28660252679494824,"-.01( .06), $p$=.91  ","-.03( .30), $p$=.92  ",-0.032,0.303,0.915,"(-.63, .56)",-0.62588,0.5618799999999999,"-.03(-.10, .04)",-0.03437324630767939,-0.10422986479329378,0.035820870993479366,"12.67(3.60), $p$<.01 ***",12.673,3.603,0.0," .11( .03), $p$<.01 ***",0.113,0.031,0.0,"( .05, .17)",0.05224,0.17376," .11( .04, .18)",0.11347931724008709,0.04371934392617032,0.18213806104080288
perceptual speed,map,b1,female,aehplus,fev,num_comp,934," .32( .08), $p$<.01 ***",0.322,0.081,0.0," .17( .04), $p$<.01 ***",0.168,0.041,0.0,"( .09, .25)",0.08764000000000001,0.24836000000000003," .17( .11, .23)",0.16819109734221555,0.10517884515671884,0.22985818931044194,"-.00( .00), $p$=.86  ","-.10( .60), $p$=.86  ",-0.104,0.601,0.863,"(-1.28,1.07)",-1.28196,1.0739599999999998,---,-Inf,NaN,NaN,"-.01( .02), $p$=.59  ",-0.009,0.016,0.59,"-.01( .03), $p$=.59  ",-0.015,0.027,0.588,"(-.07, .04)",-0.06792000000000001,0.03792,"-.02(-.08, .05)",-0.01525513570666776,-0.07932453331325141,0.04893977770311
perceptual speed,octo,b1,female,aehplus,pef,psif,254,"23.19(20.50), $p$=.26  ",23.192,20.503,0.258," .13( .11), $p$=.25  ",0.131,0.113,0.247,"(-.09, .35)",-0.09048,0.35248," .13( .01, .25)",0.13087764876967017,0.007920694514449838,0.24993597491506792," .10( .51), $p$=.84  "," .07( .35), $p$=.84  ",0.071,0.355,0.841,"(-.62, .77)",-0.6248,0.7667999999999999," .07(-.05, .19)",0.07129952576082994,-0.05224350530071798,0.19269302567764618,"3.54(9.89), $p$=.72  ",3.539,9.894,0.721," .03( .08), $p$=.72  ",0.031,0.085,0.718,"(-.14, .20)",-0.1356,0.1976," .03(-.09, .15)",0.03064315581520414,-0.09279137417148271,0.15315006870553521
perceptual speed,eas,b1,female,aehplus,pef,symbol,545,"199.81(64.21), $p$<.01 **",199.811,64.214,0.002," .26( .08), $p$<.01 ***",0.262,0.08,0.001,"( .11, .42)",0.10520000000000002,0.4188," .26( .18, .34)",0.2617029869820115,0.1817076388522592,0.3382573324161587,"7.93(4.46), $p$=.08 ."," .46( .25), $p$=.07 .",0.459,0.25,0.066,"(-.03, .95)",-0.030999999999999972,0.9490000000000001," .46( .39, .52)",0.45874477172211237,0.38977327675198375,0.5225985532147492,"4.83(11.01), $p$=.66  ",4.829,11.01,0.661," .02( .05), $p$=.66  ",0.023,0.052,0.661,"(-.08, .12)",-0.07891999999999999,0.12492," .02(-.06, .11)",0.022603939518372876,-0.061502150642061555,0.10639128571716625
perceptual speed,map,b1,female,aehplus,fev,symbol,934," .49( .11), $p$<.01 ***",0.493,0.111,0.0," .19( .04), $p$<.01 ***",0.186,0.041,0.0,"( .11, .27)",0.10564,0.26636," .19( .12, .25)",0.18565576646814855,0.12297326528640407,0.2468628339951406," .00( .01), $p$=.77  "," .12( .39), $p$=.76  ",0.117,0.39,0.764,"(-.65, .88)",-0.6474,0.8814,---,Inf,NaN,NaN," .03( .02), $p$=.12  ",0.032,0.021,0.123," .05( .03), $p$=.12  ",0.046,0.029,0.121,"(-.01, .10)",-0.010840000000000002,0.10284," .05(-.02, .11)",0.045011306444821327,-0.01919112722561307,0.1088440588372548
