process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
perceptual speed,ilse,b1,female,aehplus,tug,symbol,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
perceptual speed,map,b1,female,aehplus,gait,symbol,935,0.233,0.045,0.0,0.1448,0.32120000000000004,0.086,0.158,0.586,-0.22368000000000002,0.39568000000000003,0.063,0.028,0.026,0.008120000000000002,0.11788
perceptual speed,octo,b1,female,aehplus,gait,symbol,266,-0.367,0.141,0.009,-0.6433599999999999,-0.09064,-0.416,0.443,0.347,-1.2842799999999999,0.45227999999999996,-0.119,0.079,0.134,-0.27384,0.03584000000000001
semantic memory,eas,b1,female,aehplus,gait,bnt,363,-0.024,0.135,0.858,-0.2886,0.2406,0.024,1.076,0.982,-2.08496,2.13296,0.045,0.084,0.593,-0.11964000000000001,0.20964
semantic memory,map,b1,female,aehplus,gait,bnt,935,0.176,0.045,0.0,0.08779999999999999,0.2642,0.277,0.173,0.108,-0.06207999999999997,0.61608,-0.01,0.025,0.691,-0.059000000000000004,0.039
semantic memory,octo,b1,female,aehplus,gait,information,275,-0.104,0.091,0.25,-0.28236,0.07436,0.039,0.077,0.615,-0.11191999999999999,0.18992,-0.053,0.039,0.175,-0.12944,0.023439999999999996
semantic memory,map,b1,female,aehplus,gait,nart,933,0.088,0.044,0.046,0.0017599999999999977,0.17424,-0.098,0.219,0.653,-0.52724,0.33124,0.084,0.027,0.002,0.031080000000000003,0.13692000000000001
semantic memory,octo,b1,female,aehplus,gait,synonyms,268,-0.098,0.15,0.514,-0.392,0.19599999999999998,-0.485,0.476,0.308,-1.4179599999999999,0.4479599999999999,-0.138,0.068,0.042,-0.27128,-0.004720000000000002
semantic memory,ilse,b1,female,aehplus,tug,waisgeneral,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
semantic memory,eas,b1,female,aehplus,gait,waisvocab,363,0.287,0.116,0.013,0.05963999999999997,0.5143599999999999,0.998,1.156,0.388,-1.2677599999999998,3.2637599999999996,-0.017,0.072,0.814,-0.15811999999999998,0.12412
short-term memory,map,b1,female,aehplus,gait,bstory_im,935,0.075,0.071,0.292,-0.06415999999999998,0.21415999999999996,0.285,0.263,0.278,-0.23048000000000007,0.8004800000000001,0.037,0.027,0.164,-0.015920000000000004,0.08992
short-term memory,eas,b1,female,aehplus,gait,digit_tot,363,0.243,0.113,0.032,0.021519999999999984,0.46448,0.737,0.4,0.065,-0.04700000000000004,1.521,-0.018,0.068,0.789,-0.15128,0.11528000000000001
short-term memory,map,b1,female,aehplus,gait,logic_im,935,0.106,0.05,0.035,0.007999999999999993,0.20400000000000001,0.435,0.17,0.011,0.1018,0.7682,0.045,0.024,0.064,-0.00204,0.09204
short-term memory,octo,b1,female,aehplus,gait,prose_im,269,-0.136,0.119,0.256,-0.36924,0.09723999999999997,-0.227,0.077,0.003,-0.37792000000000003,-0.07608000000000001,-0.059,0.039,0.131,-0.13544,0.017439999999999997
short-term memory,eas,b1,female,aehplus,gait,word_im,363,0.154,0.156,0.321,-0.15175999999999998,0.45975999999999995,0.263,0.76,0.729,-1.2266,1.7526000000000002,0.045,0.079,0.571,-0.10984000000000001,0.19984000000000002
short-term memory,elsa,b1,female,aehplus,gait,word_im,2225,0.203,0.046,0.0,0.11284000000000002,0.29316,0.253,0.203,0.212,-0.14488,0.65088,0.033,0.02,0.093,-0.006199999999999997,0.0722
short-term memory,hrs,b1,female,aehplus,gait,word_im,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
short-term memory,lasa,b1,female,aehplus,gait,word_im,782,-0.313,0.181,0.083,-0.6677599999999999,0.041759999999999964,-0.283,0.189,0.134,-0.65344,0.08744000000000002,-0.024,0.019,0.212,-0.061239999999999996,0.013239999999999995
short-term memory,map,b1,female,aehplus,gait,word_im,935,0.281,0.051,0.0,0.18104000000000003,0.38096,0.343,0.171,0.045,0.007840000000000014,0.6781600000000001,-0.006,0.024,0.805,-0.05304,0.04104
verbal comprehension,map,b1,female,aehplus,gait,ideas,935,0.159,0.06,0.007,0.041400000000000006,0.2766,0.222,0.201,0.271,-0.17196000000000003,0.6159600000000001,0.026,0.023,0.264,-0.019079999999999996,0.07107999999999999
visual discrimination,map,b1,female,aehplus,gait,line,935,0.259,0.056,0.0,0.14924,0.36876,-0.082,0.635,0.897,-1.3266,1.1625999999999999,0.015,0.024,0.543,-0.03204,0.06204
visual discrimination,ilse,b1,female,aehplus,tug,piccomp,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
working memory,map,b1,female,aehplus,gait,digit_b,935,0.255,0.052,0.0,0.15308,0.35692,0.48,0.287,0.094,-0.08251999999999993,1.04252,-0.019,0.026,0.47,-0.06996,0.03196
working memory,octo,b1,female,aehplus,gait,digit_b,276,-0.305,0.107,0.004,-0.51472,-0.09528,0.233,0.458,0.611,-0.66468,1.1306800000000001,0.031,0.056,0.579,-0.07876,0.14076
working memory,map,b1,female,aehplus,gait,digit_o,935,0.167,0.058,0.004,0.053320000000000006,0.28068000000000004,-0.081,0.249,0.744,-0.56904,0.40703999999999996,0.002,0.024,0.925,-0.04504,0.04904
