domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,Corr(Levels)Est,er_tau_00_est,er_tau_00_se,er_tau_00_pval,CI(Levels)Est,er_tau_00_ci95lo,er_tau_00_ci95hi,Corr(Levels)Comp,cr_levels_est,cr_levels_ci95_lo,cr_levels_ci95_hi,Cov(Slopes),Corr(Slopes)Est,er_tau_11_est,er_tau_11_se,er_tau_11_pval,CI(Slopes)Est,er_tau_11_ci95lo,er_tau_11_ci95hi,Corr(Slopes)Comp,cr_slopes_est,cr_slopes_ci95_lo,cr_slopes_ci95_hi,Cov(Residuals),ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval,Corr(Resid)Est,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,CI(Resid)Est,er_sigma_00_ci95lo,er_sigma_00_ci95hi,Corr(Residuals)Comp,cr_resid_est,cr_resid_ci95_lo,cr_resid_ci95_hi
episodic memory,hrs,b1,male,aehplus,grip,word_de,3290,"1.04( .23), $p$<.01 ***",1.04,0.234,0.0," .15( .03), $p$<.01 ***",0.15,0.033,0.0,"( .09, .21)",0.085319999999999993,0.21467999999999998," .15( .12, .18)",0.1497929945989888,0.11621519546988862,0.1830287863951409," .00( .01), $p$=.39  "," .28( .35), $p$=.42  ",0.279,0.347,0.421,"(-.40, .96)",-0.4011199999999999,0.95912," .29( .26, .32)",0.28867513459481287,0.2570380801583816,0.31969409965510065," .14( .12), $p$=.22  ",0.142,0.117,0.224," .03( .02), $p$=.22  ",0.028,0.023,0.223,"(-.02, .07)",-0.017079999999999994,0.07307999999999999," .03(-.01, .06)",0.027992591123361332,-0.00618601112126914,0.06210586658746025
episodic memory,map,b1,male,aehplus,grip,word_de,321,"-.57(1.68), $p$=.73  ",-0.57,1.685,0.735,"-.02( .07), $p$=.73  ",-0.025,0.073,0.735,"(-.17, .12)",-0.16807999999999998,0.11807999999999999,"-.02(-.13, .09)",-0.024641563840561556,-0.13374965651496531,0.08505675571792826,"-.03( .10), $p$=.77  ","-.12( .42), $p$=.78  ",-0.118,0.421,0.779,"(-.94, .71)",-0.94316,0.70716,"-.12(-.23,-.01)",-0.11989645417608033,-0.22639392984770376,-0.010566255256260117,"-.12( .31), $p$=.70  ",-0.118,0.312,0.705,"-.02( .04), $p$=.71  ",-0.016,0.042,0.706,"(-.10, .07)",-0.09832,0.06632,"-.02(-.13, .09)",-0.016028141555368285,-0.1252772126109159,0.09360497640436469
episodic memory,map,b1,male,aehplus,grip,word_rec,321," .85(1.00), $p$=.40  ",0.848,1.003,0.398," .06( .07), $p$=.38  ",0.06,0.068,0.375,"(-.07, .19)",-0.07328000000000001,0.19328," .06(-.05, .17)",0.060106264796819464,-0.049689561150265724,0.1684666738738786," .03( .06), $p$=.60  "," .11( .21), $p$=.60  ",0.112,0.213,0.598,"(-.31, .53)",-0.30548,0.52948," .11( .00, .22)",0.11100605534088814,0.001556084135185642,0.21782795381153885,"-.07( .22), $p$=.76  ",-0.067,0.217,0.756,"-.02( .06), $p$=.76  ",-0.018,0.057,0.756,"(-.13, .09)",-0.12972,0.09372,"-.02(-.13, .09)",-0.0176177128952403,-0.12684196686761998,0.09202865305138419
executive function,eas,b1,male,aehplus,grip,trailsb,221,"65.59(99.53), $p$=.51  ",65.595,99.527,0.51," .23( .33), $p$=.49  ",0.228,0.334,0.494,"(-.43, .88)",-0.42664,0.88264," .23( .10, .35)",0.22848465341872198,0.09951409332949165,0.3499050728792998,"-2.80(5.96), $p$=.64  ","-.37( .81), $p$=.65  ",-0.369,0.807,0.648,"(-1.95,1.21)",-1.95072,1.21272,"-.37(-.48,-.25)",-0.3685997858701456,-0.47735052190478117,-0.24872779464557204,"-4.35(23.71), $p$=.85  ",-4.347,23.712,0.855,"-.03( .16), $p$=.85  ",-0.029,0.156,0.855,"(-.33, .28)",-0.33476,0.27675999999999995,"-.03(-.16, .10)",-0.028576595953625054,-0.1599446473098025,0.10378606013326358
fluency,eas,b1,male,aehplus,grip,categories,222,"3.04(11.79), $p$=.80  ",3.043,11.794,0.796," .07( .26), $p$=.80  ",0.068,0.263,0.795,"(-.45, .58)",-0.44748000000000004,0.58348," .07(-.06, .20)",0.06828362331654565,-0.06396459247060075,0.19817491226570977,"1.33( .79), $p$=.09 ."," .87( .55), $p$=.11  ",0.873,0.551,0.113,"(-.21,1.95)",-0.20696000000000003,1.95296," .87( .84, .90)",0.8735853416970754,0.8383451466704065,0.9015546889390282,"-2.01(2.28), $p$=.38  ",-2.008,2.28,0.378,"-.12( .13), $p$=.37  ",-0.116,0.128,0.366,"(-.37, .13)",-0.36688,0.13488,"-.12(-.24, .02)",-0.1159687408346165,-0.2439172361211643,0.015947885482829362
fluency,map,b1,male,aehplus,grip,categories,321,"1.41(7.82), $p$=.86  ",1.409,7.822,0.857," .01( .07), $p$=.86  ",0.013,0.072,0.857,"(-.13, .15)",-0.12811999999999998,0.15412," .01(-.10, .12)",0.012884864910388618,-0.09672043875566656,0.12218140932907867," .35( .38), $p$=.35  "," .25( .28), $p$=.36  ",0.254,0.279,0.364,"(-.29, .80)",-0.29284,0.80084," .25( .15, .35)",0.25357977515934743,0.14822550048117325,0.35324295114271004,"-.90(1.22), $p$=.46  ",-0.897,1.216,0.461,"-.04( .05), $p$=.46  ",-0.035,0.048,0.462,"(-.13, .06)",-0.12908,0.059079999999999994,"-.04(-.14, .07)",-0.03506298824787084,-0.14397923217471303,0.0746925850407965
fluency,eas,b1,male,aehplus,grip,fas,222,"-2.14(11.20), $p$=.85  ",-2.143,11.197,0.848,"-.04( .19), $p$=.85  ",-0.036,0.189,0.847,"(-.41, .33)",-0.40643999999999997,0.33444,"-.04(-.17, .10)",-0.03631230222226794,-0.16718602939713328,0.09581894470580925," .59( .97), $p$=.54  "," .66(1.21), $p$=.58  ",0.664,1.207,0.582,"(-1.70,3.03)",-1.70172,3.02972," .66( .58, .73)",0.6637770753968156,0.5830647578816273,0.7315146378149286,"-1.73(2.65), $p$=.51  ",-1.73,2.65,0.514,"-.08( .12), $p$=.51  ",-0.079,0.119,0.509,"(-.31, .15)",-0.31223999999999996,0.15424,"-.08(-.21, .05)",-0.07859320005487457,-0.2081126262272568,0.05363494983169523
fluency,ilse,b1,male,aehplus,grip,fluency,252,"9.48(13.28), $p$=.47  ",9.483,13.276,0.475," .07( .10), $p$=.47  ",0.074,0.102,0.468,"(-.13, .27)",-0.12591999999999998,0.27392," .07(-.05, .20)",0.0736547224866636,-0.05037663987823491,0.19544865094314975," .04( .15), $p$=.80  "," .19( .76), $p$=.80  ",0.194,0.764,0.799,"(-1.30,1.69)",-1.3034400000000002,1.69144," .19( .07, .31)",0.19140237482511793,0.06947270462311804,0.307697519174124,"13.29(5.00), $p$=.01 **",13.286,4.997,0.008," .21( .07), $p$<.01 **",0.208,0.074,0.005,"( .06, .35)",0.06295999999999999,0.35304," .21( .09, .32)",0.20825213330132047,0.08691600864420308,0.32349993406167554
fluid reasoning,satsa,b1,male,aehplus,grip,analogies,299,"1.99(1.84), $p$=.28  ",1.99,1.841,0.28," .13( .11), $p$=.27  ",0.126,0.114,0.267,"(-.10, .35)",-0.09744,0.34944," .13( .01, .24)",0.12637924289967845,0.013137247677512915,0.23642042068116118," .01( .01), $p$=.15  "," .69( .53), $p$=.19  ",0.689,0.53,0.193,"(-.35,1.73)",-0.3498,1.7277999999999998," .67( .60, .73)",0.6666666666666667,0.5984946384253752,0.7252531864010234,"2.35( .69), $p$<.01 ***",2.348,0.693,0.001," .17( .05), $p$<.01 ***",0.169,0.048,0.0,"( .07, .26)",0.07492000000000001,0.26308," .17( .06, .28)",0.16923038751066904,0.05689216050111245,0.2773369871203921
fluid reasoning,eas,b1,male,aehplus,grip,block,210,"3.94(13.52), $p$=.77  ",3.938,13.515,0.771," .08( .29), $p$=.77  ",0.083,0.287,0.773,"(-.48, .65)",-0.4795199999999999,0.6455199999999999," .08(-.05, .22)",0.0828964958267881,-0.053089785002301194,0.21586420051416086," .44( .71), $p$=.54  "," .64(1.24), $p$=.60  ",0.64,1.237,0.605,"(-1.78,3.06)",-1.78452,3.0645200000000004," .64( .55, .71)",0.6387582361205618,0.5510210717758512,0.7125279981290081," .07(2.20), $p$=.98  ",0.067,2.201,0.976," .00( .12), $p$=.98  ",0.004,0.118,0.976,"(-.23, .24)",-0.22727999999999998,0.23528," .00(-.13, .14)",0.0035989669130784227,-0.13185571518764924,0.13892170846565519
fluid reasoning,octo,b1,male,aehplus,grip,block,139,"3.62(1.16), $p$<.01 **",3.618,1.162,0.002," .30( .08), $p$<.01 ***",0.302,0.083,0.0,"( .14, .46)",0.13931999999999997,0.46468," .30( .14, .45)",0.3023116120868915,0.1430091904443254,0.44634555893885464,"-.01( .04), $p$=.75  ","-.25(1.09), $p$=.82  ",-0.253,1.087,0.816,"(-2.38,1.88)",-2.38352,1.8775199999999996,"-.25(-.40,-.08)",-0.24758202513348898,-0.39768905303199864,-0.08456730233059938," .52( .26), $p$=.04 *",0.52,0.257,0.043," .14( .06), $p$=.03 *",0.138,0.064,0.032,"( .01, .26)",0.012560000000000016,0.26344," .14(-.03, .30)",0.13807480996181778,-0.02909487613320006,0.2977309125751604
fluid reasoning,satsa,b1,male,aehplus,grip,block,298,"13.31(3.74), $p$<.01 ***",13.309,3.738,0.0," .40( .09), $p$<.01 ***",0.402,0.09,0.0,"( .23, .58)",0.22560000000000002,0.5784," .40( .30, .49)",0.4024799306706624,0.30270174727331645,0.4935314572487202," .03( .01), $p$=.05 *"," .79( .44), $p$=.07 .",0.792,0.445,0.075,"(-.08,1.66)",-0.08019999999999994,1.6642000000000001," .78( .73, .82)",0.7795844649455864,0.7306856325392783,0.8205255491354152,"2.52( .90), $p$<.01 **",2.515,0.905,0.005," .14( .05), $p$<.01 **",0.137,0.047,0.003,"( .04, .23)",0.04488000000000002,0.22912," .12( .01, .23)",0.12438559344545934,0.010919154717937227,0.23468953346222748
fluid reasoning,octo,b1,male,aehplus,grip,fig_logic,138,"3.21( .98), $p$<.01 ***",3.205,0.981,0.001," .57( .15), $p$<.01 ***",0.571,0.154,0.0,"( .27, .87)",0.26915999999999995,0.87284," .57( .45, .67)",0.5708565743372526,0.44632828450058964,0.6736956344870162," .04( .05), $p$=.44  "," .74(1.78), $p$=.68  ",0.741,1.782,0.677,"(-2.75,4.23)",-2.7517199999999997,4.23372," .74( .65, .80)",0.7354334034175296,0.647959171231027,0.8037605111213217,"-.18( .22), $p$=.43  ",-0.176,0.225,0.432,"-.05( .07), $p$=.43  ",-0.052,0.066,0.433,"(-.18, .08)",-0.18136,0.07736000000000001,"-.05(-.22, .12)",-0.051427728194003826,-0.21667053704146855,0.11667983445379625
fluid reasoning,map,b1,male,aehplus,grip,matrices,308,"1.54(2.09), $p$=.46  ",1.544,2.086,0.459," .06( .08), $p$=.45  ",0.059,0.078,0.446,"(-.09, .21)",-0.09387999999999999,0.21187999999999999," .06(-.05, .17)",0.05907312591505491,-0.05303541729662192,0.16971111467854708," .25( .11), $p$=.02 *"," .75( .12), $p$<.01 ***",0.753,0.122,0.0,"( .51, .99)",0.51388,0.99212," .76( .70, .80)",0.7561538914024005,0.7038777690133676,0.8002831289505471,"-.20( .54), $p$=.71  ",-0.201,0.538,0.709,"-.02( .05), $p$=.71  ",-0.02,0.054,0.711,"(-.13, .09)",-0.12584,0.08584,"-.02(-.13, .09)",-0.020035461931089158,-0.13149942515880525,0.09192878640361042
fluid reasoning,lasa,b1,male,aehplus,grip,raven,800,"2.65( .89), $p$<.01 **",2.65,0.886,0.003," .17( .05), $p$<.01 **",0.167,0.054,0.002,"( .06, .27)",0.061160000000000006,0.27284," .17( .10, .23)",0.16669556346459694,0.09851973661259045,0.2333139292978429," .02( .01), $p$=.02 *"," .93( .69), $p$=.18  ",0.926,0.692,0.181,"(-.43,2.28)",-0.4303199999999999,2.28232," .92( .91, .93)",0.9216353751380651,0.9104851769415186,0.9314465132512326," .70( .31), $p$=.03 *",0.696,0.312,0.026," .07( .03), $p$=.02 *",0.075,0.033,0.024,"( .01, .14)",0.010319999999999996,0.13968," .08( .01, .14)",0.07524476464290847,0.005961698404255236,0.14380888507097145
fluid reasoning,satsa,b1,male,aehplus,grip,rotate,299,"32.45(9.82), $p$<.01 ***",32.447,9.825,0.001," .36( .09), $p$<.01 ***",0.358,0.093,0.0,"( .18, .54)",0.17572,0.54028," .36( .25, .45)",0.35800983176197304,0.2549320916307969,0.4530424736962944,"-.01( .05), $p$=.80  ","-.13( .55), $p$=.81  ",-0.131,0.546,0.81,"(-1.20, .94)",-1.20116,0.93916,"-.13(-.24,-.02)",-0.13235651920167169,-0.24215136288054456,-0.019214672949797895,"6.04(3.15), $p$=.06 .",6.039,3.154,0.056," .10( .05), $p$=.05 .",0.097,0.05,0.052,"(-.00, .20)",-0.0010000000000000009,0.195," .10(-.02, .21)",0.09705389789121825,-0.016558715396928853,0.20819226032769853
fluid reasoning,ilse,b1,male,aehplus,grip,spatial_ab,252,"18.41(9.77), $p$=.06 .",18.414,9.769,0.059," .18( .10), $p$=.06 .",0.184,0.098,0.06,"(-.01, .38)",-0.008080000000000004,0.37607999999999997," .18( .06, .30)",0.18422550623532793,0.06206559826747594,0.30094720970179417," .17( .14), $p$=.22  "," .41( .33), $p$=.21  ",0.413,0.33,0.211,"(-.23,1.06)",-0.23380000000000006,1.0598," .41( .30, .51)",0.4108256505717477,0.30261566012997176,0.5085794964159153,"-1.59(2.61), $p$=.54  ",-1.59,2.612,0.543,"-.04( .07), $p$=.54  ",-0.043,0.07,0.544,"(-.18, .09)",-0.18020000000000003,0.09420000000000002,"-.04(-.17, .08)",-0.042564833109829406,-0.16526839298867252,0.08143635864575045
mental status,octo,b1,male,aehplus,grip,clock,139," .68( .47), $p$=.15  ",0.676,0.468,0.149," .26( .17), $p$=.14  ",0.258,0.172,0.135,"(-.08, .60)",-0.07911999999999997,0.59512," .26( .10, .41)",0.2576716538010336,0.09525764092009228,0.40672301164701424," .01( .02), $p$=.48  "," .30( .42), $p$=.48  ",0.299,0.423,0.479,"(-.53,1.13)",-0.5300799999999999,1.12808," .31( .15, .45)",0.30779350562554625,0.14892477525351824,0.45117267572547576," .29( .22), $p$=.19  ",0.294,0.223,0.186," .14( .10), $p$=.14  ",0.14,0.096,0.144,"(-.05, .33)",-0.04815999999999998,0.32816," .14(-.03, .30)",0.13976489514072496,-0.02737290636515762,0.2993006859662193
mental status,nuage,b1,male,aehplus,grip,mmms,847,"5.49(2.04), $p$=.01 **",5.492,2.035,0.007," .13( .05), $p$=.01 **",0.13,0.048,0.007,"( .04, .22)",0.03592000000000001,0.22408," .13( .06, .20)",0.1302024903239225,0.06339594837768628,0.19584733101726087," .33( .23), $p$=.16  "," .28( .21), $p$=.19  ",0.28,0.215,0.193,"(-.14, .70)",-0.14139999999999997,0.7014," .28( .22, .34)",0.27955754827019796,0.21626766598031516,0.3405077761025656,"-.71( .47), $p$=.13  ",-0.711,0.47,0.13,"-.04( .02), $p$=.13  ",-0.035,0.023,0.132,"(-.08, .01)",-0.08008,0.010079999999999992,"-.04(-.10, .03)",-0.035265127323439456,-0.10238448143047874,0.03217387685563597
mental status,eas,b1,male,aehplus,grip,mmse,222,"-.10(3.04), $p$=.97  ",-0.097,3.04,0.975,"-.02( .50), $p$=.97  ",-0.016,0.503,0.975,"(-1.00, .97)",-1.0018799999999999,0.96988,"-.02(-.15, .12)",-0.016053105337536937,-0.14741460859353822,0.11586490820580934,"-.03( .18), $p$=.86  ","-.33(2.08), $p$=.88  ",-0.326,2.084,0.876,"(-4.41,3.76)",-4.41064,3.75864,"-.33(-.44,-.20)",-0.32673480024541235,-0.43949966698921117,-0.20383095040085136," .34( .49), $p$=.50  ",0.337,0.495,0.496," .09( .13), $p$=.50  ",0.086,0.127,0.499,"(-.16, .33)",-0.16292,0.33492," .09(-.05, .22)",0.08598834584778275,-0.04620793940235523,0.2152245997885492
mental status,map,b1,male,aehplus,grip,mmse,321,"4.00(2.30), $p$=.08 .",3.995,2.298,0.082," .17( .07), $p$=.01 *",0.172,0.07,0.014,"( .03, .31)",0.03479999999999997,0.30920000000000003," .17( .06, .28)",0.17229384744440085,0.06403267557760757,0.27654682926707813," .30( .17), $p$=.08 ."," .69( .23), $p$<.01 **",0.691,0.233,0.003,"( .23,1.15)",0.23431999999999992,1.14768," .69( .63, .75)",0.6925567271938684,0.6309200467484521,0.7455062378172236," .01( .41), $p$=.98  ",0.011,0.412,0.979," .00( .05), $p$=.98  ",0.001,0.052,0.979,"(-.10, .10)",-0.10092,0.10292," .00(-.11, .11)",0.001392847503804046,-0.10809251402209127,0.11084482689653943
mental status,nuage,b1,male,aehplus,grip,mmse,847,"2.28( .74), $p$<.01 **",2.279,0.737,0.002," .18( .06), $p$<.01 **",0.182,0.058,0.002,"( .07, .30)",0.06831999999999999,0.29568," .18( .12, .25)",0.18180049613656601,0.1158567682246476,0.24614859872423756," .13( .11), $p$=.23  "," .30( .25), $p$=.23  ",0.299,0.251,0.234,"(-.19, .79)",-0.19296000000000002,0.79096," .30( .24, .36)",0.29877685605432425,0.23616747844731814,0.3589157554473885," .02( .22), $p$=.92  ",0.021,0.219,0.924," .00( .03), $p$=.92  ",0.003,0.027,0.924,"(-.05, .06)",-0.04992,0.055920000000000004," .00(-.06, .07)",0.002561369521081591,-0.06481238677134181,0.0699118804287981
mental status,octo,b1,male,aehplus,grip,mmse,140,"1.14( .63), $p$=.07 .",1.14,0.632,0.071," .32( .18), $p$=.07 .",0.318,0.179,0.075,"(-.03, .67)",-0.03283999999999998,0.66884," .32( .16, .46)",0.31841011625641086,0.1610123589618977,0.46001307608258474,"-.01( .02), $p$=.74  ","-.11( .34), $p$=.75  ",-0.111,0.343,0.747,"(-.78, .56)",-0.78328,0.56128,"-.12(-.28, .05)",-0.11650622710568241,-0.2770543885605823,0.05037065619245394," .50( .26), $p$=.06 .",0.504,0.262,0.055," .15( .08), $p$=.06 .",0.152,0.08,0.056,"(-.00, .31)",-0.004799999999999999,0.30879999999999996," .15(-.01, .31)",0.15230042276139277,-0.013955472827981584,0.31036174975182457
mental status,satsa,b1,male,aehplus,grip,mmse,299,"2.17(1.12), $p$=.05 .",2.173,1.118,0.052," .27( .13), $p$=.04 *",0.267,0.129,0.038,"( .01, .52)",0.014160000000000006,0.5198400000000001," .27( .16, .37)",0.2672857450015897,0.1586659059812884,0.3695130552516657," .01( .01), $p$=.31  "," .34( .30), $p$=.27  ",0.335,0.303,0.268,"(-.26, .93)",-0.25887999999999994,0.9288799999999999," .33( .23, .43)",0.3339135484518728,0.22916298682316022,0.43101864127554723,"1.04( .41), $p$=.01 *",1.044,0.408,0.011," .13( .05), $p$=.01 **",0.129,0.048,0.008,"( .03, .22)",0.03492000000000001,0.22308," .13( .02, .24)",0.1289503814953042,0.01575044055355144,0.23888653683254277
