study_name,process_a,process_b,subgroup,model_type,subject_count,parameter_count,wave_count,ll,aic,bic,process,coefficient,subindex,est,pval,se,wald
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,02,-0.155,0.325,0.157,-0.984
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,03,0.215,0.005,0.076,2.84
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,04,0.962,0.386,1.11,0.866
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,05,0.088,0.974,2.728,0.032
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,06,-2.274,0.175,1.676,-1.357
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,10,-2.317,0.0,0.496,-4.668
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,11,-0.064,0.049,0.033,-1.967
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,12,0.098,0.034,0.046,2.119
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,13,-0.01,0.559,0.018,-0.584
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,14,-0.02,0.949,0.321,-0.063
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,15,0.294,0.632,0.614,0.479
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,gamma,16,0.214,0.527,0.338,0.633
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,b,sigma,00,5.779,0.0,0.525,11.017
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,bb,tau,00,24.958,0.0,5.372,4.646
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,bb,tau,10,-1.33,0.277,1.223,-1.088
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,bb,tau,11,0.229,0.31,0.226,1.016
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,er,sigma,00,0.114,0.256,0.101,1.136
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,er,tau,00,0.288,0.053,0.149,1.932
eas,grip,pef,female,aehplus,150,41,7,-3582.644,7247.288,7370.724,er,tau,11,0.034,0.966,0.802,0.042
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,00,403.731,0.003,136.72,2.953
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,01,-5.442,0.437,7.002,-0.777
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,02,5.68,0.59,10.549,0.538
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,03,3.058,0.383,3.509,0.872
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,04,-25.152,0.744,76.894,-0.327
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,05,-18.401,0.828,84.786,-0.217
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,06,-11.634,0.831,54.414,-0.214
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,10,-27.646,0.553,46.578,-0.594
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,11,0.723,0.732,2.111,0.343
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,12,-0.143,0.957,2.658,-0.054
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,13,-0.019,0.991,1.583,-0.012
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,14,2.099,0.921,21.133,0.099
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,15,-5.967,0.847,30.994,-0.193
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,gamma,16,-3.634,0.883,24.774,-0.147
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,a,sigma,00,4225.068,0.0,1115.177,3.789
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,aa,tau,00,12172.062,0.05,6209.04,1.96
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,aa,tau,01,-839.468,0.617,1678.456,-0.5
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,aa,tau,11,317.936,0.51,483.078,0.658
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,ab,sigma,00,65.69,0.174,48.292,1.36
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,ab,tau,00,24.83,0.923,258.351,0.096
eas,grip,pef,male,aehplus,72,41,7,-2151.417,4384.834,4478.177,ab,tau,01,-15.164,0.876,97.259,-0.156
