process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
Learning & Memory,map,b1,male,aehplus,fev,Logical Memory Delayed,321,0.136,0.068,0.045,0.00272,0.26928,0.054,0.438,0.901,-0.80448,0.9124800000000001,-0.014,0.044,0.76,-0.10024,0.07224
Learning & Memory,map,b1,female,aehplus,fev,Logical Memory Immediate,935,0.045,0.046,0.326,-0.04515999999999999,0.13516,-0.112,0.468,0.811,-1.02928,0.80528,0.003,0.028,0.909,-0.051879999999999996,0.05788
Learning & Memory,map,b1,male,aehplus,fev,Logical Memory Immediate,321,0.109,0.073,0.139,-0.034079999999999985,0.25207999999999997,0.121,1.046,0.908,-1.92916,2.17116,-0.012,0.044,0.781,-0.09824,0.07424
Learning & Memory,eas,b1,female,aehplus,pef,Logical Memory Total,324,0.067,0.116,0.568,-0.16036,0.29436,0.297,0.455,0.514,-0.5948,1.1888,-0.033,0.068,0.631,-0.16628,0.10028000000000001
Learning & Memory,eas,b1,male,aehplus,pef,Logical Memory Total,324,0.067,0.116,0.568,-0.16036,0.29436,0.297,0.455,0.514,-0.5948,1.1888,-0.033,0.068,0.631,-0.16628,0.10028000000000001
Learning & Memory,octo,b1,female,aehplus,pef,Objects Recalled,271,0.13,0.101,0.198,-0.06795999999999999,0.32796000000000003,0.176,0.278,0.527,-0.36888000000000004,0.72088,0.056,0.06,0.348,-0.061599999999999995,0.1736
Learning & Memory,octo,b1,male,aehplus,pef,Objects Recalled,137,0.577,0.117,0.0,0.34768,0.8063199999999999,0.43,0.167,0.01,0.10268,0.75732,-0.017,0.089,0.848,-0.19144,0.15743999999999997
Learning & Memory,octo,b1,female,aehplus,pef,Objects Recognized,271,0.069,0.066,0.296,-0.06036,0.19836,0.523,0.321,0.103,-0.10616000000000003,1.15216,0.147,0.062,0.017,0.02547999999999999,0.26852
Learning & Memory,octo,b1,male,aehplus,pef,Objects Recognized,137,0.513,0.168,0.002,0.18372,0.84228,0.276,0.601,0.646,-0.9019599999999999,1.45396,0.042,0.057,0.459,-0.06972,0.15372
Learning & Memory,octo,b1,female,aehplus,pef,Prose Immediate,268,0.149,0.094,0.113,-0.035239999999999994,0.33324,-0.06,0.367,0.87,-0.77932,0.6593199999999999,0.075,0.063,0.238,-0.048479999999999995,0.19848
Learning & Memory,octo,b1,male,aehplus,pef,Prose Immediate,136,0.22,0.133,0.098,-0.04068000000000002,0.48068,-0.259,0.527,0.624,-1.2919200000000002,0.77392,0.101,0.141,0.472,-0.17536,0.37736000000000003
Learning & Memory,elsa,b1,female,aehplus,fev,Word List Delayed,3511,0.047,0.041,0.247,-0.03336,0.12736,-0.426,1.052,0.685,-2.4879200000000004,1.6359200000000003,0.015,0.026,0.565,-0.03596,0.06595999999999999
Learning & Memory,elsa,b1,male,aehplus,fev,Word List Delayed,3091,0.056,0.04,0.162,-0.022399999999999996,0.1344,-0.217,0.392,0.581,-0.98532,0.55132,0.028,0.026,0.27,-0.022959999999999998,0.07896
Learning & Memory,hrs,b1,female,aehplus,pef,Word List Delayed,4611,0.279,0.027,0.0,0.22608000000000003,0.33192000000000005,0.69,0.503,0.17,-0.29588000000000003,1.6758799999999998,0.037,0.019,0.051,-2.3999999999999716e-4,0.07424
Learning & Memory,hrs,b1,male,aehplus,pef,Word List Delayed,3288,0.271,0.033,0.0,0.20632,0.33568000000000003,0.704,0.539,0.191,-0.3524400000000001,1.76044,0.026,0.024,0.279,-0.02104,0.07304
Learning & Memory,map,b1,female,aehplus,fev,Word List Delayed,935,0.037,0.046,0.413,-0.05315999999999999,0.12716,-0.577,0.842,0.493,-2.2273199999999997,1.07332,0.017,0.028,0.532,-0.03788,0.07188
Learning & Memory,map,b1,male,aehplus,fev,Word List Delayed,321,0.095,0.082,0.247,-0.06572,0.25572,0.694,1.036,0.503,-1.33656,2.72456,0.005,0.046,0.918,-0.08515999999999999,0.09516
Learning & Memory,nas,b1,male,aehplus,fev,Word List Delayed,1131,0.084,0.046,0.071,-0.006159999999999985,0.17415999999999998,-0.033,0.115,0.772,-0.2584,0.19240000000000002,0.021,0.031,0.504,-0.039760000000000004,0.08176
Learning & Memory,eas,b1,female,aehplus,pef,Word List Immediate,545,0.29,0.095,0.002,0.10379999999999998,0.47619999999999996,0.637,0.526,0.226,-0.3939600000000001,1.66796,-0.04,0.049,0.414,-0.13604,0.05604
Learning & Memory,eas,b1,male,aehplus,pef,Word List Immediate,324,0.07,0.123,0.569,-0.17107999999999998,0.31108,0.378,0.424,0.373,-0.45304,1.20904,0.031,0.076,0.685,-0.11795999999999998,0.17995999999999998
Learning & Memory,elsa,b1,female,aehplus,fev,Word List Immediate,3511,0.072,0.042,0.088,-0.01032000000000001,0.15432,-0.16,0.431,0.71,-1.0047599999999999,0.6847599999999999,0.025,0.023,0.282,-0.020079999999999994,0.07008
Learning & Memory,elsa,b1,male,aehplus,fev,Word List Immediate,3091,0.056,0.039,0.148,-0.020439999999999993,0.13244,-0.112,0.18,0.534,-0.4648,0.24080000000000001,0.046,0.024,0.059,-0.0010399999999999993,0.09304
Learning & Memory,hrs,b1,female,aehplus,pef,Word List Immediate,4612,0.314,0.029,0.0,0.25716,0.37084,0.44,0.554,0.426,-0.6458400000000002,1.52584,0.037,0.018,0.044,0.0017199999999999993,0.07228
Learning & Memory,hrs,b1,male,aehplus,pef,Word List Immediate,3288,0.256,0.032,0.0,0.19328,0.31872,0.372,0.588,0.527,-0.78048,1.52448,0.035,0.023,0.117,-0.010079999999999992,0.08008
Learning & Memory,lasa,b1,female,aehplus,pef,Word List Immediate,782,0.161,0.054,0.003,0.05516,0.26684,0.1,0.57,0.86,-1.0171999999999999,1.2172,0.137,0.023,0.0,0.09192000000000002,0.18208000000000002
Learning & Memory,lasa,b1,male,aehplus,pef,Word List Immediate,800,0.104,0.05,0.037,0.0059999999999999915,0.202,0.111,0.445,0.803,-0.7612,0.9832,0.102,0.027,0.0,0.04907999999999999,0.15492
Learning & Memory,map,b1,female,aehplus,fev,Word List Immediate,935,0.107,0.045,0.017,0.018799999999999997,0.19519999999999998,-0.554,0.427,0.194,-1.39092,0.28291999999999995,0.031,0.032,0.334,-0.03172,0.09372
Learning & Memory,map,b1,male,aehplus,fev,Word List Immediate,321,0.047,0.081,0.561,-0.11176000000000001,0.20576,0.538,0.972,0.58,-1.36712,2.44312,0.098,0.049,0.043,0.0019600000000000034,0.19404
Learning & Memory,nas,b1,male,aehplus,fev,Word List Immediate,1131,0.107,0.049,0.031,0.010959999999999998,0.20304,0.153,0.178,0.39,-0.19587999999999997,0.50188,-0.034,0.029,0.229,-0.09084,0.02284
Learning & Memory,map,b1,female,aehplus,fev,Word Recognition,935,0.017,0.043,0.682,-0.06727999999999999,0.10128,0.078,1.142,0.946,-2.16032,2.3163199999999997,0.004,0.03,0.893,-0.0548,0.0628
Learning & Memory,map,b1,male,aehplus,fev,Word Recognition,321,0.007,0.076,0.931,-0.14195999999999998,0.15596,-0.579,0.435,0.183,-1.4316,0.27360000000000007,0.065,0.048,0.174,-0.029079999999999995,0.15908
Mental Status,eas,b1,female,aehplus,pef,Calculated MMSE,545,0.176,0.103,0.086,-0.025879999999999986,0.37788,0.074,0.732,0.92,-1.36072,1.50872,-0.011,0.047,0.82,-0.10311999999999999,0.08112
Mental Status,eas,b1,male,aehplus,pef,Calculated MMSE,324,0.307,0.156,0.049,0.0012400000000000189,0.61276,0.755,1.102,0.493,-1.4049200000000002,2.91492,-0.047,0.058,0.417,-0.16068,0.06668
Mental Status,map,b1,female,aehplus,fev,Ideas,935,0.191,0.055,0.001,0.08320000000000001,0.2988,-0.245,0.563,0.663,-1.34848,0.8584799999999998,0.021,0.029,0.457,-0.03584,0.07784
Mental Status,map,b1,male,aehplus,fev,Ideas,321,-0.018,0.078,0.816,-0.17087999999999998,0.13488,-0.363,0.384,0.345,-1.11564,0.38964,0.043,0.053,0.418,-0.060880000000000004,0.14688
Mental Status,map,b1,female,aehplus,fev,MMSE,935,0.022,0.058,0.71,-0.09168000000000001,0.13568,-0.204,0.566,0.719,-1.3133599999999999,0.9053599999999999,0.047,0.026,0.072,-0.003959999999999998,0.09795999999999999
Mental Status,map,b1,male,aehplus,fev,MMSE,321,0.037,0.085,0.662,-0.1296,0.2036,-0.579,0.787,0.462,-2.1215200000000003,0.9635200000000002,0.018,0.048,0.717,-0.07608,0.11208
Mental Status,nas,b1,male,aehplus,fev,MMSE,1131,0.199,0.074,0.007,0.05396000000000001,0.34404,-0.117,0.226,0.606,-0.55996,0.32596,-0.021,0.028,0.439,-0.07588,0.033879999999999993
Mental Status,octo,b1,female,aehplus,pef,MMSE,275,0.243,0.111,0.028,0.02543999999999999,0.46055999999999997,0.111,0.307,0.717,-0.49072000000000005,0.71272,0.09,0.088,0.304,-0.08248,0.26248
Mental Status,octo,b1,male,aehplus,pef,MMSE,138,0.27,0.142,0.057,-0.008319999999999939,0.5483199999999999,-0.173,0.532,0.745,-1.2157200000000001,0.86972,0.04,0.11,0.719,-0.17559999999999998,0.2556
Mental Status,octo,b1,female,aehplus,pef,MMSE,276,0.103,0.126,0.417,-0.14395999999999998,0.34996,0.202,0.316,0.522,-0.41736,0.8213600000000001,0.201,0.069,0.004,0.06576000000000001,0.33624
Mental Status,octo,b1,male,aehplus,pef,MMSE,140,0.66,0.135,0.0,0.39540000000000003,0.9246000000000001,0.147,0.369,0.69,-0.57624,0.87024,0.145,0.164,0.376,-0.17644,0.46643999999999997
Mental Status,satsa,b1,female,aehplus,fev,MMSE,411,-0.066,0.183,0.718,-0.42468,0.29268,0.362,0.201,0.072,-0.031960000000000044,0.75596,0.144,0.046,0.002,0.05384,0.23415999999999998
Mental Status,satsa,b1,male,aehplus,fev,MMSE,299,0.163,0.122,0.181,-0.07612,0.40212000000000003,0.351,0.299,0.24,-0.23504000000000003,0.93704,0.051,0.047,0.282,-0.04112,0.14312
Perceptual Reasoning,eas,b1,female,aehplus,pef,Block Design,545,0.249,0.097,0.01,0.05887999999999999,0.43912,0.308,0.361,0.395,-0.39955999999999997,1.01556,-0.011,0.048,0.815,-0.10507999999999999,0.08308
Perceptual Reasoning,eas,b1,male,aehplus,pef,Block Design,324,0.308,0.111,0.005,0.09043999999999999,0.52556,0.58,0.723,0.422,-0.8370799999999999,1.99708,-0.113,0.07,0.108,-0.25020000000000003,0.024200000000000013
Perceptual Reasoning,octo,b1,female,aehplus,pef,Block Design,272,0.241,0.088,0.006,0.06852,0.41347999999999996,0.023,0.316,0.941,-0.59636,0.64236,0.149,0.059,0.012,0.03336,0.26464
Perceptual Reasoning,octo,b1,male,aehplus,pef,Block Design,136,0.305,0.116,0.008,0.07763999999999999,0.5323599999999999,0.747,0.18,0.0,0.3942,1.0998000000000001,0.114,0.066,0.083,-0.015359999999999999,0.24336000000000002
Perceptual Reasoning,satsa,b1,female,aehplus,fev,Block Design,408,0.239,0.086,0.005,0.07044,0.40756,0.188,0.236,0.426,-0.27455999999999997,0.65056,0.072,0.043,0.092,-0.01228,0.15627999999999997
Perceptual Reasoning,satsa,b1,male,aehplus,fev,Block Design,299,0.198,0.076,0.009,0.04904000000000003,0.34696,0.145,0.21,0.49,-0.26659999999999995,0.5566,0.007,0.054,0.892,-0.09884,0.11284000000000001
Perceptual Reasoning,satsa,b1,female,aehplus,fev,Card Rotation,407,0.287,0.084,0.001,0.12235999999999997,0.45164,0.028,1.722,0.987,-3.34712,3.40312,0.009,0.038,0.807,-0.06548,0.08347999999999998
Perceptual Reasoning,satsa,b1,male,aehplus,fev,Card Rotation,298,0.19,0.084,0.024,0.025359999999999994,0.35464,0.135,0.376,0.72,-0.6019599999999999,0.87196,0.019,0.048,0.695,-0.07508,0.11308
Perceptual Reasoning,nas,b1,male,aehplus,fev,Figure Copy,1131,0.19,0.056,0.001,0.08024,0.29976,0.518,0.432,0.231,-0.32872,1.3647200000000002,-0.094,0.03,0.002,-0.1528,-0.0352
Perceptual Reasoning,octo,b1,female,aehplus,pef,Figure Logic,268,0.204,0.123,0.097,-0.03708,0.44508,0.185,0.431,0.668,-0.6597599999999999,1.02976,0.015,0.062,0.806,-0.10652,0.13652
Perceptual Reasoning,octo,b1,male,aehplus,pef,Figure Logic,133,0.288,0.132,0.029,0.029279999999999973,0.54672,0.787,0.139,0.0,0.51456,1.05944,0.014,0.085,0.869,-0.15259999999999999,0.1806
Perceptual Reasoning,map,b1,female,aehplus,fev,Line Orientation,934,0.143,0.048,0.003,0.04891999999999999,0.23707999999999999,-0.316,0.871,0.717,-2.02316,1.39116,-0.041,0.026,0.106,-0.09196,0.009959999999999997
Perceptual Reasoning,map,b1,male,aehplus,fev,Line Orientation,321,0.155,0.076,0.041,0.006040000000000018,0.30396,0.391,0.736,0.596,-1.0515599999999998,1.8335599999999999,-0.018,0.043,0.677,-0.10228,0.06627999999999999
Perceptual Reasoning,nas,b1,male,aehplus,fev,Pattern Comparison,1131,-0.011,0.06,0.857,-0.1286,0.1066,-0.254,0.282,0.368,-0.80672,0.29872,0.026,0.033,0.445,-0.038680000000000006,0.09068
Perceptual Reasoning,lasa,b1,female,aehplus,pef,Progressive Matrices,782,0.288,0.051,0.0,0.18803999999999998,0.38795999999999997,-0.144,0.447,0.747,-1.02012,0.73212,0.005,0.026,0.847,-0.04596,0.055959999999999996
Perceptual Reasoning,lasa,b1,male,aehplus,pef,Progressive Matrices,800,0.184,0.046,0.0,0.09384,0.27415999999999996,0.544,0.19,0.004,0.17160000000000003,0.9164000000000001,0.033,0.028,0.247,-0.021879999999999997,0.08788
Perceptual Reasoning,map,b1,female,aehplus,fev,Progressive Matrices,920,0.178,0.048,0.0,0.08392,0.27208,0.636,0.818,0.436,-0.9672799999999998,2.23928,-0.049,0.028,0.08,-0.10388,0.005879999999999996
Perceptual Reasoning,map,b1,male,aehplus,fev,Progressive Matrices,308,0.081,0.076,0.284,-0.06795999999999998,0.22996,0.433,0.677,0.523,-0.89392,1.7599200000000002,-0.016,0.042,0.697,-0.09832,0.06632
Processing Speed,lasa,b1,female,aehplus,pef,Coding,782,0.221,0.045,0.0,0.1328,0.30920000000000003,-0.032,0.303,0.915,-0.62588,0.5618799999999999,0.113,0.031,0.0,0.05224,0.17376
Processing Speed,lasa,b1,male,aehplus,pef,Coding,800,0.161,0.041,0.0,0.08064,0.24136000000000002,0.184,0.12,0.126,-0.051199999999999996,0.4192,0.124,0.029,0.0,0.06716,0.18084
Processing Speed,map,b1,female,aehplus,fev,Number Comparison,934,0.168,0.041,0.0,0.08764000000000001,0.24836000000000003,-0.104,0.601,0.863,-1.28196,1.0739599999999998,-0.015,0.027,0.588,-0.06792000000000001,0.03792
Processing Speed,map,b1,male,aehplus,fev,Number Comparison,321,0.02,0.07,0.771,-0.11720000000000001,0.1572,-0.747,0.494,0.131,-1.71524,0.22124,0.021,0.043,0.636,-0.06327999999999999,0.10528
Processing Speed,octo,b1,female,aehplus,pef,Perceptual Speed,254,0.131,0.113,0.247,-0.09048,0.35248,0.071,0.355,0.841,-0.6248,0.7667999999999999,0.031,0.085,0.718,-0.1356,0.1976
Processing Speed,octo,b1,male,aehplus,pef,Perceptual Speed,127,0.356,0.122,0.004,0.11687999999999998,0.59512,0.512,0.291,0.079,-0.05835999999999997,1.08236,-0.087,0.101,0.388,-0.28496,0.11096
Processing Speed,eas,b1,female,aehplus,pef,Symbol,545,0.262,0.08,0.001,0.10520000000000002,0.4188,0.459,0.25,0.066,-0.030999999999999972,0.9490000000000001,0.023,0.052,0.661,-0.07891999999999999,0.12492
Processing Speed,eas,b1,male,aehplus,pef,Symbol,324,0.397,0.097,0.0,0.20688,0.5871200000000001,0.673,0.325,0.038,0.03600000000000003,1.31,-0.134,0.067,0.044,-0.26532,-0.0026800000000000157
Processing Speed,map,b1,female,aehplus,fev,Symbol,934,0.186,0.041,0.0,0.10564,0.26636,0.117,0.39,0.764,-0.6474,0.8814,0.046,0.029,0.121,-0.010840000000000002,0.10284
Processing Speed,map,b1,male,aehplus,fev,Symbol,321,0.165,0.074,0.025,0.019960000000000006,0.31004,-0.365,0.808,0.651,-1.94868,1.21868,0.063,0.046,0.17,-0.02715999999999999,0.15316
Processing Speed,octo,b1,female,aehplus,pef,Symbol,264,0.376,0.078,0.0,0.22312,0.52888,0.658,0.173,0.0,0.31892000000000004,0.99708,0.034,0.057,0.547,-0.07772,0.14572000000000002
Processing Speed,octo,b1,male,aehplus,pef,Symbol,133,0.311,0.108,0.004,0.09931999999999999,0.52268,0.728,0.143,0.0,0.44772,1.00828,-0.041,0.071,0.571,-0.18016,0.09815999999999997
Processing Speed,satsa,b1,female,aehplus,fev,Symbol,408,0.1,0.081,0.218,-0.05876000000000001,0.25876,-0.158,0.196,0.419,-0.54216,0.22616,0.04,0.046,0.376,-0.05015999999999999,0.13016
Processing Speed,satsa,b1,male,aehplus,fev,Symbol,299,0.201,0.082,0.014,0.04028000000000001,0.36172000000000004,0.066,0.267,0.805,-0.45732,0.5893200000000001,0.013,0.056,0.822,-0.09676,0.12276
Verbal Ability,satsa,b1,female,aehplus,fev,Analogies,407,0.267,0.095,0.005,0.08080000000000001,0.45320000000000005,0.174,0.193,0.367,-0.20428000000000002,0.55228,0.019,0.042,0.649,-0.06332,0.10132000000000001
Verbal Ability,satsa,b1,male,aehplus,fev,Analogies,299,0.109,0.102,0.289,-0.09091999999999999,0.30892,-0.043,0.625,0.946,-1.268,1.1820000000000002,0.06,0.053,0.251,-0.04388,0.16388
Verbal Ability,nas,b1,male,aehplus,fev,Animals,1131,-0.054,0.048,0.264,-0.14808,0.04008,-0.028,0.175,0.873,-0.371,0.31499999999999995,0.031,0.03,0.296,-0.0278,0.08979999999999999
Verbal Ability,eas,b1,female,aehplus,pef,Boston Naming Test,545,0.169,0.091,0.063,-0.00935999999999998,0.34736,0.164,0.811,0.84,-1.4255600000000002,1.75356,-0.06,0.051,0.237,-0.15996,0.039959999999999996
Verbal Ability,eas,b1,male,aehplus,pef,Boston Naming Test,324,0.037,0.136,0.787,-0.22956000000000001,0.30356,0.165,1.402,0.906,-2.5829199999999997,2.9129199999999997,0.053,0.063,0.396,-0.07047999999999999,0.17648
Verbal Ability,map,b1,female,aehplus,fev,Boston Naming Test,934,0.08,0.049,0.101,-0.01604,0.17604,-0.04,0.429,0.925,-0.88084,0.8008399999999999,-0.03,0.033,0.348,-0.09468,0.03468
Verbal Ability,map,b1,male,aehplus,fev,Boston Naming Test,321,0.075,0.081,0.355,-0.083760000000000015,0.23376000000000002,0.163,1.336,0.903,-2.45556,2.78156,-0.036,0.058,0.533,-0.14968,0.07768
Verbal Ability,eas,b1,female,aehplus,pef,Categories,545,0.258,0.088,0.003,0.08552000000000001,0.43048,0.533,0.74,0.471,-0.9173999999999999,1.9834,-0.09,0.056,0.105,-0.19976,0.01976
Verbal Ability,eas,b1,male,aehplus,pef,Categories,324,0.068,0.109,0.536,-0.14564,0.28164,0.299,0.28,0.286,-0.24980000000000008,0.8478000000000001,0.024,0.064,0.702,-0.10144,0.14944
Verbal Ability,map,b1,female,aehplus,fev,Categories,935,0.23,0.042,0.0,0.14768,0.31232000000000004,-0.355,0.437,0.416,-1.21152,0.50152,-0.044,0.027,0.102,-0.09692,0.008920000000000004
Verbal Ability,map,b1,male,aehplus,fev,Categories,321,0.162,0.072,0.024,0.02088000000000001,0.30312,0.172,0.505,0.734,-0.8178000000000001,1.1618,-0.015,0.049,0.764,-0.11104,0.08104
Verbal Ability,eas,b1,female,aehplus,pef,FAS,545,0.189,0.083,0.022,0.026319999999999982,0.35168,0.102,0.377,0.787,-0.63692,0.84092,0.025,0.053,0.637,-0.07888,0.12888
Verbal Ability,eas,b1,male,aehplus,pef,FAS,324,0.145,0.106,0.171,-0.06276000000000001,0.35275999999999996,-0.423,1.789,0.813,-3.92944,3.08344,0.019,0.073,0.794,-0.12407999999999998,0.16207999999999997
Verbal Ability,octo,b1,female,aehplus,pef,Information,275,0.108,0.09,0.232,-0.0684,0.2844,0.195,0.298,0.514,-0.3890799999999999,0.77908,0.057,0.059,0.332,-0.05863999999999999,0.17264
Verbal Ability,octo,b1,male,aehplus,pef,Information,138,0.062,0.117,0.593,-0.16732,0.29132,-0.067,0.386,0.862,-0.8235600000000001,0.68956,0.047,0.076,0.532,-0.10195999999999998,0.19595999999999997
