"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval","a_GAMMA_02_est","a_GAMMA_02_se","a_GAMMA_02_wald","a_GAMMA_02_pval","a_GAMMA_12_est","a_GAMMA_12_se","a_GAMMA_12_wald","a_GAMMA_12_pval","b_GAMMA_02_est","b_GAMMA_02_se","b_GAMMA_02_wald","b_GAMMA_02_pval","b_GAMMA_12_est","b_GAMMA_12_se","b_GAMMA_12_wald","b_GAMMA_12_pval","a_GAMMA_03_est","a_GAMMA_03_se","a_GAMMA_03_wald","a_GAMMA_03_pval","a_GAMMA_13_est","a_GAMMA_13_se","a_GAMMA_13_wald","a_GAMMA_13_pval","b_GAMMA_03_est","b_GAMMA_03_se","b_GAMMA_03_wald","b_GAMMA_03_pval","b_GAMMA_13_est","b_GAMMA_13_se","b_GAMMA_13_wald","b_GAMMA_13_pval","a_GAMMA_04_est","a_GAMMA_04_se","a_GAMMA_04_wald","a_GAMMA_04_pval","a_GAMMA_14_est","a_GAMMA_14_se","a_GAMMA_14_wald","a_GAMMA_14_pval","b_GAMMA_04_est","b_GAMMA_04_se","b_GAMMA_04_wald","b_GAMMA_04_pval","b_GAMMA_14_est","b_GAMMA_14_se","b_GAMMA_14_wald","b_GAMMA_14_pval","a_GAMMA_05_est","a_GAMMA_05_se","a_GAMMA_05_wald","a_GAMMA_05_pval","a_GAMMA_15_est","a_GAMMA_15_se","a_GAMMA_15_wald","a_GAMMA_15_pval","b_GAMMA_05_est","b_GAMMA_05_se","b_GAMMA_05_wald","b_GAMMA_05_pval","b_GAMMA_15_est","b_GAMMA_15_se","b_GAMMA_15_wald","b_GAMMA_15_pval","a_GAMMA_06_est","a_GAMMA_06_se","a_GAMMA_06_wald","a_GAMMA_06_pval","a_GAMMA_16_est","a_GAMMA_16_se","a_GAMMA_16_wald","a_GAMMA_16_pval","b_GAMMA_06_est","b_GAMMA_06_se","b_GAMMA_06_wald","b_GAMMA_06_pval","b_GAMMA_16_est","b_GAMMA_16_se","b_GAMMA_16_wald","b_GAMMA_16_pval"
"Mplus VERSION 5.21","0.1","02/24/2015"," 8:34 PM","b1_female_aeh_pek_digitsymbol.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_pek_digitsymbol.out","octo","b1","female","aeh","pek","digitsymbol",264,5,NA,NA,-6396.871,12851.743,12955.445,12863.501,NA,TRUE,TRUE,NA,0,203.083,47.838,4.245,0,3.021,1.097,2.753,0.006,-5.204,7.835,-0.664,0.507,-15.018,8.185,-1.835,0.067,9.975,14.574,0.684,0.494,4462.182,518.627,8.604,0,31.446,14.5,2.169,0.03,-150.199,90.317,-1.663,0.096,2120.797,184.283,11.508,0,67.922,7.939,8.555,0,0.62,0.154,4.034,0,-2.663,0.867,-3.072,0.002,27.892,2.332,11.962,0,317.53,7.807,40.673,0,-8.932,1.077,-8.295,0,28.597,1.073,26.645,0,-0.49,0.154,-3.178,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.527,2.032,-2.72,0.007,1.028,0.331,3.109,0.002,-0.806,0.279,-2.886,0.004,0.021,0.041,0.5,0.617,3.212,2.565,1.252,0.211,-0.276,0.399,-0.694,0.488,1.568,0.367,4.275,0,-0.031,0.061,-0.503,0.615,2.589,1.054,2.456,0.014,-0.236,0.207,-1.139,0.255,0.077,0.119,0.646,0.518,0.012,0.021,0.589,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 8:17 PM","b1_female_aeh_pek_figurelogic.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_pek_figurelogic.out","octo","b1","female","aeh","pek","figurelogic",268,5,NA,NA,-5892.137,11842.275,11946.414,11854.466,NA,TRUE,TRUE,NA,0,40.407,23.288,1.735,0.083,0.105,0.724,0.145,0.884,-1.256,4.622,-0.272,0.786,-0.473,3.616,-0.131,0.896,3.087,8.138,0.379,0.704,4451.449,528.758,8.419,0,32.446,16.515,1.965,0.049,-151.03,95.992,-1.573,0.116,2119.436,185.055,11.453,0,7.757,1.209,6.417,0,0.087,0.046,1.872,0.061,-0.364,0.184,-1.979,0.048,8.021,0.605,13.267,0,318.233,7.796,40.82,0,-8.985,1.118,-8.037,0,16.664,0.403,41.344,0,-0.05,0.078,-0.649,0.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.439,2.048,-2.655,0.008,1.005,0.344,2.925,0.003,-0.255,0.095,-2.696,0.007,-0.004,0.02,-0.183,0.855,3.235,2.511,1.288,0.198,-0.37,0.38,-0.973,0.33,0.216,0.12,1.791,0.073,-0.02,0.031,-0.653,0.514,2.576,1.057,2.437,0.015,-0.238,0.206,-1.155,0.248,-0.015,0.046,-0.334,0.739,0.006,0.009,0.756,0.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 8:36 PM","b1_female_aeh_pek_mirrecall.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_pek_mirrecall.out","octo","b1","female","aeh","pek","mirrecall",271,5,NA,NA,-5690.708,11439.416,11543.878,11451.928,NA,TRUE,TRUE,NA,0,13.273,10.635,1.248,0.212,0.437,0.436,1.001,0.317,3.375,2.839,1.189,0.235,-1.248,2.348,-0.531,0.595,3.466,3.918,0.885,0.376,4455.709,528.106,8.437,0,30.443,16.473,1.848,0.065,-138.595,97.128,-1.427,0.154,2127.148,186.878,11.383,0,2.444,0.483,5.057,0,0.091,0.021,4.325,0,-0.016,0.066,-0.235,0.814,1.846,0.166,11.138,0,317.749,7.824,40.611,0,-8.902,1.097,-8.118,0,7.785,0.185,42.036,0,-0.053,0.049,-1.088,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.41,2.062,-2.624,0.009,0.915,0.368,2.488,0.013,-0.156,0.05,-3.139,0.002,-0.017,0.013,-1.329,0.184,3.294,2.512,1.311,0.19,-0.259,0.382,-0.677,0.499,0.03,0.072,0.413,0.68,-0.007,0.019,-0.376,0.707,2.52,1.065,2.367,0.018,-0.239,0.208,-1.148,0.251,-0.015,0.021,-0.75,0.453,0.005,0.006,0.885,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 7:50 PM","b1_female_aeh_pek_proserecall.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_aeh_pek_proserecall.out","octo","b1","female","aeh","pek","proserecall",268,5,NA,NA,-5868.032,11794.065,11898.203,11806.255,NA,TRUE,TRUE,NA,0,23.598,17.913,1.317,0.188,0.1,0.572,0.175,0.861,2.953,3.236,0.913,0.361,-1.775,3.325,-0.534,0.593,7.108,6.221,1.143,0.253,4471.46,532.499,8.397,0,32.863,16.669,1.971,0.049,-148.822,96.42,-1.543,0.123,2111.631,186.409,11.328,0,7.995,1.023,7.818,0,0.086,0.033,2.59,0.01,-0.421,0.147,-2.865,0.004,4.326,0.378,11.43,0,317.44,7.804,40.678,0,-8.896,1.119,-7.948,0,11.296,0.337,33.515,0,-0.103,0.054,-1.91,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.381,2.054,-2.619,0.009,0.988,0.357,2.767,0.006,-0.279,0.083,-3.35,0.001,0.029,0.015,1.905,0.057,3.282,2.538,1.293,0.196,-0.344,0.379,-0.908,0.364,0.469,0.106,4.437,0,-0.051,0.021,-2.471,0.013,2.542,1.064,2.388,0.017,-0.234,0.211,-1.109,0.268,0.01,0.038,0.271,0.786,0.007,0.007,0.942,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 6:31 PM","b1_female_age_grip_block.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_age_grip_block.out","octo","b1","female","age","grip","block",303,5,NA,NA,-4428.904,8899.809,8977.797,8911.196,NA,TRUE,TRUE,NA,0,4.295,0.922,4.659,0,0.049,0.016,3.095,0.002,-0.117,0.134,-0.877,0.38,-0.004,0.122,-0.035,0.972,0.173,0.188,0.918,0.359,3.792,0.487,7.793,0,0.017,0.009,1.914,0.056,-0.054,0.044,-1.21,0.226,1.28,0.121,10.555,0,34.396,3.28,10.486,0,0.191,0.074,2.572,0.01,-1.027,0.383,-2.68,0.007,10.677,0.787,13.562,0,8.822,0.196,44.925,0,-0.332,0.028,-11.81,0,14.451,0.581,24.852,0,-0.293,0.083,-3.547,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.217,0.041,-5.257,0,-0.003,0.007,-0.376,0.707,-0.65,0.136,-4.793,0,0.004,0.022,0.186,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 6:14 PM","b1_female_age_grip_digitbackward.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_age_grip_digitbackward.out","octo","b1","female","age","grip","digitbackward",305,5,NA,NA,-3480.664,7003.328,7081.455,7014.853,NA,TRUE,TRUE,NA,0,0.047,0.159,0.297,0.766,-0.004,0.004,-1.043,0.297,0.068,0.029,2.331,0.02,0.033,0.021,1.547,0.122,0.073,0.06,1.217,0.224,3.772,0.484,7.798,0,0.017,0.009,1.867,0.062,-0.047,0.044,-1.065,0.287,1.278,0.122,10.512,0,0.611,0.137,4.454,0,0.005,0.005,0.997,0.319,-0.02,0.021,-0.944,0.345,1.145,0.097,11.852,0,8.835,0.196,45.012,0,-0.332,0.028,-11.812,0,3.735,0.105,35.56,0,-0.08,0.022,-3.683,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.219,0.041,-5.311,0,-0.001,0.007,-0.195,0.846,-0.07,0.023,-3.025,0.002,0.004,0.005,0.759,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 6:09 PM","b1_female_age_grip_digitforward.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_age_grip_digitforward.out","octo","b1","female","age","grip","digitforward",306,5,NA,NA,-3252.389,6546.779,6624.974,6558.372,NA,TRUE,TRUE,NA,0,0.075,0.137,0.547,0.584,0.001,0.003,0.361,0.718,-0.002,0.025,-0.089,0.929,0.01,0.019,0.515,0.606,0.054,0.045,1.212,0.226,3.771,0.484,7.795,0,0.016,0.009,1.824,0.068,-0.046,0.043,-1.061,0.289,1.285,0.123,10.434,0,0.722,0.099,7.301,0,0.007,0.003,2.26,0.024,-0.052,0.015,-3.362,0.001,0.623,0.046,13.686,0,8.827,0.197,44.913,0,-0.329,0.028,-11.608,0,5.603,0.095,58.73,0,-0.057,0.017,-3.372,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.218,0.041,-5.284,0,-0.002,0.007,-0.261,0.794,-0.067,0.02,-3.371,0.001,0.001,0.004,0.344,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 6:45 PM","b1_female_age_grip_digitsymbol.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_age_grip_digitsymbol.out","octo","b1","female","age","grip","digitsymbol",299,5,NA,NA,-4458.176,8958.352,9036.061,8969.462,NA,TRUE,TRUE,NA,0,4.858,1.496,3.248,0.001,0.008,0.026,0.314,0.753,0.078,0.251,0.31,0.757,0.212,0.198,1.073,0.283,0.747,0.325,2.295,0.022,3.767,0.484,7.777,0,0.016,0.009,1.811,0.07,-0.048,0.044,-1.09,0.276,1.284,0.122,10.545,0,83.77,9.064,9.242,0,0.584,0.163,3.577,0,-2.658,0.924,-2.877,0.004,28.298,2.429,11.651,0,8.834,0.196,45.083,0,-0.333,0.028,-11.957,0,28.591,1.01,28.312,0,-0.512,0.156,-3.286,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.217,0.041,-5.274,0,-0.002,0.007,-0.342,0.733,-0.976,0.252,-3.877,0,0.003,0.041,0.074,0.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 6:41 PM","b1_female_age_grip_figurelogic.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_age_grip_figurelogic.out","octo","b1","female","age","grip","figurelogic",302,5,NA,NA,-3906.34,7854.681,7932.6,7865.999,NA,TRUE,TRUE,NA,0,2.135,0.508,4.199,0,0.022,0.013,1.618,0.106,-0.126,0.106,-1.19,0.234,-0.036,0.066,-0.552,0.581,0.271,0.164,1.648,0.099,3.768,0.485,7.776,0,0.017,0.009,1.881,0.06,-0.048,0.044,-1.092,0.275,1.279,0.122,10.522,0,8.838,1.37,6.453,0,0.093,0.046,2.024,0.043,-0.408,0.195,-2.091,0.037,7.95,0.617,12.891,0,8.838,0.196,45.068,0,-0.33,0.028,-11.618,0,16.661,0.386,43.175,0,-0.092,0.071,-1.296,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.218,0.041,-5.286,0,-0.002,0.007,-0.311,0.756,-0.285,0.088,-3.228,0.001,-0.001,0.02,-0.029,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 6:47 PM","b1_female_age_grip_mirrecall.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_age_grip_mirrecall.out","octo","b1","female","age","grip","mirrecall",303,5,NA,NA,-3734.61,7511.219,7589.208,7522.607,NA,TRUE,TRUE,NA,0,0.654,0.277,2.363,0.018,0.027,0.008,3.276,0.001,-0.013,0.057,-0.225,0.822,0.05,0.05,1.012,0.312,0.068,0.075,0.909,0.363,3.795,0.488,7.778,0,0.02,0.01,2.053,0.04,-0.058,0.045,-1.29,0.197,1.271,0.121,10.542,0,3.15,0.53,5.944,0,0.092,0.02,4.511,0,-0.012,0.074,-0.16,0.873,1.89,0.163,11.585,0,8.833,0.196,45.046,0,-0.332,0.028,-11.712,0,7.635,0.188,40.558,0,-0.061,0.046,-1.344,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.217,0.042,-5.208,0,-0.004,0.007,-0.609,0.542,-0.158,0.047,-3.38,0.001,-0.022,0.013,-1.63,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 6:23 PM","b1_female_age_grip_proserecall.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_age_grip_proserecall.out","octo","b1","female","age","grip","proserecall",302,5,NA,NA,-3930.965,7903.93,7981.849,7915.249,NA,TRUE,TRUE,NA,0,1.199,0.449,2.671,0.008,0.012,0.014,0.899,0.369,0.013,0.086,0.153,0.878,0.055,0.08,0.69,0.49,0.169,0.157,1.074,0.283,3.777,0.485,7.785,0,0.017,0.009,1.846,0.065,-0.049,0.044,-1.126,0.26,1.284,0.122,10.546,0,9.66,1.167,8.274,0,0.098,0.037,2.674,0.007,-0.486,0.171,-2.841,0.004,4.388,0.379,11.59,0,8.834,0.196,45.069,0,-0.333,0.028,-11.953,0,11.129,0.312,35.699,0,-0.117,0.059,-1.99,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.218,0.041,-5.292,0,-0.003,0.007,-0.382,0.702,-0.277,0.077,-3.585,0,0.022,0.018,1.248,0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3","0.1","02/23/2015","10:51 AM","b1_female_age_pek_block.out"," unshared\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_age_pek_block.out","octo","b1","female","age","pek","block",293,5,NA,21,-6577.854,13197.707,13274.991,13208.395,13201.1165940959,TRUE,TRUE,NA,0,116.449,37.126,3.137,0.002,0.262,0.679,0.386,0.7,-4.929,4.699,-1.049,0.294,5.419,5.828,0.93,0.352,22.298,9.42,2.367,0.018,4810.249,557.666,8.626,0,32.164,15.866,2.027,0.043,-157.512,97.503,-1.615,0.106,2116.718,185.761,11.395,0,34.182,3.292,10.383,0,0.173,0.071,2.426,0.015,-0.99,0.381,-2.601,0.009,10.74,0.797,13.479,0,312.134,7.109,43.905,0,-8.862,1.103,-8.031,0,14.335,0.582,24.642,0,-0.271,0.081,-3.339,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.366,1.911,-3.331,0.001,0.965,0.364,2.652,0.008,-0.613,0.136,-4.499,0,0.002,0.022,0.097,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 5:33 PM","b1_female_age_pek_digitbackward.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_age_pek_digitbackward.out","octo","b1","female","age","pek","digitbackward",299,5,NA,NA,-5619.183,11280.365,11358.075,11291.476,NA,TRUE,TRUE,NA,0,10.774,6.496,1.659,0.097,0.018,0.18,0.099,0.921,0.712,1.329,0.536,0.592,-0.57,0.977,-0.583,0.56,0.327,2.563,0.128,0.899,4826.43,560.115,8.617,0,34.603,16.268,2.127,0.033,-173.897,97.724,-1.779,0.075,2106.439,185.043,11.384,0,0.586,0.129,4.54,0,0.003,0.003,0.973,0.33,-0.015,0.018,-0.852,0.394,1.163,0.094,12.316,0,310.92,7.158,43.434,0,-8.497,1.1,-7.724,0,3.733,0.105,35.604,0,-0.078,0.021,-3.677,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.834,1.932,-3.019,0.003,1.083,0.361,2.998,0.003,-0.07,0.023,-3.043,0.002,0.004,0.005,0.835,0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.21","0.1","02/24/2015"," 7:35 PM","b1_female_age_pek_digitforward.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","./studies/octo/physical-cognitive/Final//old/b1_female_age_pek_digitforward.out","octo","b1","female","age","pek","digitforward",276,5,NA,NA,-5210.951,10479.902,10584.893,10492.939,NA,TRUE,TRUE,NA,0,1.312,5.009,0.262,0.793,-0.13,0.123,-1.053,0.292,0.517,0.924,0.559,0.576,0.049,0.754,0.064,0.949,0.311,1.916,0.162,0.871,4452.357,532.249,8.365,0,33.194,16.504,2.011,0.044,-156.209,95.74,-1.632,0.103,2121.244,185.445,11.439,0,0.547,0.072,7.579,0,0.006,0.003,2.049,0.041,-0.038,0.014,-2.722,0.006,0.611,0.045,13.455,0,317.579,7.797,40.733,0,-8.871,1.111,-7.985,0,5.658,0.106,53.577,0,-0.065,0.018,-3.61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.268,2.064,-2.553,0.011,1.025,0.339,3.025,0.002,-0.076,0.021,-3.551,0,0.002,0.004,0.452,0.651,3.147,2.519,1.249,0.212,-0.377,0.38,-0.991,0.322,0.126,0.026,4.765,0,-0.01,0.005,-1.925,0.054,2.548,1.065,2.393,0.017,-0.227,0.21,-1.082,0.279,0.007,0.011,0.685,0.493,-0.002,0.002,-0.844,0.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
