study_name,process,subgroup,model_type,coefficient,subject_count,est,pval,se,wald,breed,species
eas,information,female,a,15,531,NA,NA,NA,NA,slope,5
eas,information,female,a,16,531,NA,NA,NA,NA,slope,6
eas,information,female,ae,00,531,15.6525,0,0.7195,21.751,intercept,0
eas,information,female,ae,01,531,-0.0365,0.4705,0.05,-0.722,intercept,1
eas,information,female,ae,02,531,0.652,0,0.0845,7.6875,intercept,2
eas,information,female,ae,03,531,NA,NA,NA,NA,intercept,3
eas,information,female,ae,04,531,NA,NA,NA,NA,intercept,4
eas,information,female,ae,05,531,NA,NA,NA,NA,intercept,5
eas,information,female,ae,06,531,NA,NA,NA,NA,intercept,6
eas,information,female,ae,10,531,-0.5695,0.012,0.2235,-2.5515,slope,0
eas,information,female,ae,11,531,0.007,0.608,0.0135,0.513,slope,1
eas,information,female,ae,12,531,0.015,0.543,0.0245,0.6115,slope,2
eas,information,female,ae,13,531,NA,NA,NA,NA,slope,3
eas,information,female,ae,14,531,NA,NA,NA,NA,slope,4
eas,information,female,ae,15,531,NA,NA,NA,NA,slope,5
eas,information,female,ae,16,531,NA,NA,NA,NA,slope,6
eas,information,female,aeh,00,137,12.9225,0,1.5995,8.0825,intercept,0
eas,information,female,aeh,01,137,-0.1285,0.2755,0.1175,-1.09,intercept,1
eas,information,female,aeh,02,137,0.877,0,0.1935,4.5305,intercept,2
eas,information,female,aeh,03,137,-0.018,0.7825,0.066,-0.276,intercept,3
eas,information,female,aeh,04,137,NA,NA,NA,NA,intercept,4
eas,information,female,aeh,05,137,NA,NA,NA,NA,intercept,5
eas,information,female,aeh,06,137,NA,NA,NA,NA,intercept,6
eas,information,female,aeh,10,137,0.075,0.884,0.505,0.1465,slope,0
eas,information,female,aeh,11,137,0.007,0.811,0.0305,0.24,slope,1
eas,information,female,aeh,12,137,-0.0245,0.6295,0.0495,-0.4855,slope,2
eas,information,female,aeh,13,137,0.009,0.6705,0.022,0.4265,slope,3
eas,information,female,aeh,14,137,NA,NA,NA,NA,slope,4
eas,information,female,aeh,15,137,NA,NA,NA,NA,slope,5
eas,information,female,aeh,16,137,NA,NA,NA,NA,slope,6
eas,information,female,aehplus,00,137,13.1625,0,2.055,6.408,intercept,0
eas,information,female,aehplus,01,137,-0.1345,0.3335,0.1395,-0.9685,intercept,1
eas,information,female,aehplus,02,137,0.88,0,0.243,3.63,intercept,2
eas,information,female,aehplus,03,137,-0.0125,0.8725,0.079,-0.1605,intercept,3
eas,information,female,aehplus,04,137,0.2945,0.7185,0.816,0.361,intercept,4
eas,information,female,aehplus,05,137,0.746,0.6705,1.8085,0.4275,intercept,5
eas,information,female,aehplus,06,137,-2.606,0.0505,1.3325,-1.9555,intercept,6
eas,information,female,aehplus,10,137,0.273,0.6465,0.594,0.4585,slope,0
eas,information,female,aehplus,11,137,0.006,0.867,0.035,0.1675,slope,1
eas,information,female,aehplus,12,137,-0.037,0.5225,0.0575,-0.6425,slope,2
eas,information,female,aehplus,13,137,0.0055,0.8515,0.028,0.188,slope,3
eas,information,female,aehplus,14,137,-0.006,0.986,0.36,-0.0175,slope,4
eas,information,female,aehplus,15,137,-0.2565,0.4625,0.35,-0.735,slope,5
eas,information,female,aehplus,16,137,-0.26,0.621,0.523,-0.4955,slope,6
eas,information,female,full,00,137,13.293,0,2.3445,5.6705,intercept,0
eas,information,female,full,01,137,-0.132,0.3425,0.1395,-0.9485,intercept,1
eas,information,female,full,02,137,0.8795,5e-04,0.249,3.531,intercept,2
eas,information,female,full,03,137,-0.0095,0.902,0.079,-0.124,intercept,3
eas,information,female,full,04,137,0.2845,0.7205,0.7975,0.358,intercept,4
eas,information,female,full,05,137,0.78,0.668,1.88,0.4305,intercept,5
eas,information,female,full,06,137,-2.5645,0.099,1.5525,-1.6515,intercept,6
eas,information,female,full,10,137,0.3105,0.6495,0.6825,0.4545,slope,0
eas,information,female,full,11,137,0.0065,0.8535,0.0355,0.1845,slope,1
eas,information,female,full,12,137,-0.037,0.5295,0.0585,-0.632,slope,2
eas,information,female,full,13,137,0.006,0.8235,0.0275,0.2235,slope,3
eas,information,female,full,14,137,-0.0085,0.9825,0.3815,-0.0225,slope,4
eas,information,female,full,15,137,-0.248,0.4745,0.348,-0.715,slope,5
eas,information,female,full,16,137,-0.249,0.636,0.524,-0.4735,slope,6
eas,information,male,a,00,352,22.5675,0,0.5195,43.4285,intercept,0
eas,information,male,a,01,352,0.008,0.8725,0.049,0.161,intercept,1
eas,information,male,a,02,352,NA,NA,NA,NA,intercept,2
eas,information,male,a,03,352,NA,NA,NA,NA,intercept,3
eas,information,male,a,04,352,NA,NA,NA,NA,intercept,4
eas,information,male,a,05,352,NA,NA,NA,NA,intercept,5
eas,information,male,a,06,352,NA,NA,NA,NA,intercept,6
eas,information,male,a,10,352,-0.6225,5e-04,0.183,-3.4035,slope,0
eas,information,male,a,11,352,0.0015,0.942,0.017,0.073,slope,1
eas,information,male,a,12,352,NA,NA,NA,NA,slope,2
eas,information,male,a,13,352,NA,NA,NA,NA,slope,3
eas,information,male,a,14,352,NA,NA,NA,NA,slope,4
eas,information,male,a,15,352,NA,NA,NA,NA,slope,5
eas,information,male,a,16,352,NA,NA,NA,NA,slope,6
eas,information,male,ae,00,352,23.236,0,0.5685,40.877,intercept,0
eas,information,male,ae,01,352,0.0055,0.907,0.05,0.1165,intercept,1
eas,information,male,ae,02,352,-0.102,0.001,0.03,-3.419,intercept,2
eas,information,male,ae,03,352,NA,NA,NA,NA,intercept,3
eas,information,male,ae,04,352,NA,NA,NA,NA,intercept,4
eas,information,male,ae,05,352,NA,NA,NA,NA,intercept,5
eas,information,male,ae,06,352,NA,NA,NA,NA,intercept,6
eas,information,male,ae,10,352,-1.3005,0,0.256,-5.083,slope,0
eas,information,male,ae,11,352,0.004,0.819,0.017,0.229,slope,1
eas,information,male,ae,12,352,0.102,5e-04,0.0295,3.4085,slope,2
eas,information,male,ae,13,352,NA,NA,NA,NA,slope,3
eas,information,male,ae,14,352,NA,NA,NA,NA,slope,4
eas,information,male,ae,15,352,NA,NA,NA,NA,slope,5
eas,information,male,ae,16,352,NA,NA,NA,NA,slope,6
eas,information,male,aeh,00,71,17.4875,0,2.582,6.794,intercept,0
eas,information,male,aeh,01,71,-0.0655,0.6835,0.16,-0.4085,intercept,1
eas,information,male,aeh,02,71,0.6605,0.0105,0.2575,2.564,intercept,2
eas,information,male,aeh,03,71,-0.0435,0.734,0.128,-0.34,intercept,3
eas,information,male,aeh,04,71,NA,NA,NA,NA,intercept,4
eas,information,male,aeh,05,71,NA,NA,NA,NA,intercept,5
eas,information,male,aeh,06,71,NA,NA,NA,NA,intercept,6
eas,information,male,aeh,10,71,-0.6815,0.3455,0.7225,-0.943,slope,0
eas,information,male,aeh,11,71,0.012,0.783,0.0445,0.2755,slope,1
eas,information,male,aeh,12,71,0.043,0.549,0.0715,0.5995,slope,2
eas,information,male,aeh,13,71,0.0085,0.8025,0.034,0.2505,slope,3
eas,information,male,aeh,14,71,NA,NA,NA,NA,slope,4
eas,information,male,aeh,15,71,NA,NA,NA,NA,slope,5
eas,information,male,aeh,16,71,NA,NA,NA,NA,slope,6
eas,information,male,aehplus,00,71,17.8435,0,3.822,4.668,intercept,0
eas,information,male,aehplus,01,71,-0.048,0.835,0.2315,-0.209,intercept,1
eas,information,male,aehplus,02,71,0.6685,0.045,0.3325,2.0115,intercept,2
eas,information,male,aehplus,03,71,-0.0355,0.8425,0.181,-0.199,intercept,3
eas,information,male,aehplus,04,71,-0.224,0.8965,1.814,-0.1305,intercept,4
eas,information,male,aehplus,05,71,-1.2285,0.642,2.6695,-0.466,intercept,5
eas,information,male,aehplus,06,71,-1.404,0.5815,2.55,-0.5515,intercept,6
eas,information,male,aehplus,10,71,-0.6545,0.566,1.141,-0.574,slope,0
eas,information,male,aehplus,11,71,0.011,0.838,0.054,0.205,slope,1
eas,information,male,aehplus,12,71,0.039,0.738,0.117,0.3345,slope,2
eas,information,male,aehplus,13,71,0.0055,0.909,0.051,0.114,slope,3
eas,information,male,aehplus,14,71,0.1335,0.7905,0.5135,0.2655,slope,4
eas,information,male,aehplus,15,71,-0.099,0.8955,0.7545,-0.1315,slope,5
eas,information,male,aehplus,16,71,-0.0965,0.9005,0.7685,-0.125,slope,6
eas,information,male,full,00,71,17.4605,0,4.4945,3.891,intercept,0
eas,information,male,full,01,71,-0.0405,0.88,0.2615,-0.1515,intercept,1
eas,information,male,full,02,71,0.67,0.0655,0.3635,1.842,intercept,2
eas,information,male,full,03,71,-0.0555,0.7845,0.203,-0.274,intercept,3
eas,information,male,full,04,71,-0.0135,0.9665,2.0765,-0.0095,intercept,4
eas,information,male,full,05,71,-1.3355,0.6475,2.931,-0.458,intercept,5
eas,information,male,full,06,71,-1.648,0.569,2.896,-0.5695,intercept,6
eas,information,male,full,10,71,-0.4575,0.7225,1.3075,-0.3565,slope,0
eas,information,male,full,11,71,0.0055,0.9275,0.0615,0.091,slope,1
eas,information,male,full,12,71,0.0385,0.77,0.132,0.2925,slope,2
eas,information,male,full,13,71,0.0135,0.8295,0.063,0.2155,slope,3
eas,information,male,full,14,71,0.047,0.9355,0.587,0.0805,slope,4
eas,information,male,full,15,71,-0.0695,0.9325,0.8245,-0.085,slope,5
eas,information,male,full,16,71,0.01,0.991,0.856,0.0115,slope,6
eas,logic_tot,female,a,00,554,21.585,0,0.5705,37.8395,intercept,0
eas,logic_tot,female,a,01,554,-0.222,0,0.062,-3.5685,intercept,1
eas,logic_tot,female,a,02,554,NA,NA,NA,NA,intercept,2
eas,logic_tot,female,a,03,554,NA,NA,NA,NA,intercept,3
eas,logic_tot,female,a,04,554,NA,NA,NA,NA,intercept,4
eas,logic_tot,female,a,05,554,NA,NA,NA,NA,intercept,5
eas,logic_tot,female,a,06,554,NA,NA,NA,NA,intercept,6
eas,logic_tot,female,a,10,554,0.1445,0.318,0.144,1.004,slope,0
eas,logic_tot,female,a,11,554,-0.015,0.311,0.015,-1.0135,slope,1
eas,logic_tot,female,a,12,554,NA,NA,NA,NA,slope,2
eas,logic_tot,female,a,13,554,NA,NA,NA,NA,slope,3
eas,logic_tot,female,a,14,554,NA,NA,NA,NA,slope,4
eas,logic_tot,female,a,15,554,NA,NA,NA,NA,slope,5
eas,logic_tot,female,a,16,554,NA,NA,NA,NA,slope,6
eas,logic_tot,female,ae,00,554,16.519,0,0.8025,20.59,intercept,0
eas,logic_tot,female,ae,01,554,-0.2085,0,0.056,-3.7335,intercept,1
eas,logic_tot,female,ae,02,554,0.7915,0,0.084,9.4455,intercept,2
eas,logic_tot,female,ae,03,554,NA,NA,NA,NA,intercept,3
eas,logic_tot,female,ae,04,554,NA,NA,NA,NA,intercept,4
eas,logic_tot,female,ae,05,554,NA,NA,NA,NA,intercept,5
eas,logic_tot,female,ae,06,554,NA,NA,NA,NA,intercept,6
eas,logic_tot,female,ae,10,554,0.055,0.8085,0.227,0.2425,slope,0
eas,logic_tot,female,ae,11,554,-0.0145,0.366,0.016,-0.9045,slope,1
eas,logic_tot,female,ae,12,554,0.0125,0.562,0.021,0.58,slope,2
eas,logic_tot,female,ae,13,554,NA,NA,NA,NA,slope,3
eas,logic_tot,female,ae,14,554,NA,NA,NA,NA,slope,4
eas,logic_tot,female,ae,15,554,NA,NA,NA,NA,slope,5
eas,logic_tot,female,ae,16,554,NA,NA,NA,NA,slope,6
eas,logic_tot,female,aeh,00,150,18.0935,0,1.867,9.694,intercept,0
eas,logic_tot,female,aeh,01,150,-0.1095,0.3795,0.1245,-0.879,intercept,1
eas,logic_tot,female,aeh,02,150,0.7325,0,0.2045,3.582,intercept,2
eas,logic_tot,female,aeh,03,150,0.0855,0.3805,0.0975,0.8775,intercept,3
eas,logic_tot,female,aeh,04,150,NA,NA,NA,NA,intercept,4
eas,logic_tot,female,aeh,05,150,NA,NA,NA,NA,intercept,5
eas,logic_tot,female,aeh,06,150,NA,NA,NA,NA,intercept,6
eas,logic_tot,female,aeh,10,150,0.006,0.916,0.352,0.018,slope,0
eas,logic_tot,female,aeh,11,150,-0.0165,0.55,0.028,-0.5985,slope,1
eas,logic_tot,female,aeh,12,150,0.0035,0.921,0.034,0.099,slope,2
eas,logic_tot,female,aeh,13,150,-0.007,0.729,0.019,-0.347,slope,3
eas,logic_tot,female,aeh,14,150,NA,NA,NA,NA,slope,4
eas,logic_tot,female,aeh,15,150,NA,NA,NA,NA,slope,5
eas,logic_tot,female,aeh,16,150,NA,NA,NA,NA,slope,6
eas,logic_tot,female,aehplus,00,150,18.2225,0,2.0705,8.803,intercept,0
eas,logic_tot,female,aehplus,01,150,-0.125,0.318,0.1255,-0.9985,intercept,1
eas,logic_tot,female,aehplus,02,150,0.7125,0.001,0.2165,3.291,intercept,2
eas,logic_tot,female,aehplus,03,150,0.085,0.402,0.1015,0.838,intercept,3
eas,logic_tot,female,aehplus,04,150,0.6375,0.565,1.1065,0.576,intercept,4
eas,logic_tot,female,aehplus,05,150,0.283,0.922,2.928,0.0975,intercept,5
eas,logic_tot,female,aehplus,06,150,-1.128,0.553,1.9005,-0.5935,intercept,6
eas,logic_tot,female,aehplus,10,150,-0.0575,0.897,0.443,-0.1305,slope,0
eas,logic_tot,female,aehplus,11,150,-0.014,0.639,0.03,-0.4695,slope,1
eas,logic_tot,female,aehplus,12,150,0.01,0.801,0.0395,0.252,slope,2
eas,logic_tot,female,aehplus,13,150,-0.0045,0.816,0.021,-0.233,slope,3
eas,logic_tot,female,aehplus,14,150,-0.0215,0.943,0.3015,-0.0715,slope,4
eas,logic_tot,female,aehplus,15,150,0.265,0.7175,0.733,0.3615,slope,5
eas,logic_tot,female,aehplus,16,150,-0.097,0.8075,0.398,-0.244,slope,6
eas,logic_tot,female,full,00,150,18.182,0,2.184,8.3295,intercept,0
eas,logic_tot,female,full,01,150,-0.121,0.342,0.1275,-0.9505,intercept,1
eas,logic_tot,female,full,02,150,0.7125,0.0015,0.221,3.226,intercept,2
eas,logic_tot,female,full,03,150,0.085,0.41,0.103,0.824,intercept,3
eas,logic_tot,female,full,04,150,0.6335,0.5755,1.13,0.5605,intercept,4
eas,logic_tot,female,full,05,150,0.351,0.9085,3.0775,0.1145,intercept,5
eas,logic_tot,female,full,06,150,-1.091,0.585,1.998,-0.5465,intercept,6
eas,logic_tot,female,full,10,150,0.099,0.8425,0.4965,0.199,slope,0
eas,logic_tot,female,full,11,150,-0.0125,0.658,0.0285,-0.4425,slope,1
eas,logic_tot,female,full,12,150,0.0085,0.835,0.041,0.208,slope,2
eas,logic_tot,female,full,13,150,-0.0025,0.9055,0.0215,-0.1185,slope,3
eas,logic_tot,female,full,14,150,-0.0285,0.9235,0.2975,-0.096,slope,4
eas,logic_tot,female,full,15,150,0.2665,0.7345,0.7865,0.339,slope,5
eas,logic_tot,female,full,16,150,-0.075,0.8745,0.474,-0.158,slope,6
eas,logic_tot,male,a,00,349,20.7795,0,0.7855,26.45,intercept,0
eas,logic_tot,male,a,01,349,-0.122,0.1335,0.0815,-1.4985,intercept,1
eas,logic_tot,male,a,02,349,NA,NA,NA,NA,intercept,2
eas,logic_tot,male,a,03,349,NA,NA,NA,NA,intercept,3
eas,logic_tot,male,a,04,349,NA,NA,NA,NA,intercept,4
eas,logic_tot,male,a,05,349,NA,NA,NA,NA,intercept,5
eas,logic_tot,male,a,06,349,NA,NA,NA,NA,intercept,6
eas,logic_tot,male,a,10,349,0.6375,0.008,0.24,2.6555,slope,0
eas,logic_tot,male,a,11,349,-0.076,0.0025,0.025,-3.02,slope,1
eas,logic_tot,male,a,12,349,NA,NA,NA,NA,slope,2
eas,logic_tot,male,a,13,349,NA,NA,NA,NA,slope,3
eas,logic_tot,male,a,14,349,NA,NA,NA,NA,slope,4
eas,logic_tot,male,a,15,349,NA,NA,NA,NA,slope,5
eas,logic_tot,male,a,16,349,NA,NA,NA,NA,slope,6
eas,logic_tot,male,ae,00,349,20.3165,0,0.816,24.908,intercept,0
eas,logic_tot,male,ae,01,349,-0.122,0.1275,0.08,-1.524,intercept,1
eas,logic_tot,male,ae,02,349,0.067,0.0445,0.0335,2.0105,intercept,2
eas,logic_tot,male,ae,03,349,NA,NA,NA,NA,intercept,3
eas,logic_tot,male,ae,04,349,NA,NA,NA,NA,intercept,4
eas,logic_tot,male,ae,05,349,NA,NA,NA,NA,intercept,5
eas,logic_tot,male,ae,06,349,NA,NA,NA,NA,intercept,6
eas,logic_tot,male,ae,10,349,1.087,5e-04,0.3055,3.562,slope,0
eas,logic_tot,male,ae,11,349,-0.0765,0.001,0.0235,-3.256,slope,1
eas,logic_tot,male,ae,12,349,-0.0655,0.0225,0.0285,-2.277,slope,2
eas,logic_tot,male,ae,13,349,NA,NA,NA,NA,slope,3
eas,logic_tot,male,ae,14,349,NA,NA,NA,NA,slope,4
eas,logic_tot,male,ae,15,349,NA,NA,NA,NA,slope,5
eas,logic_tot,male,ae,16,349,NA,NA,NA,NA,slope,6
eas,logic_tot,male,aeh,00,72,15.125,0,3.552,4.258,intercept,0
eas,logic_tot,male,aeh,01,72,-0.109,0.595,0.205,-0.531,intercept,1
eas,logic_tot,male,aeh,02,72,0.841,0.001,0.262,3.205,intercept,2
eas,logic_tot,male,aeh,03,72,0.097,0.412,0.118,0.82,intercept,3
eas,logic_tot,male,aeh,04,72,NA,NA,NA,NA,intercept,4
eas,logic_tot,male,aeh,05,72,NA,NA,NA,NA,intercept,5
eas,logic_tot,male,aeh,06,72,NA,NA,NA,NA,intercept,6
eas,logic_tot,male,aeh,10,72,1.766,0.036,0.843,2.096,slope,0
eas,logic_tot,male,aeh,11,72,-0.078,0.105,0.048,-1.62,slope,1
eas,logic_tot,male,aeh,12,72,-0.122,0.039,0.059,-2.062,slope,2
eas,logic_tot,male,aeh,13,72,-0.018,0.56,0.032,-0.583,slope,3
eas,logic_tot,male,aeh,14,72,NA,NA,NA,NA,slope,4
eas,logic_tot,male,aeh,15,72,NA,NA,NA,NA,slope,5
eas,logic_tot,male,aeh,16,72,NA,NA,NA,NA,slope,6
eas,logic_tot,male,aehplus,00,72,15.218,0.004,5.2195,2.9155,intercept,0
eas,logic_tot,male,aehplus,01,72,-0.1165,0.67,0.275,-0.427,intercept,1
eas,logic_tot,male,aehplus,02,72,0.8595,0.0165,0.358,2.407,intercept,2
eas,logic_tot,male,aehplus,03,72,0.087,0.5855,0.16,0.5455,intercept,3
eas,logic_tot,male,aehplus,04,72,-0.0775,0.9805,3.183,-0.0245,intercept,4
eas,logic_tot,male,aehplus,05,72,1.319,0.634,2.781,0.4765,intercept,5
eas,logic_tot,male,aehplus,06,72,1.536,0.5445,2.549,0.607,intercept,6
eas,logic_tot,male,aehplus,10,72,1.666,0.1075,1.0325,1.611,slope,0
eas,logic_tot,male,aehplus,11,72,-0.076,0.2,0.0595,-1.283,slope,1
eas,logic_tot,male,aehplus,12,72,-0.129,0.08,0.074,-1.751,slope,2
eas,logic_tot,male,aehplus,13,72,-0.0175,0.641,0.037,-0.467,slope,3
eas,logic_tot,male,aehplus,14,72,-0.061,0.9165,0.578,-0.1045,slope,4
eas,logic_tot,male,aehplus,15,72,-0.5345,0.545,0.8955,-0.6125,slope,5
eas,logic_tot,male,aehplus,16,72,0.529,0.487,0.795,0.708,slope,6
eas,logic_tot,male,full,00,72,14.6565,0.0095,5.6135,2.614,intercept,0
eas,logic_tot,male,full,01,72,-0.1075,0.734,0.323,-0.34,intercept,1
eas,logic_tot,male,full,02,72,0.864,0.024,0.377,2.313,intercept,2
eas,logic_tot,male,full,03,72,0.086,0.6085,0.167,0.512,intercept,3
eas,logic_tot,male,full,04,72,0.1295,0.9675,3.169,0.041,intercept,4
eas,logic_tot,male,full,05,72,1.1605,0.7095,3.1285,0.3735,intercept,5
eas,logic_tot,male,full,06,72,1.3195,0.6335,2.7685,0.4765,intercept,6
eas,logic_tot,male,full,10,72,1.7215,0.16,1.2185,1.422,slope,0
eas,logic_tot,male,full,11,72,-0.0775,0.23,0.0645,-1.201,slope,1
eas,logic_tot,male,full,12,72,-0.1305,0.108,0.0815,-1.6075,slope,2
eas,logic_tot,male,full,13,72,-0.0165,0.717,0.046,-0.3625,slope,3
eas,logic_tot,male,full,14,72,-0.075,0.9005,0.597,-0.125,slope,4
eas,logic_tot,male,full,15,72,-0.528,0.6075,1.041,-0.516,slope,5
eas,logic_tot,male,full,16,72,0.55,0.495,0.8295,0.689,slope,6
eas,mmms,female,a,00,491,26.2355,0,0.18,146.5335,intercept,0
eas,mmms,female,a,01,491,-0.0105,0.5595,0.016,-0.7295,intercept,1
eas,mmms,female,a,02,491,NA,NA,NA,NA,intercept,2
eas,mmms,female,a,03,491,NA,NA,NA,NA,intercept,3
eas,mmms,female,a,04,491,NA,NA,NA,NA,intercept,4
eas,mmms,female,a,05,491,NA,NA,NA,NA,intercept,5
eas,mmms,female,a,06,491,NA,NA,NA,NA,intercept,6
eas,mmms,female,a,10,491,0.074,0.0835,0.042,1.7455,slope,0
eas,mmms,female,a,11,491,-0.008,0.0795,0.0035,-2.091,slope,1
eas,mmms,female,a,12,491,NA,NA,NA,NA,slope,2
eas,mmms,female,a,13,491,NA,NA,NA,NA,slope,3
eas,mmms,female,a,14,491,NA,NA,NA,NA,slope,4
eas,mmms,female,a,15,491,NA,NA,NA,NA,slope,5
eas,mmms,female,a,16,491,NA,NA,NA,NA,slope,6
eas,mmms,female,ae,00,491,26.319,0,0.184,143.331,intercept,0
eas,mmms,female,ae,01,491,-0.0125,0.5215,0.016,-0.845,intercept,1
eas,mmms,female,ae,02,491,-0.009,0.361,0.0055,-1.6385,intercept,2
eas,mmms,female,ae,03,491,NA,NA,NA,NA,intercept,3
eas,mmms,female,ae,04,491,NA,NA,NA,NA,intercept,4
eas,mmms,female,ae,05,491,NA,NA,NA,NA,intercept,5
eas,mmms,female,ae,06,491,NA,NA,NA,NA,intercept,6
eas,mmms,female,ae,10,491,0.041,0.4515,0.053,0.635,slope,0
eas,mmms,female,ae,11,491,-0.0075,0.1225,0.0035,-1.95,slope,1
eas,mmms,female,ae,12,491,0.005,0.502,0.005,0.943,slope,2
eas,mmms,female,ae,13,491,NA,NA,NA,NA,slope,3
eas,mmms,female,ae,14,491,NA,NA,NA,NA,slope,4
eas,mmms,female,ae,15,491,NA,NA,NA,NA,slope,5
eas,mmms,female,ae,16,491,NA,NA,NA,NA,slope,6
eas,mmms,female,aeh,00,111,26.242,0,0.4755,62.0305,intercept,0
eas,mmms,female,aeh,01,111,-5e-04,0.9035,0.0315,-0.033,intercept,1
eas,mmms,female,aeh,02,111,0.083,0.0965,0.042,2.0975,intercept,2
eas,mmms,female,aeh,03,111,0.0065,0.735,0.024,0.3515,intercept,3
eas,mmms,female,aeh,04,111,NA,NA,NA,NA,intercept,4
eas,mmms,female,aeh,05,111,NA,NA,NA,NA,intercept,5
eas,mmms,female,aeh,06,111,NA,NA,NA,NA,intercept,6
eas,mmms,female,aeh,10,111,0.0475,0.587,0.14,0.6565,slope,0
eas,mmms,female,aeh,11,111,-0.005,0.51,0.0085,-0.7015,slope,1
eas,mmms,female,aeh,12,111,-0.001,0.721,0.011,-0.211,slope,2
eas,mmms,female,aeh,13,111,-0.002,0.6665,0.0075,-0.453,slope,3
eas,mmms,female,aeh,14,111,NA,NA,NA,NA,slope,4
eas,mmms,female,aeh,15,111,NA,NA,NA,NA,slope,5
eas,mmms,female,aeh,16,111,NA,NA,NA,NA,slope,6
eas,mmms,female,aehplus,00,111,26.3335,0,0.633,48.679,intercept,0
eas,mmms,female,aehplus,01,111,-0.0035,0.915,0.036,-0.107,intercept,1
eas,mmms,female,aehplus,02,111,0.0795,0.165,0.0495,1.761,intercept,2
eas,mmms,female,aehplus,03,111,0.006,0.779,0.0275,0.2875,intercept,3
eas,mmms,female,aehplus,04,111,-0.003,0.489,0.3285,0.156,intercept,4
eas,mmms,female,aehplus,05,111,-0.02,0.8355,0.4775,-0.1085,intercept,5
eas,mmms,female,aehplus,06,111,-0.138,0.7255,0.409,-0.356,intercept,6
eas,mmms,female,aehplus,10,111,0.02,0.5685,0.193,0.4295,slope,0
eas,mmms,female,aehplus,11,111,-0.0045,0.5895,0.0105,-0.58,slope,1
eas,mmms,female,aehplus,12,111,-5e-04,0.7225,0.013,-0.2,slope,2
eas,mmms,female,aehplus,13,111,-0.002,0.718,0.0085,-0.376,slope,3
eas,mmms,female,aehplus,14,111,0.028,0.7405,0.088,0.176,slope,4
eas,mmms,female,aehplus,15,111,-0.0345,0.7735,0.204,-0.293,slope,5
eas,mmms,female,aehplus,16,111,0.0255,0.813,0.112,0.2365,slope,6
eas,mmms,female,full,00,111,26.448,0,0.757,44.1895,intercept,0
eas,mmms,female,full,01,111,-0.0045,0.8945,0.0365,-0.133,intercept,1
eas,mmms,female,full,02,111,0.0795,0.1635,0.0495,1.73,intercept,2
eas,mmms,female,full,03,111,0.005,0.8025,0.0305,0.257,intercept,3
eas,mmms,female,full,04,111,-0.0445,0.456,0.352,0.0595,intercept,4
eas,mmms,female,full,05,111,0.02,0.8045,0.491,-0.042,intercept,5
eas,mmms,female,full,06,111,-0.102,0.792,0.4155,-0.2705,intercept,6
eas,mmms,female,full,10,111,0.031,0.572,0.2185,0.5075,slope,0
eas,mmms,female,full,11,111,-0.0045,0.5975,0.0115,-0.5655,slope,1
eas,mmms,female,full,12,111,-0.001,0.76,0.0135,-0.1975,slope,2
eas,mmms,female,full,13,111,-0.0015,0.7615,0.0105,-0.304,slope,3
eas,mmms,female,full,14,111,0.0255,0.778,0.0985,0.1315,slope,4
eas,mmms,female,full,15,111,-0.034,0.7825,0.1955,-0.2805,slope,5
eas,mmms,female,full,16,111,0.0325,0.7785,0.119,0.2815,slope,6
eas,mmms,male,a,00,383,26.188,0,0.191,137.3265,intercept,0
eas,mmms,male,a,01,383,-0.001,0.961,0.017,-0.0495,intercept,1
eas,mmms,male,a,02,383,NA,NA,NA,NA,intercept,2
eas,mmms,male,a,03,383,NA,NA,NA,NA,intercept,3
eas,mmms,male,a,04,383,NA,NA,NA,NA,intercept,4
eas,mmms,male,a,05,383,NA,NA,NA,NA,intercept,5
eas,mmms,male,a,06,383,NA,NA,NA,NA,intercept,6
eas,mmms,male,a,10,383,0.096,0.062,0.0515,1.866,slope,0
eas,mmms,male,a,11,383,-0.012,0.0075,0.004,-2.681,slope,1
eas,mmms,male,a,12,383,NA,NA,NA,NA,slope,2
eas,mmms,male,a,13,383,NA,NA,NA,NA,slope,3
eas,mmms,male,a,14,383,NA,NA,NA,NA,slope,4
eas,mmms,male,a,15,383,NA,NA,NA,NA,slope,5
eas,mmms,male,a,16,383,NA,NA,NA,NA,slope,6
eas,mmms,male,ae,00,383,26.218,0,0.192,136.5105,intercept,0
eas,mmms,male,ae,01,383,-0.001,0.933,0.017,-0.0835,intercept,1
eas,mmms,male,ae,02,383,-0.002,0.747,0.006,-0.323,intercept,2
eas,mmms,male,ae,03,383,NA,NA,NA,NA,intercept,3
eas,mmms,male,ae,04,383,NA,NA,NA,NA,intercept,4
eas,mmms,male,ae,05,383,NA,NA,NA,NA,intercept,5
eas,mmms,male,ae,06,383,NA,NA,NA,NA,intercept,6
eas,mmms,male,ae,10,383,0.0975,0.1165,0.0615,1.57,slope,0
eas,mmms,male,ae,11,383,-0.012,0.008,0.004,-2.666,slope,1
eas,mmms,male,ae,12,383,-5e-04,0.93,0.0055,-0.0885,slope,2
eas,mmms,male,ae,13,383,NA,NA,NA,NA,slope,3
eas,mmms,male,ae,14,383,NA,NA,NA,NA,slope,4
eas,mmms,male,ae,15,383,NA,NA,NA,NA,slope,5
eas,mmms,male,ae,16,383,NA,NA,NA,NA,slope,6
eas,mmms,male,aeh,00,72,26.459,0,0.528,52.2775,intercept,0
