study name,process a,process b,subgroup,model type,n,a gamma 00,a gamma 10,b gamma 00,b gamma 10
eas,grip,logic_tot,male,a,349," 35.1( 1.6),p<.01"," -1.20( 0.46),p=.01","  20.7( 0.8),p<.01","  0.66( 0.24),p=.01"
eas,grip,logic_tot,male,ae,349," 37.3( 2.6),p<.01"," -0.85( 0.67),p=.20","  20.3( 0.8),p<.01","  1.11( 0.30),p<.01"
eas,grip,logic_tot,male,aehplus,72," 36.5( 5.6),p<.01"," -2.46( 1.45),p=.09","  15.8( 5.2),p<.01","  1.55( 0.99),p=.12"
eas,grip,logic_tot,male,full,72," 38.3( 6.0),p<.01"," -3.01( 1.49),p=.04","  15.2( 5.9),p=.01","  1.63( 1.29),p=.21"
eas,grip,mmms,female,a,600," 18.5( 1.0),p<.01"," -0.90( 0.23),p<.01","  26.3( 0.2),p<.01","  0.05( 0.03),p=.11"
eas,grip,mmms,female,ae,600," 19.5( 1.3),p<.01"," -1.22( 0.37),p<.01","  26.4( 0.2),p<.01"," -0.01( 0.04),p=.78"
eas,grip,mmms,female,aeh,150," 18.4( 1.5),p<.01"," -2.15( 0.43),p<.01","  26.0( 0.3),p<.01","  0.09( 0.07),p=.20"
eas,grip,mmms,female,aehplus,150," 18.5( 1.6),p<.01"," -2.29( 0.50),p<.01","  26.0( 0.4),p<.01","  0.10( 0.09),p=.29"
eas,grip,mmms,female,full,150," 18.4( 1.7),p<.01"," -2.21( 0.49),p<.01","  26.0( 0.4),p<.01","  0.11( 0.09),p=.25"
eas,grip,mmms,male,a,383," 34.9( 1.9),p<.01"," -1.13( 0.48),p=.02","  26.2( 0.2),p<.01","  0.10( 0.05),p=.06"
eas,grip,mmms,male,ae,383," 36.1( 2.8),p<.01"," -1.08( 0.67),p=.11","  26.2( 0.2),p<.01","  0.10( 0.06),p=.11"
eas,grip,mmms,male,aeh,72," 35.7( 3.5),p<.01"," -1.90( 1.21),p=.12","  26.5( 0.4),p<.01"," -0.00( 0.17),p=.99"
eas,grip,mmms,male,aehplus,72," 36.6( 5.3),p<.01"," -2.54( 1.75),p=.15","  26.7( 0.7),p<.01"," -0.06( 0.29),p=.83"
eas,grip,mmms,male,full,72," 37.7( 6.2),p<.01"," -2.65( 2.41),p=.27","  26.8( 1.0),p<.01"," -0.02( 0.34),p=.96"
eas,grip,symbol,female,a,592," 18.4( 0.9),p<.01"," -0.82( 0.22),p<.01","  45.3( 1.3),p<.01","  0.57( 0.23),p=.01"
eas,grip,symbol,female,ae,592," 18.5( 1.3),p<.01"," -0.88( 0.33),p=.01","  32.7( 1.6),p<.01","  0.99( 0.42),p=.02"
eas,grip,symbol,female,aeh,150," 18.5( 1.6),p<.01"," -2.32( 0.39),p<.01","  39.8( 3.0),p<.01","  0.20( 0.50),p=.69"
eas,grip,symbol,female,aehplus,150," 18.8( 1.7),p<.01"," -2.51( 0.47),p<.01","  41.4( 3.1),p<.01","  0.24( 0.57),p=.68"
eas,grip,symbol,female,full,150," 18.6( 1.8),p<.01"," -2.44( 0.49),p<.01","  41.1( 3.3),p<.01","  0.36( 0.57),p=.53"
eas,grip,symbol,male,a,377," 34.6( 1.8),p<.01"," -1.01( 0.45),p=.02","  39.4( 1.3),p<.01","  0.54( 0.35),p=.12"
eas,grip,symbol,male,ae,377," 37.6( 2.7),p<.01"," -1.16( 0.75),p=.12","  38.9( 1.5),p<.01","  1.08( 0.63),p=.09"
eas,grip,symbol,male,aeh,72," 35.6( 3.3),p<.01"," -1.82( 1.22),p=.13","  38.4( 5.0),p<.01","  1.12( 1.45),p=.44"
eas,grip,symbol,male,aehplus,72," 36.3( 4.6),p<.01"," -2.34( 1.55),p=.13","  40.2(10.3),p<.01","  0.86( 1.81),p=.64"
eas,grip,symbol,male,full,72," 37.6( 5.1),p<.01"," -2.59( 1.71),p=.13","  39.4(11.1),p<.01","  1.08( 1.93),p=.57"
eas,grip,trailsb,female,a,580," 18.7( 0.9),p<.01"," -1.03( 0.23),p<.01"," 124.6( 7.2),p<.01","  1.36( 1.36),p=.32"
eas,grip,trailsb,female,ae,580," 18.9( 1.3),p<.01"," -1.15( 0.36),p<.01"," 172.0( 7.6),p<.01","  1.42( 2.08),p=.49"
eas,grip,trailsb,female,aeh,150," 18.5( 1.5),p<.01"," -2.37( 0.40),p<.01"," 169.0(17.5),p<.01","  4.13( 4.63),p=.37"
eas,grip,trailsb,female,aehplus,150," 18.7( 1.7),p<.01"," -2.51( 0.44),p<.01"," 161.2(19.4),p<.01","  4.41( 5.71),p=.44"
eas,grip,trailsb,female,full,150," 18.6( 1.8),p<.01"," -2.49( 0.45),p<.01"," 170.2(20.4),p<.01","  4.30( 5.92),p=.47"
eas,grip,trailsb,male,a,368," 35.2( 1.7),p<.01"," -1.21( 0.42),p<.01"," 133.2( 9.4),p<.01","  1.23( 2.12),p=.56"
eas,grip,trailsb,male,ae,368," 37.6( 2.7),p<.01"," -1.03( 0.72),p=.15"," 130.3(10.0),p<.01","  3.13( 3.46),p=.36"
eas,grip,trailsb,male,aeh,72," 35.9( 3.7),p<.01"," -1.94( 1.14),p=.09"," 162.1(28.7),p<.01"," -1.54( 9.18),p=.87"
eas,grip,trailsb,male,aehplus,72," 36.4( 5.6),p<.01"," -2.42( 1.24),p=.05"," 154.7(49.7),p<.01","  2.76(11.68),p=.81"
eas,grip,trailsb,male,full,72," 38.7( 5.8),p<.01"," -3.24( 1.37),p=.02"," 160.4(61.4),p=.01","  2.45(16.05),p=.88"
eas,grip,waisvocab,female,a,594," 18.7( 1.0),p<.01"," -0.96( 0.23),p<.01","  44.7( 1.1),p<.01","  0.08( 0.21),p=.68"
eas,grip,waisvocab,female,ae,594," 19.0( 1.3),p<.01"," -1.09( 0.34),p<.01","  32.8( 1.3),p<.01"," -0.21( 0.32),p=.51"
eas,grip,waisvocab,female,aeh,150," 18.3( 1.5),p<.01"," -2.14( 0.41),p<.01","  34.6( 2.7),p<.01"," -0.00( 0.62),p=.99"
eas,grip,waisvocab,female,aehplus,150," 18.4( 1.8),p<.01"," -2.24( 0.48),p<.01","  34.9( 3.3),p<.01","  0.24( 0.75),p=.75"
eas,grip,waisvocab,female,full,150," 18.2( 1.9),p<.01"," -2.15( 0.48),p<.01","  36.0( 3.3),p<.01","  0.06( 0.79),p=.94"
eas,grip,waisvocab,male,a,377," 35.2( 1.6),p<.01"," -1.19( 0.43),p=.01","  43.7( 1.3),p<.01"," -0.19( 0.31),p=.53"
eas,grip,waisvocab,male,ae,377," 38.4( 2.7),p<.01"," -1.06( 0.66),p=.11","  44.9( 1.4),p<.01"," -1.36( 0.47),p<.01"
eas,grip,waisvocab,male,aeh,72," 35.7( 3.2),p<.01"," -1.82( 1.18),p=.12","  32.2( 4.2),p<.01","  1.45( 1.34),p=.28"
eas,grip,waisvocab,male,aehplus,72," 36.2( 5.5),p<.01"," -2.29( 1.84),p=.21","  34.0( 6.2),p<.01","  1.45( 2.12),p=.49"
eas,grip,waisvocab,male,full,72," 37.7( 6.0),p<.01"," -2.68( 1.84),p=.15","  34.2( 7.5),p<.01","  1.19( 2.05),p=.56"
eas,pef,block,female,ae,563,"310.4(17.4),p<.01","-10.71( 4.20),p=.01","  13.9( 1.0),p<.01","  1.12( 0.20),p<.01"
eas,pef,block,female,aeh,150,"333.1(17.9),p<.01","-26.73( 4.00),p<.01","  18.4( 1.9),p<.01","  0.73( 0.37),p=.05"
eas,pef,block,female,aehplus,150,"345.3(25.9),p<.01","-28.93( 6.91),p<.01","  19.0( 2.5),p<.01","  0.78( 0.47),p=.10"
eas,pef,block,female,full,150,"339.1(26.7),p<.01","-26.99( 7.29),p<.01","  19.3( 2.8),p<.01","  0.73( 0.49),p=.14"
eas,pef,block,male,ae,350,"468.3(40.5),p<.01","-18.94( 8.62),p=.03","  20.5( 1.0),p<.01","  0.90( 0.26),p<.01"
eas,pef,block,male,aeh,72,"412.9(49.4),p<.01","-29.25(10.46),p<.01","  19.3( 3.8),p<.01","  1.57( 1.53),p=.31"
eas,pef,block,male,aehplus,72,"454.5(91.2),p<.01","-34.23(25.43),p=.18","  24.2( 8.0),p<.01","  1.40( 1.75),p=.42"
eas,pef,digit_tot,female,a,595,"317.5(14.4),p<.01","-12.73( 3.31),p<.01","  13.5( 0.3),p<.01","  0.25( 0.07),p<.01"
eas,pef,digit_tot,female,ae,595,"312.3(21.0),p<.01"," -9.96( 5.25),p=.06","  11.2( 0.4),p<.01","  0.36( 0.11),p<.01"
eas,pef,digit_tot,female,aeh,150,"335.3(24.6),p<.01","-27.66( 5.42),p<.01","  13.4( 0.9),p<.01","  0.20( 0.18),p=.27"
eas,pef,digit_tot,female,aehplus,150,"347.9(25.1),p<.01","-30.34( 5.91),p<.01","  13.6( 1.0),p<.01","  0.24( 0.19),p=.19"
eas,pef,digit_tot,male,a,379,"454.8(29.6),p<.01","-15.22( 9.10),p=.10","  13.8( 0.4),p<.01","  0.19( 0.08),p=.02"
eas,pef,digit_tot,male,ae,379,"436.6(46.2),p<.01","-12.33(13.96),p=.38","  13.7( 0.4),p<.01","  0.16( 0.11),p=.14"
eas,pef,digit_tot,male,aeh,72,"412.1(66.6),p<.01","-31.06(27.15),p=.25","  14.1( 2.2),p<.01"," -0.34( 0.42),p=.42"
eas,pef,digit_tot,male,aehplus,72,"454.8(89.9),p<.01","-37.40(32.26),p=.25","  12.9( 3.5),p<.01"," -0.10( 0.67),p=.88"
eas,pef,digit_tot,male,full,72,"477.2(153.2),p<.01","-37.62(40.31),p=.35","  13.7( 3.8),p<.01"," -0.31( 0.80),p=.70"
eas,pef,fas,male,a,358,"455.1(30.1),p<.01","-15.66( 8.34),p=.06","  31.4( 1.4),p<.01","  0.22( 0.23),p=.34"
eas,pef,symbol,female,a,592,"311.4(13.1),p<.01","-11.58( 2.77),p<.01","  45.3( 1.2),p<.01","  0.54( 0.21),p=.01"
eas,pef,symbol,female,ae,592,"293.5(20.7),p<.01"," -5.54( 5.62),p=.32","  32.4( 1.6),p<.01","  1.16( 0.44),p=.01"
eas,pef,symbol,female,aeh,150,"327.9(24.3),p<.01","-23.55( 7.43),p<.01","  39.1( 3.1),p<.01","  0.56( 0.59),p=.34"
eas,pef,symbol,female,aehplus,150,"338.9(25.8),p<.01","-25.21( 8.42),p<.01","  40.6( 3.4),p<.01","  0.60( 0.68),p=.38"
eas,pef,symbol,female,full,150,"333.2(26.6),p<.01","-23.53( 9.30),p=.01","  40.6( 3.7),p<.01","  0.62( 0.78),p=.42"
eas,pef,symbol,male,a,377,"449.9(33.3),p<.01","-14.85( 9.59),p=.12","  39.5( 1.3),p<.01","  0.47( 0.34),p=.16"
eas,pef,symbol,male,ae,377,"439.8(55.8),p<.01","-12.82(18.01),p=.48","  38.5( 1.5),p<.01","  1.05( 0.67),p=.12"
eas,pef,symbol,male,aeh,72,"407.4(64.3),p<.01","-26.04(33.48),p=.44","  39.2( 4.8),p<.01","  0.68( 1.62),p=.68"
eas,pef,symbol,male,aehplus,72,"442.7(90.7),p<.01","-27.75(39.85),p=.49","  40.9( 7.8),p<.01","  0.48( 2.24),p=.83"
eas,pef,symbol,male,full,72,"464.5(143.1),p<.01","-26.95(47.63),p=.57","  40.5( 9.5),p<.01","  0.49( 2.27),p=.83"
eas,pef,trailsb,female,a,580,"319.6(13.0),p<.01","-14.42( 2.89),p<.01"," 125.5( 7.2),p<.01","  0.80( 1.30),p=.54"
eas,pef,trailsb,female,ae,580,"313.5(20.6),p<.01","-11.07( 4.82),p=.02"," 175.1( 7.4),p<.01"," -0.55( 2.05),p=.79"
eas,pef,trailsb,female,aeh,150,"332.2(25.6),p<.01","-25.89( 6.46),p<.01"," 171.3(18.6),p<.01","  2.42( 5.06),p=.63"
eas,pef,trailsb,female,aehplus,150,"344.5(26.0),p<.01","-28.33( 7.03),p<.01"," 163.1(21.4),p<.01","  2.91( 6.20),p=.64"
eas,pef,trailsb,female,full,150,"338.5(26.9),p<.01","-26.65( 7.66),p<.01"," 172.1(21.9),p<.01","  2.73( 6.22),p=.66"
eas,pef,trailsb,male,ae,368,"449.5(48.7),p<.01","-16.65(13.61),p=.22"," 131.5( 9.9),p<.01","  2.26( 3.10),p=.47"
eas,pef,trailsb,male,aeh,72,"413.6(61.7),p<.01","-29.16(30.96),p=.35"," 159.6(30.6),p<.01"," -0.02( 9.19),p=.99"
eas,pef,trailsb,male,aehplus,72,"445.4(93.9),p<.01","-29.81(37.75),p=.43"," 153.9(58.3),p=.01","  3.49(13.75),p=.80"
eas,pef,trailsb,male,full,72,"467.8(151.5),p<.01","-29.38(50.40),p=.56"," 160.3(70.5),p=.02","  2.94(17.25),p=.86"
elsa,fev,word_de,female,aehplus,"3,511","  1.9( 0.0),p<.01"," -0.02( 0.00),p<.01","   3.9( 0.1),p<.01"," -0.04( 0.01),p<.01"
elsa,fev,word_de,male,aehplus,"3,091","  2.6( 0.0),p<.01"," -0.02( 0.00),p<.01","   3.3( 0.1),p<.01","  0.00( 0.01),p=.61"
elsa,fev,word_im,female,aehplus,"3,511","  1.9( 0.0),p<.01"," -0.02( 0.00),p<.01","   5.3( 0.1),p<.01"," -0.04( 0.01),p<.01"
elsa,fev,word_im,male,aehplus,"3,091","  2.6( 0.0),p<.01"," -0.02( 0.00),p<.01","   4.9( 0.1),p<.01"," -0.03( 0.01),p<.01"
elsa,fev100,word_de,female,aehplus,"3,511","188.5( 1.7),p<.01"," -2.12( 0.19),p<.01","   3.9( 0.1),p<.01"," -0.04( 0.01),p<.01"
elsa,fev100,word_de,male,aehplus,"3,091","262.6( 3.2),p<.01"," -2.22( 0.44),p<.01","   3.3( 0.1),p<.01","  0.00( 0.01),p=.61"
elsa,fev100,word_im,female,aehplus,"3,511","188.5( 1.7),p<.01"," -2.13( 0.19),p<.01","   5.3( 0.1),p<.01"," -0.04( 0.01),p<.01"
elsa,fev100,word_im,male,aehplus,"3,091","262.6( 3.2),p<.01"," -2.20( 0.44),p<.01","   4.9( 0.1),p<.01"," -0.03( 0.01),p<.01"
elsa,gait,fluency,female,aehplus,"3,510","  0.8( 0.0),p<.01"," -0.01( 0.00),p<.01","  17.6( 0.2),p<.01"," -0.08( 0.03),p<.01"
elsa,gait,fluency,male,aehplus,"3,090","  0.9( 0.0),p<.01"," -0.01( 0.00),p<.01","  18.3( 0.3),p<.01"," -0.07( 0.04),p=.06"
elsa,gait,word_de,female,aehplus,"3,510","  0.8( 0.0),p<.01"," -0.01( 0.00),p<.01","   3.9( 0.1),p<.01"," -0.06( 0.01),p<.01"
elsa,gait,word_de,male,aehplus,"3,090","  0.9( 0.0),p<.01"," -0.01( 0.00),p<.01","   3.4( 0.1),p<.01"," -0.02( 0.01),p=.11"
elsa,gait,word_im,female,aehplus,"3,510","  0.8( 0.0),p<.01"," -0.01( 0.00),p<.01","   5.3( 0.1),p<.01"," -0.05( 0.01),p<.01"
elsa,gait,word_im,male,aehplus,"3,088","  0.9( 0.0),p<.01"," -0.01( 0.00),p<.01","   4.9( 0.1),p<.01"," -0.03( 0.01),p=.01"
elsa,grip,word_de,female,aehplus,"3,511"," 20.3( 0.2),p<.01"," -0.29( 0.02),p<.01","   3.9( 0.1),p<.01"," -0.04( 0.01),p<.01"
elsa,grip,word_de,male,aehplus,"3,091"," 34.3( 0.3),p<.01"," -0.45( 0.04),p<.01","   3.3( 0.1),p<.01","  0.00( 0.01),p=.64"
elsa,grip,word_im,female,aehplus,"3,511"," 20.3( 0.2),p<.01"," -0.29( 0.02),p<.01","   5.3( 0.1),p<.01"," -0.04( 0.01),p<.01"
elsa,grip,word_im,male,aehplus,"3,091"," 34.3( 0.3),p<.01"," -0.45( 0.04),p<.01","   4.9( 0.1),p<.01"," -0.03( 0.01),p<.01"
hrs,gait,serial7,female,a,370,"  0.8( 0.0),p<.01"," -0.02( 0.01),p<.01","   3.5( 0.1),p<.01"," -0.12( 0.02),p<.01"
hrs,gait,serial7,female,aeh,370,"  0.8( 0.0),p<.01"," -0.03( 0.01),p<.01","   2.3( 0.2),p<.01"," -0.07( 0.03),p=.01"
hrs,gait,serial7,female,aehplus,370,"  0.8( 0.0),p<.01"," -0.03( 0.00),p<.01","   2.3( 0.2),p<.01"," -0.04( 0.03),p=.23"
hrs,gait,serial7,male,a,318,"  0.9( 0.0),p<.01"," -0.03( 0.00),p<.01","   4.1( 0.1),p<.01"," -0.14( 0.02),p<.01"
hrs,gait,serial7,male,aeh,318,"  0.8( 0.0),p<.01"," -0.03( 0.01),p=.01","   3.2( 0.3),p<.01"," -0.15( 0.05),p<.01"
hrs,gait,serial7,male,aehplus,318,"  0.9( 0.0),p<.01"," -0.03( 0.01),p=.01","   3.1( 0.3),p<.01"," -0.11( 0.05),p=.02"
hrs,gait,tics,female,a,370,"  0.8( 0.0),p<.01"," -0.02( 0.00),p<.01","   9.7( 0.1),p<.01"," -0.07( 0.01),p<.01"
hrs,gait,tics,female,aeh,370,"  0.8( 0.0),p<.01"," -0.03( 0.00),p<.01","   9.0( 0.1),p<.01"," -0.07( 0.02),p<.01"
hrs,gait,tics,female,aehplus,370,"  0.8( 0.0),p<.01"," -0.03( 0.00),p<.01","   9.0( 0.1),p<.01"," -0.07( 0.02),p=.01"
hrs,gait,tics,male,a,318,"  0.9( 0.0),p<.01"," -0.02( 0.00),p<.01","   9.6( 0.1),p<.01"," -0.08( 0.01),p<.01"
hrs,gait,tics,male,aeh,318,"  0.8( 0.0),p<.01"," -0.02( 0.01),p=.03","   9.3( 0.2),p<.01"," -0.12( 0.03),p<.01"
hrs,gait,tics,male,aehplus,318,"  0.9( 0.0),p<.01"," -0.02( 0.01),p=.02","   9.3( 0.2),p<.01"," -0.12( 0.03),p<.01"
hrs,gait,word_de,female,a,370,"  0.8( 0.0),p<.01"," -0.02( 0.04),p=.64","   4.6( 0.1),p<.01"," -0.08( 0.02),p<.01"
hrs,gait,word_de,female,aeh,370,"  0.8( 0.0),p<.01"," -0.03( 0.00),p<.01","   3.8( 0.2),p<.01"," -0.03( 0.03),p=.34"
hrs,gait,word_de,female,aehplus,370,"  0.8( 0.0),p<.01"," -0.03( 0.00),p<.01","   3.9( 0.2),p<.01"," -0.00( 0.03),p=.87"
hrs,gait,word_de,male,a,318,"  0.9( 0.0),p<.01"," -0.02( 0.01),p=.01","   4.2( 0.1),p<.01"," -0.10( 0.02),p<.01"
hrs,gait,word_de,male,aeh,318,"  0.8( 0.0),p<.01"," -0.02( 0.01),p=.08","   3.2( 0.3),p<.01"," -0.09( 0.05),p=.04"
hrs,gait,word_de,male,aehplus,318,"  0.9( 0.0),p<.01"," -0.02( 0.01),p=.03","   3.4( 0.3),p<.01"," -0.10( 0.04),p=.01"
hrs,gait,word_im,female,a,370,"  0.8( 0.0),p<.01"," -0.02( 0.00),p<.01","   5.7( 0.1),p<.01"," -0.09( 0.01),p<.01"
hrs,gait,word_im,female,aeh,370,"  0.8( 0.0),p<.01"," -0.03( 0.01),p<.01","   5.0( 0.1),p<.01"," -0.07( 0.02),p<.01"
hrs,gait,word_im,female,aehplus,370,"  0.8( 0.0),p<.01"," -0.03( 0.00),p<.01","   5.1( 0.2),p<.01"," -0.06( 0.03),p=.03"
hrs,gait,word_im,male,a,318,"  0.9( 0.0),p<.01"," -0.02( 0.00),p<.01","   5.3( 0.1),p<.01"," -0.11( 0.02),p<.01"
hrs,gait,word_im,male,aeh,318,"  0.8( 0.0),p<.01"," -0.02( 0.01),p=.04","   4.3( 0.2),p<.01"," -0.08( 0.04),p=.08"
hrs,gait,word_im,male,aehplus,318,"  0.9( 0.0),p<.01"," -0.02( 0.01),p=.03","   4.4( 0.2),p<.01"," -0.07( 0.04),p=.09"
hrs,grip,serial7,female,a,641," 24.2( 0.5),p<.01"," -0.52( 0.10),p<.01","   3.5( 0.1),p<.01"," -0.15( 0.01),p<.01"
hrs,grip,serial7,female,aeh,641," 22.6( 0.9),p<.01"," -0.26( 0.19),p=.16","   2.3( 0.1),p<.01"," -0.11( 0.02),p<.01"
hrs,grip,serial7,female,aehplus,641," 23.6( 0.9),p<.01"," -0.25( 0.19),p=.19","   2.2( 0.2),p<.01"," -0.07( 0.02),p<.01"
hrs,grip,serial7,male,a,507," 39.4( 0.5),p<.01"," -0.93( 0.07),p<.01","   4.1( 0.1),p<.01"," -0.19( 0.01),p<.01"
hrs,grip,serial7,male,aeh,507," 35.2( 1.3),p<.01"," -0.81( 0.22),p<.01","   3.2( 0.2),p<.01"," -0.24( 0.03),p<.01"
hrs,grip,serial7,male,aehplus,507," 35.3( 1.1),p<.01"," -0.57( 0.24),p=.02","   3.3( 0.2),p<.01"," -0.20( 0.04),p<.01"
hrs,grip,tics,female,a,641," 24.1( 0.5),p<.01"," -0.50( 0.08),p<.01","   9.1( 0.1),p<.01"," -0.16( 0.02),p<.01"
hrs,grip,tics,female,aeh,641," 22.6( 0.9),p<.01"," -0.25( 0.19),p=.18","   8.4( 0.2),p<.01"," -0.08( 0.04),p=.04"
hrs,grip,tics,female,aehplus,641," 23.7( 0.9),p<.01"," -0.27( 0.18),p=.14","   8.0( 0.3),p<.01"," -0.08( 0.05),p=.11"
hrs,grip,tics,male,a,507," 39.4( 0.6),p<.01"," -0.90( 0.20),p<.01","   9.4( 0.3),p<.01"," -0.22( 0.03),p<.01"
hrs,grip,tics,male,aeh,507," 35.2( 1.3),p<.01"," -0.79( 0.24),p<.01","   8.8( 0.2),p<.01"," -0.22( 0.06),p<.01"
hrs,grip,tics,male,aehplus,507," 35.3( 1.1),p<.01"," -0.59( 0.23),p=.01","   8.7( 0.2),p<.01"," -0.19( 0.05),p<.01"
hrs,grip,word_de,female,a,641," 24.1( 0.5),p<.01"," -0.51( 0.08),p<.01","   4.4( 0.1),p<.01"," -0.06( 0.03),p=.05"
hrs,grip,word_de,female,aeh,641," 22.6( 0.9),p<.01"," -0.25( 0.19),p=.18","   3.5( 0.1),p<.01"," -0.04( 0.02),p=.10"
hrs,grip,word_de,female,aehplus,641," 23.6( 0.9),p<.01"," -0.25( 0.19),p=.19","   3.7( 0.1),p<.01"," -0.03( 0.02),p=.17"
hrs,grip,word_de,male,a,507," 39.4( 0.6),p<.01"," -0.91( 0.07),p<.01","   4.0( 0.1),p<.01"," -0.07( 0.02),p<.01"
hrs,grip,word_de,male,aeh,507," 35.2( 1.3),p<.01"," -0.80( 0.23),p<.01","   2.8( 0.2),p<.01"," -0.05( 0.03),p=.14"
hrs,grip,word_de,male,aehplus,507," 35.2( 1.1),p<.01"," -0.51( 0.23),p=.02","   3.0( 0.2),p<.01"," -0.07( 0.03),p=.03"
hrs,grip,word_im,female,a,641," 24.1( 0.5),p<.01"," -0.51( 0.08),p<.01","   5.6( 0.1),p<.01"," -0.08( 0.01),p<.01"
hrs,grip,word_im,female,aeh,641," 22.6( 0.9),p<.01"," -0.26( 0.19),p=.18","   4.7( 0.1),p<.01"," -0.08( 0.02),p<.01"
hrs,grip,word_im,female,aehplus,641," 23.6( 0.9),p<.01"," -0.25( 0.19),p=.19","   4.8( 0.1),p<.01"," -0.08( 0.02),p<.01"
hrs,grip,word_im,male,a,507," 39.4( 0.6),p<.01"," -0.91( 0.07),p<.01","   5.2( 0.1),p<.01"," -0.09( 0.02),p<.01"
hrs,grip,word_im,male,aeh,507," 35.2( 1.3),p<.01"," -0.80( 0.23),p<.01","   4.1( 0.2),p<.01"," -0.10( 0.03),p<.01"
hrs,grip,word_im,male,aehplus,507," 35.2( 1.1),p<.01"," -0.55( 0.23),p=.01","   4.3( 0.2),p<.01"," -0.12( 0.03),p<.01"
hrs,pef,serial7,female,a,715,"274.9( 2.7),p<.01"," -2.67( 0.62),p<.01","   3.5( 0.1),p<.01"," -0.15( 0.01),p<.01"
hrs,pef,serial7,female,aeh,715,"248.5( 5.6),p<.01"," -2.21( 1.33),p=.10","   2.2( 0.1),p<.01"," -0.11( 0.02),p<.01"
hrs,pef,serial7,female,aehplus,715,"256.8( 6.2),p<.01"," -2.16( 1.29),p=.09","   2.2( 0.1),p<.01"," -0.08( 0.02),p<.01"
hrs,pef,serial7,male,a,535,"405.2( 5.0),p<.01"," -5.67( 1.06),p<.01","   4.1( 0.1),p<.01"," -0.19( 0.01),p<.01"
hrs,pef,serial7,male,aeh,535,"320.4(13.7),p<.01"," -6.41( 3.13),p=.04","   3.1( 0.2),p<.01"," -0.23( 0.03),p<.01"
hrs,pef,serial7,male,aehplus,535,"339.4(14.5),p<.01"," -6.00( 2.75),p=.03","   3.1( 0.2),p<.01"," -0.18( 0.04),p<.01"
hrs,pef,tics,female,a,715,"274.8( 2.7),p<.01"," -2.66( 0.56),p<.01","   9.1( 0.1),p<.01"," -0.17( 0.08),p=.03"
hrs,pef,tics,female,aeh,715,"248.5( 5.6),p<.01"," -2.28( 1.27),p=.07","   8.4( 0.2),p<.01"," -0.14( 0.06),p=.03"
hrs,pef,tics,female,aehplus,715,"257.0( 6.2),p<.01"," -2.34( 1.28),p=.07","   8.1( 0.2),p<.01"," -0.12( 0.04),p=.01"
hrs,pef,tics,male,a,535,"405.1( 5.0),p<.01"," -5.54( 0.98),p<.01","   9.4( 0.1),p<.01"," -0.22( 0.07),p<.01"
hrs,pef,tics,male,aeh,535,"320.5(13.8),p<.01"," -6.47( 2.97),p=.03","   8.7( 0.2),p<.01"," -0.23( 0.07),p<.01"
hrs,pef,tics,male,aehplus,535,"339.4(14.5),p<.01"," -5.94( 2.66),p=.03","   8.6( 0.2),p<.01"," -0.18( 0.05),p<.01"
hrs,pef,word_de,female,a,715,"274.8( 2.8),p<.01"," -2.67( 0.59),p<.01","   4.4( 0.8),p<.01"," -0.08( 0.54),p=.89"
hrs,pef,word_de,female,aeh,715,"248.5( 5.6),p<.01"," -2.23( 1.30),p=.09","   3.5( 0.1),p<.01"," -0.05( 0.11),p=.63"
hrs,pef,word_de,female,aehplus,715,"256.7( 6.2),p<.01"," -2.11( 1.28),p=.10","   3.6( 0.1),p<.01"," -0.04( 0.02),p=.09"
hrs,pef,word_de,male,a,535,"405.2( 5.0),p<.01"," -5.61( 1.00),p<.01","   4.0( 0.1),p<.01"," -0.08( 0.05),p=.08"
hrs,pef,word_de,male,aeh,535,"320.4(13.8),p<.01"," -6.43( 3.05),p=.04","   2.8( 0.2),p<.01"," -0.06( 0.04),p=.20"
hrs,pef,word_de,male,aehplus,535,"339.2(14.5),p<.01"," -5.64( 2.64),p=.03","   2.9( 0.2),p<.01"," -0.06( 0.03),p=.05"
hrs,pef,word_im,female,a,715,"274.8( 2.8),p<.01"," -2.67( 0.59),p<.01","   5.5( 0.6),p<.01"," -0.09( 0.63),p=.89"
hrs,pef,word_im,female,aeh,715,"248.5( 5.6),p<.01"," -2.23( 1.30),p=.09","   4.7( 0.1),p<.01"," -0.09( 0.26),p=.74"
hrs,pef,word_im,female,aehplus,715,"256.7( 6.2),p<.01"," -2.10( 1.28),p=.10","   4.8( 0.1),p<.01"," -0.08( 0.02),p<.01"
hrs,pef,word_im,male,a,535,"405.2( 5.0),p<.01"," -5.61( 1.00),p<.01","   5.2( 0.1),p<.01"," -0.10( 0.05),p=.04"
hrs,pef,word_im,male,aeh,535,"320.4(13.7),p<.01"," -6.43( 3.05),p=.04","   4.1( 0.2),p<.01"," -0.11( 0.05),p=.03"
hrs,pef,word_im,male,aehplus,535,"339.3(14.5),p<.01"," -5.61( 2.65),p=.04","   4.2( 0.2),p<.01"," -0.10( 0.03),p<.01"
ilse,grip,fluency,female,aehplus,225," 88.6(13.4),p<.01"," -7.09( 2.24),p<.01","  24.1( 5.1),p<.01"," -0.17( 0.49),p=.72"
ilse,grip,fluency,male,aehplus,252," 95.0(12.8),p<.01"," -2.83( 1.54),p=.07","  23.8( 4.7),p<.01"," -0.08( 0.46),p=.87"
