"model_number","version","active","valid","best_in_gender","study_name","date","time","converged","subgroup","model_type","physical_outcome","var_int_physical","se_int_physical","var_slope_physical","se_slope_physical","var_residual_physical","se_residual_physical","cognitive_outcome","var_int_cog","se_int_cog","var_slope_cog","se_slope_cog","var_residual_cog","se_residual_cog","cov_int","cov_slope","cov_residual","p_cov_int","p_cov_slope","p_cov_res","subject_count","wave_count","datapoint_count","parameter_count","deviance","software","output_file","model_description","results_descriptions","notes","data_file","physical_specific","cognitive_specific","LL","aic","bic","adj_bic","aaic","se_cov_int","se_cov_slope","se_cov_residual"
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:03 PM",TRUE,"male","aehplus","muscle",45.596,2.206,0.119,0.036,18.789,0.992,"speed",104.986,6.393,0.447,0.082,33.03,2.467,-7.06,0.072,1.102,0.004,0.01,0.135,1463,11,NA,41,NA,"Mplus VERSION 7.11","b1_male_aehplus_muscle_speed_hand_digitsymbol.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","hand","digitsymbol",-36613.032,73308.065,73524.883,73394.638,73310.4886453202,2.471,0.028,0.737
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:04 PM",TRUE,"male","aehplus","walking",0.029,0.002,0,0,0.017,0.001,"mental",28.141,3.573,0.848,0.219,24.332,1.437,0.159,0.006,-0.008,0,0,0.627,1464,11,NA,41,NA,"Mplus VERSION 7.11","b1_male_aehplus_walking_mental_gait_3ms.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","3ms",-16602.452,33286.904,33503.75,33373.506,33289.3259409283,0.041,0.002,0.016
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:04 PM",TRUE,"male","aehplus","walking",0.028,0.002,0,0,0.017,0.001,"mental",2.865,0.548,0.016,0.011,3.634,0.161,0.007,0,0.003,0.709,0.268,0.655,1446,10,NA,41,NA,"Mplus VERSION 7.11","b1_male_aehplus_walking_mental_gait_clock.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","clock",-5455.994,10993.987,11210.326,11080.083,10996.439991453,0.018,0,0.007
"b1","0.1",NA,NA,NA,"habc","02/27/2015","12:04 PM",TRUE,"male","aehplus","walking",0.033,0.002,0,0,0.015,0.001,"speed",104.867,6.359,0.447,0.081,32.996,2.463,0.547,0.005,0.015,0,0,0.339,1460,11,NA,41,NA,"Mplus VERSION 7.11","b1_male_aehplus_walking_speed_gait_digitsymbol.out","??",NA,NA," ""C:\Users\wuche\Dropbox\IALSA\Data\HABC-9999.dta.dat""","gait","digitsymbol",-12803.012,25688.025,25904.759,25774.515,25690.4537729196,0.072,0.001,0.016
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:30 AM",TRUE,"male","age","muscle",53.9,2.491,0.137,0.037,18.713,0.977,"mental",52.025,5.127,0.902,0.211,24.229,1.427,-4.267,0.208,0.279,0.018,0,0.711,1491,11,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_muscle_mental_hand_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","3ms",-41239.054,82520.108,82631.559,82564.848,82520.7369993193,1.803,0.044,0.754
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:33 AM",TRUE,"male","age","muscle",53.865,2.493,0.126,0.036,18.703,0.972,"mental",3.353,0.582,0.021,0.012,3.606,0.159,-1.084,0.002,0.806,0.17,0.855,0.011,1491,10,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_muscle_mental_hand_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","clock",-29406.568,58855.135,58966.586,58899.875,58855.7639993193,0.79,0.011,0.318
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:27 AM",TRUE,"male","age","muscle",53.813,2.489,0.123,0.035,18.72,0.98,"speed",180.764,8.369,0.454,0.084,33.373,2.46,-12.728,0.063,1.156,0,0.023,0.115,1490,11,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_muscle_speed_hand_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","hand","digitsymbol",-37669.36,75380.72,75492.157,75425.446,75381.3494277929,3.142,0.028,0.732
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:25 AM",TRUE,"male","age","walking",0.035,0.002,0,0,0.017,0.001,"mental",51.913,5.106,0.899,0.215,24.276,1.432,0.486,0.006,-0.006,0,0.001,0.694,1491,11,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_walking_mental_gait_3ms.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","3ms",-17306.13,34654.261,34765.712,34699.001,34654.8899993193,0.056,0.002,0.016
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:27 AM",TRUE,"male","age","walking",0.034,0.002,0,0,0.017,0.001,"mental",3.291,0.576,0.019,0.011,3.61,0.159,0.047,0,0.005,0.016,0.352,0.489,1473,10,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_walking_mental_gait_clock.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","clock",-5738.223,11518.445,11629.641,11562.931,11519.0818022054,0.02,0,0.007
"b1","0.1",NA,NA,NA,"habc","02/24/2015","10:26 AM",TRUE,"male","age","walking",0.04,0.002,0,0,0.015,0.001,"speed",180.208,8.34,0.454,0.083,33.346,2.457,1.189,0.005,0.014,0,0,0.38,1487,11,NA,21,NA,"Mplus VERSION 7.2 (Mac)","b1_male_age_walking_speed_gait_digitsymbol.out","??",NA,NA," ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""","gait","digitsymbol",-13423.061,26888.123,26999.518,26932.807,26888.7537167235,0.098,0.001,0.016
