"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval"
"Mplus VERSION 7.11","0.1","03/02/2015"," 4:53 PM","ilse","u0","male","empty","muscle","nocog","grip","nocogspec",TRUE,260,3,NA,3,-2514.185,5034.371,5045.053,5035.542,5034.46475,"u0_male_empty_muscle_nocog_grip_nocogspec.out"," C:\Users\Besitzer\Desktop\ILSE 02.03.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.819,24.165,0,NA,NA,NA,290.819,24.165,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","03/04/2015"," 1:49 PM","ilse","u1","female","a","muscle","nocog","grip","nocogspec",TRUE,226,3,NA,8,-2154.489,4324.979,4352.343,4326.989,4325.64259447005,"u1_female_a_muscle_nocog_grip_nocogspec.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",418.263,66.151,0,4.354,1.163,0,NA,NA,NA,NA,NA,NA,183.123,21.905,0,NA,NA,NA,183.123,21.905,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.965,12.684,0,-5.754,1.984,0.004,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","03/04/2015","10:01 AM","ilse","u1","female","aeh","muscle","nocog","grip","nocogspec",TRUE,224,3,NA,16,-2129.458,4290.916,4345.502,4294.795,4293.54401932367,"u1_female_aeh_muscle_nocog_grip_nocogspec.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",409.283,66.65,0,4.502,1.192,0,NA,NA,NA,NA,NA,NA,177.543,21.311,0,NA,NA,NA,177.543,21.311,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.371,13.976,0,-6.365,2.202,0.004,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","03/04/2015"," 1:44 PM","ilse","u1","female","aehplus","muscle","nocog","grip","nocogspec",TRUE,223,3,NA,22,-2116.053,4276.106,4351.064,4281.343,4281.166,"u1_female_aehplus_muscle_nocog_grip_nocogspec.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",403.666,67.743,0,4.587,1.247,0,NA,NA,NA,NA,NA,NA,174.032,21.453,0,NA,NA,NA,174.032,21.453,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.479,13.976,0,-6.517,2.289,0.004,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","03/04/2015"," 1:49 PM","ilse","u1","male","a","muscle","nocog","grip","nocogspec",TRUE,253,3,NA,8,-2384.891,4785.782,4814.049,4788.688,4786.37216393443,"u1_male_a_muscle_nocog_grip_nocogspec.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",386.556,53.205,0,1.639,0.915,0.073,NA,NA,NA,NA,NA,NA,178.401,16.118,0,NA,NA,NA,178.401,16.118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.834,11.27,0,-2.004,1.376,0.145,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","03/04/2015","10:04 AM","ilse","u1","male","aeh","muscle","nocog","grip","nocogspec",TRUE,253,3,NA,16,-2377.613,4787.226,4843.76,4793.037,4789.53108474576,"u1_male_aeh_muscle_nocog_grip_nocogspec.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",370.267,49.452,0,1.79,0.938,0.056,NA,NA,NA,NA,NA,NA,176.808,16.124,0,NA,NA,NA,176.808,16.124,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.461,13.515,0,-2.083,1.616,0.197,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","03/04/2015","10:14 AM","ilse","u1","male","aehplus","muscle","nocog","grip","nocogspec",TRUE,252,3,NA,24,-2363.301,4774.602,4859.309,4783.225,4779.88834361233,"u1_male_aehplus_muscle_nocog_grip_nocogspec.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",362.344,50.964,0,1.771,0.985,0.072,NA,NA,NA,NA,NA,NA,174.486,16.664,0,NA,NA,NA,174.486,16.664,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.596,14.284,0,-2.783,1.742,0.11,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.11","0.1","06/30/2015"," 3:33 PM","ilse","b1","female","aeh","tug","fluency","tug","verbalfluencytest",TRUE,226,3,NA,37,-2728.637,5531.273,5657.833,5540.571,5546.23044680851,"b1_female_aeh_tug_fluency_tug_verbalfluencytest.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",1.664,0.646,0.01,0.003,0.01,0.763,45.243,6.809,0,0.031,0.075,0.676,1.617,0.276,0,25.853,2.4,0,1.617,0.276,0,NA,NA,NA,-0.738,1.549,0.634,0.007,0.017,0.694,NA,NA,NA,"25.853","2.4",0,-0.632,0.669,0.344,4.959,1.979,0.012,0.172,0.319,0.589,24.184,5.085,0,-0.118,0.57,0.836
"Mplus VERSION 7.11","0.1","06/30/2015"," 3:33 PM","ilse","b1","female","aeh","tug","knowledge","tug","waisgeneralknowledge",TRUE,226,3,NA,37,-2219.279,4512.558,4639.118,4521.856,4527.51544680851,"b1_female_aeh_tug_knowledge_tug_waisgeneralknowledge.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",1.616,0.668,0.016,0.003,0.009,0.762,15.338,1.898,0,0.012,0.009,0.172,1.626,0.281,0,2.968,0.359,0,1.626,0.281,0,NA,NA,NA,-0.263,0.835,0.752,0.001,0.006,0.82,NA,NA,NA,"2.968","0.359",0,-0.062,0.229,0.786,4.962,1.676,0.003,0.175,0.205,0.393,12.479,2.241,0,0.361,0.238,0.128
"Mplus VERSION 7.11","0.1","06/30/2015"," 3:33 PM","ilse","b1","female","aeh","tug","reasoning","tug","lpsspacialability",TRUE,226,3,NA,37,-2538.895,5151.789,5278.349,5161.087,5166.74644680851,"b1_female_aeh_tug_reasoning_tug_lpsspacialability.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",1.602,0.691,0.02,0.003,0.01,0.794,30.213,4.416,0,0.017,0.029,0.545,1.641,0.299,0,11.464,0.913,0,1.641,0.299,0,NA,NA,NA,-0.559,1.133,0.622,-0.001,0.012,0.937,NA,NA,NA,"11.464","0.913",0,-0.221,0.51,0.665,4.969,1.807,0.006,0.166,0.218,0.445,11.025,4.204,0.009,0.105,0.308,0.733
"Mplus VERSION 7.11","0.1","06/30/2015"," 3:32 PM","ilse","b1","female","aeh","tug","reasoning","tug","waisblockdesign",TRUE,226,3,NA,37,-2638.819,5351.638,5478.198,5360.936,5366.59544680851,"b1_female_aeh_tug_reasoning_tug_waisblockdesign.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",1.655,0.692,0.017,0.003,0.01,0.774,44.658,6.18,0,0.079,0.047,0.091,1.627,0.289,0,14.564,1.733,0,1.627,0.289,0,NA,NA,NA,-0.834,1.373,0.543,0.001,0.014,0.944,NA,NA,NA,"14.564","1.733",0,0.351,0.426,0.41,4.973,1.742,0.004,0.169,0.221,0.444,16.997,5.257,0.001,0.007,0.473,0.988
"Mplus VERSION 7.11","0.1","06/30/2015"," 3:32 PM","ilse","b1","female","aeh","tug","reasoning","tug","waispicturecompletion",TRUE,226,3,NA,37,-2303.615,4681.23,4807.79,4690.528,4696.18744680851,"b1_female_aeh_tug_reasoning_tug_waispicturecompletion.out"," C:\Users\Besitzer\Desktop\ilse 03.03.dat",1.651,0.679,0.015,0.003,0.009,0.768,7.899,1.713,0,0.015,0.017,0.37,1.622,0.273,0,6.433,0.683,0,1.622,0.273,0,NA,NA,NA,-0.051,0.77,0.947,0.003,0.009,0.719,NA,NA,NA,"6.433","0.683",0,-0.037,0.315,0.907,4.961,1.707,0.004,0.174,0.189,0.357,9.016,2.225,0,0.433,0.254,0.089
