"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval","a_GAMMA_02_est","a_GAMMA_02_se","a_GAMMA_02_wald","a_GAMMA_02_pval","a_GAMMA_12_est","a_GAMMA_12_se","a_GAMMA_12_wald","a_GAMMA_12_pval","b_GAMMA_02_est","b_GAMMA_02_se","b_GAMMA_02_wald","b_GAMMA_02_pval","b_GAMMA_12_est","b_GAMMA_12_se","b_GAMMA_12_wald","b_GAMMA_12_pval","a_GAMMA_03_est","a_GAMMA_03_se","a_GAMMA_03_wald","a_GAMMA_03_pval","a_GAMMA_13_est","a_GAMMA_13_se","a_GAMMA_13_wald","a_GAMMA_13_pval","b_GAMMA_03_est","b_GAMMA_03_se","b_GAMMA_03_wald","b_GAMMA_03_pval","b_GAMMA_13_est","b_GAMMA_13_se","b_GAMMA_13_wald","b_GAMMA_13_pval","a_GAMMA_04_est","a_GAMMA_04_se","a_GAMMA_04_wald","a_GAMMA_04_pval","a_GAMMA_14_est","a_GAMMA_14_se","a_GAMMA_14_wald","a_GAMMA_14_pval","b_GAMMA_04_est","b_GAMMA_04_se","b_GAMMA_04_wald","b_GAMMA_04_pval","b_GAMMA_14_est","b_GAMMA_14_se","b_GAMMA_14_wald","b_GAMMA_14_pval","a_GAMMA_05_est","a_GAMMA_05_se","a_GAMMA_05_wald","a_GAMMA_05_pval","a_GAMMA_15_est","a_GAMMA_15_se","a_GAMMA_15_wald","a_GAMMA_15_pval","b_GAMMA_05_est","b_GAMMA_05_se","b_GAMMA_05_wald","b_GAMMA_05_pval","b_GAMMA_15_est","b_GAMMA_15_se","b_GAMMA_15_wald","b_GAMMA_15_pval","a_GAMMA_06_est","a_GAMMA_06_se","a_GAMMA_06_wald","a_GAMMA_06_pval","a_GAMMA_16_est","a_GAMMA_16_se","a_GAMMA_16_wald","a_GAMMA_16_pval","b_GAMMA_06_est","b_GAMMA_06_se","b_GAMMA_06_wald","b_GAMMA_06_pval","b_GAMMA_16_est","b_GAMMA_16_se","b_GAMMA_16_wald","b_GAMMA_16_pval"
"Mplus VERSION 7.3",0.1,"09/15/2015"," 1:59 PM","b1_male_full_walking_knowledge_gait_waisvocab.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/b1_male_full_walking_knowledge_gait_waisvocab.out","eas","b1","male","full","gait","waisvocab",72,8,NA,45,-2006.595,4103.19,4205.639,4063.86,4262.42076923077,TRUE,TRUE,NA,0,-14.207,42.669,-0.333,0.739,-0.454,2.264,-0.201,0.841,7.85,10.772,0.729,0.466,1.735,14.061,0.123,0.902,-3.384,12.348,-0.274,0.784,223.479,159.982,1.397,0.162,1.453,6.748,0.215,0.829,-5.311,32.841,-0.162,0.872,73.676,17.014,4.33,0,45.173,30.434,1.484,0.138,0.399,1.441,0.277,0.782,-1.312,6.345,-0.207,0.836,40.405,5.645,7.157,0,107.244,18.873,5.683,0,-1.442,6.089,-0.237,0.813,34.38,7.595,4.527,0,1.285,2.224,0.578,0.563,-0.141,0.421,-0.336,0.737,-0.596,3.28,-0.182,0.856,-0.062,0.224,-0.277,0.782,-0.474,0.743,-0.638,0.523,-0.107,0.315,-0.34,0.734,0.37,0.368,1.008,0.314,-0.082,0.113,-0.727,0.467,0.744,1.189,0.626,0.531,-0.31,0.365,-0.851,0.395,1.514,0.661,2.29,0.022,-0.048,0.206,-0.234,0.815,-0.03,0.486,-0.061,0.951,0.094,0.179,0.524,0.6,0.07,0.272,0.259,0.796,-0.048,0.082,-0.587,0.558,-1.489,7.951,-0.187,0.851,0.678,2.984,0.227,0.82,-1.826,4.12,-0.443,0.658,0.255,0.826,0.309,0.757,-4.44,14.038,-0.316,0.752,1.541,5.174,0.298,0.766,-3.709,7.78,-0.477,0.634,-0.165,1.748,-0.095,0.925,-5.701,14.587,-0.391,0.696,0.833,5.087,0.164,0.87,1.642,4.635,0.354,0.723,-0.641,1.487,-0.431,0.666
"Mplus VERSION 7.3",0.1,"09/15/2015"," 2:35 PM","b1_male_full_walking_language_gait_bnt.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/b1_male_full_walking_language_gait_bnt.out","eas","b1","male","full","gait","bnt",72,8,NA,45,-1483.628,3057.257,3159.707,3017.927,3216.48776923077,TRUE,TRUE,NA,0,3.624,8.284,0.437,0.662,0.056,0.488,0.115,0.909,0.779,2.325,0.335,0.738,0.259,2.191,0.118,0.906,-0.321,2.279,-0.141,0.888,219.362,129.3,1.697,0.09,0.909,5.238,0.173,0.862,-4.036,25.838,-0.156,0.876,75.463,21.121,3.573,0,1.643,1.565,1.05,0.294,0.026,0.05,0.511,0.61,0.188,0.261,0.72,0.472,1.591,0.233,6.823,0,106.604,18.895,5.642,0,-0.95,7.905,-0.12,0.904,10.811,2.139,5.054,0,0.27,0.583,0.464,0.643,0.191,0.401,0.476,0.634,0.367,3.62,0.102,0.919,-0.029,0.208,-0.141,0.888,-0.467,0.734,-0.635,0.525,-0.122,0.239,-0.51,0.61,0.048,0.098,0.492,0.623,-0.029,0.03,-0.974,0.33,0.708,1.324,0.535,0.593,-0.295,0.449,-0.658,0.511,0.1,0.171,0.583,0.56,-0.007,0.035,-0.198,0.843,-0.019,0.501,-0.039,0.969,0.093,0.189,0.491,0.624,0,0.053,0.003,0.997,0.009,0.021,0.402,0.687,-0.893,8.121,-0.11,0.912,0.269,3.462,0.078,0.938,1.035,1.066,0.971,0.332,-0.262,0.348,-0.752,0.452,-4.37,13.598,-0.321,0.748,1.591,3.77,0.422,0.673,-0.247,1.393,-0.177,0.859,-0.027,0.71,-0.038,0.97,-5.641,11.518,-0.49,0.624,0.956,3.927,0.244,0.808,-0.539,1.156,-0.467,0.641,0.294,0.286,1.026,0.305
"Mplus VERSION 7.3",0.1,"09/15/2015","11:44 AM","b1_male_full_walking_memory_gait_digitspantotal.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/b1_male_full_walking_memory_gait_digitspantotal.out","eas","b1","male","full","gait","digitspantotal",72,8,NA,45,-1572.467,3234.933,3337.383,3195.604,3394.16376923077,TRUE,TRUE,NA,0,0.842,19.896,0.042,0.966,0.23,0.547,0.42,0.674,-0.796,3.194,-0.249,0.803,-0.171,4.682,-0.036,0.971,-0.085,2.883,-0.029,0.977,236.192,149.351,1.581,0.114,2.546,9.68,0.263,0.793,-9.896,39.831,-0.248,0.804,71.939,28.079,2.562,0.01,10.318,4.396,2.347,0.019,0.045,0.102,0.44,0.66,-0.481,0.788,-0.61,0.542,2.583,0.328,7.881,0,107.41,18.644,5.761,0,-1.683,7.166,-0.235,0.814,15.086,3.653,4.13,0,-0.29,0.625,-0.464,0.643,0.017,0.404,0.042,0.966,0.679,1.639,0.414,0.679,-0.006,0.212,-0.029,0.977,-0.489,0.778,-0.629,0.529,-0.093,0.251,-0.371,0.711,-0.033,0.187,-0.177,0.86,0.013,0.04,0.338,0.735,0.815,1.442,0.565,0.572,-0.351,0.507,-0.692,0.489,0.33,0.267,1.238,0.216,0,0.043,0.007,0.994,-0.044,0.496,-0.088,0.93,0.108,0.226,0.476,0.634,-0.126,0.087,-1.448,0.148,0.003,0.027,0.124,0.901,-1.99,9.254,-0.215,0.83,0.945,2.942,0.321,0.748,0.962,2.016,0.477,0.633,-0.106,0.288,-0.369,0.712,-4.288,12.8,-0.335,0.738,1.478,3.357,0.44,0.66,0.622,1.446,0.43,0.667,0.047,0.486,0.096,0.924,-5.711,8.648,-0.66,0.509,0.836,3.228,0.259,0.796,-0.917,1.731,-0.53,0.596,-0.061,0.43,-0.142,0.887
"Mplus VERSION 7.3",0.1,"09/15/2015"," 1:19 PM","b1_male_full_walking_memory_gait_logicalmemorytotal.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/b1_male_full_walking_memory_gait_logicalmemorytotal.out","eas","b1","male","full","gait","logicalmemorytotal",72,8,NA,45,-1845.93,3781.859,3884.309,3742.53,3941.08976923077,TRUE,TRUE,NA,0,12.593,30.725,0.41,0.682,0.221,1.135,0.195,0.846,0.56,6.665,0.084,0.933,-3.509,8.769,-0.4,0.689,-0.892,7.992,-0.112,0.911,217.577,146.353,1.487,0.137,1.332,7.036,0.189,0.85,-3.658,25.449,-0.144,0.886,74.02,24.275,3.049,0.002,25.43,13.297,1.912,0.056,0.101,0.425,0.238,0.812,-0.406,2.072,-0.196,0.845,14.469,2.829,5.114,0,107.931,16.425,6.571,0,-1.717,6.006,-0.286,0.775,14.136,5.294,2.67,0.008,1.815,1.146,1.583,0.113,0.169,0.399,0.424,0.672,0.602,3.361,0.179,0.858,-0.027,0.244,-0.112,0.911,-0.46,0.648,-0.71,0.478,-0.115,0.266,-0.431,0.667,-0.107,0.276,-0.389,0.697,-0.077,0.066,-1.164,0.244,0.675,0.941,0.717,0.473,-0.283,0.307,-0.923,0.356,0.867,0.342,2.536,0.011,-0.131,0.082,-1.61,0.107,-0.015,0.452,-0.034,0.973,0.091,0.181,0.506,0.613,0.088,0.168,0.52,0.603,-0.018,0.045,-0.396,0.692,-1.397,8.915,-0.157,0.875,0.467,3.092,0.151,0.88,0.154,3.15,0.049,0.961,-0.093,0.621,-0.15,0.881,-4.179,13.222,-0.316,0.752,1.47,3.386,0.434,0.664,1.264,2.992,0.423,0.673,-0.6,0.959,-0.626,0.531,-4.989,9.929,-0.502,0.615,0.574,3.713,0.155,0.877,1.278,2.694,0.474,0.635,0.568,0.681,0.834,0.404
"Mplus VERSION 7.3",0.1,"09/15/2015"," 2:17 PM","b1_male_full_walking_mental_gait_mmse.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/b1_male_full_walking_mental_gait_mmse.out","eas","b1","male","full","gait","mmse",72,8,NA,45,-1311.618,2713.236,2815.686,2673.906,2872.46676923077,TRUE,TRUE,NA,0,1.709,5.915,0.289,0.773,0.028,0.302,0.092,0.927,0.143,1.315,0.109,0.913,0.109,1.252,0.087,0.93,0.244,1.417,0.172,0.863,214.503,129.553,1.656,0.098,0.779,5.826,0.134,0.894,-2.199,20.572,-0.107,0.915,75.51,24.808,3.044,0.002,0.271,0.365,0.742,0.458,0.006,0.02,0.309,0.758,0.036,0.069,0.525,0.6,0.665,0.08,8.358,0,107.268,14.3,7.501,0,-1.372,6.995,-0.196,0.844,26.902,1.109,24.255,0,-0.046,0.343,-0.134,0.893,0.224,0.778,0.289,0.773,0.394,4.773,0.083,0.934,0.034,0.201,0.171,0.864,-0.484,0.563,-0.86,0.39,-0.106,0.217,-0.489,0.625,-0.004,0.04,-0.101,0.92,-0.003,0.017,-0.191,0.848,0.705,1,0.705,0.481,-0.291,0.37,-0.786,0.432,0.06,0.059,1.009,0.313,0.002,0.019,0.114,0.909,-0.018,0.489,-0.036,0.971,0.095,0.21,0.452,0.651,0,0.042,-0.001,0.999,0,0.016,0.014,0.989,-1.24,7.551,-0.164,0.87,0.366,3.115,0.118,0.906,-0.302,0.439,-0.687,0.492,0.059,0.142,0.416,0.677,-4.617,15.533,-0.297,0.766,1.731,4.581,0.378,0.706,0.135,0.655,0.206,0.837,-0.03,0.309,-0.097,0.923,-5.412,9.03,-0.599,0.549,0.817,3.579,0.228,0.819,-0.021,0.462,-0.045,0.964,0.039,0.155,0.252,0.801
"Mplus VERSION 7.3",0.1,"09/15/2015","10:47 AM","b1_male_full_walking_reasoning_gait_block.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/b1_male_full_walking_reasoning_gait_block.out","eas","b1","male","full","gait","block",72,8,NA,45,-1920.841,3931.682,4034.132,3892.353,4090.91276923077,TRUE,TRUE,NA,0,24.18,43.937,0.55,0.582,0.067,1.824,0.037,0.971,4.021,7.933,0.507,0.612,-2.543,9.223,-0.276,0.783,0.124,6.696,0.019,0.985,215.395,125.448,1.717,0.086,0.861,6.311,0.136,0.891,-2.32,26.742,-0.087,0.931,74.811,19.038,3.93,0,42.89,22.64,1.894,0.058,0.177,0.749,0.236,0.814,-1.462,3.64,-0.402,0.688,23.425,2.852,8.212,0,107.729,15.975,6.744,0,-1.483,6.11,-0.243,0.808,22.337,9.148,2.442,0.015,1.431,1.887,0.758,0.448,0.252,0.426,0.591,0.555,0.172,4.405,0.039,0.969,0.003,0.16,0.019,0.985,-0.483,0.588,-0.822,0.411,-0.111,0.264,-0.423,0.672,0.278,0.477,0.582,0.561,-0.082,0.094,-0.87,0.384,0.693,1.031,0.672,0.501,-0.289,0.302,-0.957,0.338,0.537,0.603,0.891,0.373,-0.059,0.104,-0.572,0.567,-0.035,0.515,-0.068,0.946,0.095,0.202,0.472,0.637,0.076,0.27,0.282,0.778,-0.056,0.074,-0.749,0.454,-1.263,8.265,-0.153,0.879,0.443,2.628,0.169,0.866,-3.457,4.037,-0.856,0.392,0.346,0.844,0.41,0.682,-4.62,13.536,-0.341,0.733,1.632,3.304,0.494,0.621,-0.207,4.556,-0.045,0.964,0.162,1.557,0.104,0.917,-5.152,8.268,-0.623,0.533,0.679,2.606,0.261,0.794,-4.171,4.199,-0.993,0.321,-0.618,1.29,-0.479,0.632
"Mplus VERSION 7.3",0.1,"09/15/2015","11:34 AM","b1_male_full_walking_speed_gait_digitsymbol.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/b1_male_full_walking_speed_gait_digitsymbol.out","eas","b1","male","full","gait","digitsymbol",72,8,NA,45,-1971.85,4033.699,4136.149,3994.37,4192.92976923077,TRUE,TRUE,NA,0,-4.182,43.302,-0.097,0.923,1.14,2.463,0.463,0.643,4.309,10.802,0.399,0.69,5.982,11.61,0.515,0.606,-1.34,10.165,-0.132,0.895,223.927,139.75,1.602,0.109,2.104,5.568,0.378,0.706,-4.759,26.196,-0.182,0.856,73.435,24.108,3.046,0.002,71.174,43.191,1.648,0.099,1.151,0.979,1.175,0.24,0.496,7.364,0.067,0.946,25.506,4.776,5.341,0,108.099,22.365,4.833,0,-1.74,8.129,-0.214,0.831,38.745,14.001,2.767,0.006,0.645,2.926,0.221,0.825,-0.033,0.339,-0.098,0.922,0.733,1.351,0.542,0.587,-0.031,0.236,-0.131,0.896,-0.485,0.883,-0.549,0.583,-0.108,0.302,-0.359,0.72,-0.119,0.429,-0.278,0.781,-0.042,0.136,-0.305,0.76,0.68,1.186,0.574,0.566,-0.269,0.343,-0.782,0.434,1.293,0.969,1.334,0.182,-0.156,0.188,-0.83,0.407,-0.092,0.481,-0.191,0.848,0.136,0.165,0.823,0.411,0.126,0.349,0.362,0.717,-0.005,0.09,-0.053,0.958,-1.61,10.568,-0.152,0.879,0.522,2.816,0.185,0.853,0.531,6.25,0.085,0.932,-0.107,1.225,-0.088,0.93,-4.371,13.737,-0.318,0.75,1.473,3.644,0.404,0.686,-4.881,6.803,-0.718,0.473,0.557,1.661,0.335,0.737,-5.31,9.875,-0.538,0.591,0.839,2.698,0.311,0.756,-4.677,4.996,-0.936,0.349,0.358,1.036,0.345,0.73
"Mplus VERSION 7.3",0.1,"09/15/2015","10:00 AM","u2_female_ae_walking_nocog_gait_nocogspec.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/u2_female_ae_walking_nocog_gait_nocogspec.out","eas","u2","female","ae","gait","nocogspec",250,9,NA,16,-3053.278,6138.557,6194.9,6144.179,6140.8917639485,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.305,2.839,-0.108,0.914,385.874,66.318,5.819,0,10.643,8.992,1.184,0.237,-3.605,21.502,-0.168,0.867,63.339,4.101,15.446,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.579,5.982,17.314,0,-4.595,2.879,-1.596,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.329,0.365,-3.643,0,-0.193,0.167,-1.153,0.249,NA,NA,NA,NA,NA,NA,NA,NA,0.381,0.611,0.622,0.534,0.38,0.284,1.339,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3",0.1,"09/15/2015","10:01 AM","u2_female_aeh_walking_nocog_gait_nocogspec.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/u2_female_aeh_walking_nocog_gait_nocogspec.out","eas","u2","female","aeh","gait","nocogspec",127,9,NA,19,-1515.711,3069.422,3123.461,3063.375,3076.52480373832,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.966,7.296,0.132,0.895,419.459,110.186,3.807,0,10.635,23.346,0.456,0.649,-22.899,50.993,-0.449,0.653,59.297,6.523,9.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.638,9.413,10.691,0,1.467,5.25,0.28,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.208,0.552,-2.187,0.029,-0.323,0.268,-1.207,0.228,NA,NA,NA,NA,NA,NA,NA,NA,1.051,0.931,1.129,0.259,-0.34,0.483,-0.704,0.482,NA,NA,NA,NA,NA,NA,NA,NA,0.251,0.4,0.628,0.53,-0.14,0.214,-0.653,0.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3",0.1,"09/15/2015","10:02 AM","u2_female_aehplus_walking_nocog_gait_nocogspec.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/u2_female_aehplus_walking_nocog_gait_nocogspec.out","eas","u2","female","aehplus","gait","nocogspec",127,9,NA,28,-1504.921,3065.842,3145.479,3056.931,3082.41342857143,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.459,7.833,0.186,0.852,363.299,114.715,3.167,0.002,10.118,28.572,0.354,0.723,-24.187,56.664,-0.427,0.669,58.268,6.827,8.535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.909,9.326,11.249,0,1.587,5.431,0.292,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.324,0.567,-2.337,0.019,-0.273,0.282,-0.969,0.333,NA,NA,NA,NA,NA,NA,NA,NA,1.012,0.904,1.12,0.263,-0.476,0.515,-0.924,0.355,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.41,0.587,0.557,-0.118,0.219,-0.536,0.592,NA,NA,NA,NA,NA,NA,NA,NA,1.468,3.681,0.399,0.69,1.064,3.067,0.347,0.729,NA,NA,NA,NA,NA,NA,NA,NA,-3.704,11.227,-0.33,0.741,-1.095,9.071,-0.121,0.904,NA,NA,NA,NA,NA,NA,NA,NA,-17.423,7.823,-2.227,0.026,-0.929,4.657,-0.199,0.842,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3",0.1,"09/15/2015"," 9:57 AM","u2_female_age_walking_nocog_gait_nocogspec.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/u2_female_age_walking_nocog_gait_nocogspec.out","eas","u2","female","age","gait","nocogspec",250,9,NA,13,-3057.645,6141.291,6187.07,6145.859,6142.83337288136,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.264,2.588,-0.102,0.919,398.916,66.728,5.978,0,8.766,7.09,1.236,0.216,-4.187,20.163,-0.208,0.836,63.79,4.022,15.859,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.673,3.387,31.204,0,-1.862,1.423,-1.309,0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.324,0.347,-3.814,0,-0.187,0.148,-1.266,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3",0.1,"09/15/2015","10:04 AM","u2_female_full_walking_nocog_gait_nocogspec.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/u2_female_full_walking_nocog_gait_nocogspec.out","eas","u2","female","full","gait","nocogspec",127,9,NA,31,-1487.967,3037.934,3126.104,3028.068,3058.81821052632,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.355,7.904,-0.045,0.964,251.951,102.075,2.468,0.014,9.54,29.83,0.32,0.749,-10.674,57.302,-0.186,0.852,58.055,6.702,8.663,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.395,9.039,12.656,0,0.134,5.605,0.024,0.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.054,0.556,-1.895,0.058,-0.346,0.32,-1.08,0.28,NA,NA,NA,NA,NA,NA,NA,NA,1.013,0.861,1.176,0.24,-0.479,0.531,-0.902,0.367,NA,NA,NA,NA,NA,NA,NA,NA,0.508,0.374,1.357,0.175,-0.185,0.229,-0.808,0.419,NA,NA,NA,NA,NA,NA,NA,NA,0.66,3.755,0.176,0.861,1.271,3.285,0.387,0.699,NA,NA,NA,NA,NA,NA,NA,NA,-0.364,9.697,-0.038,0.97,-2.047,8.263,-0.248,0.804,NA,NA,NA,NA,NA,NA,NA,NA,-15.483,7.549,-2.051,0.04,-1.003,5.121,-0.196,0.845,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3",0.1,"09/15/2015","10:10 AM","u2_male_ae_walking_nocog_gait_nocogspec.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/Gait/u2_male_ae_walking_nocog_gait_nocogspec.out","eas","u2","male","ae","gait","nocogspec",160,8,NA,16,-1944.033,3920.066,3969.269,3918.619,3923.8701958042,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78,6.631,0.872,0.383,396.065,110.846,3.573,0,15.789,23.587,0.669,0.503,-34.766,51.724,-0.672,0.501,77.396,7.72,10.025,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.699,7.648,13.035,0,2.276,4.117,0.553,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.804,0.483,-1.666,0.096,-0.269,0.261,-1.031,0.302,NA,NA,NA,NA,NA,NA,NA,NA,1.015,0.803,1.265,0.206,-0.311,0.447,-0.694,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
