"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","p_GAMMA_01_est","p_GAMMA_01_se","p_GAMMA_01_wald","p_GAMMA_01_pval","p_GAMMA_11_est","p_GAMMA_11_se","p_GAMMA_11_wald","p_GAMMA_11_pval","c_GAMMA_01_est","c_GAMMA_01_se","c_GAMMA_01_wald","c_GAMMA_01_pval","c_GAMMA_11_est","c_GAMMA_11_se","c_GAMMA_11_wald","c_GAMMA_11_pval","p_GAMMA_02_est","p_GAMMA_02_se","p_GAMMA_02_wald","p_GAMMA_02_pval","p_GAMMA_12_est","p_GAMMA_12_se","p_GAMMA_12_wald","p_GAMMA_12_pval","c_GAMMA_02_est","c_GAMMA_02_se","c_GAMMA_02_wald","c_GAMMA_02_pval","c_GAMMA_12_est","c_GAMMA_12_se","c_GAMMA_12_wald","c_GAMMA_12_pval","p_GAMMA_03_est","p_GAMMA_03_se","p_GAMMA_03_wald","p_GAMMA_03_pval","p_GAMMA_13_est","p_GAMMA_13_se","p_GAMMA_13_wald","p_GAMMA_13_pval","c_GAMMA_03_est","c_GAMMA_03_se","c_GAMMA_03_wald","c_GAMMA_03_pval","c_GAMMA_13_est","c_GAMMA_13_se","c_GAMMA_13_wald","c_GAMMA_13_pval","p_GAMMA_04_est","p_GAMMA_04_se","p_GAMMA_04_wald","p_GAMMA_04_pval","p_GAMMA_14_est","p_GAMMA_14_se","p_GAMMA_14_wald","p_GAMMA_14_pval","c_GAMMA_04_est","c_GAMMA_04_se","c_GAMMA_04_wald","c_GAMMA_04_pval","c_GAMMA_14_est","c_GAMMA_14_se","c_GAMMA_14_wald","c_GAMMA_14_pval","p_GAMMA_05_est","p_GAMMA_05_se","p_GAMMA_05_wald","p_GAMMA_05_pval","p_GAMMA_15_est","p_GAMMA_15_se","p_GAMMA_15_wald","p_GAMMA_15_pval","c_GAMMA_05_est","c_GAMMA_05_se","c_GAMMA_05_wald","c_GAMMA_05_pval","c_GAMMA_15_est","c_GAMMA_15_se","c_GAMMA_15_wald","c_GAMMA_15_pval","p_GAMMA_06_est","p_GAMMA_06_se","p_GAMMA_06_wald","p_GAMMA_06_pval","p_GAMMA_16_est","p_GAMMA_16_se","p_GAMMA_16_wald","p_GAMMA_16_pval","c_GAMMA_06_est","c_GAMMA_06_se","c_GAMMA_06_wald","c_GAMMA_06_pval","c_GAMMA_16_est","c_GAMMA_16_se","c_GAMMA_16_wald","c_GAMMA_16_pval","trust_all","mistrust","has_converged","covar_covered"
"Mplus VERSION 7.31","0.1","11/05/2015","10:46 PM","elsa","b1","male","aehplus",NA,NA,"gait","fluency",TRUE,3091,5,NA,41,-38542.597,77167.194,77414.68,77284.407,77168.3235506724,"b1_male_aehplus_gait_fluency.out"," ELSA_Portland_New_nomiss_years.dat",0.199,0.03,6.599,0,0.001,0.001,0.904,0.366,0.005,0.004,1.13,0.258,0.003,0.004,0.71,0.478,-0.001,0.01,-0.118,0.906,0.039,0.002,18.722,0,0,0,7.735,0,-0.002,0,-5.889,0,0.024,0.001,30.9,0,18.106,0.879,20.595,0,0.099,0.021,4.743,0,0.037,0.105,0.357,0.721,17.221,0.513,33.573,0,0.823,0.009,87.347,0,-0.015,0.002,-9.917,0,17.963,0.185,97.28,0,-0.169,0.031,-5.437,0,0.237,0.035,6.731,0,0.097,0.108,0.899,0.369,-0.002,0.016,-0.118,0.906,-0.007,0.001,-10.395,0,-0.001,0,-5.357,0,-0.143,0.012,-12.392,0,-0.012,0.002,-6.566,0,0.115,0.011,10.537,0,0.001,0.002,0.347,0.729,2.681,0.209,12.852,0,-0.023,0.033,-0.687,0.492,0.005,0.001,5.609,0,0,0,-1.197,0.231,0.076,0.016,4.894,0,0.004,0.002,1.847,0.065,0.041,0.012,3.569,0,0,0.002,-0.098,0.922,-0.014,0.218,-0.065,0.948,0.071,0.033,2.165,0.03,-0.069,0.014,-4.831,0,0.002,0.002,0.766,0.444,-0.51,0.282,-1.809,0.07,0.028,0.046,0.607,0.544,-0.053,0.018,-2.914,0.004,-0.002,0.003,-0.612,0.541,-0.176,0.363,-0.486,0.627,-0.043,0.055,-0.788,0.431,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015","11:02 PM","elsa","b1","male","aehplus",NA,NA,"gait","immediaterecall",TRUE,3091,5,NA,41,-21823.385,43728.77,43976.256,43845.982,43729.8995506724,"b1_male_aehplus_gait_immediaterecall.out"," ELSA_Portland_New_nomiss_years.dat",0.04,0.007,5.396,0,0,0,-0.026,0.979,0.002,0.001,1.215,0.224,0.002,0.001,1.479,0.139,-0.002,0.003,-0.798,0.425,0.039,0.002,18.688,0,0,0,7.777,0,-0.002,0,-5.878,0,0.024,0.001,30.921,0,0.77,0.051,15.134,0,0.002,0.002,1.075,0.283,0.006,0.008,0.835,0.403,1.562,0.035,44.422,0,0.824,0.009,87.335,0,-0.015,0.002,-9.96,0,4.839,0.049,99.299,0,-0.058,0.009,-6.705,0,0.231,0.043,5.426,0,-0.006,0.226,-0.026,0.979,-0.012,0.015,-0.799,0.425,-0.007,0.001,-10.241,0,-0.001,0,-5.468,0,-0.049,0.003,-16.367,0,-0.003,0.001,-5.953,0,0.114,0.011,10.489,0,0.001,0.002,0.384,0.701,0.716,0.052,13.74,0,0.009,0.009,0.982,0.326,0.005,0.001,5.571,0,0,0,-1.197,0.231,0.018,0.004,4.745,0,0.001,0.001,1.269,0.205,0.042,0.012,3.569,0,0,0.002,-0.162,0.871,0.038,0.055,0.692,0.489,0.005,0.009,0.551,0.582,-0.069,0.014,-4.847,0,0.001,0.002,0.684,0.494,-0.179,0.073,-2.454,0.014,-0.004,0.013,-0.275,0.783,-0.054,0.018,-2.986,0.003,-0.001,0.003,-0.527,0.598,-0.246,0.09,-2.733,0.006,0.006,0.017,0.337,0.736,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015"," 9:41 PM","elsa","b1","male","aehplus",NA,NA,"grip","delayedrecall",TRUE,3091,6,NA,41,-35459.702,71001.405,71248.891,71118.617,71002.5345506724,"b1_male_aehplus_grip_delayedrecall.out"," ELSA_Portland_New_nomiss_years.dat",-0.121,0.393,-0.308,0.758,-0.008,0.007,-1.264,0.206,0.12,0.052,2.32,0.02,0.115,0.049,2.338,0.019,0.109,0.125,0.875,0.382,40.408,2.986,13.532,0,0.069,0.046,1.507,0.132,-0.666,0.337,-1.975,0.048,18.206,0.943,19.309,0,1.482,0.157,9.433,0,0.005,0.003,1.427,0.153,-0.024,0.02,-1.152,0.249,1.716,0.063,27.161,0,34.281,0.311,110.201,0,-0.657,0.043,-15.371,0,3.199,0.081,39.523,0,-0.027,0.012,-2.151,0.031,-0.016,0.051,-0.308,0.758,-0.464,0.43,-1.078,0.281,0.02,0.022,0.873,0.383,-0.43,0.018,-24.366,0,-0.013,0.002,-5.598,0,-0.059,0.005,-12.62,0,-0.003,0.001,-4.873,0,1.341,0.35,3.831,0,-0.043,0.044,-0.982,0.326,0.963,0.087,11.082,0,-0.017,0.012,-1.4,0.161,0.289,0.023,12.366,0,0.002,0.003,0.693,0.488,0.021,0.006,3.302,0.001,0,0.001,0.07,0.944,0.331,0.34,0.974,0.33,0.017,0.04,0.42,0.675,-0.067,0.083,-0.807,0.42,0.023,0.011,2.022,0.043,0.009,0.453,0.021,0.983,-0.167,0.059,-2.845,0.004,0.029,0.121,0.24,0.811,-0.041,0.018,-2.246,0.025,-1.562,0.58,-2.692,0.007,-0.22,0.066,-3.323,0.001,-0.231,0.136,-1.694,0.09,-0.02,0.022,-0.937,0.349,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","11/05/2015","10:20 PM","elsa","b1","male","aehplus",NA,NA,"grip","immediaterecall",TRUE,3091,6,NA,41,-34608.839,69299.678,69547.164,69416.89,69300.8075506724,"b1_male_aehplus_grip_immediaterecall.out"," ELSA_Portland_New_nomiss_years.dat",-0.365,0.357,-1.022,0.307,-0.009,0.006,-1.525,0.127,0.153,0.049,3.125,0.002,0.106,0.044,2.43,0.015,0.275,0.121,2.273,0.023,39.816,2.977,13.374,0,0.055,0.045,1.208,0.227,-0.575,0.335,-1.717,0.086,18.402,0.961,19.14,0,1.089,0.137,7.97,0,0.006,0.003,2.211,0.027,-0.033,0.018,-1.857,0.063,1.407,0.053,26.485,0,34.289,0.311,110.211,0,-0.66,0.043,-15.376,0,4.903,0.074,66.29,0,-0.073,0.012,-6.171,0,-0.055,0.054,-1.018,0.308,-0.493,0.407,-1.211,0.226,0.054,0.024,2.288,0.022,-0.429,0.018,-24.328,0,-0.013,0.002,-5.665,0,-0.045,0.004,-10.708,0,-0.004,0.001,-6.325,0,1.335,0.35,3.813,0,-0.041,0.044,-0.924,0.356,0.771,0.077,10.073,0,-0.002,0.012,-0.148,0.883,0.289,0.023,12.379,0,0.002,0.003,0.67,0.503,0.012,0.006,2.087,0.037,0.001,0.001,1.657,0.097,0.324,0.34,0.951,0.341,0.018,0.04,0.44,0.66,-0.053,0.075,-0.703,0.482,0.023,0.011,2.218,0.027,0.009,0.453,0.019,0.985,-0.167,0.059,-2.851,0.004,-0.141,0.111,-1.267,0.205,-0.008,0.017,-0.455,0.649,-1.571,0.581,-2.706,0.007,-0.217,0.066,-3.261,0.001,-0.095,0.131,-0.72,0.472,-0.01,0.021,-0.471,0.637,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","10/26/2015","12:09 PM","elsa","b1","female","aehplus",NA,NA,"fev","gait",TRUE,3511,6,NA,41,-3368.305,6818.61,7071.32,6941.043,6819.60279331219,"b1_female_aehplus_fev_gait.out"," ELSA_Portland_New_nomiss_years.dat",0.016,0.004,4.314,0,0,0,0.732,0.464,0,0,-0.168,0.866,0,0.001,-0.019,0.985,0.001,0.001,0.749,0.454,0.144,0.015,9.619,0,0,0,0.804,0.421,-0.001,0.002,-0.773,0.439,0.101,0.009,11.353,0,0.037,0.002,20.315,0,0,0,4.222,0,0,0,-4.276,0,0.023,0.001,26.96,0,1.781,0.018,98,0,-0.031,0.003,-11.771,0,0.806,0.01,84.064,0,-0.018,0.001,-13.113,0,0.219,0.042,5.267,0,0.397,0.249,1.591,0.112,0.022,0.028,0.763,0.445,-0.026,0.001,-22.186,0,0,0,-0.829,0.407,-0.01,0.001,-11.897,0,-0.001,0,-5.384,0,0.098,0.021,4.645,0,0.001,0.003,0.47,0.639,0.09,0.012,7.492,0,0,0.001,-0.096,0.924,0.029,0.002,16.472,0,-0.001,0,-2.415,0.016,0.006,0.001,6.336,0,0,0,-2.593,0.01,0.104,0.02,5.175,0,0.002,0.003,0.835,0.404,0.038,0.011,3.266,0.001,0,0.001,-0.084,0.933,-0.114,0.037,-3.091,0.002,0.003,0.006,0.437,0.662,-0.084,0.019,-4.399,0,-0.002,0.003,-0.945,0.345,-0.046,0.045,-1.021,0.307,-0.003,0.007,-0.468,0.64,-0.134,0.027,-5.034,0,-0.001,0.003,-0.186,0.853,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","10/26/2015","12:13 PM","elsa","b1","female","aehplus",NA,NA,"grip","fev",TRUE,3511,6,NA,41,-26235.725,52553.449,52806.159,52675.882,52554.4417933122,"b1_female_aehplus_grip_fev.out"," ELSA_Portland_New_nomiss_years.dat",0.397,0.071,5.636,0,0.001,0.001,1.217,0.224,-0.018,0.009,-1.98,0.048,-0.01,0.008,-1.294,0.196,0.013,0.023,0.563,0.573,18.642,1.211,15.389,0,0.03,0.018,1.637,0.102,-0.218,0.127,-1.716,0.086,8.644,0.426,20.301,0,0.14,0.017,7.991,0,0,0,0.405,0.685,-0.001,0.002,-0.384,0.701,0.102,0.01,10.531,0,20.41,0.187,108.975,0,-0.416,0.025,-16.507,0,1.779,0.018,98.008,0,-0.03,0.003,-11.536,0,0.246,0.045,5.439,0,0.633,0.947,0.668,0.504,0.014,0.024,0.563,0.573,-0.223,0.012,-19.344,0,-0.011,0.002,-7.004,0,-0.026,0.001,-22.235,0,0,0,-0.614,0.54,1.017,0.219,4.633,0,-0.017,0.026,-0.655,0.513,0.098,0.021,4.678,0,0.001,0.003,0.42,0.674,0.223,0.017,13.277,0,-0.004,0.002,-2.059,0.04,0.029,0.002,16.517,0,-0.001,0,-2.465,0.014,0.132,0.201,0.657,0.511,0.007,0.024,0.281,0.779,0.104,0.02,5.181,0,0.002,0.003,0.807,0.42,-1.723,0.398,-4.328,0,0.081,0.052,1.57,0.117,-0.113,0.037,-3.041,0.002,0.003,0.006,0.412,0.681,-1.482,0.457,-3.245,0.001,0.021,0.056,0.379,0.705,-0.045,0.045,-1.002,0.316,-0.004,0.007,-0.514,0.608,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","10/26/2015","12:06 PM","elsa","b1","female","aehplus",NA,NA,"grip","gait",TRUE,3511,6,NA,41,-21130.653,42343.306,42596.016,42465.739,42344.2987933122,"b1_female_aehplus_grip_gait.out"," ELSA_Portland_New_nomiss_years.dat",0.304,0.033,9.218,0,0.001,0,2.012,0.044,0,0.002,-0.158,0.874,-0.004,0.004,-1.142,0.253,0.026,0.01,2.711,0.007,18.788,1.153,16.295,0,0.034,0.016,2.076,0.038,-0.237,0.116,-2.042,0.041,8.575,0.401,21.406,0,0.037,0.002,21.615,0,0,0,7.758,0,0,0,-5.616,0,0.023,0.001,27.624,0,20.417,0.187,109.145,0,-0.422,0.025,-16.756,0,0.805,0.01,84.272,0,-0.018,0.001,-13.461,0,0.363,0.03,11.916,0,0.496,0.097,5.116,0,0.059,0.021,2.788,0.005,-0.222,0.012,-19.27,0,-0.011,0.002,-7.335,0,-0.009,0.001,-11.556,0,-0.001,0,-5.955,0,1.016,0.219,4.638,0,-0.018,0.026,-0.688,0.491,0.091,0.012,7.606,0,0,0.001,-0.104,0.917,0.223,0.017,13.341,0,-0.004,0.002,-2.062,0.039,0.006,0.001,6.516,0,0,0,-2.703,0.007,0.147,0.201,0.731,0.465,0.006,0.024,0.256,0.798,0.039,0.011,3.395,0.001,0,0.001,-0.146,0.884,-1.725,0.398,-4.337,0,0.082,0.051,1.599,0.11,-0.085,0.019,-4.481,0,-0.002,0.003,-0.838,0.402,-1.492,0.456,-3.272,0.001,0.021,0.056,0.379,0.705,-0.132,0.026,-4.998,0,-0.001,0.003,-0.151,0.88,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","10/26/2015","12:22 PM","elsa","b1","male","aehplus",NA,NA,"fev","gait",TRUE,3091,6,NA,41,-5349.677,10781.353,11028.84,10898.566,10782.4825506724,"b1_male_aehplus_fev_gait.out"," ELSA_Portland_New_nomiss_years.dat",0.028,0.006,4.474,0,0,0,1.255,0.209,-0.001,0.001,-0.928,0.353,-0.001,0.001,-1.8,0.072,0.001,0.002,0.535,0.593,0.364,0.037,9.926,0,0.001,0.001,1.78,0.075,-0.011,0.005,-2.449,0.014,0.192,0.017,10.994,0,0.036,0.004,8.728,0,0,0,1.287,0.198,-0.001,0.001,-1.138,0.255,0.025,0.001,21.195,0,2.403,0.033,73.719,0,-0.029,0.005,-5.928,0,0.839,0.011,73.472,0,-0.017,0.002,-10.572,0,0.241,0.053,4.552,0,0.344,0.306,1.124,0.261,0.013,0.025,0.535,0.592,-0.033,0.002,-18.242,0,0,0,-1.407,0.159,-0.008,0.001,-9.473,0,0,0,-3.862,0,0.221,0.035,6.327,0,-0.008,0.005,-1.751,0.08,0.102,0.013,7.802,0,0.003,0.002,1.896,0.058,0.034,0.003,13.124,0,0,0,-0.144,0.885,0.005,0.001,4.943,0,0,0,-1.649,0.099,0.218,0.034,6.371,0,-0.004,0.004,-0.856,0.392,0.041,0.014,2.925,0.003,0,0.002,0.019,0.984,-0.206,0.046,-4.438,0,0.004,0.006,0.697,0.486,-0.039,0.016,-2.388,0.017,-0.002,0.002,-0.896,0.37,-0.014,0.056,-0.243,0.808,-0.022,0.009,-2.553,0.011,-0.063,0.021,-3.038,0.002,-0.001,0.003,-0.271,0.786,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","10/26/2015","12:18 PM","elsa","b1","male","aehplus",NA,NA,"grip","fev",TRUE,3091,6,NA,41,-27840.232,55762.465,56009.951,55879.677,55763.5945506724,"b1_male_aehplus_grip_fev.out"," ELSA_Portland_New_nomiss_years.dat",0.712,0.157,4.53,0,0.003,0.002,1.493,0.136,-0.027,0.02,-1.373,0.17,-0.019,0.018,-1.066,0.287,0.025,0.049,0.513,0.608,39.846,2.975,13.395,0,0.054,0.045,1.193,0.233,-0.578,0.334,-1.73,0.084,18.413,0.959,19.197,0,0.363,0.037,9.875,0,0.001,0.001,1.707,0.088,-0.011,0.005,-2.379,0.017,0.192,0.018,10.97,0,34.267,0.311,110.113,0,-0.652,0.043,-15.212,0,2.403,0.033,73.809,0,-0.029,0.005,-5.979,0,0.187,0.041,4.581,0,0.42,0.342,1.227,0.22,0.013,0.026,0.516,0.606,-0.43,0.018,-24.36,0,-0.013,0.002,-5.483,0,-0.033,0.002,-18.261,0,0,0,-1.387,0.165,1.334,0.35,3.811,0,-0.041,0.044,-0.934,0.35,0.22,0.035,6.294,0,-0.008,0.005,-1.672,0.095,0.29,0.023,12.394,0,0.002,0.003,0.605,0.545,0.034,0.003,13.154,0,0,0,-0.192,0.848,0.333,0.34,0.978,0.328,0.015,0.04,0.375,0.707,0.218,0.034,6.376,0,-0.004,0.004,-0.828,0.408,0.025,0.453,0.054,0.957,-0.17,0.059,-2.891,0.004,-0.205,0.046,-4.411,0,0.004,0.006,0.639,0.523,-1.585,0.581,-2.727,0.006,-0.212,0.067,-3.179,0.001,-0.012,0.056,-0.211,0.833,-0.022,0.009,-2.589,0.01,TRUE,NA,TRUE,0
"Mplus VERSION 7.31","0.1","10/26/2015","12:15 PM","elsa","b1","male","aehplus",NA,NA,"grip","gait",TRUE,3091,6,NA,41,-21281.844,42645.687,42893.173,42762.9,42646.8165506724,"b1_male_aehplus_grip_gait.out"," ELSA_Portland_New_nomiss_years.dat",0.335,0.067,5.034,0,0.001,0.001,1.436,0.151,0.004,0.008,0.457,0.648,-0.007,0.008,-0.89,0.374,0.014,0.018,0.786,0.432,40.496,2.987,13.559,0,0.07,0.046,1.535,0.125,-0.662,0.337,-1.966,0.049,18.144,0.937,19.374,0,0.036,0.004,8.809,0,0,0,1.317,0.188,-0.001,0.001,-1.123,0.262,0.025,0.001,21.312,0,34.286,0.311,110.146,0,-0.659,0.043,-15.375,0,0.84,0.011,73.823,0,-0.017,0.002,-10.958,0,0.277,0.053,5.219,0,0.548,0.405,1.352,0.176,0.022,0.027,0.789,0.43,-0.428,0.018,-24.282,0,-0.014,0.002,-5.841,0,-0.008,0.001,-9.448,0,0,0,-4.081,0,1.337,0.35,3.82,0,-0.045,0.044,-1.026,0.305,0.101,0.013,7.753,0,0.003,0.002,2.061,0.039,0.289,0.023,12.359,0,0.002,0.003,0.661,0.509,0.005,0.001,4.757,0,0,0,-1.38,0.168,0.338,0.34,0.994,0.32,0.013,0.04,0.323,0.746,0.041,0.014,2.895,0.004,0,0.002,0.13,0.897,0.016,0.453,0.035,0.972,-0.164,0.059,-2.79,0.005,-0.037,0.016,-2.255,0.024,-0.002,0.002,-1.07,0.284,-1.58,0.58,-2.725,0.006,-0.214,0.066,-3.224,0.001,-0.063,0.021,-3.058,0.002,-0.001,0.003,-0.357,0.721,TRUE,NA,TRUE,0
